<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Ghandi.Cables.,20210921,2770.00,2770.00,2564.00,2583.00,53375126159,20666149,1318,D,2698.00,2592.00
Ghandi.Cables.,20210920,2750.00,2760.00,2651.00,2698.00,31168606739,11550485,1066,D,2715.00,2740.00
Ghandi.Cables.,20210919,2724.00,2870.00,2698.00,2715.00,54493422741,20068714,1337,D,2840.00,2699.00
Ghandi.Cables.,20210918,2950.00,3010.00,2828.00,2840.00,52343338457,18433855,1010,D,2976.00,2828.00
Ghandi.Cables.,20210915,3100.00,3100.00,2940.00,2976.00,38093667798,12800950,1731,D,3077.00,2946.00
Ghandi.Cables.,20210914,2951.00,3135.00,2951.00,3077.00,39102822711,12709021,1392,D,3023.00,3063.00
Ghandi.Cables.,20210913,3110.00,3179.00,2995.00,3023.00,66483013780,21988886,1704,D,3152.00,2995.00
Ghandi.Cables.,20210912,3223.00,3280.00,3135.00,3152.00,99008821574,31411612,1918,D,3300.00,3135.00
Ghandi.Cables.,20210911,3405.00,3440.00,3161.00,3300.00,108621875113,32913788,2439,D,3303.00,3223.00
Ghandi.Cables.,20210908,3221.00,3353.00,3194.00,3303.00,120758339092,36558096,2500,D,3194.00,3353.00
Ghandi.Cables.,20210907,3100.00,3269.00,3070.00,3194.00,93582821961,29297675,2683,D,3212.00,3185.00
Ghandi.Cables.,20210906,3200.00,3226.00,3114.00,3212.00,254892885144,79353234,4436,D,3073.00,3123.00
Ghandi.Cables.,20210905,3000.00,3114.00,2900.00,3073.00,109588741788,35660203,1728,D,2966.00,3114.00
Ghandi.Cables.,20210904,2950.00,3020.00,2920.00,2966.00,59390038205,20023166,1646,D,2908.00,2979.00
Ghandi.Cables.,20210901,2843.00,2958.00,2780.00,2908.00,49214207987,16926030,1338,D,2843.00,2933.00
Ghandi.Cables.,20210831,2825.00,2956.00,2809.00,2843.00,93592265340,32918911,1980,D,2956.00,2822.00
Ghandi.Cables.,20210830,2950.00,3031.00,2924.00,2956.00,76483620987,25872679,1525,D,3077.00,2924.00
Ghandi.Cables.,20210829,3200.00,3200.00,2908.00,3077.00,188813420576,61354504,4084,D,3061.00,3000.00
Ghandi.Cables.,20210828,3040.00,3070.00,3000.00,3061.00,57426430097,18763593,752,D,2924.00,3070.00
Ghandi.Cables.,20210825,2950.00,3020.00,2835.00,2924.00,110489512335,37788192,2377,D,2885.00,2975.00
Ghandi.Cables.,20210824,2810.00,2891.00,2800.00,2885.00,120295642458,41701838,1998,D,2754.00,2891.00
Ghandi.Cables.,20210823,2797.00,2797.00,2713.00,2754.00,66585861790,24178198,1998,D,2760.00,2780.00
Ghandi.Cables.,20210822,2690.00,2770.00,2690.00,2760.00,104709560918,37945101,2049,D,2639.00,2770.00
Ghandi.Cables.,20210815,2550.00,2699.00,2550.00,2639.00,62852895780,23816662,1647,D,2599.00,2667.00
Ghandi.Cables.,20210814,2670.00,2670.00,2520.00,2599.00,42320825054,16285246,1517,D,2617.00,2581.00
Ghandi.Cables.,20210811,2614.00,2655.00,2590.00,2617.00,52686245872,20133363,1669,D,2614.00,2619.00
Ghandi.Cables.,20210810,2688.00,2688.00,2590.00,2614.00,45272332094,17319966,1508,D,2645.00,2615.00
Ghandi.Cables.,20210809,2600.00,2681.00,2584.00,2645.00,27111250834,10248339,1103,D,2584.00,2645.00
Ghandi.Cables.,20210808,2557.00,2647.00,2511.00,2584.00,38178587417,14774532,1097,D,2557.00,2628.00
Ghandi.Cables.,20210807,2550.00,2599.00,2530.00,2557.00,30039369116,11749673,1081,D,2538.00,2550.00
Ghandi.Cables.,20210804,2571.00,2630.00,2500.00,2538.00,33902019112,13355873,1261,D,2561.00,2550.00
Ghandi.Cables.,20210803,2467.00,2614.00,2462.00,2561.00,53383779893,20848739,1732,D,2490.00,2585.00
Ghandi.Cables.,20210802,2510.00,2574.00,2448.00,2490.00,48749766046,19579280,1523,D,2522.00,2466.00
Ghandi.Cables.,20210801,2590.00,2610.00,2480.00,2522.00,44525306779,17652041,1518,D,2576.00,2511.00
Ghandi.Cables.,20210731,2569.00,2675.00,2541.00,2576.00,61260541386,23781256,2096,D,2674.00,2555.00
Ghandi.Cables.,20210728,2730.00,2768.00,2641.00,2674.00,34893144674,13048802,1266,D,2780.00,2641.00
Ghandi.Cables.,20210727,2785.00,2830.00,2721.00,2780.00,56813341366,20433151,1314,D,2799.00,2744.00
Ghandi.Cables.,20210726,2750.00,2850.00,2740.00,2799.00,61367918883,21927312,1481,D,2783.00,2791.00
Ghandi.Cables.,20210719,2782.00,2840.00,2751.00,2783.00,40350187266,14497662,1356,D,2796.00,2774.00
Ghandi.Cables.,20210718,2801.00,2890.00,2788.00,2796.00,59572238388,21304420,1460,D,2934.00,2791.00
Ghandi.Cables.,20210717,2990.00,3000.00,2850.00,2934.00,79556477746,27111051,2156,D,2888.00,2877.00
Ghandi.Cables.,20210714,2808.00,2905.00,2751.00,2888.00,68511017391,23723778,1167,D,2767.00,2905.00
Ghandi.Cables.,20210713,2799.00,2822.00,2725.00,2767.00,46930555200,16960077,1252,D,2786.00,2790.00
Ghandi.Cables.,20210712,2805.00,2840.00,2756.00,2786.00,50193082528,18013495,1530,D,2794.00,2763.00
Ghandi.Cables.,20210711,2810.00,2848.00,2750.00,2794.00,58486656892,20930299,1822,D,2844.00,2814.00
Ghandi.Cables.,20210710,2899.00,2910.00,2787.00,2844.00,50801948434,17862775,1580,D,2838.00,2820.00
Ghandi.Cables.,20210707,2784.00,2875.00,2686.00,2838.00,55621429741,19599578,1833,D,2777.00,2859.00
Ghandi.Cables.,20210706,2801.00,2853.00,2718.00,2777.00,47805257924,17212933,1609,D,2758.00,2730.00
Ghandi.Cables.,20210705,2621.00,2781.00,2620.00,2758.00,57839218696,20973328,1494,D,2649.00,2781.00
Ghandi.Cables.,20210704,2653.00,2700.00,2612.00,2649.00,30706397179,11590774,1259,D,2718.00,2656.00
Ghandi.Cables.,20210703,2810.00,2810.00,2691.00,2718.00,49760994327,18309706,1706,D,2832.00,2691.00
Ghandi.Cables.,20210630,2887.00,2887.00,2780.00,2832.00,48998615304,17302512,1532,D,2800.00,2828.00
Ghandi.Cables.,20210629,2690.00,2844.00,2690.00,2800.00,87065701573,31100166,2652,D,2709.00,2843.00
Ghandi.Cables.,20210628,2819.00,2819.00,2680.00,2709.00,75361809639,27817591,2409,D,2819.00,2730.00
Ghandi.Cables.,20210627,2735.00,2930.00,2735.00,2819.00,64432437147,22854109,2016,D,2856.00,2780.00
Ghandi.Cables.,20210626,2900.00,2955.00,2827.00,2856.00,103780361573,36336636,3264,D,2975.00,2827.00
Ghandi.Cables.,20210623,3050.00,3050.00,2920.00,2975.00,66199775447,22251192,2068,D,2907.00,2952.00
Ghandi.Cables.,20210622,2769.00,2925.00,2769.00,2907.00,49135907439,16902793,1128,D,2786.00,2925.00
Ghandi.Cables.,20210621,2769.00,2849.00,2769.00,2786.00,111607574441,40061123,3370,D,2914.00,2770.00
Ghandi.Cables.,20210620,2960.00,3088.00,2816.00,2914.00,87582465838,30052130,2527,D,3461.00,2850.00
Ghandi.Cables.,20210614,3392.00,3392.00,3392.00,3511.00,4663959296,1374988,165,D,3570.00,3392.00
Ghandi.Cables.,20210613,3405.00,3405.00,3405.00,3570.00,1081278180,317556,39,D,3584.00,3405.00
Ghandi.Cables.,20210612,3414.00,3414.00,3414.00,3584.00,698702412,204658,39,D,3593.00,3414.00
Ghandi.Cables.,20210609,3428.00,3428.00,3428.00,3593.00,1188189364,346613,46,D,3608.00,3428.00
Ghandi.Cables.,20210608,3491.00,3491.00,3491.00,3608.00,5031658593,1441323,133,D,3674.00,3491.00
Ghandi.Cables.,20210607,3540.00,3540.00,3540.00,3674.00,3957571320,1117958,87,D,3726.00,3540.00
Ghandi.Cables.,20210602,3572.00,3572.00,3572.00,3726.00,2478453632,693856,75,D,3760.00,3572.00
Ghandi.Cables.,20210601,3575.00,3575.00,3575.00,3760.00,220273625,61615,14,D,3763.00,3575.00
Ghandi.Cables.,20210531,3588.00,3588.00,3588.00,3763.00,991626324,276373,29,D,3776.00,3588.00
Ghandi.Cables.,20210530,3629.00,3629.00,3629.00,3776.00,3156391701,869769,91,D,3819.00,3629.00
Ghandi.Cables.,20210529,3673.00,3673.00,3673.00,3819.00,3444998525,937925,152,D,3866.00,3673.00
Ghandi.Cables.,20210526,3677.00,3677.00,3677.00,3866.00,312556031,85003,20,D,3870.00,3677.00
Ghandi.Cables.,20210525,3688.00,3688.00,3688.00,3870.00,877839888,238026,33,D,3882.00,3688.00
Ghandi.Cables.,20210524,3690.00,3690.00,3690.00,3882.00,125762580,34082,13,D,3884.00,3690.00
Ghandi.Cables.,20210523,3692.00,3692.00,3692.00,3884.00,179519808,48624,14,D,3886.00,3692.00
Ghandi.Cables.,20210522,3697.00,3697.00,3697.00,3886.00,394314626,106658,18,D,3891.00,3697.00
Ghandi.Cables.,20210519,3702.00,3702.00,3702.00,3891.00,385063530,104015,19,D,3896.00,3702.00
Ghandi.Cables.,20210518,3710.00,3710.00,3710.00,3896.00,675520510,182081,23,D,3905.00,3710.00
Ghandi.Cables.,20210517,3718.00,3718.00,3718.00,3905.00,560588886,150777,23,D,3913.00,3718.00
Ghandi.Cables.,20210516,3732.00,3732.00,3732.00,3913.00,1072248384,287312,39,D,3928.00,3732.00
Ghandi.Cables.,20210511,3815.00,3815.00,3815.00,3928.00,1813387765,475331,79,D,3932.00,3815.00
Ghandi.Cables.,20210510,3817.00,3817.00,3817.00,3932.00,1039460708,272324,29,D,3935.00,3817.00
Ghandi.Cables.,20210509,3817.00,3817.00,3817.00,3935.00,80153183,20999,8,D,3935.00,3817.00
Ghandi.Cables.,20210508,3817.00,3817.00,3817.00,3935.00,127915304,33512,15,D,3935.00,3817.00
Ghandi.Cables.,20210505,3713.00,3713.00,3713.00,3935.00,2713657189,730853,117,D,3949.00,3713.00
Ghandi.Cables.,20210503,3832.00,3832.00,3832.00,3949.00,348972576,91068,18,D,3950.00,3832.00
Ghandi.Cables.,20210502,3840.00,3840.00,3840.00,3950.00,210950400,54935,16,D,3950.00,3840.00
Ghandi.Cables.,20210501,3840.00,3840.00,3840.00,3950.00,784492800,204295,27,D,3950.00,3840.00
Ghandi.Cables.,20210428,3840.00,3840.00,3840.00,3950.00,762984960,198694,36,D,3950.00,3840.00
Ghandi.Cables.,20210427,3840.00,3840.00,3840.00,3950.00,1156289280,301117,45,D,3950.00,3840.00
Ghandi.Cables.,20210426,3840.00,3840.00,3840.00,3950.00,1129102080,294037,30,D,3950.00,3840.00
Ghandi.Cables.,20210425,3840.00,3840.00,3840.00,3950.00,416094720,108358,16,D,3950.00,3840.00
Ghandi.Cables.,20210424,3840.00,3840.00,3840.00,3950.00,648925440,168991,30,D,3950.00,3840.00
Ghandi.Cables.,20210421,3840.00,3840.00,3840.00,3950.00,403319040,105031,26,D,3950.00,3840.00
Ghandi.Cables.,20210420,3880.00,3880.00,3880.00,3950.00,559639560,144237,28,D,3950.00,3880.00
Ghandi.Cables.,20210419,3810.00,3810.00,3810.00,3950.00,2346163710,615791,72,D,3960.00,3810.00
Ghandi.Cables.,20210418,3890.00,3890.00,3890.00,3960.00,213872200,54980,14,D,3960.00,3890.00
Ghandi.Cables.,20210417,3890.00,3890.00,3890.00,3960.00,1153676750,296575,27,D,3960.00,3890.00
Ghandi.Cables.,20210414,3890.00,3890.00,3890.00,3960.00,526488160,135344,39,D,3960.00,3890.00
Ghandi.Cables.,20210413,3890.00,3890.00,3890.00,3960.00,3139906860,807174,94,D,3960.00,3890.00
Ghandi.Cables.,20210412,3890.00,3890.00,3890.00,3960.00,841379770,216293,46,D,3960.00,3890.00
Ghandi.Cables.,20210411,3890.00,3890.00,3890.00,3960.00,930071770,239093,32,D,3960.00,3890.00
Ghandi.Cables.,20210410,3890.00,3890.00,3890.00,3960.00,1318534950,338955,34,D,3960.00,3890.00
Ghandi.Cables.,20210407,3890.00,3890.00,3890.00,3960.00,2574841570,661913,53,D,3960.00,3890.00
Ghandi.Cables.,20210406,3900.00,3900.00,3900.00,3960.00,5120910600,1313054,92,D,3970.00,3900.00
Ghandi.Cables.,20210405,3900.00,3900.00,3900.00,3970.00,2208745500,566345,75,D,3970.00,3900.00
Ghandi.Cables.,20210404,3900.00,3900.00,3900.00,3970.00,1200342000,307780,49,D,3970.00,3900.00
Ghandi.Cables.,20210403,3950.00,3950.00,3930.00,3970.00,26106448290,6635454,452,D,4010.00,3930.00
Ghandi.Cables.,20210331,4090.00,4090.00,3870.00,4010.00,360893664770,90048232,7098,D,3860.00,3950.00
Ghandi.Cables.,20210330,3940.00,3940.00,3940.00,3860.00,35318833740,8964171,600,D,3720.00,3940.00
Ghandi.Cables.,20210328,3770.00,3780.00,3660.00,3720.00,40732305300,10783558,745,D,3570.00,3780.00
Ghandi.Cables.,20210327,3520.00,3650.00,3450.00,3570.00,67189115300,18839583,1554,D,3450.00,3650.00
Ghandi.Cables.,20210317,3490.00,3500.00,3440.00,3450.00,25143423800,7261569,920,D,3440.00,3470.00
Ghandi.Cables.,20210316,3400.00,3490.00,3400.00,3440.00,40643432930,11775178,1148,D,3400.00,3470.00
Ghandi.Cables.,20210315,3360.00,3420.00,3360.00,3400.00,51313997630,15107134,1222,D,3420.00,3400.00
Ghandi.Cables.,20210314,3430.00,3500.00,3390.00,3420.00,43924827020,12856325,1356,D,3420.00,3420.00
Ghandi.Cables.,20210313,3400.00,3500.00,3390.00,3420.00,51990193760,15192761,1290,D,3410.00,3430.00
Ghandi.Cables.,20210310,3450.00,3450.00,3400.00,3410.00,39165640260,11496664,1004,D,3420.00,3410.00
Ghandi.Cables.,20210309,3440.00,3520.00,3410.00,3420.00,36611561540,10657934,1447,D,3390.00,3420.00
Ghandi.Cables.,20210308,3340.00,3490.00,3340.00,3390.00,39879844910,11699549,1599,D,3340.00,3440.00
Ghandi.Cables.,20210307,3360.00,3360.00,3300.00,3340.00,59339812650,17767505,1138,D,3350.00,3340.00
Ghandi.Cables.,20210306,3360.00,3370.00,3300.00,3350.00,50377218640,15054770,1194,D,3350.00,3340.00
Ghandi.Cables.,20210303,3360.00,3370.00,3300.00,3350.00,60516696390,18070865,1223,D,3350.00,3350.00
Ghandi.Cables.,20210302,3370.00,3380.00,3320.00,3350.00,50681957440,15145630,1312,D,3340.00,3350.00
Ghandi.Cables.,20210301,3360.00,3390.00,3300.00,3340.00,78568714250,23545685,1906,D,3360.00,3360.00
Ghandi.Cables.,20210228,3360.00,3390.00,3340.00,3360.00,78651170980,23398323,1660,D,3360.00,3360.00
Ghandi.Cables.,20210227,3410.00,3410.00,3330.00,3360.00,85798253570,25524908,1627,D,3360.00,3360.00
Ghandi.Cables.,20210224,3420.00,3440.00,3320.00,3360.00,106768712290,31781290,2713,D,3380.00,3370.00
Ghandi.Cables.,20210223,3420.00,3460.00,3350.00,3380.00,96286096710,28482729,2822,D,3370.00,3370.00
Ghandi.Cables.,20210222,3340.00,3460.00,3300.00,3370.00,127296171960,37721448,3753,D,3340.00,3410.00
Ghandi.Cables.,20210221,3370.00,3400.00,3300.00,3340.00,135542330830,40608234,2712,D,3360.00,3340.00
Ghandi.Cables.,20210220,3450.00,3450.00,3330.00,3360.00,90599549280,26962146,2473,D,3330.00,3350.00
Ghandi.Cables.,20210217,3300.00,3420.00,3250.00,3330.00,136717707620,41101155,3406,D,3310.00,3400.00
Ghandi.Cables.,20210216,3290.00,3290.00,3290.00,3310.00,32559761360,9896584,419,D,3350.00,3290.00
Ghandi.Cables.,20210215,3360.00,3360.00,3330.00,3350.00,34826053230,10454789,750,D,3390.00,3330.00
Ghandi.Cables.,20210214,3460.00,3510.00,3380.00,3390.00,63408442820,18719796,1452,D,3440.00,3380.00
Ghandi.Cables.,20210213,3450.00,3510.00,3380.00,3440.00,116032150310,33755212,3055,D,3360.00,3460.00
Ghandi.Cables.,20210209,3330.00,3450.00,3240.00,3360.00,129786970470,38645064,3264,D,3400.00,3400.00
Ghandi.Cables.,20210208,3640.00,3640.00,3350.00,3400.00,183226360110,53845715,3666,D,3520.00,3350.00
Ghandi.Cables.,20210207,3450.00,3540.00,3380.00,3520.00,91733575810,26089866,1849,D,3380.00,3540.00
Ghandi.Cables.,20210206,3390.00,3400.00,3300.00,3380.00,206521494500,61096882,4068,D,3240.00,3400.00
Ghandi.Cables.,20210203,3300.00,3320.00,3160.00,3240.00,168594401590,51968610,3327,D,3200.00,3280.00
Ghandi.Cables.,20210202,3130.00,3320.00,3050.00,3200.00,188510836670,58980863,4419,D,3210.00,3240.00
Ghandi.Cables.,20210201,3220.00,3350.00,3190.00,3210.00,112927341950,35217155,2398,D,3350.00,3190.00
Ghandi.Cables.,20210131,3570.00,3580.00,3320.00,3350.00,234259995560,69860092,4445,D,3490.00,3320.00
Ghandi.Cables.,20210130,3360.00,3530.00,3350.00,3490.00,174097439260,49814056,3813,D,3370.00,3530.00
Ghandi.Cables.,20210127,3370.00,3500.00,3360.00,3370.00,189752736380,56287534,3968,D,3530.00,3360.00
Ghandi.Cables.,20210126,3760.00,3760.00,3490.00,3530.00,143163149400,40561180,3171,D,3670.00,3490.00
Ghandi.Cables.,20210125,3700.00,3750.00,3660.00,3670.00,200353213160,54577197,3560,D,3850.00,3660.00
Ghandi.Cables.,20210124,4090.00,4110.00,3770.00,3850.00,253901596030,65967484,5272,D,3960.00,3770.00
Ghandi.Cables.,20210123,3960.00,4060.00,3790.00,3960.00,282784205070,71379358,6337,D,3930.00,4000.00
Ghandi.Cables.,20210120,3990.00,4130.00,3820.00,3930.00,344837535100,87712745,7148,D,4020.00,3870.00
Ghandi.Cables.,20210119,3990.00,4150.00,3990.00,4020.00,314264388200,78267351,4500,D,4190.00,3990.00
Ghandi.Cables.,20210118,4120.00,4120.00,4120.00,4190.00,29613880200,7187835,258,D,4330.00,4120.00
Ghandi.Cables.,20210116,4330.00,4560.00,4280.00,4330.00,120540486140,27819187,1622,D,4500.00,4280.00
Ghandi.Cables.,20210113,4700.00,4710.00,4470.00,4500.00,337391888130,75034662,5057,D,4700.00,4470.00
Ghandi.Cables.,20210112,4660.00,4720.00,4530.00,4700.00,780940459980,166017420,8875,D,4500.00,4720.00
Ghandi.Cables.,20210111,4540.00,4700.00,4300.00,4500.00,379707988510,84430782,7306,D,4500.00,4610.00
Ghandi.Cables.,20210110,4500.00,4590.00,4400.00,4500.00,237297342680,52768525,4383,D,4380.00,4470.00
Ghandi.Cables.,20210109,4360.00,4590.00,4290.00,4380.00,266197228070,60841715,5076,D,4510.00,4370.00
Ghandi.Cables.,20210106,4620.00,4680.00,4490.00,4510.00,264827450000,58662347,4586,D,4720.00,4490.00
Ghandi.Cables.,20210105,4870.00,4870.00,4530.00,4720.00,590956769550,125266131,8984,D,4670.00,4620.00
Ghandi.Cables.,20210104,4670.00,4670.00,4670.00,4670.00,79710800980,17068694,743,D,4450.00,4670.00
Ghandi.Cables.,20210103,4280.00,4550.00,4200.00,4450.00,295077867390,66322056,4643,D,4340.00,4550.00
Ghandi.Cables.,20210102,4350.00,4560.00,4280.00,4340.00,210059927630,48424591,4787,D,4500.00,4340.00
Ghandi.Cables.,20201230,4500.00,4660.00,4350.00,4500.00,296504283320,65928247,6405,D,4500.00,4420.00
Ghandi.Cables.,20201229,4760.00,4770.00,4460.00,4500.00,287832753960,63930780,5809,D,4690.00,4490.00
Ghandi.Cables.,20201228,4710.00,5000.00,4600.00,4690.00,356130411220,75902577,7238,D,4840.00,4760.00
Ghandi.Cables.,20201227,5040.00,5040.00,4790.00,4840.00,315877600900,65226494,5484,D,5040.00,4790.00
Ghandi.Cables.,20201226,5050.00,5050.00,4920.00,5040.00,969799077270,192575849,12306,D,4810.00,5050.00
Ghandi.Cables.,20201223,4810.00,4810.00,4810.00,4810.00,59255924390,12319319,681,D,4590.00,4810.00
Ghandi.Cables.,20201222,4590.00,4590.00,4590.00,4590.00,56345013180,12275602,652,D,4380.00,4590.00
Ghandi.Cables.,20201221,4220.00,4500.00,4150.00,4380.00,281331549190,64182426,4715,D,4290.00,4500.00
Ghandi.Cables.,20201220,4530.00,4530.00,4250.00,4290.00,240096278550,56003375,4556,D,4470.00,4250.00
Ghandi.Cables.,20201219,4430.00,4590.00,4310.00,4470.00,173221630750,38772791,4038,D,4390.00,4460.00
Ghandi.Cables.,20201216,4360.00,4590.00,4360.00,4390.00,301830347520,68826560,6184,D,4580.00,4390.00
Ghandi.Cables.,20201215,4570.00,4570.00,4570.00,4580.00,43570055530,9533929,809,D,4810.00,4570.00
Ghandi.Cables.,20201214,4900.00,5000.00,4760.00,4810.00,196130787450,40775783,4223,D,5010.00,4760.00
Ghandi.Cables.,20201213,5200.00,5200.00,4940.00,5010.00,305885848970,61028070,7026,D,5200.00,4940.00
Ghandi.Cables.,20201212,5220.00,5220.00,5090.00,5200.00,561890056210,108052794,9392,D,4980.00,5210.00
Ghandi.Cables.,20201209,4900.00,5050.00,4850.00,4980.00,289732008690,58146273,5995,D,4810.00,5050.00
Ghandi.Cables.,20201208,4920.00,5000.00,4680.00,4810.00,291168568710,60565962,6799,D,4920.00,4850.00
Ghandi.Cables.,20201207,4920.00,5140.00,4800.00,4920.00,397568832870,80874127,8868,D,5050.00,4800.00
Ghandi.Cables.,20201206,5200.00,5290.00,4940.00,5050.00,633778327060,125609690,13896,D,5200.00,4980.00
