<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Chimidarou,20210921,24300.00,25370.00,24300.00,24740.00,42877229490,1733347,436,D,24290.00,24880.00
Chimidarou,20210920,23700.00,24850.00,23700.00,24290.00,6906116350,283470,174,D,24230.00,24010.00
Chimidarou,20210919,24550.00,25590.00,24030.00,24230.00,17102439910,705914,318,D,25290.00,24200.00
Chimidarou,20210918,25900.00,26490.00,24500.00,25290.00,8608792270,341712,338,D,25430.00,25480.00
Chimidarou,20210915,24780.00,26210.00,24750.00,25430.00,31332736790,1232353,721,D,24980.00,25970.00
Chimidarou,20210914,25360.00,25490.00,24280.00,24980.00,50372174170,2016839,394,D,24280.00,25490.00
Chimidarou,20210913,24500.00,25490.00,23250.00,24280.00,5980295590,249035,300,D,24470.00,24350.00
Chimidarou,20210912,23910.00,25480.00,23580.00,24470.00,6622783080,275200,257,D,24810.00,24290.00
Chimidarou,20210911,25260.00,25260.00,24670.00,24810.00,15951404110,642858,355,D,24670.00,24900.00
Chimidarou,20210908,23900.00,25260.00,23760.00,24670.00,8503125730,345317,404,D,24750.00,24510.00
Chimidarou,20210907,24230.00,25250.00,24160.00,24750.00,18905728400,763985,428,D,25400.00,24340.00
Chimidarou,20210906,25770.00,26000.00,24490.00,25400.00,31108895710,1224666,530,D,25770.00,25000.00
Chimidarou,20210905,26400.00,26400.00,25350.00,25770.00,27664226350,1073659,541,D,25860.00,25800.00
Chimidarou,20210904,26000.00,26480.00,25330.00,25860.00,38760264230,1498626,765,D,25980.00,26000.00
Chimidarou,20210901,26630.00,27070.00,25400.00,25980.00,40593519260,1562395,957,D,26620.00,25800.00
Chimidarou,20210831,25820.00,27110.00,25000.00,26620.00,107143449010,4024499,1285,D,25820.00,26590.00
Chimidarou,20210830,25500.00,26350.00,24800.00,25820.00,146287982760,5666172,1750,D,25100.00,25550.00
Chimidarou,20210829,25100.00,25100.00,25100.00,25100.00,128882651700,5134767,466,D,23910.00,25100.00
Chimidarou,20210828,24820.00,24820.00,24820.00,23910.00,3580036800,144240,37,D,23640.00,24820.00
Chimidarou,20210811,23680.00,23680.00,23680.00,23640.00,16179123200,683240,143,D,22560.00,23680.00
Chimidarou,20210810,21650.00,22660.00,21650.00,22560.00,15836920880,701901,305,D,21590.00,22660.00
Chimidarou,20210809,21400.00,21940.00,21350.00,21590.00,12197832180,563415,473,D,21350.00,21690.00
Chimidarou,20210808,21350.00,21850.00,21130.00,21350.00,11172652010,521354,357,D,21130.00,21300.00
Chimidarou,20210807,21010.00,21490.00,20690.00,21130.00,21088048430,998163,505,D,21220.00,21430.00
Chimidarou,20210804,20860.00,21980.00,20750.00,21220.00,14979769460,706089,473,D,21390.00,21000.00
Chimidarou,20210803,20820.00,21500.00,20820.00,21390.00,8405865090,394861,185,D,21520.00,21210.00
Chimidarou,20210802,20950.00,21940.00,20950.00,21520.00,6686443740,310448,271,D,21510.00,21500.00
Chimidarou,20210801,21950.00,21950.00,20800.00,21510.00,10154929350,471692,315,D,21460.00,21520.00
Chimidarou,20210731,20520.00,21910.00,20520.00,21460.00,11776171750,547727,386,D,21340.00,21630.00
Chimidarou,20210728,21010.00,21860.00,20760.00,21340.00,15260671260,715301,391,D,21580.00,21000.00
Chimidarou,20210727,21720.00,22100.00,21000.00,21580.00,19943081050,923983,651,D,21470.00,21300.00
Chimidarou,20210726,21110.00,21720.00,20880.00,21470.00,16642788680,775166,458,D,20690.00,21720.00
Chimidarou,20210719,19750.00,21140.00,19750.00,20690.00,10620055350,513471,348,D,20730.00,20770.00
Chimidarou,20210718,21100.00,21490.00,20660.00,20730.00,25075145740,1209395,525,D,21740.00,20740.00
Chimidarou,20210717,22990.00,23000.00,21470.00,21740.00,17277701400,794797,505,D,22600.00,21470.00
Chimidarou,20210714,23270.00,23270.00,21910.00,22600.00,22320902030,987447,713,D,22900.00,22360.00
Chimidarou,20210713,21510.00,23270.00,21510.00,22900.00,32709369400,1428458,1008,D,22260.00,22960.00
Chimidarou,20210712,22680.00,22720.00,21260.00,22260.00,19101839760,857980,511,D,21640.00,22290.00
Chimidarou,20210711,20930.00,21810.00,20520.00,21640.00,42332341990,1956465,753,D,20780.00,21810.00
Chimidarou,20210710,21000.00,21230.00,20130.00,20780.00,10273153950,492777,251,D,20630.00,20130.00
Chimidarou,20210707,20600.00,21230.00,20550.00,20630.00,7173479340,344687,179,D,20470.00,20990.00
Chimidarou,20210706,20100.00,20880.00,20000.00,20470.00,13494093700,658137,218,D,20220.00,20610.00
Chimidarou,20210705,19510.00,20800.00,19510.00,20220.00,9934024790,490330,203,D,20140.00,20380.00
Chimidarou,20210704,20120.00,20120.00,19700.00,20140.00,3711262390,186993,150,D,20240.00,19900.00
Chimidarou,20210703,20830.00,20830.00,19660.00,20240.00,12207925470,601615,229,D,20030.00,20100.00
Chimidarou,20210630,20000.00,20370.00,19630.00,20030.00,21635268210,1080192,305,D,20200.00,19950.00
Chimidarou,20210629,20880.00,20880.00,19850.00,20200.00,8764897950,434834,207,D,20260.00,20000.00
Chimidarou,20210628,20000.00,20900.00,19310.00,20260.00,15627081320,771412,351,D,20310.00,20410.00
Chimidarou,20210627,20200.00,20990.00,20010.00,20310.00,21697308040,1068187,376,D,20730.00,20400.00
Chimidarou,20210626,20510.00,21270.00,20510.00,20730.00,17569338380,847418,398,D,21040.00,20600.00
Chimidarou,20210623,21500.00,21900.00,20480.00,21040.00,29468847030,1400919,572,D,21140.00,20480.00
Chimidarou,20210622,20300.00,21940.00,20300.00,21140.00,44801259260,2119150,645,D,21270.00,21000.00
Chimidarou,20210621,20700.00,22000.00,20700.00,21270.00,24102735860,1133335,623,D,21270.00,21170.00
Chimidarou,20210620,21400.00,21520.00,19640.00,21270.00,54628201390,2568633,534,D,20500.00,21520.00
Chimidarou,20210619,20190.00,20950.00,20000.00,20500.00,10257218810,500601,213,D,20520.00,20550.00
Chimidarou,20210616,20510.00,20510.00,19800.00,20520.00,3703528290,185633,174,D,20720.00,20130.00
Chimidarou,20210615,20430.00,21500.00,20430.00,20720.00,17604219340,849758,310,D,21410.00,20510.00
Chimidarou,20210614,21810.00,22180.00,21100.00,21410.00,14658659020,684853,276,D,21650.00,21180.00
Chimidarou,20210613,21600.00,22010.00,20900.00,21650.00,33940945030,1567559,354,D,21520.00,21810.00
Chimidarou,20210612,21020.00,22450.00,20810.00,21520.00,53794574630,2500290,538,D,21390.00,21280.00
Chimidarou,20210609,21200.00,21640.00,19860.00,21390.00,71190182790,3327565,649,D,20610.00,21010.00
