<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Kowsar.Agri..Inv.,20210921,18850.00,18850.00,18050.00,18110.00,50409225310,2783088,1181,D,19000.00,18100.00
Kowsar.Agri..Inv.,20210920,18520.00,19490.00,18520.00,19000.00,45993688740,2421340,1605,D,19150.00,18850.00
Kowsar.Agri..Inv.,20210919,19200.00,20060.00,18920.00,19150.00,97056205030,5067167,1778,D,19910.00,18950.00
Kowsar.Agri..Inv.,20210918,20650.00,21000.00,19780.00,19910.00,32909869320,1652633,823,D,20820.00,19780.00
Kowsar.Agri..Inv.,20210915,21210.00,21590.00,20710.00,20820.00,90881184030,4364692,3658,D,21790.00,20710.00
Kowsar.Agri..Inv.,20210914,21800.00,22750.00,21300.00,21790.00,92156701550,4229886,2982,D,21870.00,21480.00
Kowsar.Agri..Inv.,20210913,21600.00,23000.00,21240.00,21870.00,138859383760,6350037,2779,D,22350.00,22100.00
Kowsar.Agri..Inv.,20210912,23600.00,23620.00,22270.00,22350.00,248825273220,11133024,2006,D,23440.00,22300.00
Kowsar.Agri..Inv.,20210911,22030.00,23670.00,22030.00,23440.00,279961279800,11946048,3775,D,22550.00,23260.00
Kowsar.Agri..Inv.,20210908,21730.00,22900.00,21730.00,22550.00,108137561520,4795841,5196,D,22150.00,22460.00
Kowsar.Agri..Inv.,20210907,21300.00,23000.00,21300.00,22150.00,141371219910,6383812,4222,D,21970.00,21990.00
Kowsar.Agri..Inv.,20210906,21530.00,22140.00,20520.00,21970.00,325852204140,14829767,4621,D,21090.00,21400.00
Kowsar.Agri..Inv.,20210905,21000.00,21480.00,20120.00,21090.00,117342228410,5562592,2491,D,20940.00,21290.00
Kowsar.Agri..Inv.,20210904,20800.00,21180.00,20190.00,20940.00,115691636680,5525601,2527,D,20190.00,21040.00
Kowsar.Agri..Inv.,20210901,19590.00,20390.00,19430.00,20190.00,135713280390,6721394,2118,D,19420.00,20390.00
Kowsar.Agri..Inv.,20210831,19280.00,20200.00,19280.00,19420.00,188057239010,9681359,2546,D,20290.00,19280.00
Kowsar.Agri..Inv.,20210830,20280.00,20710.00,20260.00,20290.00,112845287490,5560629,1382,D,21320.00,20260.00
Kowsar.Agri..Inv.,20210829,22350.00,22350.00,20600.00,21320.00,186650913680,8755119,3349,D,21680.00,20600.00
Kowsar.Agri..Inv.,20210828,21110.00,21850.00,21030.00,21680.00,86090062050,3970601,1711,D,20810.00,21850.00
Kowsar.Agri..Inv.,20210825,20920.00,21360.00,20010.00,20810.00,114170155160,5485616,2527,D,20690.00,21200.00
Kowsar.Agri..Inv.,20210824,20260.00,21000.00,20000.00,20690.00,99271035470,4797868,2394,D,20250.00,20740.00
Kowsar.Agri..Inv.,20210823,20900.00,20900.00,19930.00,20250.00,111013330190,5482912,2751,D,20190.00,20150.00
Kowsar.Agri..Inv.,20210822,19980.00,20280.00,19660.00,20190.00,146345286830,7246952,3015,D,19320.00,20280.00
Kowsar.Agri..Inv.,20210815,18900.00,19660.00,18500.00,19320.00,169406680660,8769791,2769,D,18730.00,19660.00
Kowsar.Agri..Inv.,20210814,19070.00,19610.00,18240.00,18730.00,137685196520,7352015,2931,D,19190.00,18580.00
