<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Karafarin.Bank,20210921,2522.00,2564.00,2460.00,2464.00,69575570061,28240353,919,D,2589.00,2461.00
Karafarin.Bank,20210920,2551.00,2679.00,2520.00,2589.00,52475039120,20264777,1144,D,2637.00,2578.00
Karafarin.Bank,20210919,2636.00,2690.00,2636.00,2637.00,101313893567,38424180,761,D,2774.00,2636.00
Karafarin.Bank,20210918,2750.00,2750.00,2750.00,2774.00,36133207000,13139348,243,D,2894.00,2750.00
Karafarin.Bank,20210915,2920.00,2920.00,2789.00,2894.00,13628517199,4862961,321,D,2935.00,2789.00
Karafarin.Bank,20210911,2910.00,3010.00,2855.00,2935.00,109676451066,37370960,1644,D,2929.00,2931.00
Karafarin.Bank,20210908,2905.00,3000.00,2825.00,2929.00,63929564928,21826554,1200,D,2959.00,2890.00
Karafarin.Bank,20210907,3010.00,3060.00,2908.00,2959.00,98224492585,33192970,1550,D,3061.00,2943.00
Karafarin.Bank,20210906,3011.00,3149.00,2960.00,3061.00,288162455909,94131328,3134,D,3007.00,2999.00
Karafarin.Bank,20210905,3010.00,3064.00,2940.00,3007.00,213386733606,70968657,2666,D,3050.00,2990.00
Karafarin.Bank,20210904,3050.00,3100.00,2980.00,3050.00,367134394631,120353905,3994,D,3019.00,3010.00
Karafarin.Bank,20210901,3008.00,3087.00,3008.00,3019.00,1049297464723,347564031,7289,D,3166.00,3038.00
Karafarin.Bank,20210831,3160.00,3289.00,3141.00,3166.00,209004802115,66011181,769,D,3306.00,3141.00
Karafarin.Bank,20210828,3170.00,3307.00,3170.00,3306.00,1898557606439,574219452,3865,D,3150.00,3307.00
Karafarin.Bank,20210825,3220.00,3220.00,3146.00,3150.00,18020957913,5707126,329,D,3146.00,3150.00
Karafarin.Bank,20210824,3229.00,3229.00,3143.00,3146.00,10520182178,3309551,307,D,3137.00,3162.00
Karafarin.Bank,20210823,3194.00,3194.00,3121.00,3137.00,10081963875,3212157,180,D,3136.00,3136.00
Karafarin.Bank,20210814,3170.00,3170.00,3065.00,3136.00,10762363656,3432507,261,D,3136.00,3140.00
Karafarin.Bank,20210811,3150.00,3200.00,3085.00,3136.00,10429460291,3324206,237,D,3135.00,3170.00
Karafarin.Bank,20210810,3030.00,3188.00,3030.00,3135.00,18637107370,5941579,391,D,3134.00,3149.00
Karafarin.Bank,20210809,3100.00,3100.00,3011.00,3134.00,13340353939,4384913,323,D,3169.00,3060.00
Karafarin.Bank,20210808,3018.00,3173.00,3018.00,3169.00,3748489680,1208099,177,D,3175.00,3118.00
Karafarin.Bank,20210807,3028.00,3235.00,3028.00,3175.00,18714913023,5913117,476,D,3181.00,3100.00
Karafarin.Bank,20210804,3080.00,3140.00,3054.00,3181.00,10460707654,3418052,351,D,3214.00,3059.00
Karafarin.Bank,20210803,3286.00,3286.00,3080.00,3214.00,1703454185,539669,97,D,3216.00,3120.00
Karafarin.Bank,20210731,3137.00,3230.00,3096.00,3216.00,16184537153,5152315,434,D,3252.00,3160.00
Karafarin.Bank,20210728,3249.00,3311.00,3135.00,3252.00,16587306940,5253905,274,D,3299.00,3139.00
Karafarin.Bank,20210727,3220.00,3343.00,3163.00,3299.00,10576725284,3280869,245,D,3319.00,3190.00
Karafarin.Bank,20210726,3300.00,3300.00,3153.00,3319.00,1060329368,322803,17,D,3320.00,3200.00
Karafarin.Bank,20210718,3227.00,3365.00,3202.00,3320.00,40633479064,12245602,468,D,3326.00,3330.00
Karafarin.Bank,20210717,3350.00,3365.00,3321.00,3326.00,14948916200,4460907,270,D,3316.00,3342.00
Karafarin.Bank,20210714,3263.00,3360.00,3170.00,3316.00,59258857084,17870765,538,D,3263.00,3330.00
Karafarin.Bank,20210713,3277.00,3300.00,3170.00,3263.00,64073372310,19638302,607,D,3276.00,3290.00
Karafarin.Bank,20210712,3279.00,3298.00,3203.00,3276.00,41671029788,12713106,548,D,3268.00,3280.00
Karafarin.Bank,20210711,3190.00,3298.00,3180.00,3268.00,196044311827,59981900,774,D,3162.00,3238.00
Karafarin.Bank,20210710,3152.00,3189.00,3140.00,3162.00,18391463939,5785943,211,D,3152.00,3170.00
Karafarin.Bank,20210707,3100.00,3185.00,3092.00,3152.00,30659316100,9700786,299,D,3139.00,3153.00
Karafarin.Bank,20210706,3180.00,3180.00,3085.00,3139.00,46914803271,14932472,382,D,3083.00,3150.00
Karafarin.Bank,20210705,3100.00,3110.00,3025.00,3083.00,19829719082,6416642,242,D,3078.00,3093.00
Karafarin.Bank,20210704,3065.00,3099.00,3060.00,3078.00,29247063095,9473463,265,D,3064.00,3080.00
Karafarin.Bank,20210703,3000.00,3100.00,3000.00,3064.00,24350024793,7919112,360,D,3054.00,3073.00
Karafarin.Bank,20210630,3080.00,3100.00,3010.00,3054.00,21797969358,7087637,292,D,3037.00,3079.00
