<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Khorasan.Petro.,20210921,81000.00,82070.00,80290.00,81040.00,50363701260,622676,218,D,82070.00,81300.00
Khorasan.Petro.,20210920,80250.00,84210.00,80250.00,82070.00,35203192860,428902,260,D,82060.00,81270.00
Khorasan.Petro.,20210919,81340.00,83330.00,80160.00,82060.00,21402541800,263759,315,D,82600.00,80990.00
Khorasan.Petro.,20210918,83000.00,83800.00,81990.00,82600.00,23473109660,283255,307,D,82430.00,83330.00
Khorasan.Petro.,20210915,83350.00,83350.00,81850.00,82430.00,26876654290,327753,323,D,82790.00,82100.00
Khorasan.Petro.,20210914,82600.00,83980.00,81950.00,82790.00,35623593980,430689,528,D,82900.00,82500.00
Khorasan.Petro.,20210913,84420.00,84420.00,81210.00,82900.00,21650313560,263185,310,D,83270.00,83000.00
Khorasan.Petro.,20210912,83440.00,84390.00,82200.00,83270.00,14269929580,172480,315,D,83440.00,83000.00
Khorasan.Petro.,20210911,86490.00,86490.00,82300.00,83440.00,12116437200,145038,238,D,83410.00,83490.00
Khorasan.Petro.,20210908,82170.00,85600.00,82170.00,83410.00,25650509770,309415,345,D,83800.00,82540.00
Khorasan.Petro.,20210907,83220.00,84410.00,81970.00,83800.00,21029932410,254051,311,D,84360.00,83790.00
Khorasan.Petro.,20210906,84570.00,85440.00,81870.00,84360.00,15773887520,188401,337,D,84580.00,83890.00
Khorasan.Petro.,20210905,85200.00,85850.00,84430.00,84580.00,20781232070,244891,257,D,84430.00,84890.00
Khorasan.Petro.,20210904,85730.00,86180.00,84400.00,84430.00,31168615900,366024,419,D,83670.00,85090.00
Khorasan.Petro.,20210901,87150.00,87150.00,81340.00,83670.00,24164779340,286893,457,D,83290.00,85730.00
Khorasan.Petro.,20210831,80110.00,87520.00,80110.00,83290.00,28010525240,340594,493,D,84250.00,83970.00
Khorasan.Petro.,20210830,82700.00,84500.00,82660.00,84250.00,42248725980,508242,535,D,87010.00,82660.00
Khorasan.Petro.,20210829,89050.00,89050.00,84000.00,87010.00,76379830440,877789,755,D,87890.00,84060.00
Khorasan.Petro.,20210828,89150.00,89150.00,86800.00,87890.00,68210339190,776068,969,D,89080.00,87110.00
Khorasan.Petro.,20210825,91500.00,91800.00,87010.00,89080.00,46009713190,518293,603,D,89900.00,88000.00
Khorasan.Petro.,20210824,90000.00,90700.00,86110.00,89900.00,94483535310,1051040,733,D,87460.00,90500.00
Khorasan.Petro.,20210823,87000.00,88860.00,85720.00,87460.00,165011116550,1886750,1214,D,88250.00,87000.00
