<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Pars.Shahab,20210921,132650.00,132670.00,123570.00,127350.00,21150482750,166087,283,D,130070.00,123570.00
Pars.Shahab,20210920,133050.00,137890.00,126420.00,130070.00,77981575620,599513,849,D,133070.00,130900.00
Pars.Shahab,20210919,138970.00,138970.00,132140.00,133070.00,23490267620,176526,259,D,139090.00,132140.00
Pars.Shahab,20210918,141490.00,144750.00,134000.00,139090.00,51290871410,368756,840,D,137860.00,134700.00
Pars.Shahab,20210915,139250.00,140900.00,132290.00,137860.00,25879724150,187725,597,D,139250.00,135000.00
Pars.Shahab,20210914,134820.00,141000.00,134820.00,139250.00,46433892400,333448,517,D,134820.00,138980.00
Pars.Shahab,20210913,134040.00,140110.00,134040.00,134820.00,56851485980,421676,557,D,141090.00,134040.00
Pars.Shahab,20210912,148790.00,148790.00,140130.00,141090.00,23363030340,165590,239,D,147500.00,140130.00
Pars.Shahab,20210911,151500.00,153280.00,142710.00,147500.00,67065171580,454675,860,D,150220.00,146380.00
Pars.Shahab,20210908,151500.00,151500.00,146000.00,150220.00,26286689560,174989,665,D,148340.00,149990.00
Pars.Shahab,20210907,144030.00,150900.00,143480.00,148340.00,58080838970,391547,898,D,151010.00,150400.00
Pars.Shahab,20210906,150060.00,154970.00,143000.00,151010.00,99657239070,659926,1068,D,149490.00,144310.00
Pars.Shahab,20210905,150000.00,152590.00,142350.00,149490.00,103653815240,693377,1350,D,145330.00,145500.00
Pars.Shahab,20210904,145590.00,145690.00,140000.00,145330.00,69135050720,475713,561,D,138760.00,145690.00
Pars.Shahab,20210901,136900.00,139290.00,136000.00,138760.00,52237625490,376459,528,D,132660.00,139290.00
Pars.Shahab,20210831,129500.00,137550.00,124450.00,132660.00,120992560720,912083,1282,D,131000.00,134800.00
Pars.Shahab,20210830,136370.00,136390.00,129560.00,131000.00,63591730920,485449,599,D,136370.00,132000.00
Pars.Shahab,20210829,140000.00,143500.00,131440.00,136370.00,174834450430,1282034,2002,D,138350.00,134500.00
Pars.Shahab,20210828,140100.00,141190.00,130210.00,138350.00,165845154240,1198706,1983,D,134470.00,140250.00
Pars.Shahab,20210825,134640.00,134640.00,130000.00,134470.00,214214783280,1593010,1519,D,128230.00,134640.00
Pars.Shahab,20210824,122320.00,128360.00,122320.00,128230.00,39124595590,305104,231,D,122250.00,128360.00
Pars.Shahab,20210823,121000.00,122320.00,117000.00,122250.00,58270811670,476647,639,D,116500.00,122320.00
Pars.Shahab,20210822,116530.00,116530.00,111130.00,116500.00,35513510350,304832,443,D,110990.00,116530.00
Pars.Shahab,20210815,106010.00,111700.00,106010.00,110990.00,75088971430,676531,971,D,106390.00,111700.00
Pars.Shahab,20210814,103810.00,107140.00,99900.00,106390.00,108543929440,1020212,1022,D,102040.00,107140.00
Pars.Shahab,20210811,106470.00,106470.00,98070.00,102040.00,55907300670,547885,984,D,102310.00,100610.00
Pars.Shahab,20210810,99360.00,103110.00,98600.00,102310.00,60265927140,589080,1110,D,98200.00,103110.00
Pars.Shahab,20210809,95900.00,98600.00,95400.00,98200.00,37589801720,382787,622,D,93910.00,98600.00
