<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Loabiran,20210921,8770.00,8770.00,8330.00,8370.00,36182427040,4324511,687,D,8760.00,8330.00
Loabiran,20210920,8610.00,8950.00,8600.00,8760.00,39028156450,4453651,941,D,8550.00,8670.00
Loabiran,20210919,8650.00,8800.00,8310.00,8550.00,39575191310,4631006,1066,D,8620.00,8620.00
Loabiran,20210918,9100.00,9100.00,8540.00,8620.00,42541585470,4937506,1179,D,8980.00,8540.00
Loabiran,20210915,9000.00,9250.00,8610.00,8980.00,49778139080,5545455,1648,D,8900.00,9000.00
Loabiran,20210914,8770.00,8940.00,8630.00,8900.00,50455794790,5669707,1123,D,8520.00,8940.00
Loabiran,20210913,8500.00,8880.00,8230.00,8520.00,44173302370,5183161,1212,D,8620.00,8620.00
Loabiran,20210912,9080.00,9080.00,8560.00,8620.00,51195868760,5942341,1504,D,9010.00,8610.00
Loabiran,20210911,9320.00,9330.00,8750.00,9010.00,47946962480,5319958,1319,D,9180.00,8830.00
Loabiran,20210908,9200.00,9480.00,8950.00,9180.00,48906103230,5328138,1904,D,9150.00,9110.00
Loabiran,20210907,9120.00,9570.00,9010.00,9150.00,80494613440,8793514,2122,D,9480.00,9260.00
Loabiran,20210906,9690.00,9870.00,9140.00,9480.00,116531879540,12287270,2845,D,9590.00,9240.00
Loabiran,20210905,9580.00,9670.00,9250.00,9590.00,144445275360,15069436,2725,D,9210.00,9670.00
Loabiran,20210904,9200.00,9240.00,9000.00,9210.00,131222132030,14251752,2002,D,8800.00,9240.00
Loabiran,20210901,8680.00,9000.00,8410.00,8800.00,49492514320,5622709,1255,D,8620.00,8940.00
Loabiran,20210831,8450.00,8970.00,8450.00,8620.00,85901517640,9967108,1881,D,8890.00,8590.00
Loabiran,20210830,9200.00,9200.00,8850.00,8890.00,78796424940,8859196,1187,D,9310.00,8850.00
Loabiran,20210829,9600.00,9770.00,9050.00,9310.00,168866245070,18143948,3218,D,9520.00,9090.00
Loabiran,20210828,9360.00,9670.00,9300.00,9520.00,122893312680,12903324,2375,D,9300.00,9550.00
Loabiran,20210825,9600.00,9700.00,9060.00,9300.00,142562429330,15331602,3713,D,9520.00,9250.00
Loabiran,20210824,9590.00,9590.00,9220.00,9520.00,214178930820,22502345,4093,D,9140.00,9590.00
Loabiran,20210823,9160.00,9170.00,8860.00,9140.00,151600968580,16577962,2249,D,8740.00,9170.00
Loabiran,20210822,8660.00,8820.00,8410.00,8740.00,106813771720,12227869,2030,D,8400.00,8820.00
Loabiran,20210815,8440.00,8490.00,8290.00,8400.00,90485679120,10774520,2482,D,8320.00,8410.00
Loabiran,20210814,8400.00,8530.00,8060.00,8320.00,117182105350,14084518,2958,D,8270.00,8340.00
Loabiran,20210811,8370.00,8530.00,8130.00,8270.00,200268046750,24220088,4513,D,8550.00,8350.00
Loabiran,20210810,8850.00,8850.00,8310.00,8550.00,190855480020,22324526,4058,D,8440.00,8390.00
Loabiran,20210809,8060.00,8460.00,8060.00,8440.00,137029068410,16236282,1698,D,8060.00,8460.00
Loabiran,20210808,8200.00,8360.00,7990.00,8060.00,213391273460,26487156,4857,D,8410.00,8130.00
Loabiran,20210807,8510.00,8660.00,8360.00,8410.00,173012065370,20579638,3590,D,8790.00,8360.00
Loabiran,20210804,9020.00,9040.00,8400.00,8790.00,336700694960,38317332,6818,D,8610.00,8530.00
Loabiran,20210803,8230.00,9090.00,8230.00,8610.00,842351495380,97873400,10285,D,8660.00,8980.00
Loabiran,20210802,8660.00,8660.00,8660.00,8660.00,13239901620,1528857,183,D,9110.00,8660.00
Loabiran,20210801,9110.00,9110.00,9110.00,9110.00,16982406500,1864150,252,D,9580.00,9110.00
Loabiran,20210731,9580.00,9580.00,9580.00,9580.00,24534705720,2561034,351,D,10080.00,9580.00
Loabiran,20210728,9440.00,10290.00,9400.00,10080.00,40070918050,3974669,1460,D,9810.00,10150.00
Loabiran,20210727,10100.00,10100.00,9620.00,9810.00,40197329880,4098187,1283,D,10120.00,9640.00
Loabiran,20210726,10080.00,10340.00,10070.00,10120.00,8475578040,834790,318,D,10070.00,10070.00
Loabiran,20210717,10500.00,10500.00,9910.00,10070.00,108505636340,10773047,3127,D,10430.00,9990.00
Loabiran,20210714,10780.00,10780.00,10300.00,10430.00,73098963000,7011856,2089,D,10780.00,10420.00
Loabiran,20210713,10830.00,11300.00,10480.00,10780.00,81254272020,7536837,2010,D,11030.00,10530.00
Loabiran,20210712,11300.00,11400.00,10630.00,11030.00,83480177540,7569803,2207,D,10960.00,10960.00
Loabiran,20210711,10400.00,11340.00,10260.00,10960.00,223235550580,20373930,4469,D,10800.00,11340.00
Loabiran,20210710,10850.00,11300.00,10760.00,10800.00,55112409530,5102009,1303,D,11320.00,10760.00
Loabiran,20210707,11820.00,11820.00,11210.00,11320.00,109756853730,9692492,2724,D,11790.00,11210.00
Loabiran,20210706,11890.00,11890.00,11480.00,11790.00,257827134160,21859150,4281,D,11330.00,11890.00
Loabiran,20210705,11330.00,11340.00,11120.00,11330.00,84347822440,7444724,1003,D,10800.00,11340.00
Loabiran,20210704,11200.00,11240.00,10710.00,10800.00,132670632330,12285333,3030,D,11270.00,11090.00
Loabiran,20210703,11200.00,11970.00,11050.00,11270.00,321224691040,28512608,6569,D,12270.00,11210.00
Loabiran,20210630,11680.00,11680.00,11680.00,12270.00,563162880,48216,26,D,12290.00,11680.00
Loabiran,20210629,11710.00,11710.00,11710.00,12290.00,632656170,54027,22,D,12320.00,11710.00
Loabiran,20210628,11720.00,11720.00,11720.00,12320.00,344989920,29436,22,D,12330.00,11720.00
Loabiran,20210627,11730.00,11730.00,11730.00,12330.00,344381070,29359,35,D,12340.00,11730.00
Loabiran,20210626,11780.00,11780.00,11780.00,12340.00,1093666980,92841,53,D,12390.00,11780.00
Loabiran,20210623,11970.00,11970.00,11970.00,12390.00,4739018760,395908,93,D,12600.00,11970.00
Loabiran,20210619,12000.00,12000.00,12000.00,12600.00,771744000,64312,21,D,12630.00,12000.00
Loabiran,20210616,12010.00,12010.00,12010.00,12630.00,141946190,11819,9,D,12640.00,12010.00
Loabiran,20210615,12010.00,12010.00,12010.00,12640.00,32066700,2670,5,D,12640.00,12010.00
Loabiran,20210614,12020.00,12020.00,12020.00,12640.00,265581900,22095,14,D,12650.00,12020.00
Loabiran,20210613,12020.00,12020.00,12020.00,12650.00,48777160,4058,6,D,12650.00,12020.00
Loabiran,20210612,12020.00,12020.00,12020.00,12650.00,87625800,7290,5,D,12650.00,12020.00
Loabiran,20210609,12040.00,12040.00,12040.00,12650.00,420292320,34908,8,D,12670.00,12040.00
Loabiran,20210608,12080.00,12080.00,12080.00,12670.00,875751680,72496,17,D,12710.00,12080.00
Loabiran,20210607,12100.00,12100.00,12100.00,12710.00,499391200,41272,24,D,12730.00,12100.00
Loabiran,20210602,12110.00,12110.00,12110.00,12730.00,318928960,26336,21,D,12740.00,12110.00
Loabiran,20210601,11720.00,11720.00,11720.00,12740.00,2885921080,246239,128,D,13020.00,11720.00
Loabiran,20210531,12390.00,12390.00,12390.00,13020.00,378266700,30530,13,D,13040.00,12390.00
Loabiran,20210530,12440.00,12440.00,12440.00,13040.00,1168787760,93954,29,D,13090.00,12440.00
Loabiran,20210529,12490.00,12490.00,12490.00,13090.00,1040941580,83342,51,D,13140.00,12490.00
Loabiran,20210526,12500.00,12500.00,12500.00,13140.00,173387500,13871,6,D,13150.00,12500.00
Loabiran,20210525,12510.00,12510.00,12510.00,13150.00,215322120,17212,10,D,13160.00,12510.00
Loabiran,20210524,12570.00,12570.00,12570.00,13160.00,1484064480,118064,10,D,13230.00,12570.00
Loabiran,20210523,12570.00,12570.00,12570.00,13230.00,29325810,2333,4,D,13230.00,12570.00
Loabiran,20210522,12570.00,12570.00,12570.00,13230.00,54302400,4320,5,D,13230.00,12570.00
Loabiran,20210519,12580.00,12580.00,12580.00,13230.00,138128400,10980,9,D,13240.00,12580.00
Loabiran,20210518,12610.00,12610.00,12610.00,13240.00,393343730,31193,13,D,13270.00,12610.00
Loabiran,20210517,12810.00,12810.00,12810.00,13270.00,2815945440,219824,73,D,13480.00,12810.00
Loabiran,20210516,13100.00,13750.00,12800.00,13480.00,233139970290,17299187,3222,D,21890.00,13100.00
Loabiran,20210511,21250.00,21250.00,21250.00,21890.00,384943750,18115,11,D,21900.00,21250.00
Loabiran,20210510,21260.00,21260.00,21260.00,21900.00,739720440,34794,4,D,21910.00,21260.00
