<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Brake.L.,20210921,102640.00,102640.00,92880.00,95860.00,182495201450,1903852,2203,D,97760.00,92880.00
Iran.Brake.L.,20210920,98570.00,98570.00,98570.00,97760.00,14238140790,144447,170,D,93880.00,98570.00
Iran.Brake.L.,20210919,93880.00,93880.00,93780.00,93880.00,26815384650,285637,294,D,89410.00,93880.00
Iran.Brake.L.,20210918,89800.00,90200.00,85920.00,89410.00,86998456230,973050,1351,D,85910.00,90200.00
Iran.Brake.L.,20210915,85910.00,85910.00,82700.00,85910.00,33561352390,390667,477,D,81820.00,85910.00
Iran.Brake.L.,20210914,81830.00,81830.00,81350.00,81820.00,17856343990,218229,247,D,77940.00,81830.00
Iran.Brake.L.,20210913,73610.00,81350.00,73610.00,77940.00,101809299340,1306333,1491,D,77480.00,81350.00
Iran.Brake.L.,20210912,77820.00,80700.00,76640.00,77480.00,22960487770,296351,536,D,80670.00,76640.00
Iran.Brake.L.,20210911,86500.00,86500.00,79670.00,80670.00,67699265530,839214,1160,D,83860.00,79670.00
Iran.Brake.L.,20210908,81510.00,86700.00,80010.00,83860.00,89529094760,1067563,1411,D,82580.00,83500.00
Iran.Brake.L.,20210907,81830.00,85400.00,77660.00,82580.00,44032503870,533181,1017,D,81740.00,83120.00
Iran.Brake.L.,20210906,81200.00,81830.00,80530.00,81740.00,49322658250,603427,628,D,77940.00,81830.00
Iran.Brake.L.,20210905,75000.00,80530.00,72870.00,77940.00,118653708710,1522423,1495,D,76700.00,80530.00
Iran.Brake.L.,20210904,82000.00,82000.00,74230.00,76700.00,88879836730,1158744,1899,D,78130.00,76660.00
Iran.Brake.L.,20210901,78270.00,78270.00,76200.00,78130.00,57716214360,738707,815,D,74550.00,78270.00
Iran.Brake.L.,20210831,73300.00,75290.00,72820.00,74550.00,47216925240,633323,752,D,71710.00,75290.00
