<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Magsal.Agri.,20210921,27070.00,27070.00,25070.00,25250.00,19598217090,776026,373,D,26380.00,25320.00
Magsal.Agri.,20210920,26700.00,27000.00,25570.00,26380.00,17148543070,650094,414,D,25820.00,26690.00
Magsal.Agri.,20210919,25530.00,27070.00,25470.00,25820.00,27111237800,1049826,467,D,26810.00,25520.00
Magsal.Agri.,20210918,28830.00,28830.00,26580.00,26810.00,23378970430,872054,377,D,27970.00,26580.00
Magsal.Agri.,20210915,28690.00,28700.00,27610.00,27970.00,21628688770,773167,631,D,29060.00,27910.00
Magsal.Agri.,20210914,28600.00,29800.00,28200.00,29060.00,19128749100,658220,480,D,28890.00,28600.00
Magsal.Agri.,20210913,30000.00,30510.00,28510.00,28890.00,32922395910,1139632,579,D,30010.00,29010.00
Magsal.Agri.,20210912,31960.00,31960.00,29950.00,30010.00,43955689240,1464892,581,D,31520.00,29950.00
Magsal.Agri.,20210911,31990.00,32070.00,30550.00,31520.00,76845602040,2437873,1209,D,30550.00,30810.00
Magsal.Agri.,20210908,29550.00,31610.00,29550.00,30550.00,38550772690,1261736,972,D,31030.00,30020.00
Magsal.Agri.,20210907,30610.00,31900.00,30390.00,31030.00,37645618190,1213304,909,D,31980.00,30640.00
Magsal.Agri.,20210906,32150.00,32900.00,30500.00,31980.00,39276456250,1228075,961,D,31670.00,31050.00
Magsal.Agri.,20210905,31900.00,32170.00,30000.00,31670.00,49391917640,1559336,870,D,30640.00,32150.00
Magsal.Agri.,20210904,29930.00,31260.00,29780.00,30640.00,54017592990,1762904,880,D,29780.00,31250.00
Magsal.Agri.,20210901,29300.00,30440.00,28800.00,29780.00,34216573990,1149051,668,D,29410.00,29770.00
Magsal.Agri.,20210831,29100.00,30360.00,29100.00,29410.00,47890470600,1628505,872,D,30630.00,29100.00
Magsal.Agri.,20210830,30360.00,31900.00,30360.00,30630.00,60366538460,1970898,745,D,31950.00,30360.00
Magsal.Agri.,20210829,32750.00,33490.00,31260.00,31950.00,132785809960,4155969,2284,D,32900.00,31260.00
Magsal.Agri.,20210828,32900.00,33210.00,31500.00,32900.00,112882780920,3430945,1319,D,31630.00,33210.00
Magsal.Agri.,20210825,31990.00,32050.00,30200.00,31630.00,79440458020,2511527,1239,D,30530.00,32050.00
Magsal.Agri.,20210824,29480.00,30850.00,29480.00,30530.00,48195492150,1578664,929,D,29390.00,30820.00
Magsal.Agri.,20210823,28990.00,30080.00,28780.00,29390.00,105839391710,3601406,1669,D,28650.00,29250.00
Magsal.Agri.,20210822,28340.00,28780.00,28170.00,28650.00,80590015520,2812957,993,D,27410.00,28780.00
Magsal.Agri.,20210815,27000.00,27670.00,26450.00,27410.00,56891195340,2075907,875,D,26360.00,27670.00
Magsal.Agri.,20210814,26860.00,27000.00,25710.00,26360.00,46504786510,1764435,855,D,27010.00,26600.00
Magsal.Agri.,20210811,27690.00,27690.00,26340.00,27010.00,62192065060,2302262,1223,D,27690.00,26860.00
Magsal.Agri.,20210810,27200.00,28000.00,26940.00,27690.00,61990359750,2238961,1023,D,26940.00,27670.00
Magsal.Agri.,20210809,26990.00,27120.00,26020.00,26940.00,95900053000,3559456,1363,D,25830.00,27100.00
Magsal.Agri.,20210808,25000.00,26390.00,25000.00,25830.00,54230506860,2099278,1044,D,25140.00,26390.00
Magsal.Agri.,20210807,26000.00,26250.00,24940.00,25140.00,71362435670,2838900,1382,D,26250.00,25010.00
Magsal.Agri.,20210804,26500.00,27500.00,26040.00,26250.00,69831252190,2659822,1502,D,27410.00,26040.00
Magsal.Agri.,20210803,28170.00,28170.00,26230.00,27410.00,99041521710,3613269,1905,D,26830.00,26710.00
Magsal.Agri.,20210802,26100.00,26980.00,25770.00,26830.00,92282980850,3439455,1667,D,25700.00,26980.00
Magsal.Agri.,20210801,25700.00,26120.00,24620.00,25700.00,59351677380,2309025,1488,D,25350.00,25740.00
Magsal.Agri.,20210731,25000.00,26190.00,24350.00,25350.00,55807162820,2201735,1324,D,25510.00,24900.00
Magsal.Agri.,20210728,26000.00,26700.00,25430.00,25510.00,76652502650,3004225,1526,D,26760.00,25440.00
Magsal.Agri.,20210727,26800.00,27100.00,26300.00,26760.00,74465608950,2782800,1979,D,26240.00,26370.00
Magsal.Agri.,20210726,27000.00,27420.00,26060.00,26240.00,96843247140,3691250,2439,D,27430.00,26320.00
Magsal.Agri.,20210719,28500.00,28500.00,27080.00,27430.00,47275918980,1723771,1069,D,27580.00,27080.00
Magsal.Agri.,20210713,28360.00,29060.00,28260.00,28410.00,71573770310,2519580,1670,D,29740.00,28260.00
Magsal.Agri.,20210712,31700.00,31700.00,29060.00,29740.00,136176502600,4578924,3126,D,30580.00,29060.00
Magsal.Agri.,20210711,30700.00,31000.00,28800.00,30580.00,267431576930,8745642,4415,D,29530.00,31000.00
Magsal.Agri.,20210710,27620.00,31720.00,27620.00,29530.00,604022321650,20453943,9467,D,30680.00,30200.00
Magsal.Agri.,20210707,29280.00,29280.00,29280.00,30680.00,1319942400,45080,28,D,30820.00,29280.00
Magsal.Agri.,20210706,29320.00,29320.00,29320.00,30820.00,372451960,12703,13,D,30860.00,29320.00
Magsal.Agri.,20210705,29350.00,29350.00,29350.00,30860.00,262858600,8956,9,D,30890.00,29350.00
Magsal.Agri.,20210704,29370.00,29370.00,29370.00,30890.00,165969870,5651,7,D,30910.00,29370.00
Magsal.Agri.,20210703,29380.00,29380.00,29380.00,30910.00,108441580,3691,6,D,30920.00,29380.00
Magsal.Agri.,20210630,29390.00,29390.00,29390.00,30920.00,82615290,2811,7,D,30930.00,29390.00
Magsal.Agri.,20210629,29420.00,29420.00,29420.00,30930.00,271781960,9238,18,D,30960.00,29420.00
Magsal.Agri.,20210628,28680.00,28680.00,28680.00,30960.00,3810510840,132863,147,D,31860.00,28680.00
Magsal.Agri.,20210627,30300.00,30300.00,30300.00,31860.00,235370400,7768,12,D,31890.00,30300.00
Magsal.Agri.,20210626,30330.00,30330.00,30330.00,31890.00,303300000,10000,16,D,31920.00,30330.00
Magsal.Agri.,20210623,30380.00,30380.00,30380.00,31920.00,404783120,13324,27,D,31970.00,30380.00
Magsal.Agri.,20210622,30390.00,30390.00,30390.00,31970.00,46982940,1546,6,D,31980.00,30390.00
Magsal.Agri.,20210621,30400.00,30400.00,30400.00,31980.00,200913600,6609,6,D,32000.00,30400.00
Magsal.Agri.,20210615,30400.00,30400.00,30400.00,32000.00,4560000,150,1,D,32000.00,30400.00
Magsal.Agri.,20210614,30400.00,30400.00,30400.00,32000.00,16020800,527,2,D,32000.00,30400.00
Magsal.Agri.,20210613,30400.00,30400.00,30400.00,32000.00,24654400,811,2,D,32000.00,30400.00
Magsal.Agri.,20210612,30400.00,30400.00,30400.00,32000.00,5198400,171,1,D,32000.00,30400.00
Magsal.Agri.,20210609,30400.00,30400.00,30400.00,32000.00,30521600,1004,4,D,32000.00,30400.00
Magsal.Agri.,20210608,30400.00,30400.00,30400.00,32000.00,31220800,1027,3,D,32000.00,30400.00
Magsal.Agri.,20210607,30420.00,30420.00,30420.00,32000.00,162838260,5353,8,D,32020.00,30420.00
Magsal.Agri.,20210602,30430.00,30430.00,30430.00,32020.00,87912270,2889,7,D,32030.00,30430.00
Magsal.Agri.,20210601,29080.00,29080.00,29080.00,32030.00,1144879600,39370,41,D,32310.00,29080.00
Magsal.Agri.,20210531,30700.00,30700.00,30700.00,32310.00,12771200,416,2,D,32310.00,30700.00
Magsal.Agri.,20210530,30830.00,30830.00,30830.00,32310.00,1272446590,41273,19,D,32450.00,30830.00
Magsal.Agri.,20210529,30830.00,30830.00,30830.00,32450.00,34467940,1118,5,D,32450.00,30830.00
Magsal.Agri.,20210526,30860.00,30860.00,30860.00,32450.00,226882720,7352,5,D,32480.00,30860.00
Magsal.Agri.,20210525,30870.00,30870.00,30870.00,32480.00,76588470,2481,6,D,32490.00,30870.00
Magsal.Agri.,20210523,30870.00,30870.00,30870.00,32490.00,17441550,565,2,D,32490.00,30870.00
Magsal.Agri.,20210522,30870.00,30870.00,30870.00,32490.00,15435000,500,1,D,32490.00,30870.00
Magsal.Agri.,20210519,30870.00,30870.00,30870.00,32490.00,15435000,500,1,D,32490.00,30870.00
Magsal.Agri.,20210518,30870.00,30870.00,30870.00,32490.00,42137550,1365,3,D,32490.00,30870.00
Magsal.Agri.,20210516,30870.00,30870.00,30870.00,32490.00,41149710,1333,4,D,32490.00,30870.00
Magsal.Agri.,20210515,30870.00,30870.00,30870.00,32490.00,31857840,1032,5,D,32490.00,30870.00
Magsal.Agri.,20210512,31520.00,31520.00,31520.00,32490.00,70920000,2250,2,D,32490.00,31520.00
Magsal.Agri.,20210511,31520.00,31520.00,31520.00,32490.00,13238400,420,2,D,32490.00,31520.00
Magsal.Agri.,20210510,31520.00,31520.00,31520.00,32490.00,49801600,1580,1,D,32490.00,31520.00
Magsal.Agri.,20210508,31520.00,31520.00,31520.00,32490.00,30007040,952,4,D,32490.00,31520.00
Magsal.Agri.,20210428,31520.00,31520.00,31520.00,32490.00,11347200,360,2,D,32490.00,31520.00
Magsal.Agri.,20210427,31520.00,31520.00,31520.00,32490.00,5043200,160,1,D,32490.00,31520.00
Magsal.Agri.,20210426,31520.00,31520.00,31520.00,32490.00,11000480,349,2,D,32490.00,31520.00
Magsal.Agri.,20210425,31520.00,31520.00,31520.00,32490.00,11063520,351,2,D,32490.00,31520.00
Magsal.Agri.,20210420,31850.00,31850.00,31850.00,32490.00,60323900,1894,3,D,32490.00,31850.00
Magsal.Agri.,20210419,31850.00,31850.00,31850.00,32490.00,27391000,860,3,D,32490.00,31850.00
Magsal.Agri.,20210418,31850.00,31850.00,31850.00,32490.00,12931100,406,1,D,32490.00,31850.00
Magsal.Agri.,20210417,31850.00,31850.00,31850.00,32490.00,6370000,200,1,D,32490.00,31850.00
Magsal.Agri.,20210413,31860.00,31860.00,31860.00,32490.00,1243240920,39022,10,D,32510.00,31860.00
Magsal.Agri.,20210412,31860.00,31860.00,31860.00,32510.00,15292800,480,2,D,32510.00,31860.00
Magsal.Agri.,20210411,31860.00,31860.00,31860.00,32510.00,11756340,369,2,D,32510.00,31860.00
Magsal.Agri.,20210410,31860.00,31860.00,31860.00,32510.00,62381880,1958,5,D,32510.00,31860.00
Magsal.Agri.,20210405,31870.00,31870.00,31870.00,32510.00,432380290,13567,20,D,32520.00,31870.00
Magsal.Agri.,20210404,31870.00,31870.00,31870.00,32520.00,161644640,5072,15,D,32520.00,31870.00
Magsal.Agri.,20210403,31910.00,31910.00,31910.00,32520.00,3257851450,102095,7,D,32560.00,31910.00
Magsal.Agri.,20210331,31920.00,31920.00,31920.00,32560.00,711145680,22279,25,D,32570.00,31920.00
Magsal.Agri.,20210330,32050.00,32050.00,32050.00,32570.00,9840984550,307051,66,D,32700.00,32050.00
Magsal.Agri.,20210328,32070.00,32070.00,32070.00,32700.00,1404505650,43795,37,D,32720.00,32070.00
Magsal.Agri.,20210327,32100.00,32100.00,32100.00,32720.00,2598848100,80961,55,D,32750.00,32100.00
Magsal.Agri.,20210317,32110.00,32110.00,32110.00,32750.00,886396550,27605,30,D,32760.00,32110.00
Magsal.Agri.,20210316,32120.00,32120.00,32120.00,32760.00,621361400,19345,26,D,32770.00,32120.00
Magsal.Agri.,20210315,32120.00,32120.00,32120.00,32770.00,157773440,4912,9,D,32770.00,32120.00
Magsal.Agri.,20210314,32130.00,32130.00,32130.00,32770.00,463475250,14425,17,D,32780.00,32130.00
Magsal.Agri.,20210313,32130.00,32130.00,32130.00,32780.00,298294920,9284,17,D,32780.00,32130.00
Magsal.Agri.,20210310,32130.00,32130.00,32130.00,32780.00,342313020,10654,17,D,32780.00,32130.00
Magsal.Agri.,20210309,32130.00,32130.00,32130.00,32780.00,53624970,1669,6,D,32780.00,32130.00
Magsal.Agri.,20210308,32140.00,32140.00,32140.00,32780.00,488142320,15188,17,D,32790.00,32140.00
Magsal.Agri.,20210307,32140.00,32140.00,32140.00,32790.00,88385000,2750,7,D,32790.00,32140.00
Magsal.Agri.,20210306,32140.00,32140.00,32140.00,32790.00,113229220,3523,10,D,32790.00,32140.00
Magsal.Agri.,20210303,32150.00,32150.00,32150.00,32790.00,425440950,13233,14,D,32800.00,32150.00
Magsal.Agri.,20210302,32160.00,32160.00,32160.00,32800.00,721348800,22430,18,D,32810.00,32160.00
Magsal.Agri.,20210301,32170.00,32170.00,32170.00,32810.00,463280170,14401,18,D,32820.00,32170.00
Magsal.Agri.,20210228,32170.00,32170.00,32170.00,32820.00,82162180,2554,5,D,32820.00,32170.00
Magsal.Agri.,20210227,32190.00,32190.00,32190.00,32820.00,1765621500,54850,16,D,32840.00,32190.00
Magsal.Agri.,20210224,32210.00,32210.00,32210.00,32840.00,1542440270,47887,15,D,32860.00,32210.00
Magsal.Agri.,20210223,32220.00,32220.00,32220.00,32860.00,563012280,17474,22,D,32870.00,32220.00
Magsal.Agri.,20210222,32220.00,32220.00,32220.00,32870.00,86156280,2674,6,D,32870.00,32220.00
Magsal.Agri.,20210221,32460.00,32460.00,32460.00,32870.00,18237358860,561841,79,D,33120.00,32460.00
Magsal.Agri.,20210220,32810.00,32810.00,32810.00,33120.00,25786888260,785946,144,D,33470.00,32810.00
Magsal.Agri.,20210217,33820.00,35000.00,33150.00,33470.00,133213433510,3979886,1884,D,33820.00,33150.00
Magsal.Agri.,20210216,33800.00,34060.00,32700.00,33820.00,161192269030,4765842,1917,D,32140.00,34060.00
Magsal.Agri.,20210215,31000.00,32370.00,29960.00,32140.00,127904675330,3980000,1660,D,30540.00,32370.00
Magsal.Agri.,20210214,31700.00,31700.00,30300.00,30540.00,106263396640,3479099,1764,D,30910.00,30300.00
Magsal.Agri.,20210213,30000.00,31270.00,29730.00,30910.00,122043140150,3948087,1883,D,29500.00,31270.00
Magsal.Agri.,20210209,29650.00,30500.00,28880.00,29500.00,105297183940,3569005,2141,D,30290.00,29570.00
Magsal.Agri.,20210208,32400.00,32400.00,29640.00,30290.00,139596575660,4609377,2110,D,31190.00,29640.00
Magsal.Agri.,20210207,29920.00,32340.00,29920.00,31190.00,251461026640,8062669,3652,D,31490.00,31950.00
Magsal.Agri.,20210206,32000.00,32000.00,31080.00,31490.00,38044871840,1220299,546,D,32710.00,31080.00
Magsal.Agri.,20210203,33220.00,33220.00,30370.00,32710.00,396498123540,12119795,4595,D,31640.00,32430.00
Magsal.Agri.,20210202,32160.00,32160.00,32160.00,31640.00,33653156640,1046429,292,D,30630.00,32160.00
Magsal.Agri.,20210201,28900.00,31870.00,28850.00,30630.00,225992821390,7379107,3590,D,30360.00,31870.00
Magsal.Agri.,20210131,31590.00,31800.00,29820.00,30360.00,108740400480,3581298,1555,D,31380.00,29820.00
Magsal.Agri.,20210130,31800.00,33100.00,30350.00,31380.00,165084460960,5260917,3494,D,31640.00,30700.00
Magsal.Agri.,20210127,30670.00,33330.00,30670.00,31640.00,245955952240,7772721,4085,D,32280.00,31200.00
Magsal.Agri.,20210126,33000.00,33450.00,31900.00,32280.00,35273724580,1102697,567,D,33570.00,31900.00
Magsal.Agri.,20210125,33610.00,34500.00,33450.00,33570.00,137832457360,4106361,2557,D,35210.00,33450.00
Magsal.Agri.,20210124,34440.00,37050.00,34440.00,35210.00,385370046130,10943476,5813,D,36250.00,34440.00
Magsal.Agri.,20210123,35010.00,35010.00,35010.00,36250.00,15554907990,444299,306,D,36850.00,35010.00
Magsal.Agri.,20210120,35600.00,35600.00,35600.00,36850.00,15066204800,423208,295,D,37470.00,35600.00
Magsal.Agri.,20210119,36600.00,36600.00,36600.00,37470.00,25694956800,702048,240,D,38520.00,36600.00
Magsal.Agri.,20210118,36660.00,36660.00,36660.00,38520.00,1570844340,42849,35,D,38580.00,36660.00
Magsal.Agri.,20210116,37050.00,37050.00,37050.00,38580.00,10168224300,274446,72,D,39000.00,37050.00
Magsal.Agri.,20210113,38150.00,38150.00,38150.00,39000.00,24956738100,654174,206,D,40150.00,38150.00
Magsal.Agri.,20210112,40140.00,40700.00,40140.00,40150.00,109191070540,2719650,961,D,42250.00,40140.00
Magsal.Agri.,20210111,42100.00,42900.00,42100.00,42250.00,147584134160,3492887,1631,D,44310.00,42100.00
Magsal.Agri.,20210110,47300.00,47300.00,43610.00,44310.00,265486205950,5991596,4570,D,45900.00,43610.00
Magsal.Agri.,20210109,46000.00,46110.00,44000.00,45900.00,416894150030,9082852,5824,D,43920.00,46110.00
Magsal.Agri.,20210106,45080.00,45080.00,41000.00,43920.00,606293555780,13805473,7958,D,42940.00,44750.00
Magsal.Agri.,20210105,42800.00,43050.00,41500.00,42940.00,138724752680,3230576,1785,D,41000.00,43050.00
Magsal.Agri.,20210104,39980.00,43350.00,39980.00,41000.00,677715960890,16528694,10828,D,42080.00,41220.00
Magsal.Agri.,20210103,41990.00,42850.00,41990.00,42080.00,186187690570,4424789,1774,D,44200.00,41990.00
Magsal.Agri.,20210102,44110.00,45820.00,44110.00,44200.00,73223247000,1656735,1005,D,46430.00,44110.00
Magsal.Agri.,20201230,45050.00,49300.00,45050.00,46430.00,658873243300,14191408,7668,D,47420.00,45050.00
Magsal.Agri.,20201229,47420.00,47420.00,47420.00,47420.00,50369286900,1062195,547,D,49910.00,47420.00
Magsal.Agri.,20201228,49880.00,51000.00,49880.00,49910.00,157587620370,3157412,2044,D,52500.00,49880.00
Magsal.Agri.,20201227,52440.00,53440.00,52440.00,52500.00,339357074820,6464475,3715,D,55190.00,52440.00
Magsal.Agri.,20201226,59100.00,59100.00,53600.00,55190.00,543849912670,9853995,7674,D,56420.00,53600.00
Magsal.Agri.,20201223,54820.00,60300.00,54820.00,56420.00,2409891646220,42713432,26747,D,57700.00,58100.00
Magsal.Agri.,20201222,57700.00,57700.00,57700.00,57700.00,83660210900,1449917,996,D,60730.00,57700.00
Magsal.Agri.,20201221,60730.00,60730.00,60730.00,60730.00,99847650520,1644124,834,D,63920.00,60730.00
Magsal.Agri.,20201220,64500.00,65800.00,60010.00,63920.00,1322189971180,20685876,13239,D,59820.00,65800.00
Magsal.Agri.,20201219,58000.00,60030.00,58000.00,59820.00,767095071990,12823569,5406,D,54580.00,60030.00
Magsal.Agri.,20201216,49920.00,58200.00,49920.00,54580.00,1341152779580,24570842,13847,D,55460.00,56590.00
Magsal.Agri.,20201215,55090.00,58000.00,54920.00,55460.00,193177481680,3483277,2059,D,61020.00,54920.00
Magsal.Agri.,20201214,66000.00,67770.00,57150.00,61020.00,1312569632730,21509231,16098,D,63490.00,58000.00
Magsal.Agri.,20201213,61810.00,64750.00,60050.00,63490.00,1515749505410,23874373,16205,D,58870.00,64750.00
Magsal.Agri.,20201212,57800.00,59340.00,54920.00,58870.00,476430312980,8092499,3912,D,53950.00,59340.00
Magsal.Agri.,20201207,53200.00,55000.00,52230.00,53950.00,278269927990,5157657,3019,D,50760.00,54000.00
Magsal.Agri.,20201206,50870.00,50870.00,48260.00,50760.00,825175514160,16256682,6048,D,46250.00,50870.00
Magsal.Agri.,20201205,45650.00,46350.00,45020.00,46250.00,258843003930,5596232,1457,D,42140.00,46350.00
Magsal.Agri.,20201202,38000.00,43810.00,36700.00,42140.00,562664691450,13350852,5928,D,39830.00,43810.00
Magsal.Agri.,20201201,40110.00,42220.00,38820.00,39830.00,237057314960,5951309,3462,D,43130.00,38820.00
Magsal.Agri.,20201130,43000.00,46310.00,41000.00,43130.00,380470506160,8822158,4866,D,43170.00,41380.00
Magsal.Agri.,20201129,46330.00,46330.00,38700.00,43170.00,996847666150,23091798,9152,D,42120.00,42260.00
Magsal.Agri.,20201128,43160.00,43160.00,43160.00,42120.00,40392106040,935869,267,D,39240.00,43160.00
Magsal.Agri.,20201125,39240.00,39240.00,39240.00,39240.00,69444833040,1769746,235,D,35680.00,39240.00
Magsal.Agri.,20201124,37950.00,37950.00,37950.00,35680.00,21704515800,571924,262,D,34500.00,37950.00
Magsal.Agri.,20201122,32800.00,35780.00,31950.00,34500.00,128899787910,3736638,1870,D,32530.00,35780.00
Magsal.Agri.,20201121,32960.00,33000.00,30600.00,32530.00,246738525100,7585163,2382,D,30000.00,32800.00
Magsal.Agri.,20201118,29500.00,30480.00,29160.00,30000.00,97525975760,3250754,1052,D,27710.00,30480.00
Magsal.Agri.,20201117,26990.00,28020.00,26700.00,27710.00,131396729170,4742030,1303,D,25480.00,28020.00
Magsal.Agri.,20201116,25010.00,26380.00,24500.00,25480.00,15598763300,624166,417,D,25730.00,24590.00
Magsal.Agri.,20201115,27700.00,27700.00,25460.00,25730.00,51516416130,2002280,670,D,26800.00,25460.00
Magsal.Agri.,20201114,26030.00,28250.00,26030.00,26800.00,92656535410,3457660,1264,D,27400.00,26660.00
Magsal.Agri.,20201111,26460.00,26460.00,26460.00,27400.00,15219818460,575201,61,D,27850.00,26460.00
Magsal.Agri.,20201110,26500.00,26500.00,26500.00,27850.00,1195865500,45127,19,D,27890.00,26500.00
Magsal.Agri.,20201109,26510.00,26510.00,26510.00,27890.00,196174000,7400,14,D,27900.00,26510.00
Magsal.Agri.,20201108,26520.00,26520.00,26520.00,27900.00,348897120,13156,11,D,27910.00,26520.00
Magsal.Agri.,20201107,26590.00,26590.00,26590.00,27910.00,2413388170,90763,49,D,27980.00,26590.00
Magsal.Agri.,20201104,27250.00,28020.00,27000.00,27980.00,79357316550,2835889,776,D,26690.00,28020.00
Magsal.Agri.,20201102,25580.00,26900.00,24350.00,26690.00,62073854600,2325539,612,D,25620.00,26900.00
Magsal.Agri.,20201101,25140.00,26690.00,25140.00,25620.00,35648772620,1405855,521,D,26460.00,25150.00
Magsal.Agri.,20201031,25700.00,28000.00,25700.00,26460.00,21344448440,829250,324,D,27050.00,25700.00
Magsal.Agri.,20201028,25950.00,25950.00,25950.00,27050.00,9089013450,350251,42,D,27310.00,25950.00
Magsal.Agri.,20201027,25970.00,25970.00,25970.00,27310.00,649327910,25003,13,D,27330.00,25970.00
Magsal.Agri.,20201026,25980.00,25980.00,25980.00,27330.00,244653660,9417,11,D,27340.00,25980.00
Magsal.Agri.,20201024,26010.00,26010.00,26010.00,27340.00,1019878110,39211,27,D,27370.00,26010.00
Magsal.Agri.,20201021,26180.00,27500.00,26150.00,27370.00,5682958390,216428,134,D,27520.00,26150.00
Magsal.Agri.,20201020,26210.00,26400.00,26210.00,27520.00,2121360570,80917,74,D,27580.00,26210.00
