<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Mehrcam.Pars,20210921,2320.00,2376.00,2256.00,2278.00,20278709690,8900670,330,D,2374.00,2256.00
Mehrcam.Pars,20210920,2390.00,2468.00,2270.00,2374.00,31636285235,13328635,816,D,2385.00,2340.00
Mehrcam.Pars,20210919,2335.00,2486.00,2320.00,2385.00,55483301679,23261214,1155,D,2425.00,2410.00
Mehrcam.Pars,20210918,2480.00,2553.00,2407.00,2425.00,31716913527,13080481,622,D,2533.00,2407.00
Mehrcam.Pars,20210915,2530.00,2622.00,2470.00,2533.00,41085926732,16219215,1417,D,2522.00,2540.00
Mehrcam.Pars,20210914,2409.00,2529.00,2339.00,2522.00,85486796234,33901435,1243,D,2409.00,2529.00
Mehrcam.Pars,20210913,2420.00,2579.00,2349.00,2409.00,71060411683,29503171,1105,D,2472.00,2418.00
Mehrcam.Pars,20210912,2511.00,2599.00,2469.00,2472.00,73109220505,29571307,772,D,2598.00,2469.00
Mehrcam.Pars,20210911,2740.00,2770.00,2570.00,2598.00,82385851913,31706367,1443,D,2705.00,2570.00
Mehrcam.Pars,20210908,2730.00,2777.00,2601.00,2705.00,59670559694,22058080,1684,D,2645.00,2700.00
Mehrcam.Pars,20210907,2670.00,2764.00,2604.00,2645.00,69264179721,26185481,1474,D,2741.00,2606.00
Mehrcam.Pars,20210906,2749.00,2794.00,2630.00,2741.00,103645916565,37816869,2037,D,2661.00,2670.00
Mehrcam.Pars,20210905,2520.00,2693.00,2482.00,2661.00,104445203057,39242988,1346,D,2565.00,2693.00
Mehrcam.Pars,20210904,2595.00,2609.00,2511.00,2565.00,63320715482,24689597,1346,D,2485.00,2530.00
Mehrcam.Pars,20210901,2480.00,2514.00,2350.00,2485.00,55297951271,22251703,996,D,2395.00,2514.00
Mehrcam.Pars,20210831,2368.00,2500.00,2343.00,2395.00,83811122535,34995440,1454,D,2466.00,2430.00
Mehrcam.Pars,20210830,2450.00,2573.00,2426.00,2466.00,70750484832,28688227,1136,D,2553.00,2426.00
Mehrcam.Pars,20210829,2585.00,2585.00,2427.00,2553.00,201202802079,78804500,2504,D,2462.00,2502.00
Mehrcam.Pars,20210828,2440.00,2467.00,2439.00,2462.00,29673578072,12052699,458,D,2350.00,2467.00
Mehrcam.Pars,20210825,2368.00,2420.00,2248.00,2350.00,110667898519,47088441,2007,D,2338.00,2420.00
Mehrcam.Pars,20210824,2334.00,2380.00,2230.00,2338.00,67615218905,28914852,1313,D,2311.00,2339.00
Mehrcam.Pars,20210823,2390.00,2405.00,2262.00,2311.00,57616226660,24931042,1377,D,2345.00,2299.00
Mehrcam.Pars,20210822,2260.00,2378.00,2243.00,2345.00,109423505199,46665343,1761,D,2265.00,2378.00
Mehrcam.Pars,20210815,2270.00,2309.00,2221.00,2265.00,60930134242,26895665,1331,D,2260.00,2262.00
Mehrcam.Pars,20210814,2178.00,2284.00,2178.00,2260.00,102643517154,45408262,1862,D,2176.00,2284.00
Mehrcam.Pars,20210811,2229.00,2255.00,2133.00,2176.00,85948912849,39500204,1982,D,2229.00,2160.00
Mehrcam.Pars,20210810,2208.00,2300.00,2180.00,2229.00,61207034305,27464233,1306,D,2243.00,2211.00
Mehrcam.Pars,20210809,2238.00,2290.00,2121.00,2243.00,47784197027,21306056,1102,D,2226.00,2230.00
Mehrcam.Pars,20210808,2233.00,2297.00,2180.00,2226.00,51175212020,22988496,1202,D,2292.00,2235.00
Mehrcam.Pars,20210807,2364.00,2380.00,2241.00,2292.00,39233297998,17119869,950,D,2307.00,2246.00
Mehrcam.Pars,20210804,2350.00,2381.00,2240.00,2307.00,57295995574,24839764,1092,D,2291.00,2320.00
Mehrcam.Pars,20210803,2240.00,2348.00,2200.00,2291.00,54223079923,23672719,1171,D,2280.00,2313.00
Mehrcam.Pars,20210802,2210.00,2308.00,2210.00,2280.00,67376358665,29555986,1293,D,2199.00,2251.00
Mehrcam.Pars,20210801,2241.00,2269.00,2122.00,2199.00,61679002710,28048501,1199,D,2219.00,2200.00
Mehrcam.Pars,20210731,2200.00,2222.00,2170.00,2219.00,70562310238,31802002,966,D,2117.00,2222.00
Mehrcam.Pars,20210728,2150.00,2176.00,2053.00,2117.00,72278667806,34135298,1341,D,2135.00,2168.00
Mehrcam.Pars,20210727,2115.00,2250.00,2101.00,2135.00,56214735175,26326443,943,D,2211.00,2101.00
Mehrcam.Pars,20210726,2280.00,2299.00,2202.00,2211.00,141542368358,64030263,1858,D,2317.00,2202.00
Mehrcam.Pars,20210719,2190.00,2343.00,2181.00,2317.00,137750437084,59440925,1847,D,2232.00,2289.00
Mehrcam.Pars,20210718,2280.00,2298.00,2150.00,2232.00,148804819097,66682014,2327,D,2216.00,2183.00
Mehrcam.Pars,20210717,2216.00,2216.00,2216.00,2216.00,28666599256,12936191,367,D,2111.00,2216.00
Mehrcam.Pars,20210714,2049.00,2126.00,2020.00,2111.00,89648633209,42463140,1288,D,2025.00,2126.00
Mehrcam.Pars,20210713,1999.00,2076.00,1930.00,2025.00,74195879235,36644169,1531,D,2020.00,2028.00
Mehrcam.Pars,20210712,2035.00,2046.00,1951.00,2020.00,97604276663,48322518,1885,D,1949.00,1989.00
Mehrcam.Pars,20210711,1921.00,1968.00,1891.00,1949.00,54239278471,27825255,1106,D,1875.00,1968.00
Mehrcam.Pars,20210710,1830.00,1928.00,1830.00,1875.00,43741801575,23325227,1050,D,1871.00,1900.00
Mehrcam.Pars,20210707,1860.00,1910.00,1835.00,1871.00,38014221996,20321391,901,D,1879.00,1898.00
Mehrcam.Pars,20210706,1880.00,1950.00,1846.00,1879.00,32313643959,17196799,959,D,1873.00,1855.00
Mehrcam.Pars,20210705,1818.00,1897.00,1761.00,1873.00,75933175436,40547469,1306,D,1807.00,1897.00
Mehrcam.Pars,20210704,1799.00,1873.00,1755.00,1807.00,44222615170,24472804,1086,D,1841.00,1810.00
Mehrcam.Pars,20210703,1950.00,1950.00,1808.00,1841.00,67438513701,36624111,1357,D,1903.00,1808.00
Mehrcam.Pars,20210630,1960.00,1960.00,1845.00,1903.00,65747752177,34541050,1555,D,1930.00,1874.00
Mehrcam.Pars,20210629,1880.00,1944.00,1806.00,1930.00,121994369604,63213499,2104,D,1852.00,1942.00
Mehrcam.Pars,20210628,1824.00,1858.00,1780.00,1852.00,117330752778,63363430,1573,D,1770.00,1858.00
Mehrcam.Pars,20210627,1740.00,1823.00,1671.00,1770.00,102920210933,58145640,1891,D,1738.00,1800.00
Mehrcam.Pars,20210626,1721.00,1780.00,1660.00,1738.00,58243617501,33512133,1437,D,1717.00,1720.00
Mehrcam.Pars,20210623,1670.00,1760.00,1651.00,1717.00,84467768829,49186687,1875,D,1722.00,1701.00
Mehrcam.Pars,20210622,1750.00,1790.00,1670.00,1722.00,96976091456,56308363,2348,D,1737.00,1720.00
Mehrcam.Pars,20210621,1620.00,1750.00,1620.00,1737.00,78786518186,45359859,1290,D,1667.00,1750.00
Mehrcam.Pars,20210620,1720.00,1721.00,1634.00,1667.00,57663900272,34583002,1051,D,1802.00,1634.00
Mehrcam.Pars,20210615,1823.00,1889.00,1776.00,1802.00,51369036608,28510903,1194,D,1869.00,1776.00
Mehrcam.Pars,20210614,1820.00,1906.00,1820.00,1869.00,122983538015,65788441,2024,D,1816.00,1840.00
Mehrcam.Pars,20210613,1872.00,1890.00,1740.00,1816.00,126155205723,69473918,2896,D,1831.00,1855.00
Mehrcam.Pars,20210612,1835.00,1835.00,1775.00,1831.00,191671642199,104655440,2492,D,1748.00,1835.00
Mehrcam.Pars,20210609,1748.00,1748.00,1748.00,1748.00,29653327208,16964146,411,D,1665.00,1748.00
Mehrcam.Pars,20210601,1605.00,1685.00,1525.00,1665.00,218900740226,131450236,2937,D,2204.00,1685.00
Mehrcam.Pars,20210531,2105.00,2105.00,2105.00,2204.00,1373270425,652385,24,D,2215.00,2105.00
Mehrcam.Pars,20210530,2115.00,2115.00,2115.00,2215.00,1411045515,667161,44,D,2226.00,2115.00
Mehrcam.Pars,20210529,2135.00,2135.00,2135.00,2226.00,2630785430,1232218,118,D,2247.00,2135.00
Mehrcam.Pars,20210526,2141.00,2141.00,2141.00,2247.00,810541921,378581,13,D,2253.00,2141.00
Mehrcam.Pars,20210525,2143.00,2143.00,2143.00,2253.00,286534101,133707,8,D,2255.00,2143.00
Mehrcam.Pars,20210524,2143.00,2143.00,2143.00,2255.00,5466793,2551,1,D,2255.00,2143.00
Mehrcam.Pars,20210523,2145.00,2145.00,2145.00,2255.00,239259735,111543,5,D,2257.00,2145.00
Mehrcam.Pars,20210522,2145.00,2145.00,2145.00,2257.00,43856670,20446,6,D,2257.00,2145.00
Mehrcam.Pars,20210519,2145.00,2145.00,2145.00,2257.00,15827955,7379,2,D,2257.00,2145.00
