<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Mobin.Petr.,20210921,22700.00,22890.00,21560.00,21990.00,153944177830,7000407,852,D,22560.00,22370.00
Mobin.Petr.,20210920,21220.00,22630.00,21220.00,22560.00,493630874690,21882572,1941,D,21560.00,22620.00
Mobin.Petr.,20210919,21870.00,21870.00,21000.00,21560.00,70017532160,3274744,452,D,21820.00,21350.00
Mobin.Petr.,20210918,22270.00,22270.00,20920.00,21820.00,66117257910,3015159,713,D,21680.00,21770.00
Mobin.Petr.,20210915,21360.00,21990.00,21000.00,21680.00,36720213250,1698952,409,D,21710.00,21800.00
Mobin.Petr.,20210914,21980.00,22250.00,21530.00,21710.00,32398963470,1486138,411,D,21680.00,21820.00
Mobin.Petr.,20210913,21640.00,21930.00,21200.00,21680.00,189914402610,8760347,516,D,21640.00,21640.00
Mobin.Petr.,20210912,22020.00,22030.00,20960.00,21640.00,43469335300,2005859,402,D,21630.00,21900.00
Mobin.Petr.,20210911,22040.00,22100.00,21460.00,21630.00,41732158940,1915866,458,D,21550.00,21700.00
Mobin.Petr.,20210908,21430.00,21700.00,21400.00,21550.00,87792053560,4071600,474,D,21530.00,21670.00
Mobin.Petr.,20210907,21310.00,22020.00,21230.00,21530.00,124691336920,5791245,488,D,21570.00,21590.00
Mobin.Petr.,20210906,22330.00,22330.00,21310.00,21570.00,107302069010,4978734,546,D,21670.00,21580.00
Mobin.Petr.,20210905,22590.00,22590.00,21260.00,21670.00,117966387360,5442169,559,D,21590.00,21510.00
Mobin.Petr.,20210904,21440.00,21760.00,20710.00,21590.00,131028015640,6070134,872,D,20730.00,21750.00
Mobin.Petr.,20210901,21480.00,21480.00,20560.00,20730.00,43871466240,2075986,470,D,20460.00,21200.00
Mobin.Petr.,20210831,20110.00,21640.00,20070.00,20460.00,372908670970,18227038,1806,D,21120.00,21420.00
Mobin.Petr.,20210830,21110.00,21680.00,21110.00,21120.00,219543964210,10394414,541,D,22220.00,21110.00
Mobin.Petr.,20210829,22400.00,22800.00,21420.00,22220.00,145262301000,6538681,920,D,22540.00,21450.00
Mobin.Petr.,20210828,22680.00,22760.00,22300.00,22540.00,103628892240,4613575,1251,D,23140.00,22470.00
Mobin.Petr.,20210825,23690.00,23690.00,22500.00,23140.00,66633029150,2906263,836,D,23360.00,23020.00
Mobin.Petr.,20210824,22370.00,23840.00,22370.00,23360.00,113701974330,4846481,960,D,22790.00,23240.00
Mobin.Petr.,20210823,22490.00,23130.00,21800.00,22790.00,156736719460,6877575,1059,D,22030.00,22800.00
Mobin.Petr.,20210822,21250.00,22110.00,20850.00,22030.00,232902975730,10572080,916,D,21060.00,22110.00
Mobin.Petr.,20210815,20260.00,21550.00,20260.00,21060.00,129900353960,6169520,775,D,20530.00,21440.00
Mobin.Petr.,20210814,20550.00,20610.00,20200.00,20530.00,71084496240,3470550,624,D,20590.00,20500.00
Mobin.Petr.,20210811,20700.00,21100.00,19500.00,20590.00,245850966480,11939349,1165,D,20520.00,20510.00
Mobin.Petr.,20210810,20500.00,20700.00,20110.00,20520.00,206922578630,10082483,1284,D,19720.00,20400.00
Mobin.Petr.,20210809,19010.00,20350.00,19000.00,19720.00,118795886870,6019819,1235,D,19400.00,20340.00
Mobin.Petr.,20210808,19320.00,19700.00,19120.00,19400.00,41980504250,2156346,491,D,19360.00,19120.00
Mobin.Petr.,20210807,19770.00,19770.00,19010.00,19360.00,74648317930,3853944,1108,D,19340.00,19320.00
Mobin.Petr.,20210804,18450.00,19360.00,18450.00,19340.00,282023440240,14581323,839,D,18440.00,19360.00
Mobin.Petr.,20210803,18680.00,18830.00,18400.00,18440.00,43106380400,2305159,523,D,18310.00,18800.00
Mobin.Petr.,20210802,18350.00,18840.00,18040.00,18310.00,62136856380,3363321,756,D,18150.00,18560.00
Mobin.Petr.,20210801,18050.00,18580.00,17950.00,18150.00,125859634590,6934181,1042,D,17950.00,18250.00
Mobin.Petr.,20210731,17870.00,18100.00,17570.00,17950.00,118680996300,6610128,847,D,17770.00,18050.00
Mobin.Petr.,20210728,17460.00,18020.00,17450.00,17770.00,119868434960,6743373,893,D,17700.00,17700.00
Mobin.Petr.,20210727,18170.00,18170.00,17610.00,17700.00,46973919840,2647763,536,D,17670.00,17740.00
Mobin.Petr.,20210726,17350.00,18180.00,17000.00,17670.00,74812771640,4179490,589,D,17320.00,17760.00
Mobin.Petr.,20210719,16810.00,17690.00,16810.00,17320.00,80899770710,4631525,715,D,17040.00,17500.00
Mobin.Petr.,20210718,17100.00,17190.00,16640.00,17040.00,93611050470,5495113,677,D,17060.00,17190.00
Mobin.Petr.,20210717,16950.00,17350.00,16400.00,17060.00,18883163760,1118680,132,D,17090.00,17070.00
Mobin.Petr.,20210711,18860.00,19180.00,18620.00,18890.00,94170650850,4960449,1361,D,18620.00,19100.00
Mobin.Petr.,20210710,18730.00,19060.00,18160.00,18620.00,108447379420,5804935,1587,D,18160.00,19000.00
Mobin.Petr.,20210707,17370.00,18230.00,17370.00,18160.00,171880695510,9463427,826,D,17370.00,18230.00
Mobin.Petr.,20210706,17020.00,17890.00,17020.00,17370.00,42327100890,2406895,591,D,17250.00,17550.00
Mobin.Petr.,20210705,16920.00,17550.00,16920.00,17250.00,16012228320,921838,278,D,17230.00,17380.00
Mobin.Petr.,20210704,16950.00,17400.00,16920.00,17230.00,10592651610,617738,259,D,17240.00,17110.00
Mobin.Petr.,20210703,17400.00,17450.00,16900.00,17240.00,34783341940,2016878,433,D,17240.00,17300.00
Mobin.Petr.,20210630,16900.00,17650.00,16900.00,17240.00,79937709370,4634484,543,D,17220.00,17000.00
Mobin.Petr.,20210629,16780.00,17690.00,16500.00,17220.00,75597422090,4371484,663,D,17120.00,17400.00
Mobin.Petr.,20210628,16300.00,17400.00,16300.00,17120.00,154599008100,9027808,954,D,16920.00,17290.00
Mobin.Petr.,20210627,16930.00,17330.00,16510.00,16920.00,85335180280,5007515,721,D,16680.00,16900.00
Mobin.Petr.,20210626,16140.00,16690.00,15970.00,16680.00,319207596260,19134044,727,D,15900.00,16690.00
Mobin.Petr.,20210623,15260.00,15930.00,15250.00,15900.00,141654451570,8909323,590,D,15180.00,15930.00
Mobin.Petr.,20210622,15500.00,15760.00,15000.00,15180.00,38931065690,2500922,300,D,15010.00,15340.00
Mobin.Petr.,20210621,15260.00,15600.00,15020.00,15010.00,29897843480,1952022,266,D,14910.00,15300.00
Mobin.Petr.,20210620,15170.00,15300.00,15000.00,14910.00,18066484150,1190562,260,D,14870.00,15260.00
Mobin.Petr.,20210619,14990.00,15160.00,14720.00,14870.00,24669525940,1652310,346,D,14860.00,15160.00
Mobin.Petr.,20210616,14590.00,14890.00,14590.00,14860.00,20300283590,1385996,202,D,14900.00,14800.00
Mobin.Petr.,20210615,14990.00,15060.00,14530.00,14900.00,21191654410,1437299,259,D,14930.00,14570.00
Mobin.Petr.,20210614,14970.00,15040.00,14700.00,14930.00,27740929130,1860672,201,D,14930.00,15020.00
Mobin.Petr.,20210613,14400.00,15240.00,14400.00,14930.00,23319044300,1568166,201,D,14950.00,14970.00
Mobin.Petr.,20210612,14700.00,15180.00,14370.00,14950.00,11863812810,810253,164,D,14980.00,14700.00
Mobin.Petr.,20210609,14930.00,15000.00,14520.00,14980.00,18473335900,1243520,155,D,15000.00,14700.00
Mobin.Petr.,20210608,14930.00,15190.00,14500.00,15000.00,33241092990,2250241,387,D,15090.00,14870.00
Mobin.Petr.,20210607,15140.00,15240.00,15000.00,15090.00,26746501370,1770946,245,D,15090.00,15120.00
Mobin.Petr.,20210602,14960.00,15290.00,14750.00,15090.00,31267925890,2084482,459,D,15120.00,15000.00
Mobin.Petr.,20210601,14760.00,15170.00,14750.00,15120.00,21002474760,1409546,198,D,15170.00,14800.00
Mobin.Petr.,20210531,15180.00,15390.00,14770.00,15170.00,6200540760,412986,162,D,15180.00,14770.00
Mobin.Petr.,20210530,15600.00,15850.00,14910.00,15180.00,29693261960,1939681,340,D,15140.00,15130.00
Mobin.Petr.,20210529,15150.00,15580.00,15100.00,15140.00,17165308420,1122179,271,D,15110.00,15250.00
Mobin.Petr.,20210526,14540.00,15150.00,14540.00,15110.00,10056901880,675339,228,D,15130.00,14780.00
Mobin.Petr.,20210525,14900.00,15460.00,14720.00,15130.00,18863699720,1253044,291,D,15150.00,14760.00
Mobin.Petr.,20210524,14560.00,15980.00,14480.00,15150.00,27146230630,1818602,269,D,15220.00,14800.00
Mobin.Petr.,20210523,14620.00,15320.00,14620.00,15220.00,24407809060,1665822,239,D,15380.00,14620.00
Mobin.Petr.,20210522,15570.00,15770.00,14980.00,15380.00,63820779670,4233026,319,D,15760.00,15000.00
Mobin.Petr.,20210519,15940.00,15940.00,15540.00,15760.00,14458732010,923368,275,D,15770.00,15580.00
Mobin.Petr.,20210518,15400.00,16000.00,15110.00,15770.00,12241688460,776561,197,D,15770.00,15660.00
Mobin.Petr.,20210517,16030.00,16040.00,15580.00,15770.00,30241060330,1909002,238,D,15740.00,15600.00
Mobin.Petr.,20210516,15990.00,16250.00,15540.00,15740.00,59288344100,3752790,452,D,15690.00,15880.00
Mobin.Petr.,20210515,15810.00,16290.00,15590.00,15690.00,21363068140,1351522,357,D,15660.00,15850.00
Mobin.Petr.,20210512,16320.00,16390.00,15310.00,15660.00,36548121830,2287407,424,D,15530.00,15510.00
Mobin.Petr.,20210511,15470.00,16300.00,15460.00,15530.00,20132435720,1265044,309,D,15450.00,16070.00
Mobin.Petr.,20210510,15530.00,15590.00,15060.00,15450.00,18479729060,1200538,293,D,15460.00,15480.00
Mobin.Petr.,20210509,15370.00,15370.00,15070.00,15460.00,17691323750,1173538,175,D,15530.00,15070.00
Mobin.Petr.,20210508,15560.00,16100.00,15120.00,15530.00,25887391110,1677379,354,D,15560.00,15550.00
Mobin.Petr.,20210505,15030.00,16000.00,15030.00,15560.00,42632420800,2717962,461,D,15490.00,15890.00
Mobin.Petr.,20210503,15510.00,15510.00,15120.00,15490.00,26410495560,1737646,197,D,15580.00,15120.00
Mobin.Petr.,20210502,15190.00,15650.00,15190.00,15580.00,23055474890,1507149,174,D,15650.00,15470.00
Mobin.Petr.,20210501,15490.00,15800.00,15210.00,15650.00,15655009480,1009881,257,D,15670.00,15600.00
Mobin.Petr.,20210428,15240.00,16100.00,15240.00,15670.00,17871738580,1134094,264,D,15660.00,15740.00
Mobin.Petr.,20210427,16290.00,16330.00,15620.00,15660.00,31786606950,1990418,541,D,15550.00,16000.00
Mobin.Petr.,20210426,15270.00,16190.00,15270.00,15550.00,67224859540,4363235,411,D,15740.00,16090.00
Mobin.Petr.,20210425,15360.00,15400.00,15360.00,15740.00,22154810400,1442265,135,D,15830.00,15360.00
Mobin.Petr.,20210424,15850.00,15850.00,15510.00,15830.00,38032546570,2450782,208,D,15980.00,15510.00
Mobin.Petr.,20210421,15850.00,15860.00,15670.00,15980.00,41258865500,2632260,183,D,16150.00,15670.00
Mobin.Petr.,20210420,15910.00,16000.00,15910.00,16150.00,29068655760,1827002,210,D,16230.00,15910.00
Mobin.Petr.,20210419,16000.00,16290.00,16000.00,16230.00,34501421000,2154971,200,D,16320.00,16000.00
Mobin.Petr.,20210418,16070.00,16140.00,16070.00,16320.00,24318035360,1513248,103,D,16390.00,16070.00
Mobin.Petr.,20210417,16140.00,16140.00,16140.00,16390.00,24839443860,1538999,107,D,16460.00,16140.00
Mobin.Petr.,20210414,16320.00,16600.00,16230.00,16460.00,36660830690,2257735,264,D,16560.00,16230.00
Mobin.Petr.,20210413,16350.00,16700.00,16350.00,16560.00,55757838170,3395621,536,D,16680.00,16650.00
Mobin.Petr.,20210412,16540.00,16600.00,16540.00,16680.00,66060673140,3993938,338,D,16870.00,16540.00
