<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Oil.Ind..Inv.,20210921,17180.00,17180.00,16130.00,16310.00,42086642600,2580350,590,D,16970.00,16130.00
Oil.Ind..Inv.,20210920,16800.00,17180.00,16700.00,16970.00,39688868490,2339314,482,D,16640.00,16850.00
Oil.Ind..Inv.,20210919,16700.00,17290.00,16000.00,16640.00,39166135570,2353892,602,D,16740.00,16510.00
Oil.Ind..Inv.,20210918,17010.00,17400.00,16420.00,16740.00,39790780780,2376812,463,D,17180.00,16700.00
Oil.Ind..Inv.,20210915,16800.00,17600.00,16800.00,17180.00,17987804540,1046981,687,D,17160.00,17350.00
Oil.Ind..Inv.,20210914,17000.00,17590.00,16850.00,17160.00,36324252170,2116386,649,D,16870.00,17290.00
Oil.Ind..Inv.,20210913,17460.00,17610.00,16600.00,16870.00,62691162650,3716699,670,D,17460.00,17080.00
Oil.Ind..Inv.,20210912,17800.00,18100.00,17340.00,17460.00,69403572840,3974966,691,D,18250.00,17360.00
Oil.Ind..Inv.,20210911,18320.00,18730.00,17800.00,18250.00,50393000890,2761738,866,D,18000.00,18050.00
Oil.Ind..Inv.,20210908,17790.00,18320.00,17210.00,18000.00,127970372680,7109453,1550,D,17450.00,18250.00
Oil.Ind..Inv.,20210907,17000.00,17950.00,17000.00,17450.00,44291660760,2537626,687,D,17640.00,17390.00
Oil.Ind..Inv.,20210906,17470.00,17840.00,17350.00,17640.00,83127598350,4712619,1002,D,17470.00,17500.00
Oil.Ind..Inv.,20210905,16900.00,17800.00,16900.00,17470.00,61913598170,3543199,756,D,17400.00,17530.00
Oil.Ind..Inv.,20210904,17250.00,17780.00,16730.00,17400.00,135463034580,7784354,1573,D,16940.00,17610.00
Oil.Ind..Inv.,20210901,16500.00,17600.00,16500.00,16940.00,130597887000,7708726,1317,D,17150.00,17200.00
Oil.Ind..Inv.,20210831,16970.00,17800.00,16970.00,17150.00,110121387150,6420707,1069,D,17860.00,16970.00
Oil.Ind..Inv.,20210830,17820.00,18380.00,17740.00,17860.00,50504678880,2827069,489,D,18670.00,17740.00
Oil.Ind..Inv.,20210829,19090.00,19300.00,18140.00,18670.00,189055674930,10124123,1959,D,19090.00,18140.00
Oil.Ind..Inv.,20210828,18700.00,19490.00,18700.00,19090.00,156608194000,8201564,2063,D,19060.00,19080.00
Oil.Ind..Inv.,20210825,18630.00,19320.00,18000.00,19060.00,242992535870,12745482,1892,D,18400.00,18920.00
Oil.Ind..Inv.,20210824,18160.00,18410.00,17950.00,18400.00,151912025900,8254495,889,D,17540.00,18410.00
Oil.Ind..Inv.,20210823,17500.00,18040.00,16880.00,17540.00,136924873290,7805116,1515,D,17750.00,17950.00
Oil.Ind..Inv.,20210822,17500.00,18200.00,17150.00,17750.00,110575687590,6230859,1392,D,17370.00,17470.00
Oil.Ind..Inv.,20210815,17200.00,17480.00,16750.00,17370.00,231558646460,13328142,1708,D,16650.00,17480.00
Oil.Ind..Inv.,20210814,16210.00,17010.00,15950.00,16650.00,199807958540,11997214,1635,D,16200.00,17010.00
Oil.Ind..Inv.,20210811,16120.00,16430.00,16000.00,16200.00,69275059530,4276408,1045,D,15810.00,16420.00
Oil.Ind..Inv.,20210810,15920.00,16160.00,15650.00,15810.00,80763203680,5108490,995,D,16110.00,15900.00
Oil.Ind..Inv.,20210809,16010.00,16400.00,15980.00,16110.00,36226483820,2249056,703,D,16360.00,16240.00
Oil.Ind..Inv.,20210808,16000.00,16790.00,15470.00,16360.00,50794550210,3103996,709,D,16070.00,16140.00
Oil.Ind..Inv.,20210807,16450.00,16480.00,15610.00,16070.00,47998617770,2986758,765,D,16200.00,16050.00
Oil.Ind..Inv.,20210804,15710.00,16260.00,15150.00,16200.00,212081462680,13094520,1360,D,15490.00,16260.00
Oil.Ind..Inv.,20210803,15150.00,15800.00,15150.00,15490.00,73715809980,4757943,610,D,15480.00,15700.00
Oil.Ind..Inv.,20210802,15310.00,15880.00,15070.00,15480.00,26685633160,1724340,481,D,15360.00,15370.00
Oil.Ind..Inv.,20210801,15800.00,16100.00,15010.00,15360.00,31316489920,2038662,627,D,15670.00,15300.00
Oil.Ind..Inv.,20210731,15430.00,15920.00,15060.00,15670.00,95507594970,6095633,716,D,15390.00,15800.00
