<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Abadan.PG,20210921,15590.00,15590.00,15590.00,16310.00,1968564890,126271,51,D,16410.00,15590.00
Abadan.PG,20210920,15770.00,15770.00,15770.00,16410.00,3399333890,215557,112,D,16590.00,15770.00
Abadan.PG,20210919,15960.00,15960.00,15960.00,16590.00,3854866680,241533,131,D,16790.00,15960.00
Abadan.PG,20210915,16500.00,16950.00,16200.00,16790.00,174542961250,10394751,36134,D,16150.00,16950.00
Abadan.PG,20210914,16290.00,16510.00,15300.00,16150.00,145950847390,9037044,26405,D,16100.00,16150.00
Abadan.PG,20210913,16030.00,16390.00,15700.00,16100.00,120341185860,7472933,18078,D,15690.00,16160.00
Abadan.PG,20210912,15790.00,16030.00,14610.00,15690.00,148636648260,9472732,11693,D,15270.00,15920.00
Abadan.PG,20210911,15480.00,15830.00,14980.00,15270.00,92693546550,6071391,7938,D,15170.00,15340.00
Abadan.PG,20210908,14610.00,15340.00,14600.00,15170.00,166805965350,10995787,33662,D,14610.00,15340.00
Abadan.PG,20210907,14210.00,14960.00,13790.00,14610.00,111588663550,7639607,20481,D,14460.00,14510.00
Abadan.PG,20210906,14380.00,14610.00,14070.00,14460.00,141250259630,9765233,19589,D,13920.00,14320.00
Abadan.PG,20210905,13850.00,14020.00,13000.00,13920.00,126132951900,9061535,6605,D,13360.00,14020.00
Abadan.PG,20210904,13380.00,13390.00,13080.00,13360.00,100479754780,7520011,6834,D,12760.00,13390.00
Abadan.PG,20210901,12100.00,13090.00,11900.00,12760.00,111104585460,8705199,5953,D,12470.00,13090.00
Abadan.PG,20210831,12370.00,12940.00,12370.00,12470.00,36825464610,2954028,4191,D,13020.00,12370.00
Abadan.PG,20210830,13010.00,13300.00,13010.00,13020.00,34566464130,2655081,1760,D,13690.00,13010.00
Abadan.PG,20210829,14200.00,14400.00,13490.00,13690.00,81159064490,5926394,6383,D,14200.00,13490.00
Abadan.PG,20210828,14100.00,14260.00,13800.00,14200.00,134130014540,9442797,8205,D,13590.00,14190.00
Abadan.PG,20210825,13710.00,13710.00,13080.00,13590.00,103000955750,7580067,6375,D,13060.00,13710.00
Abadan.PG,20210824,12900.00,13080.00,12610.00,13060.00,32261347890,2470441,4304,D,12460.00,13080.00
Abadan.PG,20210823,12100.00,12680.00,12020.00,12460.00,72043231960,5782601,5861,D,12080.00,12680.00
Abadan.PG,20210822,12250.00,12250.00,11960.00,12080.00,40895650660,3386315,4240,D,11770.00,12080.00
Abadan.PG,20210815,12010.00,12010.00,11610.00,11770.00,24420992360,2075068,3206,D,11830.00,11880.00
Abadan.PG,20210814,12050.00,12290.00,11660.00,11830.00,32944757630,2785762,5367,D,12070.00,11870.00
Abadan.PG,20210811,12060.00,12300.00,11920.00,12070.00,53770818080,4456294,7993,D,12050.00,12070.00
Abadan.PG,20210810,12400.00,12400.00,11910.00,12050.00,36959426190,3067438,5537,D,12200.00,12000.00
Abadan.PG,20210809,11750.00,12390.00,11750.00,12200.00,34774625560,2850393,4792,D,12010.00,12280.00
Abadan.PG,20210808,11310.00,12220.00,11310.00,12010.00,31790075560,2647636,4124,D,11870.00,12030.00
Abadan.PG,20210807,12050.00,12240.00,11580.00,11870.00,31301349560,2636859,4423,D,12150.00,11800.00
Abadan.PG,20210804,12400.00,12550.00,11910.00,12150.00,33977739000,2796197,4352,D,12100.00,12250.00
Abadan.PG,20210803,12300.00,12740.00,11970.00,12100.00,41866722200,3458921,4202,D,12590.00,12110.00
Abadan.PG,20210802,13000.00,13300.00,12520.00,12590.00,54375618140,4320092,3592,D,13170.00,12520.00
Abadan.PG,20210801,13000.00,13500.00,12880.00,13170.00,29131000220,2211854,4457,D,13150.00,12990.00
Abadan.PG,20210731,13010.00,13590.00,12600.00,13150.00,62083539170,4719615,4951,D,13150.00,13170.00
Abadan.PG,20210728,12980.00,13550.00,12830.00,13150.00,41090655020,3125597,5838,D,13410.00,13050.00
Abadan.PG,20210727,12810.00,13750.00,12570.00,13410.00,56076403840,4182814,4764,D,13150.00,13120.00
Abadan.PG,20210726,13460.00,14000.00,12970.00,13150.00,53167531510,4043192,5317,D,13650.00,12980.00
Abadan.PG,20210719,13000.00,13870.00,12900.00,13650.00,94637898630,6931392,6135,D,13210.00,13430.00
Abadan.PG,20210718,13220.00,13830.00,12810.00,13210.00,75480336240,5714202,4926,D,13480.00,12960.00
Abadan.PG,20210717,12660.00,13590.00,12600.00,13480.00,195445542890,14496810,7489,D,12950.00,13240.00
Abadan.PG,20210714,12880.00,13150.00,12580.00,12950.00,105921187180,8180872,8714,D,12770.00,13100.00
Abadan.PG,20210713,11750.00,12840.00,11750.00,12770.00,191696589530,15009489,7859,D,12230.00,12840.00
Abadan.PG,20210712,12280.00,12600.00,12000.00,12230.00,49203601610,4023355,5941,D,12600.00,12070.00
Abadan.PG,20210711,12820.00,12950.00,12000.00,12600.00,96867091460,7689561,6153,D,12610.00,12380.00
Abadan.PG,20210710,12610.00,12610.00,12400.00,12610.00,123936765530,9831728,4534,D,12010.00,12610.00
Abadan.PG,20210707,11800.00,12030.00,11800.00,12010.00,26334559740,2193368,3037,D,11460.00,12030.00
