<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
R..Mill.Prod.,20210921,198140.00,207880.00,195400.00,201090.00,124641864560,619832,1685,D,198140.00,205520.00
R..Mill.Prod.,20210920,193000.00,202280.00,193000.00,198140.00,64963186080,327861,1445,D,198790.00,199010.00
R..Mill.Prod.,20210919,197900.00,206500.00,197890.00,198790.00,63753136330,320712,1071,D,208300.00,197890.00
R..Mill.Prod.,20210918,214500.00,214500.00,206830.00,208300.00,33869439880,162596,693,D,217710.00,206830.00
R..Mill.Prod.,20210915,218900.00,222950.00,211410.00,217710.00,88410651530,406097,2058,D,222530.00,214520.00
R..Mill.Prod.,20210914,227500.00,228930.00,207150.00,222530.00,149330252100,671055,2311,D,218030.00,218200.00
R..Mill.Prod.,20210913,210600.00,219710.00,208000.00,218030.00,193271719540,886449,2644,D,209250.00,219710.00
R..Mill.Prod.,20210912,214210.00,217720.00,205030.00,209250.00,97136792380,464218,1624,D,210320.00,215030.00
R..Mill.Prod.,20210911,205000.00,213520.00,199000.00,210320.00,95050118830,451940,1737,D,204020.00,211400.00
R..Mill.Prod.,20210908,201510.00,206390.00,201510.00,204020.00,57783216150,283221,1328,D,201480.00,202990.00
R..Mill.Prod.,20210907,202900.00,204640.00,197240.00,201480.00,72270780260,358691,1408,D,198030.00,201110.00
R..Mill.Prod.,20210906,204000.00,205900.00,193000.00,198030.00,161753464430,816829,2092,D,199200.00,199000.00
R..Mill.Prod.,20210905,197500.00,206890.00,197340.00,199200.00,164315329440,824868,1944,D,204020.00,200830.00
R..Mill.Prod.,20210904,196000.00,207330.00,196000.00,204020.00,208632878320,1022605,2630,D,197460.00,207170.00
R..Mill.Prod.,20210901,186580.00,206200.00,186580.00,197460.00,230309116890,1166374,3132,D,196390.00,206200.00
R..Mill.Prod.,20210831,196010.00,199800.00,196010.00,196390.00,162671712570,828298,1462,D,206320.00,196010.00
R..Mill.Prod.,20210830,206150.00,214980.00,206150.00,206320.00,100227093520,485786,635,D,216990.00,206150.00
R..Mill.Prod.,20210829,227330.00,227330.00,209990.00,216990.00,172456324250,794748,1720,D,221040.00,209990.00
R..Mill.Prod.,20210828,231500.00,231500.00,217040.00,221040.00,318360874250,1440306,2495,D,228460.00,219800.00
R..Mill.Prod.,20210825,231000.00,238900.00,223700.00,228460.00,67683501010,296266,1077,D,231470.00,227850.00
R..Mill.Prod.,20210824,231600.00,231600.00,228000.00,231470.00,71793854880,310164,702,D,220580.00,231600.00
R..Mill.Prod.,20210823,212010.00,220950.00,212010.00,220580.00,82175634910,372544,565,D,210430.00,220950.00
R..Mill.Prod.,20210822,202000.00,211540.00,199420.00,210430.00,103392490140,491334,957,D,201470.00,211540.00
R..Mill.Prod.,20210815,204400.00,204400.00,198500.00,201470.00,24503113180,121620,510,D,204150.00,202360.00
R..Mill.Prod.,20210814,204780.00,209200.00,200400.00,204150.00,45041915600,220630,734,D,200340.00,203990.00
R..Mill.Prod.,20210811,198050.00,204000.00,198000.00,200340.00,118587409750,591929,752,D,199640.00,203000.00
R..Mill.Prod.,20210810,204700.00,204770.00,198400.00,199640.00,20293397450,101650,423,D,199600.00,200000.00
R..Mill.Prod.,20210809,195500.00,203200.00,195500.00,199600.00,31583393970,158237,403,D,198670.00,200950.00
R..Mill.Prod.,20210808,195000.00,202950.00,195000.00,198670.00,25249816470,127096,441,D,198890.00,198280.00
R..Mill.Prod.,20210807,192500.00,203500.00,192500.00,198890.00,48728459740,245000,532,D,197410.00,198490.00
R..Mill.Prod.,20210804,192210.00,204290.00,192210.00,197410.00,43144389860,218547,738,D,196170.00,203510.00
R..Mill.Prod.,20210803,193000.00,205000.00,193000.00,196170.00,40967922840,208839,911,D,202700.00,198190.00
R..Mill.Prod.,20210802,214990.00,214990.00,201720.00,202700.00,38667149720,190762,660,D,212330.00,201720.00
R..Mill.Prod.,20210801,210010.00,215300.00,206740.00,212330.00,32974260290,155299,670,D,205270.00,211530.00
R..Mill.Prod.,20210731,191800.00,206710.00,191800.00,205270.00,34941055310,170218,626,D,196870.00,206700.00
R..Mill.Prod.,20210728,192300.00,198090.00,185010.00,196870.00,80658619830,409715,795,D,188660.00,198090.00
R..Mill.Prod.,20210727,185800.00,194000.00,182200.00,188660.00,36583478680,193914,587,D,191650.00,192300.00
R..Mill.Prod.,20210726,206000.00,206000.00,189960.00,191650.00,64566437710,336894,909,D,199950.00,190500.00
R..Mill.Prod.,20210719,197000.00,204000.00,190710.00,199950.00,31138128670,155727,601,D,200530.00,199000.00
R..Mill.Prod.,20210718,201000.00,209970.00,198200.00,200530.00,93967916430,468587,937,D,208630.00,198200.00
R..Mill.Prod.,20210717,215000.00,217000.00,200000.00,208630.00,63092925160,302422,1099,D,209260.00,206500.00
R..Mill.Prod.,20210714,209920.00,213000.00,206900.00,209260.00,26972302860,128896,571,D,206900.00,210970.00
R..Mill.Prod.,20210713,200010.00,212980.00,200010.00,206900.00,56013967610,270733,998,D,206760.00,208850.00
R..Mill.Prod.,20210712,208900.00,209680.00,199000.00,206760.00,90749092060,438900,1358,D,199700.00,201300.00
R..Mill.Prod.,20210711,204500.00,205090.00,187580.00,199700.00,74371706650,372417,1027,D,195330.00,205090.00
R..Mill.Prod.,20210710,195980.00,196070.00,186680.00,195330.00,64459198670,330008,1024,D,186740.00,196070.00
R..Mill.Prod.,20210707,188350.00,188940.00,181690.00,186740.00,63824321680,341780,921,D,179950.00,188940.00
R..Mill.Prod.,20210706,177100.00,182470.00,173540.00,179950.00,63086395870,350583,871,D,173790.00,182470.00
R..Mill.Prod.,20210705,168880.00,174440.00,168880.00,173790.00,64920790030,373549,554,D,166140.00,174440.00
R..Mill.Prod.,20210704,160010.00,169090.00,160010.00,166140.00,14852637230,89398,351,D,168040.00,164630.00
R..Mill.Prod.,20210703,170000.00,171850.00,164380.00,168040.00,35053298240,208606,666,D,172320.00,165310.00
