<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Noush.Maz.,20210921,43680.00,43680.00,40400.00,43140.00,608117989560,14095891,6315,D,41600.00,42810.00
Noush.Maz.,20210920,41000.00,41820.00,40990.00,41600.00,63764602350,1532734,850,D,39830.00,41820.00
Noush.Maz.,20210919,36710.00,39970.00,36710.00,39830.00,410923624360,10317413,4591,D,38070.00,39970.00
Noush.Maz.,20210918,40950.00,40950.00,37740.00,38070.00,118712936430,3118376,2324,D,39720.00,37740.00
Noush.Maz.,20210915,41780.00,41780.00,39200.00,39720.00,156900892140,3950079,3634,D,41260.00,39200.00
Noush.Maz.,20210914,39750.00,42690.00,39750.00,41260.00,191894531640,4650951,3534,D,40970.00,40900.00
Noush.Maz.,20210913,41100.00,42700.00,40810.00,40970.00,169837841790,4145116,2044,D,42950.00,40810.00
Noush.Maz.,20210912,43010.00,44800.00,42750.00,42950.00,56328337090,1311582,1011,D,44990.00,42750.00
Noush.Maz.,20210911,46000.00,47500.00,44080.00,44990.00,399359468720,8877339,4833,D,46390.00,44080.00
Noush.Maz.,20210908,46670.00,47900.00,43510.00,46390.00,558021077710,12029941,7867,D,45620.00,46000.00
Noush.Maz.,20210907,45000.00,45700.00,43850.00,45620.00,676436701160,14826044,5786,D,43530.00,45700.00
Noush.Maz.,20210906,43550.00,43580.00,42760.00,43530.00,271135490430,6229151,2170,D,41510.00,43580.00
Noush.Maz.,20210905,41500.00,42090.00,39500.00,41510.00,198189694240,4774932,2322,D,40090.00,42090.00
Noush.Maz.,20210904,40000.00,40150.00,39000.00,40090.00,384426537490,9588756,3497,D,38240.00,40150.00
Noush.Maz.,20210901,36600.00,38980.00,36130.00,38240.00,356242452330,9316053,3282,D,37130.00,38980.00
Noush.Maz.,20210831,36800.00,38600.00,36800.00,37130.00,164842316490,4440143,2773,D,38730.00,36800.00
Noush.Maz.,20210830,38690.00,39600.00,38690.00,38730.00,82359304950,2126351,1393,D,40720.00,38690.00
Noush.Maz.,20210829,42370.00,42370.00,39640.00,40720.00,298138960580,7321166,5148,D,41720.00,39640.00
Noush.Maz.,20210828,42480.00,42480.00,41000.00,41720.00,333006628510,7981284,4905,D,40530.00,42130.00
Noush.Maz.,20210825,39990.00,40880.00,39040.00,40530.00,379966154610,9375014,4439,D,38940.00,40880.00
Noush.Maz.,20210824,38150.00,39800.00,38100.00,38940.00,219175804380,5628185,3869,D,38610.00,38870.00
Noush.Maz.,20210823,38950.00,39550.00,37000.00,38610.00,231887076500,6005461,3598,D,38910.00,38110.00
Noush.Maz.,20210822,38920.00,38920.00,38500.00,38910.00,280442607310,7207730,2872,D,37070.00,38920.00
Noush.Maz.,20210815,37390.00,38300.00,36020.00,37070.00,120616643230,3253759,2614,D,37180.00,37160.00
Noush.Maz.,20210814,37100.00,38500.00,36860.00,37180.00,159957757120,4302791,3035,D,38490.00,37000.00
Noush.Maz.,20210811,39030.00,40200.00,37990.00,38490.00,181457918260,4714798,3450,D,39580.00,38350.00
Noush.Maz.,20210810,41440.00,41440.00,38800.00,39580.00,130286922390,3292044,3071,D,39970.00,39500.00
Noush.Maz.,20210809,40000.00,40130.00,39000.00,39970.00,247959841970,6204410,3787,D,38220.00,40130.00
Noush.Maz.,20210808,37970.00,38880.00,36530.00,38220.00,122401224740,3202515,2265,D,37030.00,38880.00
Noush.Maz.,20210807,36500.00,38440.00,35810.00,37030.00,135848118620,3669031,3049,D,37450.00,37100.00
Noush.Maz.,20210804,37000.00,38500.00,36700.00,37450.00,202543360920,5408650,3704,D,38630.00,37650.00
Noush.Maz.,20210803,39000.00,40480.00,37010.00,38630.00,223951605300,5797138,4466,D,38610.00,37940.00
Noush.Maz.,20210802,38600.00,38750.00,37480.00,38610.00,177899148930,4607198,2149,D,36910.00,38750.00
