<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Azar.Refract.,20210921,17930.00,17930.00,16820.00,16860.00,38309025480,2271702,400,D,17700.00,16820.00
Azar.Refract.,20210920,17500.00,18230.00,17300.00,17700.00,30764166930,1738564,533,D,17720.00,17580.00
Azar.Refract.,20210919,18080.00,18620.00,16910.00,17720.00,43415302720,2450449,774,D,17800.00,17690.00
Azar.Refract.,20210918,17660.00,18240.00,17510.00,17800.00,35143286670,1973842,669,D,18430.00,17540.00
Azar.Refract.,20210915,18170.00,19000.00,17500.00,18430.00,59703642090,3238614,1492,D,18160.00,18950.00
Azar.Refract.,20210914,17520.00,18450.00,17520.00,18160.00,32997177030,1816979,866,D,17620.00,18190.00
Azar.Refract.,20210913,18230.00,18740.00,17310.00,17620.00,51863086090,2943989,832,D,18220.00,17410.00
Azar.Refract.,20210912,19000.00,19090.00,17960.00,18220.00,52725296850,2893432,790,D,18900.00,18340.00
Azar.Refract.,20210911,18960.00,19980.00,18740.00,18900.00,96987412990,5131996,1273,D,19720.00,18740.00
Azar.Refract.,20210908,19600.00,20280.00,19300.00,19720.00,71473555950,3624193,1307,D,19530.00,19810.00
Azar.Refract.,20210907,18400.00,19820.00,18070.00,19530.00,91062239620,4661509,1612,D,18880.00,19600.00
Azar.Refract.,20210906,18800.00,19240.00,18310.00,18880.00,56395811230,2987202,1030,D,18630.00,18890.00
Azar.Refract.,20210905,18500.00,18890.00,18200.00,18630.00,52777676410,2833564,906,D,18720.00,18600.00
Azar.Refract.,20210904,18340.00,18760.00,18240.00,18720.00,119905434500,6403919,1116,D,17870.00,18760.00
Azar.Refract.,20210901,17000.00,18120.00,17000.00,17870.00,93931971150,5256716,841,D,17260.00,18120.00
Azar.Refract.,20210831,17170.00,17770.00,17170.00,17260.00,92509998590,5358473,911,D,18070.00,17170.00
Azar.Refract.,20210830,17720.00,18600.00,17710.00,18070.00,51500033180,2849358,623,D,18640.00,17710.00
Azar.Refract.,20210829,18840.00,19350.00,17900.00,18640.00,103619189650,5558050,1557,D,18840.00,18110.00
Azar.Refract.,20210828,18610.00,19300.00,18300.00,18840.00,104928459960,5568526,1371,D,18580.00,18610.00
Azar.Refract.,20210825,19200.00,19200.00,18000.00,18580.00,106159077860,5712874,1300,D,18490.00,18550.00
Azar.Refract.,20210824,17990.00,18650.00,17560.00,18490.00,96456511570,5216878,868,D,17770.00,18650.00
Azar.Refract.,20210823,17610.00,18200.00,17190.00,17770.00,71373067180,4015835,994,D,17450.00,17630.00
Azar.Refract.,20210822,17010.00,17610.00,16860.00,17450.00,89214880810,5111977,1243,D,16780.00,17310.00
Azar.Refract.,20210815,16210.00,17110.00,16210.00,16780.00,72991570820,4350286,939,D,16380.00,17000.00
Azar.Refract.,20210814,16200.00,16720.00,16050.00,16380.00,63096572380,3852668,999,D,16540.00,16520.00
Azar.Refract.,20210811,16450.00,16850.00,16200.00,16540.00,72549773120,4386671,1162,D,16200.00,16420.00
Azar.Refract.,20210810,15850.00,16550.00,15400.00,16200.00,149768030320,9245041,1346,D,15770.00,16410.00
Azar.Refract.,20210809,15230.00,16110.00,15230.00,15770.00,45627513590,2892615,966,D,15640.00,15830.00
Azar.Refract.,20210808,16000.00,16190.00,15490.00,15640.00,100079164910,6397438,1462,D,16300.00,15500.00
Azar.Refract.,20210807,16320.00,16500.00,15700.00,16300.00,111620946680,6849473,1323,D,15720.00,16030.00
Azar.Refract.,20210804,15850.00,16090.00,14910.00,15720.00,151996398450,9668606,1279,D,15330.00,16090.00
Azar.Refract.,20210803,15830.00,15830.00,15100.00,15330.00,43774219820,2855799,804,D,15710.00,15440.00
Azar.Refract.,20210802,15630.00,16240.00,15250.00,15710.00,59476447830,3785989,1050,D,15590.00,15350.00
Azar.Refract.,20210801,15560.00,15700.00,14820.00,15590.00,165820421930,10634700,1547,D,14960.00,15630.00
Azar.Refract.,20210731,14510.00,15120.00,14200.00,14960.00,185538917030,12399862,1278,D,14400.00,15120.00
Azar.Refract.,20210728,14750.00,14750.00,14010.00,14400.00,43563511360,3024219,781,D,14640.00,14590.00
Azar.Refract.,20210727,15370.00,15560.00,14500.00,14640.00,35540977200,2427268,654,D,15260.00,14500.00
Azar.Refract.,20210726,14990.00,15460.00,14780.00,15260.00,107627212920,7052699,1302,D,14730.00,15180.00
Azar.Refract.,20210719,14110.00,14910.00,14100.00,14730.00,65959894520,4479352,901,D,14200.00,14910.00
Azar.Refract.,20210718,14700.00,14790.00,13970.00,14200.00,48030136540,3383550,954,D,14700.00,14070.00
Azar.Refract.,20210717,14780.00,15020.00,14410.00,14700.00,50811351590,3456209,979,D,15090.00,14590.00
Azar.Refract.,20210714,15490.00,15640.00,14760.00,15090.00,60489681260,4008486,1174,D,15260.00,14810.00
Azar.Refract.,20210713,15090.00,15670.00,14660.00,15260.00,59504968600,3898330,1100,D,15230.00,15300.00
Azar.Refract.,20210712,15410.00,15690.00,14500.00,15230.00,126014810840,8276740,1991,D,14950.00,15000.00
Azar.Refract.,20210711,14790.00,14970.00,14560.00,14950.00,57566139560,3851268,451,D,14260.00,14970.00
Azar.Refract.,20210710,13740.00,14340.00,13620.00,14260.00,116005259860,8133237,1105,D,13660.00,14340.00
Azar.Refract.,20210707,13910.00,13910.00,13500.00,13660.00,37461181640,2741697,875,D,13590.00,13740.00
Azar.Refract.,20210706,13710.00,13950.00,13410.00,13590.00,74899270480,5509957,1239,D,13750.00,13760.00
Azar.Refract.,20210705,13670.00,14090.00,13500.00,13750.00,32810356520,2386703,731,D,13670.00,13660.00
Azar.Refract.,20210704,13120.00,13950.00,13120.00,13670.00,26737975910,1955825,643,D,13600.00,13740.00
Azar.Refract.,20210703,14250.00,14250.00,13220.00,13600.00,45359999660,3334225,864,D,13770.00,13500.00
Azar.Refract.,20210630,13540.00,13930.00,13020.00,13770.00,92941587250,6748805,1154,D,13270.00,13930.00
Azar.Refract.,20210629,13190.00,13790.00,13010.00,13270.00,33694277750,2538310,812,D,13320.00,13360.00
Azar.Refract.,20210628,13970.00,14050.00,13280.00,13320.00,101619019740,7629872,1282,D,13970.00,13280.00
Azar.Refract.,20210627,13450.00,14280.00,13450.00,13970.00,50610007320,3623392,971,D,13840.00,13650.00
Azar.Refract.,20210626,13770.00,13880.00,13370.00,13840.00,114904766350,8301781,1169,D,13220.00,13880.00
Azar.Refract.,20210623,12800.00,13370.00,12620.00,13220.00,66747029180,5048826,756,D,12740.00,13370.00
Azar.Refract.,20210622,12600.00,13020.00,12570.00,12740.00,38957673660,3058458,926,D,12780.00,12630.00
Azar.Refract.,20210621,12940.00,13100.00,12550.00,12780.00,30717970960,2403092,774,D,12760.00,12690.00
Azar.Refract.,20210620,13520.00,13520.00,12660.00,12760.00,39930994580,3130529,1008,D,13320.00,12940.00
