<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Pars.Refract.,20210921,4660.00,4698.00,4305.00,4401.00,96974535478,22035794,1927,D,4531.00,4305.00
Pars.Refract.,20210920,4210.00,4579.00,4210.00,4531.00,157313490865,34723046,2420,D,4361.00,4579.00
Pars.Refract.,20210919,4340.00,4438.00,4121.00,4361.00,200835757894,46057232,3266,D,4227.00,4293.00
Pars.Refract.,20210918,4100.00,4326.00,3970.00,4227.00,135517621562,32061765,2322,D,4120.00,4326.00
Pars.Refract.,20210915,4318.00,4318.00,4103.00,4120.00,146121947365,35465060,2929,D,4318.00,4103.00
Pars.Refract.,20210914,4206.00,4550.00,4206.00,4318.00,273708523597,63391701,4235,D,4427.00,4260.00
Pars.Refract.,20210913,4347.00,4347.00,4347.00,4427.00,8738187255,2010165,179,D,4575.00,4347.00
Pars.Refract.,20210912,4560.00,4676.00,4528.00,4575.00,12399153222,2726032,387,D,4766.00,4528.00
Pars.Refract.,20210911,4860.00,5030.00,4588.00,4766.00,99253866901,20827584,1523,D,4829.00,4588.00
Pars.Refract.,20210907,4680.00,4870.00,4440.00,4829.00,204345485867,42315944,2732,D,4639.00,4870.00
Pars.Refract.,20210906,4550.00,4672.00,4466.00,4639.00,80107378360,17266472,1394,D,4450.00,4600.00
Pars.Refract.,20210905,4280.00,4487.00,4280.00,4450.00,126781523081,28490174,1651,D,4274.00,4487.00
Pars.Refract.,20210904,4210.00,4384.00,4180.00,4274.00,197356974347,46173401,3866,D,4391.00,4300.00
Pars.Refract.,20210901,4450.00,4550.00,4268.00,4391.00,185161825580,42164072,3714,D,4334.00,4354.00
Pars.Refract.,20210831,4240.00,4393.00,3981.00,4334.00,204856047879,47262017,3025,D,4184.00,4393.00
Pars.Refract.,20210830,3953.00,4274.00,3868.00,4184.00,268402909264,64153421,3557,D,4071.00,4240.00
Pars.Refract.,20210829,4124.00,4124.00,3750.00,4071.00,456153374539,112061882,4718,D,3928.00,3920.00
Pars.Refract.,20210828,3988.00,3988.00,3988.00,3928.00,10746403780,2694685,145,D,3799.00,3988.00
Pars.Refract.,20210825,3847.00,3847.00,3847.00,3799.00,12988768439,3376337,184,D,3664.00,3847.00
Pars.Refract.,20210824,3751.00,3751.00,3751.00,3664.00,8754421390,2333890,148,D,3573.00,3751.00
Pars.Refract.,20210823,3573.00,3573.00,3550.00,3573.00,18166969870,5084558,272,D,3403.00,3573.00
Pars.Refract.,20210822,3300.00,3432.00,3300.00,3403.00,97513030194,28652136,1351,D,3269.00,3432.00
Pars.Refract.,20210815,3229.00,3330.00,3155.00,3269.00,45819047294,14015580,1035,D,3205.00,3291.00
