<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Ofogh.Koorosh,20210921,56990.00,56990.00,53510.00,55010.00,63528907820,1155777,1163,D,56160.00,53790.00
Ofogh.Koorosh,20210920,54230.00,56800.00,54230.00,56160.00,75788475600,1349517,1275,D,56380.00,56600.00
Ofogh.Koorosh,20210919,58710.00,59480.00,55690.00,56380.00,136726990290,2425196,2099,D,58620.00,55690.00
Ofogh.Koorosh,20210918,61290.00,61990.00,58230.00,58620.00,201709770740,3441046,2400,D,61290.00,58250.00
Ofogh.Koorosh,20210915,62000.00,62280.00,60320.00,61290.00,57169684410,933927,1794,D,61560.00,61010.00
Ofogh.Koorosh,20210914,61000.00,62980.00,60600.00,61560.00,46527194690,752083,1162,D,61060.00,62170.00
Ofogh.Koorosh,20210913,61570.00,62600.00,60000.00,61060.00,53394086160,877128,1264,D,61580.00,60880.00
Ofogh.Koorosh,20210912,64300.00,64300.00,61470.00,61580.00,121776877050,1977552,1841,D,64700.00,61750.00
Ofogh.Koorosh,20210911,66090.00,66090.00,63210.00,64700.00,48945194150,759901,1123,D,65200.00,63820.00
Ofogh.Koorosh,20210908,64000.00,66860.00,64000.00,65200.00,68189942890,1046863,1767,D,65590.00,64800.00
Ofogh.Koorosh,20210907,65750.00,66870.00,64000.00,65590.00,95882451590,1461888,1985,D,65750.00,64500.00
Ofogh.Koorosh,20210906,63000.00,66030.00,62520.00,65750.00,358436040740,5451821,3084,D,62890.00,65000.00
Ofogh.Koorosh,20210905,62010.00,63890.00,61750.00,62890.00,133506249500,2122804,1658,D,62690.00,63040.00
Ofogh.Koorosh,20210904,64350.00,64430.00,61940.00,62690.00,79454489710,1267392,1950,D,62860.00,62750.00
Ofogh.Koorosh,20210901,61600.00,64370.00,60000.00,62860.00,99913176510,1589510,1683,D,61700.00,63190.00
Ofogh.Koorosh,20210831,60100.00,63990.00,60100.00,61700.00,88258642560,1430352,1618,D,63030.00,61500.00
Ofogh.Koorosh,20210830,63070.00,65300.00,62770.00,63030.00,107165798330,1700218,1221,D,66070.00,62770.00
Ofogh.Koorosh,20210829,67990.00,68000.00,65360.00,66070.00,159243797490,2410126,2845,D,68800.00,65360.00
Ofogh.Koorosh,20210828,69000.00,70590.00,66000.00,68800.00,192224421680,2793878,2377,D,67570.00,67400.00
Ofogh.Koorosh,20210825,65930.00,67990.00,65610.00,67570.00,549906415230,8137888,3228,D,64760.00,67990.00
Ofogh.Koorosh,20210824,62300.00,65110.00,62300.00,64760.00,449126886230,6935705,2373,D,62010.00,65110.00
Ofogh.Koorosh,20210823,61350.00,63000.00,60120.00,62010.00,169700206810,2736562,1799,D,61750.00,62420.00
Ofogh.Koorosh,20210822,62700.00,62930.00,61000.00,61750.00,100855192260,1633282,1719,D,61270.00,61270.00
Ofogh.Koorosh,20210815,60900.00,62160.00,60040.00,61270.00,118192774650,1929094,1410,D,60630.00,62000.00
Ofogh.Koorosh,20210814,60770.00,61790.00,60200.00,60630.00,49592270420,819955,1022,D,60940.00,60400.00
Ofogh.Koorosh,20210811,60530.00,61920.00,60080.00,60940.00,119142695020,1955008,1203,D,60700.00,61000.00
Ofogh.Koorosh,20210810,61400.00,61400.00,60310.00,60700.00,83956296730,1383183,1545,D,61380.00,60540.00
Ofogh.Koorosh,20210809,61000.00,61890.00,60600.00,61380.00,47679748720,776929,943,D,61390.00,61400.00
Ofogh.Koorosh,20210808,61000.00,62830.00,60010.00,61390.00,59582550720,969118,1071,D,61020.00,61000.00
Ofogh.Koorosh,20210807,62200.00,62200.00,60230.00,61020.00,40239634850,661824,878,D,61290.00,60500.00
Ofogh.Koorosh,20210804,59210.00,63490.00,59210.00,61290.00,55997151230,909946,972,D,60500.00,62280.00
Ofogh.Koorosh,20210803,60800.00,61000.00,59300.00,60500.00,41469623380,690268,1097,D,61070.00,60000.00
Ofogh.Koorosh,20210802,60900.00,60900.00,60150.00,61070.00,23985580900,397057,690,D,61400.00,60400.00
Ofogh.Koorosh,20210801,62000.00,62300.00,60500.00,61400.00,59086610590,966725,1075,D,62550.00,61370.00
Ofogh.Koorosh,20210731,64000.00,64000.00,62000.00,62550.00,53948031160,860174,1133,D,62130.00,62090.00
Ofogh.Koorosh,20210728,61490.00,63100.00,60030.00,62130.00,114474812500,1842421,1531,D,60100.00,63100.00
Ofogh.Koorosh,20210727,60500.00,62500.00,59000.00,60100.00,142191184310,2365943,1750,D,61850.00,61150.00
Ofogh.Koorosh,20210726,62000.00,64390.00,61460.00,61850.00,177300932550,2866762,2838,D,64690.00,62000.00
Ofogh.Koorosh,20210719,64980.00,66000.00,63000.00,64690.00,67036510020,1037589,1320,D,65250.00,64850.00
Ofogh.Koorosh,20210718,67490.00,67490.00,64980.00,65250.00,155661470720,2385469,1299,D,68400.00,64980.00
Ofogh.Koorosh,20210717,70000.00,70000.00,67130.00,68400.00,72555322590,1060473,680,D,68260.00,67500.00
Ofogh.Koorosh,20210710,71700.00,75000.00,70050.00,72960.00,568416942650,7791222,2360,D,72490.00,75000.00
Ofogh.Koorosh,20210707,73890.00,73890.00,71400.00,72490.00,223614891230,3084703,1208,D,72840.00,71670.00
Ofogh.Koorosh,20210706,74000.00,74000.00,71010.00,72840.00,293973350390,4036143,1740,D,71460.00,72250.00
Ofogh.Koorosh,20210705,71050.00,73700.00,70090.00,71460.00,197705300140,2766736,1766,D,70200.00,70550.00
Ofogh.Koorosh,20210704,69990.00,70960.00,68000.00,70200.00,180955605720,2577714,2333,D,67590.00,70880.00
Ofogh.Koorosh,20210703,65610.00,67840.00,65600.00,67590.00,207618415730,3071958,2171,D,64610.00,67840.00
Ofogh.Koorosh,20210630,64690.00,65580.00,63000.00,64610.00,83489006420,1292152,1067,D,64710.00,65560.00
Ofogh.Koorosh,20210629,64180.00,64920.00,63700.00,64710.00,24491571410,381056,564,D,64910.00,64890.00
Ofogh.Koorosh,20210628,65000.00,65450.00,64000.00,64910.00,39535969530,612803,782,D,65330.00,64300.00
Ofogh.Koorosh,20210627,65390.00,65900.00,64800.00,65330.00,42112896110,645073,617,D,65390.00,65470.00
Ofogh.Koorosh,20210626,65060.00,66500.00,64910.00,65390.00,62176428750,950411,799,D,65250.00,65560.00
Ofogh.Koorosh,20210623,65180.00,67200.00,64000.00,65250.00,132755625960,2034573,1020,D,64530.00,65690.00
Ofogh.Koorosh,20210622,64310.00,65980.00,63800.00,64530.00,51781347930,800992,646,D,64310.00,64860.00
Ofogh.Koorosh,20210621,65000.00,65000.00,63530.00,64310.00,44959058840,699835,579,D,64400.00,64490.00
Ofogh.Koorosh,20210620,63800.00,65000.00,63200.00,64400.00,50719155140,786662,499,D,64260.00,64610.00
Ofogh.Koorosh,20210619,63020.00,65000.00,63020.00,64260.00,23923772700,372338,407,D,64270.00,64460.00
Ofogh.Koorosh,20210616,63030.00,64500.00,63030.00,64270.00,15586543350,243433,328,D,64330.00,64420.00
Ofogh.Koorosh,20210615,65180.00,65180.00,63810.00,64330.00,39922404010,617782,490,D,64030.00,64130.00
Ofogh.Koorosh,20210614,64380.00,65290.00,62910.00,64030.00,51368629440,802536,768,D,64060.00,65000.00
Ofogh.Koorosh,20210613,63110.00,64760.00,63110.00,64060.00,57516381770,899077,567,D,64340.00,63790.00
Ofogh.Koorosh,20210612,64300.00,65990.00,62980.00,64340.00,73873325200,1148910,809,D,65230.00,63060.00
Ofogh.Koorosh,20210609,65020.00,65910.00,62560.00,65230.00,40511698710,626528,593,D,65850.00,64800.00
Ofogh.Koorosh,20210608,65030.00,67040.00,64500.00,65850.00,28378239880,429645,581,D,65740.00,65000.00
Ofogh.Koorosh,20210607,65090.00,66510.00,64800.00,65740.00,49395681800,754037,857,D,66130.00,66100.00
Ofogh.Koorosh,20210602,64900.00,67250.00,64510.00,66130.00,69643603280,1053527,597,D,66270.00,66460.00
Ofogh.Koorosh,20210601,65990.00,66500.00,64530.00,66270.00,27053126800,413052,378,D,66680.00,65830.00
Ofogh.Koorosh,20210531,66000.00,66940.00,64920.00,66680.00,23622015710,358421,505,D,67010.00,65300.00
Ofogh.Koorosh,20210530,67500.00,69440.00,66000.00,67010.00,53455963720,796304,770,D,66780.00,66000.00
Ofogh.Koorosh,20210529,65010.00,68000.00,65010.00,66780.00,68786478280,1026812,813,D,65550.00,67040.00
Ofogh.Koorosh,20210526,68200.00,68200.00,64900.00,65550.00,40626110280,615772,805,D,65100.00,65990.00
Ofogh.Koorosh,20210525,62570.00,67650.00,62570.00,65100.00,61574462210,943244,835,D,64430.00,67640.00
Ofogh.Koorosh,20210524,63200.00,64770.00,63000.00,64430.00,23529894780,369712,569,D,64780.00,64150.00
Ofogh.Koorosh,20210523,62810.00,65840.00,62810.00,64780.00,54662456150,849176,814,D,65770.00,63090.00
Ofogh.Koorosh,20210522,66100.00,66970.00,64290.00,65770.00,53155581640,819236,849,D,67670.00,65000.00
Ofogh.Koorosh,20210519,67130.00,68100.00,66200.00,67670.00,53789552030,797946,593,D,68190.00,66990.00
Ofogh.Koorosh,20210518,66100.00,68990.00,66100.00,68190.00,47500064440,695361,545,D,68030.00,67120.00
Ofogh.Koorosh,20210517,68600.00,68600.00,66540.00,68030.00,25364207140,378083,517,D,68460.00,66850.00
Ofogh.Koorosh,20210516,67200.00,69280.00,67200.00,68460.00,42795170380,627382,556,D,68730.00,67780.00
Ofogh.Koorosh,20210515,68970.00,69460.00,66140.00,68730.00,70733887860,1029809,808,D,68980.00,69190.00
Ofogh.Koorosh,20210512,68500.00,70480.00,67110.00,68980.00,52723934570,761565,685,D,68550.00,67720.00
Ofogh.Koorosh,20210511,66010.00,69500.00,66010.00,68550.00,74795851450,1089441,625,D,67470.00,69190.00
Ofogh.Koorosh,20210510,65650.00,68370.00,65650.00,67470.00,36908246260,549043,610,D,67680.00,67400.00
Ofogh.Koorosh,20210509,66940.00,67450.00,66320.00,67680.00,26923896780,405845,479,D,68370.00,66320.00
Ofogh.Koorosh,20210508,68650.00,69900.00,66650.00,68370.00,46719350380,685787,648,D,68700.00,66840.00
Ofogh.Koorosh,20210505,67000.00,70000.00,67000.00,68700.00,70801421540,1029941,634,D,68450.00,68990.00
Ofogh.Koorosh,20210503,69000.00,69450.00,66950.00,68450.00,46094917470,677816,721,D,69020.00,68700.00
Ofogh.Koorosh,20210502,70010.00,71190.00,68590.00,69020.00,117747643270,1706052,662,D,70710.00,68590.00
Ofogh.Koorosh,20210501,72360.00,72400.00,70000.00,70710.00,62930460060,891296,614,D,71020.00,70990.00
Ofogh.Koorosh,20210428,69400.00,71990.00,69400.00,71020.00,77711201360,1094612,677,D,71240.00,71360.00
Ofogh.Koorosh,20210427,71000.00,72400.00,70020.00,71240.00,59596616240,834489,838,D,70840.00,70350.00
Ofogh.Koorosh,20210426,70000.00,72470.00,68500.00,70840.00,103646136380,1463035,1119,D,70590.00,71300.00
Ofogh.Koorosh,20210425,70520.00,72000.00,69500.00,70590.00,117708813630,1667499,1656,D,68900.00,70110.00
Ofogh.Koorosh,20210424,64500.00,70270.00,64320.00,68900.00,388406301700,5637099,2371,D,66300.00,70260.00
Ofogh.Koorosh,20210421,66110.00,69500.00,66020.00,66300.00,129843018090,1958425,1082,D,68060.00,66020.00
Ofogh.Koorosh,20210420,68040.00,69360.00,68040.00,68060.00,133640712000,1963474,830,D,69420.00,68100.00
Ofogh.Koorosh,20210419,68090.00,68090.00,68090.00,69420.00,2710322450,39805,65,D,69470.00,68090.00
Ofogh.Koorosh,20210418,68140.00,68140.00,68140.00,69470.00,3410543280,50052,54,D,69530.00,68140.00
Ofogh.Koorosh,20210417,68390.00,69000.00,68390.00,69530.00,15068942870,220319,201,D,69780.00,68390.00
Ofogh.Koorosh,20210414,70000.00,70000.00,69030.00,69780.00,41529399220,600681,713,D,70430.00,69030.00
Ofogh.Koorosh,20210413,69040.00,71700.00,69040.00,70430.00,150985668820,2143725,1048,D,69760.00,69990.00
Ofogh.Koorosh,20210412,70000.00,70900.00,69300.00,69760.00,44140194070,632310,687,D,69700.00,69400.00
Ofogh.Koorosh,20210411,69200.00,70990.00,68020.00,69700.00,105202118430,1509275,1178,D,69200.00,69750.00
Ofogh.Koorosh,20210410,68190.00,69970.00,68170.00,69200.00,108172254990,1563213,1156,D,69560.00,69200.00
Ofogh.Koorosh,20210407,69410.00,70500.00,68960.00,69560.00,73982447830,1065044,1072,D,70360.00,70000.00
Ofogh.Koorosh,20210406,70700.00,71990.00,69500.00,70360.00,56430829040,802227,806,D,70400.00,69920.00
Ofogh.Koorosh,20210405,70000.00,71310.00,69340.00,70400.00,99864605590,1418488,1021,D,70650.00,70700.00
Ofogh.Koorosh,20210404,70700.00,72000.00,69110.00,70650.00,111914977520,1583991,1214,D,70130.00,70250.00
Ofogh.Koorosh,20210403,71000.00,71500.00,68980.00,70130.00,88234265560,1258179,1412,D,70380.00,70000.00
Ofogh.Koorosh,20210331,70550.00,71580.00,70030.00,70380.00,125339215550,1780797,928,D,71450.00,71450.00
Ofogh.Koorosh,20210330,71120.00,72470.00,71120.00,71450.00,89953136780,1258991,839,D,72570.00,71120.00
Ofogh.Koorosh,20210328,73990.00,73990.00,71500.00,72570.00,53553926750,739813,804,D,72850.00,71620.00
Ofogh.Koorosh,20210327,73650.00,75150.00,72680.00,72850.00,150074559280,2060019,1182,D,74160.00,73690.00
Ofogh.Koorosh,20210317,75800.00,76000.00,73150.00,74160.00,185367462150,2499430,1158,D,72610.00,74200.00
Ofogh.Koorosh,20210316,72000.00,74320.00,70810.00,72610.00,319856221580,4405365,1989,D,70120.00,74320.00
Ofogh.Koorosh,20210315,68420.00,72500.00,68360.00,70120.00,408482391800,5825646,1843,D,69750.00,70520.00
Ofogh.Koorosh,20210314,70500.00,72000.00,69060.00,69750.00,260030106650,3727888,2109,D,70460.00,69330.00
Ofogh.Koorosh,20210313,69550.00,72650.00,69550.00,70460.00,243377737650,3454030,1887,D,70960.00,70500.00
Ofogh.Koorosh,20210310,71150.00,71150.00,69940.00,70960.00,27223895540,388294,416,D,71360.00,69940.00
Ofogh.Koorosh,20210309,71420.00,72970.00,71180.00,71360.00,122786163570,1720538,1345,D,72630.00,71180.00
Ofogh.Koorosh,20210308,71500.00,74890.00,71500.00,72630.00,133583250900,1839117,2427,D,72870.00,73000.00
Ofogh.Koorosh,20210307,72790.00,74250.00,72790.00,72870.00,574296760660,7881458,2442,D,74270.00,73970.00
Ofogh.Koorosh,20210306,72830.00,72830.00,72830.00,74270.00,2503968230,34381,64,D,74310.00,72830.00
Ofogh.Koorosh,20210303,72960.00,72960.00,72960.00,74310.00,7635628800,104655,145,D,74440.00,72960.00
Ofogh.Koorosh,20210302,73340.00,73340.00,73340.00,74440.00,22976761940,313291,182,D,74830.00,73340.00
