<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Investment.Banking,20210921,6000.00,6200.00,5790.00,5840.00,68419279280,11717348,1045,D,6090.00,5860.00
Investment.Banking,20210920,6100.00,6330.00,6040.00,6090.00,48828464970,8011496,1107,D,6340.00,6050.00
Investment.Banking,20210919,6310.00,6500.00,6310.00,6340.00,31786260970,5017343,627,D,6640.00,6310.00
Investment.Banking,20210918,6850.00,6850.00,6530.00,6640.00,20458723360,3107957,433,D,6870.00,6530.00
Investment.Banking,20210915,6820.00,7160.00,6690.00,6870.00,55478539050,8076338,1615,D,6980.00,6800.00
Investment.Banking,20210914,6700.00,7290.00,6670.00,6980.00,84373837670,12082478,1865,D,7010.00,6970.00
Investment.Banking,20210913,7000.00,7160.00,7000.00,7010.00,46683889840,6662287,794,D,7360.00,7000.00
Investment.Banking,20210912,7170.00,7500.00,7170.00,7360.00,13911013890,1938132,372,D,7540.00,7170.00
Investment.Banking,20210911,8050.00,8050.00,7520.00,7540.00,67462849930,8945000,923,D,7910.00,7520.00
Investment.Banking,20210908,7870.00,7940.00,7350.00,7910.00,90874313430,11481380,1709,D,7570.00,7940.00
Investment.Banking,20210907,7260.00,7620.00,7000.00,7570.00,112921416090,14911734,1946,D,7260.00,7620.00
Investment.Banking,20210906,7120.00,7270.00,7020.00,7260.00,136363700840,18791285,1826,D,6930.00,7270.00
Investment.Banking,20210905,6800.00,7130.00,6760.00,6930.00,104865611940,15125302,2231,D,7110.00,6980.00
Investment.Banking,20210904,7200.00,7400.00,6900.00,7110.00,102375342750,14406309,2421,D,7160.00,7020.00
Investment.Banking,20210901,7350.00,7350.00,6870.00,7160.00,138528486870,19339046,2460,D,7220.00,7310.00
Investment.Banking,20210831,7050.00,7290.00,6950.00,7220.00,204167028040,28258608,2937,D,6950.00,7260.00
Investment.Banking,20210830,6700.00,7060.00,6460.00,6950.00,218596243710,31443561,3181,D,6730.00,6970.00
Investment.Banking,20210829,6770.00,6770.00,6480.00,6730.00,182656579470,27120653,2130,D,6450.00,6770.00
Investment.Banking,20210828,6350.00,6480.00,6310.00,6450.00,24928989400,3863317,379,D,6180.00,6480.00
Investment.Banking,20210825,6150.00,6400.00,6000.00,6180.00,100431696940,16243035,1878,D,6260.00,6250.00
Investment.Banking,20210824,6200.00,6330.00,6100.00,6260.00,136499987250,21816327,2411,D,6030.00,6150.00
Investment.Banking,20210823,6010.00,6050.00,5920.00,6030.00,71904189150,11925853,810,D,5770.00,6050.00
Investment.Banking,20210822,5550.00,5800.00,5550.00,5770.00,24099686220,4179829,390,D,5530.00,5800.00
Investment.Banking,20210815,5360.00,5590.00,5360.00,5530.00,59573923650,10772884,972,D,5330.00,5590.00
Investment.Banking,20210814,5620.00,5620.00,5240.00,5330.00,50999543160,9568551,1136,D,5510.00,5360.00
Investment.Banking,20210811,5290.00,5530.00,5280.00,5510.00,78222873590,14186869,1247,D,5270.00,5530.00
Investment.Banking,20210810,5210.00,5390.00,5200.00,5270.00,20115528120,3818754,679,D,5210.00,5280.00
Investment.Banking,20210809,5150.00,5350.00,5120.00,5210.00,23999394200,4610710,793,D,5270.00,5260.00
Investment.Banking,20210808,5270.00,5410.00,5060.00,5270.00,19786665440,3751174,620,D,5230.00,5280.00
Investment.Banking,20210807,5550.00,5550.00,5180.00,5230.00,45445723360,8689848,1076,D,5450.00,5180.00
Investment.Banking,20210804,5430.00,5460.00,5320.00,5450.00,65919251810,12091657,846,D,5200.00,5460.00
Investment.Banking,20210803,5010.00,5290.00,4940.00,5200.00,27862818830,5354833,826,D,5040.00,5290.00
Investment.Banking,20210802,5040.00,5190.00,4980.00,5040.00,50652250760,10056849,1227,D,5240.00,5010.00
Investment.Banking,20210801,5420.00,5440.00,5210.00,5240.00,42901047650,8189182,1134,D,5480.00,5210.00
Investment.Banking,20210731,5740.00,5740.00,5390.00,5480.00,52594711580,9593589,1354,D,5670.00,5450.00
Investment.Banking,20210728,5620.00,5970.00,5540.00,5670.00,45751877840,8074687,1179,D,5830.00,5620.00
Investment.Banking,20210727,6150.00,6150.00,5750.00,5830.00,32194702320,5519259,674,D,6050.00,5760.00
Investment.Banking,20210726,6200.00,6200.00,5940.00,6050.00,26476076220,4375069,610,D,6130.00,6020.00
Investment.Banking,20210719,6230.00,6240.00,6020.00,6130.00,37730210830,6150601,863,D,6120.00,6100.00
Investment.Banking,20210718,6040.00,6250.00,5960.00,6120.00,26735805660,4371374,754,D,6040.00,6120.00
Investment.Banking,20210717,6080.00,6260.00,5850.00,6040.00,44866245250,7426458,866,D,6110.00,6040.00
Investment.Banking,20210714,5950.00,6200.00,5950.00,6110.00,21693990270,3547509,569,D,6100.00,6140.00
Investment.Banking,20210713,6200.00,6320.00,6030.00,6100.00,37614431000,6171187,832,D,6340.00,6080.00
Investment.Banking,20210712,6300.00,6490.00,6210.00,6340.00,38485937870,6071981,729,D,6270.00,6270.00
Investment.Banking,20210711,6230.00,6400.00,6180.00,6270.00,42756477310,6815280,1030,D,6460.00,6290.00
Investment.Banking,20210710,6520.00,6620.00,6260.00,6460.00,149631526180,23153996,1633,D,6410.00,6310.00
Investment.Banking,20210707,6270.00,6420.00,6170.00,6410.00,255015941260,39790653,1156,D,6120.00,6420.00
Investment.Banking,20210706,6030.00,6200.00,5910.00,6120.00,19827428250,3233960,491,D,6030.00,6180.00
Investment.Banking,20210705,6080.00,6190.00,5710.00,6030.00,20355062870,3372018,487,D,5990.00,6010.00
Investment.Banking,20210704,6030.00,6170.00,5900.00,5990.00,21727473060,3630534,600,D,6200.00,5980.00
Investment.Banking,20210703,6050.00,6340.00,6030.00,6200.00,25737046630,4148392,603,D,6140.00,6100.00
Investment.Banking,20210630,6370.00,6410.00,5970.00,6140.00,54585669010,8895938,832,D,6280.00,6280.00
Investment.Banking,20210629,6430.00,6430.00,6270.00,6280.00,74993872020,11946965,1045,D,6600.00,6270.00
Investment.Banking,20210628,6460.00,6890.00,6450.00,6600.00,18600188940,2843328,430,D,6760.00,6560.00
Investment.Banking,20210627,7000.00,7000.00,6560.00,6760.00,25475011070,3767678,537,D,6790.00,6610.00
Investment.Banking,20210626,6780.00,6810.00,6600.00,6790.00,38454398170,5667106,709,D,6490.00,6810.00
