<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Opal.Kani.Pars,20210921,20950.00,21010.00,19920.00,20160.00,196311200980,9739740,3083,D,20960.00,19920.00
Opal.Kani.Pars,20210920,21310.00,21360.00,20650.00,20960.00,104404105430,4981848,2994,D,20940.00,20940.00
Opal.Kani.Pars,20210919,21220.00,21360.00,20160.00,20940.00,200397973520,9568430,3094,D,22160.00,21310.00
Opal.Kani.Pars,20210918,21890.00,21890.00,21200.00,22160.00,13413737320,624673,523,D,22250.00,21220.00
Opal.Kani.Pars,20210915,22680.00,22790.00,21800.00,22250.00,173848478610,7814914,9019,D,22680.00,22090.00
Opal.Kani.Pars,20210914,22910.00,23230.00,22360.00,22680.00,225037238480,9920378,8183,D,22880.00,22500.00
Opal.Kani.Pars,20210913,23200.00,23200.00,21830.00,22880.00,316495553230,13831570,6697,D,22310.00,22930.00
Opal.Kani.Pars,20210912,22990.00,22990.00,21250.00,22310.00,323790228130,14510820,6659,D,22100.00,22750.00
Opal.Kani.Pars,20210911,21510.00,22110.00,21130.00,22100.00,379099944160,17155999,4029,D,21060.00,22110.00
Opal.Kani.Pars,20210908,20810.00,21810.00,20810.00,21060.00,162537936260,7716305,15196,D,21620.00,21000.00
Opal.Kani.Pars,20210907,22200.00,22500.00,21300.00,21620.00,140281772100,6489413,9418,D,22420.00,21330.00
Opal.Kani.Pars,20210906,22510.00,23080.00,21690.00,22420.00,90674475950,4062603,7445,D,22750.00,21800.00
Opal.Kani.Pars,20210905,22790.00,23200.00,21910.00,22750.00,95642447840,4199087,4172,D,22650.00,22700.00
Opal.Kani.Pars,20210904,22320.00,23290.00,22320.00,22650.00,102533057370,4531163,4468,D,22750.00,22480.00
Opal.Kani.Pars,20210901,21750.00,23500.00,21720.00,22750.00,91395305490,4016476,3556,D,22750.00,22820.00
Opal.Kani.Pars,20210831,22590.00,23500.00,22590.00,22750.00,130193696340,5723773,4008,D,23770.00,22690.00
Opal.Kani.Pars,20210830,23250.00,24370.00,23240.00,23770.00,70718292000,3027855,1974,D,24460.00,23240.00
Opal.Kani.Pars,20210829,24180.00,25400.00,23350.00,24460.00,189584668850,7750116,5477,D,24440.00,23550.00
Opal.Kani.Pars,20210828,24900.00,25070.00,24000.00,24440.00,162100403260,6631266,6137,D,24720.00,24360.00
Opal.Kani.Pars,20210825,25120.00,25890.00,23850.00,24720.00,153130567040,6194078,4989,D,24860.00,24900.00
Opal.Kani.Pars,20210824,25110.00,25120.00,24130.00,24860.00,176935063170,7116952,4698,D,23930.00,25030.00
Opal.Kani.Pars,20210823,23220.00,24010.00,22950.00,23930.00,367408781750,15354804,5524,D,22870.00,24010.00
Opal.Kani.Pars,20210822,22030.00,22920.00,22030.00,22870.00,246719146940,10786577,4623,D,21830.00,22920.00
