<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Markazi.Inv.,20210518,1330.00,1330.00,1330.00,1400.00,284380600,213820,9,D,1400.00,1330.00
Markazi.Inv.,20210517,1330.00,1330.00,1330.00,1400.00,8200780,6166,2,D,1400.00,1330.00
Markazi.Inv.,20210516,1330.00,1330.00,1330.00,1400.00,23009000,17300,2,D,1400.00,1330.00
Markazi.Inv.,20210314,1380.00,1380.00,1380.00,1400.00,7590000,5500,1,D,1400.00,1380.00
Markazi.Inv.,20210313,1380.00,1380.00,1380.00,1400.00,13800000,10000,1,D,1400.00,1380.00
Markazi.Inv.,20210310,1380.00,1380.00,1380.00,1400.00,5520000,4000,1,D,1400.00,1380.00
Markazi.Inv.,20210302,1380.00,1380.00,1380.00,1400.00,64998000,47100,6,D,1400.00,1380.00
Markazi.Inv.,20210301,1380.00,1380.00,1380.00,1400.00,6900000,5000,1,D,1400.00,1380.00
Markazi.Inv.,20210228,1380.00,1380.00,1380.00,1400.00,1380000,1000,1,D,1400.00,1380.00
Markazi.Inv.,20210224,1380.00,1380.00,1380.00,1400.00,14000100,10145,1,D,1400.00,1380.00
Markazi.Inv.,20210223,1380.00,1380.00,1380.00,1400.00,40192500,29125,4,D,1400.00,1380.00
Markazi.Inv.,20210221,1380.00,1380.00,1380.00,1400.00,5478600,3970,1,D,1400.00,1380.00
Markazi.Inv.,20210217,1380.00,1380.00,1380.00,1400.00,19596000,14200,2,D,1400.00,1380.00
Markazi.Inv.,20210216,1380.00,1380.00,1380.00,1400.00,23762220,17219,2,D,1400.00,1380.00
Markazi.Inv.,20210214,1380.00,1380.00,1380.00,1400.00,38794560,28112,3,D,1400.00,1380.00
Markazi.Inv.,20210213,1380.00,1380.00,1380.00,1400.00,25031820,18139,2,D,1400.00,1380.00
Markazi.Inv.,20210208,1260.00,1260.00,1260.00,1400.00,783040860,621461,39,D,1400.00,1260.00
Markazi.Inv.,20210207,1330.00,1330.00,1330.00,1400.00,11294360,8492,2,D,1400.00,1330.00
Markazi.Inv.,20210206,1330.00,1330.00,1330.00,1400.00,22610000,17000,1,D,1400.00,1330.00
Markazi.Inv.,20210203,1330.00,1330.00,1330.00,1400.00,17423000,13100,2,D,1400.00,1330.00
Markazi.Inv.,20210202,1330.00,1330.00,1330.00,1400.00,9977660,7502,1,D,1400.00,1330.00
Markazi.Inv.,20210201,1330.00,1330.00,1330.00,1400.00,6650000,5000,1,D,1400.00,1330.00
Markazi.Inv.,20210131,1330.00,1330.00,1330.00,1400.00,19950000,15000,1,D,1400.00,1330.00
Markazi.Inv.,20210130,1330.00,1330.00,1330.00,1400.00,81130000,61000,3,D,1400.00,1330.00
Markazi.Inv.,20210127,1330.00,1330.00,1330.00,1400.00,10799600,8120,2,D,1400.00,1330.00
Markazi.Inv.,20210126,1330.00,1330.00,1330.00,1400.00,8071770,6069,1,D,1400.00,1330.00
Markazi.Inv.,20210125,1330.00,1330.00,1330.00,1400.00,13300000,10000,1,D,1400.00,1330.00
Markazi.Inv.,20210123,1330.00,1330.00,1330.00,1400.00,25900420,19474,3,D,1400.00,1330.00
Markazi.Inv.,20210120,1330.00,1330.00,1330.00,1400.00,44258410,33277,3,D,1400.00,1330.00
Markazi.Inv.,20210113,1330.00,1330.00,1330.00,1400.00,13300000,10000,1,D,1400.00,1330.00
