<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Pars.Darou,20210921,36240.00,36240.00,35100.00,36600.00,2877171580,81553,137,D,36940.00,35660.00
Pars.Darou,20210920,36100.00,37110.00,36010.00,36940.00,4659914270,127638,132,D,37140.00,36880.00
Pars.Darou,20210919,37990.00,37990.00,35900.00,37140.00,5997276400,165442,147,D,37780.00,36380.00
Pars.Darou,20210918,38580.00,38580.00,36650.00,37780.00,3418451460,92365,161,D,38020.00,36850.00
Pars.Darou,20210915,37000.00,39000.00,37000.00,38020.00,5693211600,150272,271,D,38110.00,37670.00
Pars.Darou,20210914,36800.00,39000.00,36800.00,38110.00,9198317960,240853,224,D,37970.00,37180.00
Pars.Darou,20210913,37380.00,40000.00,36730.00,37970.00,7555732770,201837,275,D,38570.00,37970.00
Pars.Darou,20210912,40090.00,40090.00,38300.00,38570.00,18002999810,466817,336,D,40310.00,38900.00
Pars.Darou,20210911,40910.00,40980.00,39410.00,40310.00,19037854580,472297,572,D,39110.00,40090.00
Pars.Darou,20210908,38300.00,40000.00,38300.00,39110.00,26877774320,687158,343,D,38660.00,39970.00
Pars.Darou,20210907,38400.00,39290.00,38060.00,38660.00,11569645270,300583,236,D,39290.00,38440.00
Pars.Darou,20210906,39670.00,40400.00,38710.00,39290.00,16669109470,424209,367,D,39660.00,38750.00
Pars.Darou,20210905,39700.00,40500.00,38460.00,39660.00,11406824590,289474,355,D,40470.00,39860.00
Pars.Darou,20210904,40000.00,41510.00,39050.00,40470.00,34541506320,853522,507,D,39540.00,39500.00
Pars.Darou,20210901,39660.00,40270.00,39000.00,39540.00,13206249620,332596,224,D,38380.00,40200.00
Pars.Darou,20210831,37220.00,40270.00,37200.00,38380.00,14864060430,387337,346,D,38990.00,38150.00
Pars.Darou,20210830,39200.00,40500.00,38360.00,38990.00,37077183910,950857,442,D,40370.00,38650.00
Pars.Darou,20210829,42050.00,42280.00,38950.00,40370.00,41302641750,1023221,699,D,40990.00,39500.00
Pars.Darou,20210828,40200.00,41300.00,39600.00,40990.00,53628643750,1308422,632,D,39340.00,41270.00
Pars.Darou,20210825,38800.00,39850.00,37500.00,39340.00,60173619210,1529405,744,D,37960.00,39850.00
Pars.Darou,20210824,37090.00,38260.00,36480.00,37960.00,49168536450,1295421,574,D,36440.00,38250.00
Pars.Darou,20210823,36700.00,37780.00,35120.00,36440.00,25160621540,690508,392,D,36960.00,36960.00
Pars.Darou,20210822,36940.00,37650.00,36480.00,36960.00,29141258870,788348,373,D,36450.00,37000.00
Pars.Darou,20210815,35520.00,37270.00,35200.00,36450.00,32853296790,901398,497,D,35510.00,36330.00
Pars.Darou,20210814,36580.00,38000.00,35090.00,35510.00,44158730070,1243428,535,D,36930.00,35510.00
Pars.Darou,20210811,37000.00,38900.00,36210.00,36930.00,24174017810,654554,507,D,37750.00,37000.00
Pars.Darou,20210810,39610.00,39610.00,36200.00,37750.00,44548316410,1179978,704,D,37840.00,37700.00
Pars.Darou,20210809,37800.00,38070.00,36630.00,37840.00,42111512080,1112777,594,D,36260.00,38070.00
Pars.Darou,20210808,34980.00,36350.00,34980.00,36260.00,21639248900,596780,314,D,34620.00,36350.00
Pars.Darou,20210807,34360.00,35450.00,34220.00,34620.00,28285754580,817057,618,D,36020.00,34980.00
Pars.Darou,20210804,37590.00,37590.00,35800.00,36020.00,24614098200,683324,552,D,37680.00,35800.00
Pars.Darou,20210803,38300.00,38480.00,35910.00,37680.00,52100670040,1382886,955,D,36650.00,36500.00
Pars.Darou,20210802,36660.00,36660.00,36330.00,36650.00,46794513150,1276709,456,D,34920.00,36660.00
Pars.Darou,20210801,34500.00,34940.00,34500.00,34920.00,20865578420,597593,159,D,33280.00,34940.00
Pars.Darou,20210731,33250.00,34150.00,32230.00,33280.00,29131244880,875442,553,D,33870.00,34150.00
Pars.Darou,20210728,35000.00,35000.00,33530.00,33870.00,15363377200,453588,375,D,34970.00,33610.00
Pars.Darou,20210727,34750.00,36120.00,34200.00,34970.00,21028050660,601347,418,D,35820.00,34480.00
Pars.Darou,20210726,35910.00,38000.00,35550.00,35820.00,55952934200,1561953,740,D,37420.00,35550.00
Pars.Darou,20210719,37620.00,38000.00,36200.00,37420.00,37032034070,989750,631,D,37460.00,37000.00
Pars.Darou,20210718,37480.00,38190.00,36000.00,37460.00,96651800270,2580435,1495,D,37460.00,37490.00
Pars.Darou,20210717,37460.00,37460.00,36900.00,37460.00,344903682720,9208010,1413,D,35680.00,37460.00
Pars.Darou,20210714,35680.00,35680.00,35680.00,35680.00,34080001760,955157,92,D,33990.00,35680.00
Pars.Darou,20210713,33990.00,33990.00,33990.00,33990.00,18937902390,557161,67,D,32380.00,33990.00
Pars.Darou,20210712,33280.00,33280.00,33280.00,32380.00,7228282880,217196,43,D,31700.00,33280.00
Pars.Darou,20210711,31950.00,31950.00,31950.00,31700.00,13537055250,423695,53,D,30430.00,31950.00
Pars.Darou,20210710,31080.00,31080.00,31080.00,30430.00,8880022200,285715,47,D,29600.00,31080.00
Pars.Darou,20210627,33880.00,33880.00,32430.00,33260.00,22435326970,674448,668,D,33560.00,33880.00
Pars.Darou,20210626,33110.00,34570.00,33000.00,33560.00,14113571120,420186,431,D,33240.00,33380.00
Pars.Darou,20210623,33240.00,34090.00,32000.00,33240.00,52097543640,1567156,647,D,32470.00,33620.00
Pars.Darou,20210622,31410.00,33250.00,31410.00,32470.00,24854265150,765513,472,D,31730.00,32300.00
Pars.Darou,20210621,31300.00,32170.00,31020.00,31730.00,8847380710,278384,231,D,31650.00,32050.00
Pars.Darou,20210620,31220.00,32120.00,31200.00,31650.00,11846924930,374434,306,D,31670.00,31360.00
Pars.Darou,20210619,32010.00,32280.00,31000.00,31670.00,11319864110,357845,329,D,31780.00,31620.00
Pars.Darou,20210616,32700.00,32700.00,30510.00,31780.00,7661695940,241980,295,D,31950.00,30900.00
Pars.Darou,20210615,31740.00,33290.00,31330.00,31950.00,28488335520,891546,422,D,31740.00,32000.00
Pars.Darou,20210614,32500.00,33700.00,31330.00,31740.00,13976820440,440370,377,D,32970.00,31330.00
Pars.Darou,20210613,33000.00,33550.00,32860.00,32970.00,20388052630,618294,297,D,34580.00,32860.00
Pars.Darou,20210612,34810.00,34870.00,33830.00,34580.00,8759940370,258132,201,D,35610.00,33830.00
Pars.Darou,20210609,34940.00,35870.00,34810.00,35610.00,8906140610,254910,264,D,36640.00,34850.00
Pars.Darou,20210608,38250.00,38250.00,35400.00,36640.00,17928599960,489352,547,D,36580.00,35800.00
Pars.Darou,20210607,34010.00,37290.00,34010.00,36580.00,31016357820,847818,706,D,35520.00,37200.00
Pars.Darou,20210602,35380.00,36940.00,35350.00,35520.00,37136738710,1045656,639,D,37210.00,35350.00
Pars.Darou,20210601,35560.00,37350.00,35560.00,37210.00,1805876750,50636,107,D,37430.00,35560.00
Pars.Darou,20210531,37000.00,37000.00,35750.00,37430.00,1764350420,49028,134,D,37630.00,35780.00
Pars.Darou,20210530,36020.00,38680.00,36020.00,37630.00,8259160350,220145,237,D,37760.00,37480.00
Pars.Darou,20210529,38100.00,38400.00,37500.00,37760.00,12946591980,341496,373,D,36930.00,37950.00
