<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Pars.Electric,20210921,176570.00,176570.00,159770.00,167170.00,2311041164540,13824287,21598,D,168170.00,168400.00
Pars.Electric,20210920,168170.00,168170.00,168170.00,168170.00,85153552180,506354,867,D,160170.00,168170.00
Pars.Electric,20210915,160330.00,160330.00,157000.00,160170.00,137681794640,859611,808,D,152700.00,160330.00
Pars.Electric,20210914,150000.00,153190.00,147040.00,152700.00,189830010770,1243179,1988,D,145900.00,153190.00
Pars.Electric,20210913,144100.00,147340.00,137380.00,145900.00,1012754312410,6941525,9711,D,140330.00,147340.00
Pars.Electric,20210912,143260.00,143260.00,131500.00,140330.00,886194749030,6314908,8490,D,136440.00,143260.00
Pars.Electric,20210911,136530.00,136530.00,133900.00,136440.00,184808147010,1354479,1557,D,130030.00,136530.00
Pars.Electric,20210908,129940.00,130300.00,127120.00,130030.00,353429145370,2718077,3830,D,124100.00,130300.00
Pars.Electric,20210907,121030.00,129210.00,121030.00,124100.00,762425527110,6143435,6638,D,127390.00,126000.00
Pars.Electric,20210906,127000.00,130980.00,118520.00,127390.00,877081138760,6884911,8151,D,124750.00,118520.00
Pars.Electric,20210905,123890.00,126340.00,117100.00,124750.00,1213536373700,9727483,12928,D,120330.00,126340.00
Pars.Electric,20210904,120330.00,120330.00,120330.00,120330.00,288509826150,2397655,626,D,114600.00,120330.00
Pars.Electric,20210901,114600.00,114600.00,114600.00,114600.00,165360007200,1442932,439,D,109150.00,114600.00
Pars.Electric,20210831,108980.00,109720.00,105640.00,109150.00,160344524210,1469019,1603,D,104500.00,109720.00
Pars.Electric,20210830,106160.00,106160.00,98400.00,104500.00,856335246080,8194794,8677,D,101110.00,106160.00
Pars.Electric,20210828,102800.00,102800.00,102800.00,101110.00,10306316800,100256,78,D,97910.00,102800.00
Pars.Electric,20210825,96000.00,98200.00,95000.00,97910.00,150327763440,1535385,1731,D,93530.00,98200.00
Pars.Electric,20210824,90120.00,96500.00,90120.00,93530.00,523632565220,5598508,8428,D,92850.00,94880.00
Pars.Electric,20210823,99550.00,99550.00,90070.00,92850.00,759684822330,8181885,7048,D,94810.00,90070.00
Pars.Electric,20210822,94810.00,94810.00,94810.00,94810.00,38299921650,403965,386,D,90300.00,94810.00
Pars.Electric,20210815,90300.00,90300.00,90300.00,90300.00,45985907100,509257,388,D,86000.00,90300.00
Pars.Electric,20210814,86000.00,86000.00,86000.00,86000.00,25266026000,293791,344,D,81910.00,86000.00
Pars.Electric,20210811,81910.00,81910.00,81910.00,81910.00,37440241900,457090,392,D,78010.00,81910.00
Pars.Electric,20210810,78010.00,78010.00,78010.00,78010.00,110465358410,1416041,569,D,74300.00,78010.00
Pars.Electric,20210809,74300.00,74300.00,74300.00,74300.00,32111865600,432192,290,D,70770.00,74300.00
Pars.Electric,20210808,71380.00,71380.00,71380.00,70770.00,13545639840,189768,238,D,67990.00,71380.00
Pars.Electric,20210807,67990.00,67990.00,67990.00,67990.00,22338998370,328563,245,D,64760.00,67990.00
Pars.Electric,20210804,63490.00,65820.00,61210.00,64760.00,52911609110,817015,862,D,62690.00,65820.00
Pars.Electric,20210803,63610.00,64620.00,62500.00,62690.00,127739045680,2037597,2717,D,65780.00,62560.00
Pars.Electric,20210802,66300.00,67970.00,63120.00,65780.00,51387780880,781200,1727,D,65810.00,64600.00
Pars.Electric,20210801,67200.00,68370.00,65120.00,65810.00,121895047370,1852328,3015,D,68540.00,66500.00
Pars.Electric,20210731,68650.00,71980.00,67010.00,68540.00,67587703700,986065,2214,D,70460.00,67310.00
Pars.Electric,20210728,69870.00,72970.00,68100.00,70460.00,47625623200,675964,1594,D,70260.00,69000.00
Pars.Electric,20210727,69800.00,69860.00,69800.00,70260.00,5543357120,79417,59,D,70540.00,69860.00
Pars.Electric,20210718,72020.00,74200.00,70410.00,71430.00,81953504210,1147265,2125,D,74080.00,70700.00
Pars.Electric,20210717,73290.00,75980.00,72510.00,74080.00,70890882280,956956,1963,D,73480.00,73000.00
Pars.Electric,20210714,75290.00,75290.00,72500.00,73480.00,65061891780,885424,1600,D,75290.00,72890.00
Pars.Electric,20210713,74000.00,77500.00,73540.00,75290.00,71840311010,954129,1830,D,75270.00,74920.00
Pars.Electric,20210712,76490.00,76490.00,74020.00,75270.00,57945254500,769800,1444,D,75190.00,74430.00
Pars.Electric,20210711,75020.00,77540.00,74030.00,75190.00,83831819110,1114874,1865,D,75580.00,75190.00
Pars.Electric,20210710,77500.00,77770.00,74500.00,75580.00,75236766620,995401,1817,D,78380.00,75550.00
Pars.Electric,20210707,80000.00,80200.00,75500.00,78380.00,124494901100,1588350,2336,D,76770.00,77700.00
Pars.Electric,20210706,75050.00,77020.00,75050.00,76770.00,48181838860,627645,903,D,73360.00,77020.00
Pars.Electric,20210705,72980.00,74570.00,70700.00,73360.00,107247634180,1461844,2684,D,71020.00,74570.00
Pars.Electric,20210704,70940.00,72200.00,70940.00,71020.00,150811738760,2123484,2742,D,74670.00,70940.00
Pars.Electric,20210703,76770.00,78570.00,73530.00,74670.00,88467242160,1184855,1794,D,77390.00,73530.00
Pars.Electric,20210630,79680.00,79680.00,76550.00,77390.00,87797746910,1134553,2071,D,78640.00,77550.00
Pars.Electric,20210629,77130.00,80100.00,77130.00,78640.00,91627033390,1165202,1952,D,78410.00,78390.00
Pars.Electric,20210628,78160.00,80500.00,76000.00,78410.00,67468141090,860476,1637,D,78130.00,77790.00
Pars.Electric,20210627,77720.00,80500.00,76000.00,78130.00,125649032860,1608254,3054,D,77360.00,79100.00
Pars.Electric,20210626,83000.00,83000.00,76010.00,77360.00,573512478910,7413755,5761,D,79760.00,76600.00
Pars.Electric,20210623,77700.00,80290.00,76570.00,79760.00,273014854260,3423031,3862,D,76470.00,80290.00
Pars.Electric,20210622,75140.00,83040.00,75140.00,76470.00,190622048850,2492691,2256,D,79090.00,78700.00
Pars.Electric,20210621,75490.00,75490.00,75490.00,79090.00,1335191630,17687,40,D,79460.00,75490.00
Pars.Electric,20210620,75670.00,75670.00,75670.00,79460.00,671268570,8871,28,D,79650.00,75670.00
Pars.Electric,20210619,76020.00,76020.00,76020.00,79650.00,1320315360,17368,33,D,80020.00,76020.00
Pars.Electric,20210616,76470.00,76470.00,76470.00,80020.00,1599981810,20923,19,D,80490.00,76470.00
Pars.Electric,20210615,77010.00,77010.00,77010.00,80490.00,1909385940,24794,32,D,81060.00,77010.00
Pars.Electric,20210614,78090.00,78090.00,78090.00,81060.00,3856240380,49382,50,D,82200.00,78090.00
Pars.Electric,20210613,79010.00,79010.00,79010.00,82200.00,3233721280,40928,37,D,83160.00,79010.00
Pars.Electric,20210612,80190.00,80190.00,80190.00,83160.00,4229300790,52741,54,D,84410.00,80190.00
Pars.Electric,20210609,80270.00,80270.00,80270.00,84410.00,259352370,3231,13,D,84490.00,80270.00
Pars.Electric,20210608,80440.00,80440.00,80440.00,84490.00,603219560,7499,37,D,84670.00,80440.00
Pars.Electric,20210607,80560.00,80560.00,80560.00,84670.00,450491520,5592,34,D,84800.00,80560.00
Pars.Electric,20210602,80750.00,80750.00,80750.00,84800.00,631707250,7823,38,D,84990.00,80750.00
Pars.Electric,20210601,80780.00,80780.00,80780.00,84990.00,127390060,1577,11,D,85030.00,80780.00
Pars.Electric,20210531,81040.00,81040.00,81040.00,85030.00,863076000,10650,13,D,85300.00,81040.00
Pars.Electric,20210530,81850.00,81850.00,81850.00,85300.00,2754170650,33649,53,D,86150.00,81850.00
Pars.Electric,20210529,83270.00,83270.00,83270.00,86150.00,4875708310,58553,115,D,87650.00,83270.00
Pars.Electric,20210526,83340.00,83340.00,83340.00,87650.00,238769100,2865,10,D,87720.00,83340.00
Pars.Electric,20210525,83410.00,83410.00,83410.00,87720.00,246643370,2957,9,D,87800.00,83410.00
Pars.Electric,20210524,83600.00,83600.00,83600.00,87800.00,648067200,7752,8,D,88000.00,83600.00
Pars.Electric,20210523,84430.00,84430.00,84430.00,88000.00,2784163680,32976,13,D,88870.00,84430.00
Pars.Electric,20210522,84810.00,84810.00,84810.00,88870.00,1275712020,15042,11,D,89270.00,84810.00
Pars.Electric,20210519,85310.00,85310.00,85310.00,89270.00,1651686910,19361,21,D,89800.00,85310.00
Pars.Electric,20210518,86010.00,86010.00,86010.00,89800.00,2308078350,26835,18,D,90530.00,86010.00
Pars.Electric,20210517,86070.00,86070.00,86070.00,90530.00,216982470,2521,9,D,90600.00,86070.00
Pars.Electric,20210516,86100.00,86100.00,86100.00,90600.00,83172600,966,9,D,90630.00,86100.00
Pars.Electric,20210515,86220.00,86220.00,86220.00,90630.00,384627420,4461,15,D,90750.00,86220.00
Pars.Electric,20210512,88060.00,88060.00,88060.00,90750.00,526686860,5981,45,D,90780.00,88060.00
Pars.Electric,20210511,88310.00,88310.00,88310.00,90780.00,4536308080,51368,63,D,91040.00,88310.00
Pars.Electric,20210510,88320.00,88320.00,88320.00,91040.00,130890240,1482,16,D,91050.00,88320.00
Pars.Electric,20210509,88530.00,88530.00,88530.00,91050.00,3647701590,41203,15,D,91260.00,88530.00
Pars.Electric,20210508,88730.00,88730.00,88730.00,91260.00,3666944710,41327,17,D,91470.00,88730.00
Pars.Electric,20210505,88930.00,88930.00,88930.00,91470.00,3734259630,41991,19,D,91680.00,88930.00
Pars.Electric,20210503,89140.00,89140.00,89140.00,91680.00,3757696700,42155,10,D,91890.00,89140.00
Pars.Electric,20210502,89340.00,89340.00,89340.00,91890.00,3742184580,41887,21,D,92100.00,89340.00
Pars.Electric,20210501,89570.00,89570.00,89570.00,92100.00,3996702970,44621,25,D,92330.00,89570.00
Pars.Electric,20210428,89820.00,89820.00,89820.00,92330.00,4596628320,51176,49,D,92590.00,89820.00
Pars.Electric,20210427,90040.00,90040.00,90040.00,92590.00,4017944960,44624,27,D,92820.00,90040.00
Pars.Electric,20210426,90050.00,90050.00,90050.00,92820.00,114093350,1267,10,D,92830.00,90050.00
Pars.Electric,20210425,90050.00,90050.00,90050.00,92830.00,40252350,447,7,D,92830.00,90050.00
Pars.Electric,20210424,90260.00,90260.00,90260.00,92830.00,3773680340,41809,11,D,93050.00,90260.00
Pars.Electric,20210421,90260.00,90260.00,90260.00,93050.00,76089180,843,10,D,93050.00,90260.00
Pars.Electric,20210420,91340.00,91340.00,91340.00,93050.00,3951916440,43266,13,D,93200.00,91340.00
Pars.Electric,20210419,91480.00,91480.00,91480.00,93200.00,3798707000,41525,21,D,93340.00,91480.00
Pars.Electric,20210418,91620.00,91620.00,91620.00,93340.00,3745975320,40886,14,D,93480.00,91620.00
Pars.Electric,20210417,91760.00,91760.00,91760.00,93480.00,4044872560,44081,25,D,93630.00,91760.00
Pars.Electric,20210414,91770.00,91770.00,91770.00,93630.00,290360280,3164,6,D,93640.00,91770.00
Pars.Electric,20210413,91920.00,91920.00,91920.00,93640.00,3955041840,43027,72,D,93790.00,91920.00
Pars.Electric,20210412,92080.00,92080.00,92080.00,93790.00,4114963120,44689,24,D,93950.00,92080.00
Pars.Electric,20210411,92220.00,92220.00,92220.00,93950.00,3832478760,41558,10,D,94100.00,92220.00
Pars.Electric,20210410,92380.00,92380.00,92380.00,94100.00,4094466360,44322,16,D,94260.00,92380.00
Pars.Electric,20210407,92530.00,92530.00,92530.00,94260.00,3898844080,42136,25,D,94410.00,92530.00
Pars.Electric,20210406,92680.00,92680.00,92680.00,94410.00,4163000240,44918,30,D,94570.00,92680.00
Pars.Electric,20210405,92840.00,92840.00,92840.00,94570.00,4155425560,44759,30,D,94730.00,92840.00
Pars.Electric,20210404,93030.00,93030.00,93030.00,94730.00,4910495520,52784,16,D,94920.00,93030.00
Pars.Electric,20210403,93200.00,93200.00,93200.00,94920.00,4741270400,50872,32,D,95100.00,93200.00
Pars.Electric,20210331,93380.00,93380.00,93380.00,95100.00,4539762080,48616,72,D,95280.00,93380.00
