<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Petro..Inv.,20210921,13200.00,13210.00,12710.00,12770.00,49836710040,3901300,633,D,13370.00,12710.00
Petro..Inv.,20210920,13200.00,13520.00,13200.00,13370.00,17895845390,1338717,385,D,13300.00,13220.00
Petro..Inv.,20210919,13790.00,14030.00,13210.00,13300.00,62963139110,4735108,705,D,13900.00,13250.00
Petro..Inv.,20210918,14050.00,14500.00,13850.00,13900.00,75073847860,5399771,643,D,14570.00,13850.00
Petro..Inv.,20210915,14290.00,14850.00,14080.00,14570.00,59980217680,4117445,1285,D,14380.00,14570.00
Petro..Inv.,20210914,13880.00,14410.00,13880.00,14380.00,107973500800,7510827,823,D,13730.00,14410.00
Petro..Inv.,20210913,13550.00,14100.00,13410.00,13730.00,29963149150,2182387,647,D,13610.00,13870.00
Petro..Inv.,20210912,13830.00,14200.00,13540.00,13610.00,46459676990,3413360,745,D,14250.00,13720.00
Petro..Inv.,20210911,14390.00,14590.00,13880.00,14250.00,23832202260,1672516,639,D,14230.00,13980.00
Petro..Inv.,20210908,14200.00,14500.00,13800.00,14230.00,36653932470,2575992,865,D,14190.00,14250.00
Petro..Inv.,20210907,14470.00,14500.00,13960.00,14190.00,38990452060,2746784,779,D,14590.00,13970.00
Petro..Inv.,20210906,14320.00,14880.00,14000.00,14590.00,67991460380,4661253,953,D,14700.00,14310.00
Petro..Inv.,20210905,14500.00,14900.00,14220.00,14700.00,67859587310,4616237,1028,D,14520.00,14570.00
Petro..Inv.,20210904,14560.00,14870.00,14400.00,14520.00,72111615740,4966164,1262,D,14400.00,14510.00
Petro..Inv.,20210901,13990.00,14810.00,13870.00,14400.00,120964131190,8400673,2131,D,14490.00,14660.00
Petro..Inv.,20210831,14440.00,14920.00,14440.00,14490.00,109018038440,7522769,987,D,15190.00,14440.00
Petro..Inv.,20210830,15190.00,15190.00,15190.00,15190.00,43120536550,2838745,233,D,15980.00,15190.00
Petro..Inv.,20210829,16600.00,16700.00,15480.00,15980.00,114084465050,7140386,1084,D,16290.00,15480.00
Petro..Inv.,20210828,16600.00,16700.00,16050.00,16290.00,129107016230,7925647,1752,D,16220.00,16490.00
Petro..Inv.,20210825,16070.00,16600.00,15860.00,16220.00,106358596200,6555259,1506,D,16070.00,16130.00
Petro..Inv.,20210824,16070.00,16070.00,15660.00,16070.00,85370287090,5313561,631,D,15310.00,16070.00
Petro..Inv.,20210823,15000.00,15540.00,14500.00,15310.00,90353673470,5900942,793,D,14800.00,15540.00
Petro..Inv.,20210822,14680.00,15040.00,14480.00,14800.00,56888223670,3843154,1390,D,14480.00,14720.00
Petro..Inv.,20210815,14010.00,14750.00,13900.00,14480.00,59507508640,4108893,780,D,14100.00,14350.00
Petro..Inv.,20210814,14200.00,14400.00,13840.00,14100.00,90065631280,6388295,1031,D,14320.00,14300.00
Petro..Inv.,20210811,14750.00,14790.00,14110.00,14320.00,86879683120,6067747,1420,D,14330.00,14290.00
Petro..Inv.,20210810,14190.00,14360.00,14100.00,14330.00,189171881510,13201220,1726,D,13680.00,14360.00
Petro..Inv.,20210809,13220.00,13820.00,12960.00,13680.00,79628676540,5820368,937,D,13170.00,13820.00
Petro..Inv.,20210808,13200.00,13420.00,13010.00,13170.00,49437232810,3753956,1086,D,13280.00,13200.00
Petro..Inv.,20210807,13760.00,13760.00,13110.00,13280.00,44844575260,3377109,752,D,13280.00,13140.00
Petro..Inv.,20210804,12900.00,13800.00,12740.00,13280.00,98160430460,7391235,1406,D,13160.00,13550.00
Petro..Inv.,20210803,13050.00,13500.00,12970.00,13160.00,40592582200,3083637,880,D,13230.00,13140.00
Petro..Inv.,20210802,13200.00,13780.00,13050.00,13230.00,45120299050,3411525,918,D,13410.00,13270.00
Petro..Inv.,20210801,13830.00,13830.00,13140.00,13410.00,45721886760,3408661,702,D,13580.00,13230.00
Petro..Inv.,20210727,14000.00,14240.00,13300.00,13690.00,76128869160,5560593,1512,D,13930.00,13450.00
Petro..Inv.,20210726,13760.00,14300.00,13760.00,13930.00,434442602630,31190952,3394,D,14480.00,13920.00
Petro..Inv.,20210719,14480.00,14480.00,14480.00,14480.00,27763676880,1917381,321,D,15240.00,14480.00
Petro..Inv.,20210718,15190.00,15310.00,14810.00,15240.00,205041672670,13455760,2369,D,14590.00,15310.00
Petro..Inv.,20210717,14570.00,14600.00,14290.00,14590.00,105864027120,7256259,807,D,13910.00,14600.00
Petro..Inv.,20210714,13980.00,14170.00,13530.00,13910.00,49926340430,3589993,742,D,13980.00,14150.00
Petro..Inv.,20210713,14150.00,14280.00,13710.00,13980.00,43386761220,3103666,762,D,14160.00,13800.00
Petro..Inv.,20210712,14120.00,14550.00,13800.00,14160.00,64528344490,4557197,1164,D,13980.00,13900.00
Petro..Inv.,20210711,13500.00,14170.00,13400.00,13980.00,201629058990,14419154,1682,D,13500.00,13800.00
Petro..Inv.,20210710,13990.00,13990.00,13370.00,13500.00,91769841470,6799724,1291,D,14070.00,13490.00
Petro..Inv.,20210707,14360.00,14620.00,13690.00,14070.00,104199753900,7408199,1228,D,14390.00,13690.00
Petro..Inv.,20210706,15470.00,15470.00,14200.00,14390.00,168550612500,11716379,1543,D,14940.00,14530.00
Petro..Inv.,20210705,15130.00,15130.00,14030.00,14940.00,110464336840,7391991,908,D,14410.00,14690.00
Petro..Inv.,20210704,14340.00,14560.00,13820.00,14410.00,56041261570,3889660,593,D,13870.00,14560.00
Petro..Inv.,20210703,13890.00,14040.00,13610.00,13870.00,29657110700,2138558,405,D,13830.00,13750.00
Petro..Inv.,20210630,14100.00,14100.00,13550.00,13830.00,22555970470,1631024,439,D,14150.00,13900.00
Petro..Inv.,20210629,13610.00,14400.00,13610.00,14150.00,14860461490,1050339,275,D,13890.00,14000.00
Petro..Inv.,20210628,13950.00,14090.00,13610.00,13890.00,33956735150,2445454,466,D,13950.00,14000.00
Petro..Inv.,20210627,14200.00,14410.00,13750.00,13950.00,22426547120,1607676,407,D,14030.00,13950.00
Petro..Inv.,20210626,14180.00,14190.00,13910.00,14030.00,35314236150,2517456,559,D,14110.00,14120.00
Petro..Inv.,20210623,14100.00,14300.00,13610.00,14110.00,21562711300,1527854,465,D,13860.00,14180.00
Petro..Inv.,20210622,13180.00,14160.00,13180.00,13860.00,43028272250,3103439,560,D,13490.00,14140.00
Petro..Inv.,20210621,13390.00,13800.00,13000.00,13490.00,42098231160,3119968,620,D,13190.00,13330.00
Petro..Inv.,20210620,13100.00,13370.00,12850.00,13190.00,33576410080,2546313,479,D,12740.00,13370.00
Petro..Inv.,20210619,12760.00,13120.00,12350.00,12740.00,11363956500,892866,290,D,12760.00,12850.00
Petro..Inv.,20210616,13140.00,13140.00,12470.00,12760.00,8408789620,657594,335,D,12720.00,12800.00
Petro..Inv.,20210615,13130.00,13130.00,12420.00,12720.00,30247606840,2377711,538,D,12930.00,13050.00
Petro..Inv.,20210614,12950.00,12950.00,12620.00,12930.00,113485108020,8775561,794,D,12340.00,12950.00
Petro..Inv.,20210613,11760.00,12450.00,11420.00,12340.00,29944710690,2425750,451,D,11860.00,12450.00
Petro..Inv.,20210612,11850.00,12290.00,11750.00,11860.00,38917669870,3281961,439,D,12360.00,11760.00
Petro..Inv.,20210609,12200.00,12840.00,12020.00,12360.00,11394355100,930008,268,D,12630.00,12230.00
Petro..Inv.,20210608,12120.00,12690.00,12120.00,12630.00,39685400540,3142150,557,D,12090.00,12380.00
Petro..Inv.,20210607,11550.00,12310.00,11550.00,12090.00,48354072750,3998676,562,D,11730.00,12310.00
Petro..Inv.,20210602,11240.00,12100.00,11220.00,11730.00,25214512730,2149713,681,D,11810.00,11660.00
Petro..Inv.,20210601,12110.00,12370.00,11330.00,11810.00,22985198580,1946506,653,D,11870.00,11720.00
Petro..Inv.,20210531,11600.00,11930.00,11120.00,11870.00,93318509880,7860476,975,D,11370.00,11930.00
Petro..Inv.,20210530,11380.00,11380.00,10870.00,11370.00,76502416020,6728271,478,D,10840.00,11380.00
Petro..Inv.,20210529,10800.00,10850.00,10530.00,10840.00,18291714560,1687334,228,D,10340.00,10850.00
Petro..Inv.,20210526,9810.00,10680.00,9810.00,10340.00,26741355080,2587041,742,D,10200.00,10630.00
Petro..Inv.,20210525,9800.00,10650.00,9800.00,10200.00,17867789880,1751250,481,D,10240.00,10070.00
Petro..Inv.,20210524,10240.00,10400.00,10240.00,10240.00,18431875310,1799694,174,D,10770.00,10240.00
Petro..Inv.,20210523,10300.00,10300.00,10300.00,10770.00,1882067500,182725,34,D,10840.00,10300.00
Petro..Inv.,20210522,10900.00,10900.00,10400.00,10840.00,2703714660,259499,111,D,10940.00,10400.00
Petro..Inv.,20210519,10910.00,11200.00,10910.00,10940.00,36208588540,3309793,288,D,11480.00,10910.00
Petro..Inv.,20210518,11430.00,11940.00,11430.00,11480.00,25243608600,2198988,288,D,12030.00,11430.00
Petro..Inv.,20210517,12020.00,12890.00,11770.00,12030.00,11058053450,924162,325,D,12380.00,11770.00
Petro..Inv.,20210516,12260.00,12750.00,12250.00,12380.00,26016046560,2101059,567,D,12890.00,12520.00
Petro..Inv.,20210515,12850.00,13140.00,12850.00,12890.00,68567538170,5320673,807,D,13520.00,12850.00
Petro..Inv.,20210512,13190.00,13190.00,13190.00,13520.00,8209970410,622439,42,D,13590.00,13190.00
Petro..Inv.,20210511,13260.00,13260.00,13260.00,13590.00,8784299160,662466,45,D,13660.00,13260.00
Petro..Inv.,20210510,13260.00,13260.00,13260.00,13660.00,1118282100,84335,19,D,13670.00,13260.00
Petro..Inv.,20210509,13370.00,13370.00,13370.00,13670.00,13391004270,1001571,25,D,13780.00,13370.00
Petro..Inv.,20210508,13370.00,13370.00,13370.00,13780.00,53533480,4004,5,D,13780.00,13370.00
Petro..Inv.,20210505,13370.00,13370.00,13370.00,13780.00,60673060,4538,6,D,13780.00,13370.00
Petro..Inv.,20210503,13370.00,13370.00,13370.00,13780.00,18450600,1380,3,D,13780.00,13370.00
Petro..Inv.,20210502,13370.00,13370.00,13370.00,13780.00,524518470,39231,11,D,13780.00,13370.00
Petro..Inv.,20210501,13390.00,13390.00,13390.00,13780.00,2794158250,208675,16,D,13800.00,13390.00
Petro..Inv.,20210428,13410.00,13410.00,13410.00,13800.00,1967555430,146723,21,D,13820.00,13410.00
Petro..Inv.,20210427,13440.00,13440.00,13440.00,13820.00,3033609600,225715,33,D,13850.00,13440.00
Petro..Inv.,20210426,13500.00,13500.00,13500.00,13850.00,6571854000,486804,27,D,13910.00,13500.00
Petro..Inv.,20210425,13500.00,13500.00,13500.00,13910.00,41755500,3093,5,D,13910.00,13500.00
Petro..Inv.,20210424,13500.00,13500.00,13500.00,13910.00,34735500,2573,3,D,13910.00,13500.00
Petro..Inv.,20210421,13500.00,13500.00,13500.00,13910.00,52258500,3871,6,D,13910.00,13500.00
Petro..Inv.,20210420,13640.00,13640.00,13640.00,13910.00,586492720,42998,16,D,13910.00,13640.00
Petro..Inv.,20210419,13670.00,13670.00,13670.00,13910.00,5916376000,432800,20,D,13940.00,13670.00
Petro..Inv.,20210418,13710.00,13710.00,13710.00,13940.00,7073674500,515950,16,D,13980.00,13710.00
Petro..Inv.,20210417,13720.00,13720.00,13720.00,13980.00,3390829400,247145,112,D,14000.00,13720.00
Petro..Inv.,20210414,13800.00,13940.00,13800.00,14000.00,13476738460,976432,256,D,14080.00,13800.00
Petro..Inv.,20210413,14010.00,14490.00,13960.00,14080.00,29320892710,2098997,412,D,14240.00,13970.00
Petro..Inv.,20210412,14000.00,14000.00,14000.00,14240.00,7442512000,531608,31,D,14280.00,14000.00
Petro..Inv.,20210411,14000.00,14000.00,14000.00,14280.00,649362000,46383,17,D,14280.00,14000.00
Petro..Inv.,20210410,14040.00,14040.00,14040.00,14280.00,7136026560,508264,56,D,14320.00,14040.00
Petro..Inv.,20210407,14080.00,14100.00,14080.00,14320.00,6142228240,436228,108,D,14360.00,14080.00
Petro..Inv.,20210406,14180.00,14480.00,14170.00,14360.00,16807675870,1184854,256,D,14450.00,14170.00
Petro..Inv.,20210405,14260.00,14500.00,14260.00,14450.00,18034232620,1261977,323,D,14550.00,14300.00
Petro..Inv.,20210404,14350.00,14480.00,14350.00,14550.00,14510651500,1011190,140,D,14640.00,14350.00
Petro..Inv.,20210403,14780.00,14800.00,14490.00,14640.00,25308409240,1744867,384,D,14780.00,14490.00
Petro..Inv.,20210331,14600.00,15000.00,14560.00,14780.00,15912535090,1074527,415,D,14760.00,14800.00
Petro..Inv.,20210330,14530.00,14980.00,14530.00,14760.00,11417700630,769149,427,D,14740.00,14720.00
Petro..Inv.,20210328,14980.00,15190.00,14480.00,14740.00,13232947370,891352,506,D,14700.00,14740.00
Petro..Inv.,20210327,14300.00,15110.00,14300.00,14700.00,18492737820,1239557,537,D,14570.00,14880.00
Petro..Inv.,20210317,14790.00,14820.00,14320.00,14570.00,30824164050,2113769,735,D,14550.00,14500.00
Petro..Inv.,20210316,14930.00,14930.00,14470.00,14550.00,70431695580,4840994,850,D,14760.00,14670.00
Petro..Inv.,20210315,14500.00,15090.00,14480.00,14760.00,26702620720,1806954,755,D,14750.00,14870.00
Petro..Inv.,20210314,14850.00,15200.00,14590.00,14750.00,34783009620,2366125,623,D,14880.00,14590.00
Petro..Inv.,20210313,14640.00,15270.00,14640.00,14880.00,58366963920,3921333,961,D,14930.00,14910.00
Petro..Inv.,20210310,14700.00,14700.00,14700.00,14930.00,9989943600,679588,113,D,14990.00,14700.00
Petro..Inv.,20210309,15000.00,15500.00,14880.00,14990.00,48019052290,3204003,751,D,15180.00,14880.00
Petro..Inv.,20210308,15140.00,15750.00,15140.00,15180.00,54738770600,3607093,829,D,15440.00,15140.00
Petro..Inv.,20210307,15180.00,15180.00,15180.00,15440.00,6927939480,456386,32,D,15480.00,15180.00
Petro..Inv.,20210306,15250.00,15250.00,15250.00,15480.00,12177887500,798550,33,D,15560.00,15250.00
Petro..Inv.,20210303,15320.00,15320.00,15320.00,15560.00,10913998640,712402,37,D,15630.00,15320.00
Petro..Inv.,20210302,15330.00,15330.00,15330.00,15630.00,960163890,62633,26,D,15640.00,15330.00
Petro..Inv.,20210301,15400.00,15400.00,15400.00,15640.00,11166416800,725092,31,D,15710.00,15400.00
Petro..Inv.,20210228,15400.00,15400.00,15400.00,15710.00,69592600,4519,6,D,15710.00,15400.00
Petro..Inv.,20210227,15400.00,15400.00,15400.00,15710.00,222530000,14450,7,D,15710.00,15400.00
Petro..Inv.,20210224,15430.00,15460.00,15430.00,15710.00,5170316570,335069,98,D,15740.00,15430.00
Petro..Inv.,20210223,15460.00,15460.00,15460.00,15740.00,4336004360,280466,35,D,15770.00,15460.00
Petro..Inv.,20210222,15460.00,15460.00,15460.00,15770.00,182598060,11811,6,D,15770.00,15460.00
Petro..Inv.,20210221,15540.00,15540.00,15540.00,15770.00,13153599900,846435,39,D,15850.00,15540.00
Petro..Inv.,20210220,15690.00,16000.00,15680.00,15850.00,23505408620,1498575,270,D,16000.00,15680.00
Petro..Inv.,20210217,15620.00,16860.00,15610.00,16000.00,47825306130,2988387,753,D,15910.00,15700.00
Petro..Inv.,20210216,15830.00,15970.00,15800.00,15910.00,34107299440,2158520,275,D,16120.00,15800.00
Petro..Inv.,20210215,16140.00,16400.00,16100.00,16120.00,68520278270,4250986,586,D,16420.00,16110.00
Petro..Inv.,20210214,17000.00,17000.00,15890.00,16420.00,61766298700,3760544,840,D,16210.00,16210.00
Petro..Inv.,20210213,16200.00,16210.00,15740.00,16210.00,53382335040,3293773,641,D,15300.00,16210.00
Petro..Inv.,20210209,14850.00,15520.00,14700.00,15300.00,64286267290,4201015,722,D,14790.00,15520.00
Petro..Inv.,20210208,15440.00,15440.00,14280.00,14790.00,47659294600,3222018,665,D,14770.00,14930.00
Petro..Inv.,20210207,13500.00,14860.00,13500.00,14770.00,62126281470,4205545,831,D,14160.00,14860.00
Petro..Inv.,20210206,13950.00,14470.00,13940.00,14160.00,34638362630,2480754,475,D,14670.00,13940.00
Petro..Inv.,20210203,14570.00,15070.00,14130.00,14670.00,57850961060,3942249,902,D,14690.00,14130.00
Petro..Inv.,20210202,14730.00,15160.00,14550.00,14690.00,52406639240,3567738,815,D,15310.00,14560.00
Petro..Inv.,20210201,15270.00,15690.00,15150.00,15310.00,46191145720,3024341,679,D,15940.00,15150.00
Petro..Inv.,20210131,16860.00,16900.00,15500.00,15940.00,70880449020,4446614,820,D,16310.00,15580.00
Petro..Inv.,20210130,15880.00,16400.00,15620.00,16310.00,50148508700,3068890,688,D,15620.00,16400.00
Petro..Inv.,20210127,15470.00,16400.00,15470.00,15620.00,63829836230,4087441,923,D,16280.00,15520.00
Petro..Inv.,20210126,16020.00,16760.00,15930.00,16280.00,31455199830,1962172,590,D,16760.00,15930.00
Petro..Inv.,20210125,15950.00,17590.00,15930.00,16760.00,42222092000,2520043,922,D,16760.00,16480.00
Petro..Inv.,20210124,18170.00,18170.00,16570.00,16760.00,72358361870,4317167,999,D,17440.00,16570.00
