<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Piazar.Agro.,20210921,27210.00,28200.00,27070.00,27140.00,52500548140,1934328,629,D,28490.00,27070.00
Piazar.Agro.,20210920,28410.00,30100.00,28380.00,28490.00,63323711720,2222947,949,D,29870.00,28380.00
Piazar.Agro.,20210919,31120.00,31160.00,28900.00,29870.00,54620761630,1828337,1183,D,30320.00,28920.00
Piazar.Agro.,20210918,31780.00,31780.00,29010.00,30320.00,86761889900,2861761,1640,D,30530.00,30790.00
Piazar.Agro.,20210915,29850.00,31120.00,28200.00,30530.00,129334413130,4235655,2527,D,29640.00,31120.00
Piazar.Agro.,20210914,29600.00,29690.00,28820.00,29640.00,55484971900,1872008,902,D,28280.00,29690.00
Piazar.Agro.,20210913,26800.00,28800.00,26700.00,28280.00,64179116160,2269509,905,D,27430.00,28800.00
Piazar.Agro.,20210912,28760.00,28760.00,27340.00,27430.00,48592396410,1771343,553,D,28770.00,27340.00
Piazar.Agro.,20210911,29580.00,29640.00,28000.00,28770.00,74041152940,2573426,949,D,28350.00,28390.00
Piazar.Agro.,20210908,27190.00,28540.00,26520.00,28350.00,52374556610,1847630,978,D,27190.00,28540.00
Piazar.Agro.,20210907,26910.00,28000.00,26890.00,27190.00,62381146140,2293965,1068,D,28270.00,26940.00
Piazar.Agro.,20210906,28440.00,28600.00,27440.00,28270.00,97676903000,3454541,1453,D,27240.00,27450.00
Piazar.Agro.,20210905,26590.00,27490.00,25670.00,27240.00,59142233570,2171232,979,D,26190.00,27490.00
Piazar.Agro.,20210904,26000.00,26650.00,25480.00,26190.00,42010311910,1604218,956,D,25910.00,26520.00
Piazar.Agro.,20210901,25220.00,26920.00,25220.00,25910.00,87457811530,3375982,1286,D,26440.00,26080.00
Piazar.Agro.,20210831,26330.00,27370.00,26330.00,26440.00,47593438620,1800206,848,D,27710.00,26330.00
Piazar.Agro.,20210830,27450.00,28410.00,27440.00,27710.00,26158715810,944087,510,D,28880.00,27440.00
Piazar.Agro.,20210829,28780.00,29400.00,27500.00,28880.00,115411174110,3995864,2073,D,28000.00,28550.00
Piazar.Agro.,20210828,28970.00,28970.00,26370.00,28000.00,57237719690,2043983,1349,D,27750.00,28200.00
Piazar.Agro.,20210825,28600.00,28600.00,27010.00,27750.00,57524603340,2073235,1272,D,27590.00,27800.00
Piazar.Agro.,20210824,27000.00,27820.00,26730.00,27590.00,41433704170,1501886,841,D,26500.00,27820.00
Piazar.Agro.,20210823,26950.00,27060.00,25510.00,26500.00,55122901130,2080028,1113,D,26410.00,26710.00
Piazar.Agro.,20210822,26190.00,27290.00,25000.00,26410.00,72288451970,2736807,1439,D,26220.00,26450.00
Piazar.Agro.,20210815,25900.00,26690.00,25750.00,26220.00,60912395540,2323381,1224,D,25580.00,26050.00
Piazar.Agro.,20210814,24890.00,25930.00,24160.00,25580.00,119741355250,4681643,1871,D,24700.00,25930.00
Piazar.Agro.,20210811,24900.00,25780.00,24120.00,24700.00,61382955050,2484810,1506,D,24940.00,24540.00
Piazar.Agro.,20210810,26000.00,26000.00,24730.00,24940.00,84323778440,3381727,2166,D,26030.00,24890.00
Piazar.Agro.,20210809,26170.00,26280.00,25500.00,26030.00,75186648880,2888357,1667,D,25030.00,25830.00
Piazar.Agro.,20210808,23800.00,25280.00,23400.00,25030.00,83138237450,3321646,1668,D,24080.00,25280.00
Piazar.Agro.,20210807,24490.00,25220.00,23960.00,24080.00,69662801090,2892657,1794,D,25220.00,23960.00
Piazar.Agro.,20210804,26010.00,26970.00,24700.00,25220.00,95152952730,3772609,2144,D,25990.00,24930.00
Piazar.Agro.,20210803,26010.00,26940.00,25600.00,25990.00,148984117650,5733012,2238,D,26940.00,26180.00
Piazar.Agro.,20210802,27500.00,27500.00,26830.00,26940.00,56511887650,2097800,1075,D,28240.00,26830.00
Piazar.Agro.,20210801,28020.00,29250.00,27400.00,28240.00,96491834850,3417379,1940,D,28400.00,27580.00
Piazar.Agro.,20210731,28340.00,29000.00,28340.00,28400.00,215404923490,7585586,2997,D,29830.00,28680.00
Piazar.Agro.,20210728,29700.00,30860.00,29700.00,29830.00,37739931110,1265142,732,D,31260.00,29700.00
Piazar.Agro.,20210727,33300.00,33300.00,30930.00,31260.00,52356565270,1674779,1444,D,32550.00,30930.00
Piazar.Agro.,20210726,32810.00,32870.00,31800.00,32550.00,79823990110,2452623,1819,D,31310.00,32870.00
Piazar.Agro.,20210719,30350.00,32500.00,30350.00,31310.00,264563566720,8450067,4586,D,31940.00,32220.00
Piazar.Agro.,20210718,32000.00,32990.00,31810.00,31940.00,14697626440,460235,368,D,33480.00,31810.00
Piazar.Agro.,20210717,34950.00,34950.00,33400.00,33480.00,77812834120,2323863,1490,D,35150.00,33400.00
Piazar.Agro.,20210714,35850.00,37290.00,34000.00,35150.00,135833006920,3864898,2887,D,35740.00,34510.00
Piazar.Agro.,20210713,35800.00,35840.00,34860.00,35740.00,80607109980,2255671,1088,D,34140.00,35840.00
Piazar.Agro.,20210712,32350.00,35580.00,32350.00,34140.00,265807784190,7785325,4172,D,33900.00,34980.00
Piazar.Agro.,20210711,33890.00,34920.00,33890.00,33900.00,70865617070,2090521,700,D,35670.00,33890.00
Piazar.Agro.,20210710,36010.00,37900.00,34310.00,35670.00,160851597450,4509107,3497,D,36110.00,34420.00
Piazar.Agro.,20210707,35500.00,37270.00,34250.00,36110.00,303366212320,8401305,3740,D,52450.00,37260.00
Piazar.Agro.,20210703,50070.00,50070.00,50070.00,52550.00,803323080,16044,13,D,52700.00,50070.00
Piazar.Agro.,20210630,48260.00,48260.00,48260.00,52700.00,2299685520,47652,92,D,53620.00,48260.00
Piazar.Agro.,20210629,51000.00,51000.00,51000.00,53620.00,295341000,5791,7,D,53680.00,51000.00
Piazar.Agro.,20210628,51070.00,51070.00,51070.00,53680.00,367755070,7201,11,D,53750.00,51070.00
Piazar.Agro.,20210627,51090.00,51090.00,51090.00,53750.00,81744000,1600,3,D,53770.00,51090.00
Piazar.Agro.,20210626,51110.00,51110.00,51110.00,53770.00,135185950,2645,6,D,53800.00,51110.00
Piazar.Agro.,20210623,51140.00,51140.00,51140.00,53800.00,162932040,3186,4,D,53830.00,51140.00
Piazar.Agro.,20210622,51370.00,51370.00,51370.00,53830.00,1259592400,24520,50,D,54070.00,51370.00
Piazar.Agro.,20210616,51370.00,51370.00,51370.00,54070.00,18493200,360,3,D,54070.00,51370.00
Piazar.Agro.,20210615,51470.00,51470.00,51470.00,54070.00,530141000,10300,4,D,54170.00,51470.00
Piazar.Agro.,20210614,51480.00,51480.00,51480.00,54170.00,70990920,1379,5,D,54180.00,51480.00
Piazar.Agro.,20210613,51480.00,51480.00,51480.00,54180.00,15444000,300,2,D,54180.00,51480.00
Piazar.Agro.,20210612,51490.00,51490.00,51490.00,54180.00,38514520,748,7,D,54190.00,51490.00
Piazar.Agro.,20210609,51490.00,51490.00,51490.00,54190.00,30894000,600,2,D,54200.00,51490.00
Piazar.Agro.,20210608,51490.00,51490.00,51490.00,54200.00,5149000,100,1,D,54200.00,51490.00
Piazar.Agro.,20210607,51500.00,51500.00,51500.00,54200.00,58967500,1145,8,D,54210.00,51500.00
Piazar.Agro.,20210602,51510.00,51510.00,51510.00,54210.00,29875800,580,4,D,54220.00,51510.00
Piazar.Agro.,20210531,51510.00,51510.00,51510.00,54220.00,16946790,329,2,D,54220.00,51510.00
Piazar.Agro.,20210530,50120.00,50120.00,50120.00,54220.00,3541228600,70655,48,D,55680.00,50120.00
Piazar.Agro.,20210529,52910.00,52910.00,52910.00,55680.00,36931180,698,3,D,55690.00,52910.00
Piazar.Agro.,20210526,52910.00,52910.00,52910.00,55690.00,7407400,140,1,D,55690.00,52910.00
Piazar.Agro.,20210525,52960.00,52960.00,52960.00,55690.00,238320000,4500,8,D,55740.00,52960.00
Piazar.Agro.,20210524,53070.00,53070.00,53070.00,55740.00,610305000,11500,16,D,55860.00,53070.00
Piazar.Agro.,20210523,53080.00,53080.00,53080.00,55860.00,45224160,852,5,D,55870.00,53080.00
Piazar.Agro.,20210522,53080.00,53080.00,53080.00,55870.00,9235920,174,1,D,55870.00,53080.00
Piazar.Agro.,20210519,53090.00,53090.00,53090.00,55870.00,26810450,505,2,D,55880.00,53090.00
Piazar.Agro.,20210518,53100.00,53100.00,53100.00,55880.00,42851700,807,3,D,55890.00,53100.00
Piazar.Agro.,20210516,53110.00,53110.00,53110.00,55890.00,50773160,956,2,D,55900.00,53110.00
Piazar.Agro.,20210512,54230.00,54230.00,54230.00,55900.00,8459880,156,1,D,55900.00,54230.00
Piazar.Agro.,20210511,54230.00,54230.00,54230.00,55900.00,21637770,399,3,D,55900.00,54230.00
Piazar.Agro.,20210510,54230.00,54230.00,54230.00,55900.00,39262520,724,3,D,55900.00,54230.00
Piazar.Agro.,20210505,54230.00,54230.00,54230.00,55900.00,141919910,2617,4,D,55900.00,54230.00
Piazar.Agro.,20210503,54270.00,54270.00,54270.00,55900.00,1065048750,19625,4,D,55940.00,54270.00
Piazar.Agro.,20210501,54270.00,54270.00,54270.00,55940.00,19157310,353,1,D,55940.00,54270.00
Piazar.Agro.,20210428,54270.00,54270.00,54270.00,55940.00,31747950,585,3,D,55940.00,54270.00
Piazar.Agro.,20210426,54270.00,54270.00,54270.00,55940.00,15846840,292,2,D,55940.00,54270.00
Piazar.Agro.,20210424,54270.00,54270.00,54270.00,55940.00,10854000,200,1,D,55940.00,54270.00
Piazar.Agro.,20210421,54270.00,54270.00,54270.00,55940.00,32562000,600,1,D,55940.00,54270.00
Piazar.Agro.,20210420,53720.00,53720.00,53720.00,55940.00,249045920,4636,21,D,55950.00,53720.00
Piazar.Agro.,20210419,54840.00,54840.00,54840.00,55950.00,5484000,100,1,D,55950.00,54840.00
Piazar.Agro.,20210418,54840.00,54840.00,54840.00,55950.00,22100520,403,3,D,55950.00,54840.00
Piazar.Agro.,20210417,54840.00,54840.00,54840.00,55950.00,60433680,1102,2,D,55950.00,54840.00
Piazar.Agro.,20210414,54840.00,54840.00,54840.00,55950.00,11680920,213,2,D,55950.00,54840.00
Piazar.Agro.,20210413,54850.00,54850.00,54850.00,55950.00,524804800,9568,16,D,55960.00,54850.00
Piazar.Agro.,20210412,54850.00,54850.00,54850.00,55960.00,28686550,523,5,D,55960.00,54850.00
Piazar.Agro.,20210411,54850.00,54850.00,54850.00,55960.00,18429600,336,1,D,55960.00,54850.00
Piazar.Agro.,20210410,54850.00,54850.00,54850.00,55960.00,10531200,192,3,D,55960.00,54850.00
