<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Pumpiran,20210921,20400.00,20400.00,18700.00,19110.00,55265350100,2892402,977,D,19680.00,18870.00
Pumpiran,20210920,20090.00,20380.00,19290.00,19680.00,57244722180,2908747,1076,D,19760.00,20150.00
Pumpiran,20210919,20160.00,21000.00,19280.00,19760.00,92132956340,4663118,1198,D,20290.00,19550.00
Pumpiran,20210918,21400.00,21400.00,19930.00,20290.00,88121356520,4342057,1093,D,20970.00,19930.00
Pumpiran,20210915,21030.00,21030.00,20300.00,20970.00,208516165910,9941211,2435,D,20030.00,21030.00
Pumpiran,20210914,20030.00,20030.00,20030.00,20030.00,40336674390,2013813,278,D,19080.00,20030.00
Pumpiran,20210913,18980.00,19920.00,18860.00,19080.00,91939909160,4817764,1194,D,19850.00,19860.00
Pumpiran,20210912,20260.00,20850.00,19780.00,19850.00,38098941190,1919668,594,D,20820.00,19780.00
Pumpiran,20210911,21860.00,21860.00,20200.00,20820.00,89352946480,4291877,1178,D,21230.00,20440.00
Pumpiran,20210908,21250.00,22300.00,20820.00,21230.00,88291270790,4158244,1609,D,21870.00,20980.00
Pumpiran,20210907,20700.00,22510.00,20700.00,21870.00,123704239060,5657314,1907,D,21750.00,21400.00
Pumpiran,20210906,23000.00,23000.00,21070.00,21750.00,210075011360,9658640,3464,D,22170.00,21200.00
Pumpiran,20210905,22230.00,22230.00,21330.00,22170.00,397525637670,17931288,2137,D,21180.00,22230.00
Pumpiran,20210904,21180.00,21180.00,21180.00,21180.00,36724150260,1733907,239,D,20180.00,21180.00
Pumpiran,20210901,19870.00,20190.00,19630.00,20180.00,91038959230,4512291,449,D,19230.00,20190.00
Pumpiran,20210831,18320.00,20170.00,18310.00,19230.00,151238025400,7865096,2180,D,19270.00,19400.00
Pumpiran,20210830,19310.00,19730.00,19230.00,19270.00,79907916110,4146635,858,D,20240.00,19230.00
Pumpiran,20210829,20750.00,20750.00,19060.00,20240.00,415729097190,20538563,4572,D,19770.00,19400.00
Pumpiran,20210828,19770.00,19770.00,19770.00,19770.00,32121742440,1624772,202,D,18830.00,19770.00
Pumpiran,20210825,18830.00,18830.00,18830.00,18830.00,27651911490,1468503,211,D,17940.00,18830.00
