<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Jam.Petr.,20210921,46360.00,47870.00,45560.00,46780.00,44065993110,954982,357,D,47320.00,46900.00
Jam.Petr.,20210920,47190.00,48220.00,46580.00,47320.00,78650574280,1661359,478,D,47260.00,46740.00
Jam.Petr.,20210919,46610.00,48690.00,46020.00,47260.00,78201637180,1661335,432,D,48010.00,46250.00
Jam.Petr.,20210918,47000.00,48310.00,46500.00,48010.00,222098323600,4625706,398,D,48100.00,47180.00
Jam.Petr.,20210915,48300.00,49310.00,48000.00,48100.00,22866548400,475024,359,D,48090.00,48150.00
Jam.Petr.,20210914,48120.00,48960.00,48100.00,48090.00,23081493450,472725,316,D,47880.00,48920.00
Jam.Petr.,20210913,48900.00,48980.00,47150.00,47880.00,14115186500,293186,313,D,47840.00,48100.00
Jam.Petr.,20210912,48980.00,49310.00,47000.00,47840.00,69474753130,1452169,505,D,47830.00,47820.00
Jam.Petr.,20210911,48000.00,49000.00,47560.00,47830.00,38758572200,803208,469,D,47560.00,48240.00
Jam.Petr.,20210908,47000.00,49000.00,46800.00,47560.00,42142191180,885846,647,D,47550.00,48600.00
Jam.Petr.,20210907,46000.00,47900.00,46000.00,47550.00,21437015880,455020,441,D,47670.00,46690.00
Jam.Petr.,20210906,46130.00,48210.00,46130.00,47670.00,39371835110,828548,616,D,47770.00,47500.00
Jam.Petr.,20210905,47810.00,49200.00,47670.00,47770.00,22746587470,472216,503,D,47660.00,47710.00
Jam.Petr.,20210901,46500.00,48420.00,45220.00,47660.00,145457219270,3052105,738,D,46120.00,48420.00
Jam.Petr.,20210831,44140.00,47730.00,44140.00,46120.00,35354925790,775446,603,D,46440.00,46100.00
Jam.Petr.,20210830,47040.00,47500.00,45560.00,46440.00,399119953760,8594531,1051,D,47910.00,45750.00
Jam.Petr.,20210829,49510.00,49690.00,47100.00,47910.00,309292988220,6455336,1242,D,49150.00,47110.00
Jam.Petr.,20210825,50000.00,50000.00,48310.00,49150.00,200576290830,4081009,1208,D,49560.00,49800.00
Jam.Petr.,20210824,48860.00,50340.00,48000.00,49560.00,169585498570,3421721,933,D,47950.00,50330.00
Jam.Petr.,20210823,47500.00,49870.00,47100.00,47950.00,142411635170,2970274,865,D,47670.00,47980.00
Jam.Petr.,20210822,47980.00,47980.00,47040.00,47670.00,403232380,8437,17,D,47670.00,47040.00
Jam.Petr.,20210815,47000.00,48100.00,46620.00,47670.00,112373527400,2357086,713,D,47360.00,48000.00
Jam.Petr.,20210814,47780.00,48350.00,46950.00,47360.00,92918118790,1961642,766,D,47330.00,47000.00
Jam.Petr.,20210811,46780.00,47990.00,45920.00,47330.00,109111111830,2305217,841,D,45860.00,47450.00
Jam.Petr.,20210810,45980.00,46500.00,45190.00,45860.00,186705756890,4071063,819,D,45710.00,46500.00
Jam.Petr.,20210809,45530.00,46550.00,44500.00,45710.00,124500075300,2723936,673,D,45400.00,45400.00
Jam.Petr.,20210808,45510.00,45600.00,44520.00,45400.00,65772083920,1450575,751,D,45520.00,45530.00
Jam.Petr.,20210807,46800.00,46800.00,44600.00,45520.00,116693166380,2563804,948,D,45770.00,45040.00
Jam.Petr.,20210804,43810.00,45920.00,43810.00,45770.00,330022223790,7209911,1523,D,43740.00,45920.00
Jam.Petr.,20210803,43510.00,44500.00,42500.00,43740.00,145982462090,3337856,871,D,43490.00,44400.00
Jam.Petr.,20210802,44000.00,44000.00,42420.00,43490.00,106394960260,2446482,630,D,43500.00,43510.00
Jam.Petr.,20210801,44050.00,44400.00,42500.00,43500.00,119747086390,2752532,1138,D,42940.00,43550.00
Jam.Petr.,20210731,41000.00,43110.00,40490.00,42940.00,399833547430,9312342,1804,D,41060.00,43110.00
Jam.Petr.,20210728,41000.00,41980.00,40770.00,41060.00,171265501180,4170665,1134,D,39600.00,40900.00
Jam.Petr.,20210719,38720.00,40000.00,38720.00,39600.00,67953577750,1710710,607,D,39330.00,40000.00
Jam.Petr.,20210718,38900.00,39760.00,38600.00,39330.00,55230594960,1420741,618,D,39920.00,39180.00
Jam.Petr.,20210717,40980.00,40980.00,39000.00,39920.00,109261791320,2736849,793,D,39800.00,39760.00
Jam.Petr.,20210714,38850.00,41490.00,38130.00,39800.00,116414320470,2925123,1172,D,40080.00,39960.00
Jam.Petr.,20210713,40000.00,40980.00,39350.00,40080.00,115471398780,2880920,1060,D,40800.00,39600.00
Jam.Petr.,20210712,40090.00,41610.00,40000.00,40800.00,127528859690,3125747,1145,D,39840.00,40900.00
Jam.Petr.,20210711,40000.00,40000.00,39520.00,39840.00,98466372840,2471409,619,D,38750.00,39840.00
Jam.Petr.,20210629,44500.00,44500.00,42520.00,43730.00,185314712400,4237911,1768,D,43540.00,44380.00
Jam.Petr.,20210628,43000.00,44270.00,42250.00,43540.00,221136087320,5078460,1719,D,42230.00,43970.00
Jam.Petr.,20210627,42560.00,42570.00,41200.00,42230.00,314260717990,7441947,1935,D,40550.00,42000.00
Jam.Petr.,20210626,39500.00,40680.00,39500.00,40550.00,189779473360,4680490,1244,D,38750.00,40680.00
Jam.Petr.,20210623,38700.00,39340.00,38510.00,38750.00,78786090160,2025671,913,D,38400.00,39200.00
Jam.Petr.,20210622,39000.00,39000.00,38300.00,38400.00,32539557600,841501,429,D,38280.00,38890.00
Jam.Petr.,20210621,38950.00,38960.00,38000.00,38280.00,71223499450,1862604,755,D,38360.00,38400.00
Jam.Petr.,20210620,38400.00,38980.00,37200.00,38360.00,142040659660,3703026,1527,D,37130.00,38200.00
Jam.Petr.,20210619,37130.00,37130.00,37100.00,37130.00,188219135370,5069217,804,D,35370.00,37130.00
Jam.Petr.,20210616,35160.00,35820.00,35080.00,35370.00,123578551020,3493929,482,D,35190.00,35820.00
Jam.Petr.,20210615,35020.00,35800.00,35020.00,35190.00,20799440060,589554,300,D,35170.00,35190.00
Jam.Petr.,20210614,34860.00,35880.00,34860.00,35170.00,91153301450,2591773,226,D,35160.00,35200.00
Jam.Petr.,20210613,35130.00,35790.00,34400.00,35160.00,42181101660,1198078,286,D,35120.00,35120.00
Jam.Petr.,20210612,34100.00,36000.00,34100.00,35120.00,11558542120,328898,237,D,35120.00,34900.00
Jam.Petr.,20210609,35020.00,35890.00,34960.00,35120.00,95982254210,2733036,253,D,35120.00,35050.00
Jam.Petr.,20210608,35200.00,35770.00,34940.00,35120.00,103958079790,2960474,505,D,35590.00,35020.00
Jam.Petr.,20210607,36390.00,36390.00,35020.00,35590.00,65273720920,1827841,389,D,35360.00,35790.00
Jam.Petr.,20210602,34500.00,36390.00,34500.00,35360.00,50833761350,1434718,343,D,35290.00,35290.00
Jam.Petr.,20210601,36770.00,36770.00,35230.00,35290.00,14377150050,403843,243,D,35240.00,35230.00
Jam.Petr.,20210531,35100.00,35480.00,34130.00,35240.00,9342451950,266031,170,D,35250.00,35240.00
Jam.Petr.,20210530,36400.00,36490.00,34970.00,35250.00,52348842300,1464093,422,D,34760.00,35000.00
Jam.Petr.,20210529,33810.00,35500.00,33810.00,34760.00,65098667280,1842641,375,D,33810.00,35500.00
Jam.Petr.,20210526,33890.00,34700.00,33230.00,33810.00,14956177080,440928,268,D,33790.00,33770.00
Jam.Petr.,20210525,33400.00,34300.00,33200.00,33790.00,17450557870,515364,285,D,33770.00,33890.00
Jam.Petr.,20210524,32610.00,34000.00,32610.00,33770.00,12998490730,386000,213,D,33780.00,33400.00
Jam.Petr.,20210523,32500.00,34000.00,32500.00,33780.00,33762460440,1010918,263,D,33980.00,32700.00
Jam.Petr.,20210522,32950.00,34950.00,32880.00,33980.00,37603447630,1138915,300,D,34610.00,32900.00
Jam.Petr.,20210519,34730.00,34730.00,34000.00,34610.00,18157658910,531900,392,D,34720.00,34020.00
Jam.Petr.,20210518,34990.00,35790.00,34400.00,34720.00,22216784630,637156,327,D,34680.00,34590.00
Jam.Petr.,20210517,34010.00,35000.00,33750.00,34680.00,8982729180,261528,227,D,34710.00,34020.00
Jam.Petr.,20210516,34410.00,35900.00,33980.00,34710.00,57161873380,1664288,747,D,35230.00,34200.00
Jam.Petr.,20210515,33900.00,36200.00,33900.00,35230.00,57584071380,1636233,596,D,35270.00,34400.00
Jam.Petr.,20210512,35070.00,37000.00,34550.00,35270.00,51239973790,1446881,438,D,35110.00,35000.00
Jam.Petr.,20210511,34500.00,35540.00,34500.00,35110.00,66390398990,1889679,636,D,35060.00,35070.00
Jam.Petr.,20210510,34260.00,35150.00,34220.00,35060.00,35644183250,1027244,406,D,35270.00,34700.00
Jam.Petr.,20210509,34450.00,35690.00,34410.00,35270.00,20227054930,586346,242,D,35470.00,34410.00
Jam.Petr.,20210508,35500.00,37470.00,34560.00,35470.00,22968192550,640493,302,D,35350.00,34580.00
Jam.Petr.,20210505,34440.00,36490.00,34440.00,35350.00,36126214160,1029421,404,D,35500.00,35500.00
Jam.Petr.,20210503,35000.00,35010.00,34610.00,35500.00,16663999530,479971,267,D,35660.00,34700.00
Jam.Petr.,20210502,35990.00,35990.00,35080.00,35660.00,23337796940,660182,296,D,35750.00,35230.00
Jam.Petr.,20210501,36600.00,36800.00,35520.00,35750.00,7620573520,212415,235,D,35740.00,36000.00
Jam.Petr.,20210428,35830.00,36600.00,35830.00,35740.00,30606844400,842977,311,D,35500.00,36500.00
Jam.Petr.,20210427,35400.00,36260.00,34880.00,35500.00,12501613590,348424,272,D,35450.00,35810.00
Jam.Petr.,20210426,34400.00,36120.00,34400.00,35450.00,20855500010,583783,320,D,35380.00,36120.00
Jam.Petr.,20210425,34470.00,35470.00,34470.00,35380.00,16891188040,487572,244,D,35530.00,35200.00
Jam.Petr.,20210424,34610.00,35630.00,34610.00,35530.00,7907522090,226647,275,D,35590.00,34650.00
Jam.Petr.,20210421,34750.00,35910.00,34600.00,35590.00,32118052460,904441,266,D,35630.00,35100.00
Jam.Petr.,20210420,36890.00,36890.00,34980.00,35630.00,19459805940,547853,362,D,35660.00,35000.00
Jam.Petr.,20210419,35420.00,36400.00,35420.00,35660.00,72603106760,2045562,382,D,36140.00,36190.00
Jam.Petr.,20210418,35610.00,36200.00,35610.00,36140.00,26097805450,732835,144,D,36330.00,35610.00
Jam.Petr.,20210417,35820.00,36900.00,35800.00,36330.00,28542550110,796086,516,D,36530.00,35800.00
Jam.Petr.,20210414,35960.00,37000.00,35960.00,36530.00,141800844730,3881635,877,D,35960.00,36650.00
Jam.Petr.,20210413,35350.00,36450.00,35350.00,35960.00,71267163440,1974131,658,D,35620.00,36180.00
Jam.Petr.,20210412,35170.00,35490.00,35170.00,35620.00,37983912860,1078553,256,D,35880.00,35450.00
Jam.Petr.,20210407,35560.00,36890.00,35540.00,35880.00,56050095220,1573943,287,D,36260.00,35540.00
Jam.Petr.,20210406,36300.00,36300.00,35700.00,36260.00,13984643100,387855,191,D,36290.00,36170.00
Jam.Petr.,20210405,35680.00,36600.00,35680.00,36290.00,38057497230,1053601,393,D,36400.00,36390.00
Jam.Petr.,20210404,36210.00,36390.00,36210.00,36400.00,72605570410,2005123,229,D,36940.00,36210.00
Jam.Petr.,20210403,37500.00,37500.00,36390.00,36940.00,26966802070,739970,293,D,37130.00,36390.00
Jam.Petr.,20210331,37300.00,37690.00,36550.00,37130.00,63209642880,1706619,647,D,37290.00,37690.00
Jam.Petr.,20210330,36750.00,38800.00,36750.00,37290.00,69020655900,1855144,613,D,37500.00,37000.00
Jam.Petr.,20210328,37130.00,37890.00,36960.00,37500.00,33416056290,901118,348,D,37710.00,36960.00
Jam.Petr.,20210327,38780.00,38780.00,37120.00,37710.00,47398866820,1262633,555,D,37860.00,37390.00
Jam.Petr.,20210317,38900.00,38900.00,37540.00,37860.00,150976575010,3987268,968,D,38300.00,37890.00
Jam.Petr.,20210316,36000.00,38620.00,36000.00,38300.00,489790756740,12787069,1492,D,36440.00,38000.00
Jam.Petr.,20210315,35500.00,36940.00,35430.00,36440.00,203674256110,5588686,719,D,36130.00,36500.00
Jam.Petr.,20210314,37500.00,37880.00,35710.00,36130.00,191035292460,5287619,1054,D,35930.00,35900.00
Jam.Petr.,20210313,34000.00,36150.00,34000.00,35930.00,236847858130,6591651,929,D,34110.00,36150.00
Jam.Petr.,20210310,34430.00,34500.00,33100.00,34110.00,182026505960,5336168,1000,D,33740.00,34400.00
Jam.Petr.,20210309,33370.00,34810.00,33000.00,33740.00,175469801720,5200835,1127,D,32870.00,33710.00
Jam.Petr.,20210308,31990.00,32950.00,31990.00,32870.00,268944512110,8182083,1020,D,31090.00,32950.00
Jam.Petr.,20210307,30140.00,31680.00,30140.00,31090.00,145682947100,4686258,650,D,30430.00,31600.00
Jam.Petr.,20210306,30350.00,31490.00,30000.00,30430.00,52440124550,1719052,504,D,30350.00,30700.00
Jam.Petr.,20210303,29940.00,30650.00,29940.00,30350.00,47759416360,1573920,362,D,30360.00,30430.00
Jam.Petr.,20210302,29940.00,31060.00,29940.00,30360.00,73646119700,2430219,532,D,30550.00,30480.00
Jam.Petr.,20210301,30480.00,31430.00,30480.00,30550.00,126156339410,4129473,685,D,31100.00,30500.00
Jam.Petr.,20210228,30730.00,31320.00,30730.00,31100.00,38961877110,1267871,195,D,31350.00,30730.00
Jam.Petr.,20210227,30960.00,31300.00,30960.00,31350.00,38457534880,1241909,353,D,31590.00,30960.00
Jam.Petr.,20210224,31870.00,32900.00,31060.00,31590.00,22162026400,709232,371,D,31690.00,31300.00
Jam.Petr.,20210223,31180.00,32930.00,31180.00,31690.00,64518630120,2040102,750,D,31810.00,31830.00
Jam.Petr.,20210222,31490.00,31500.00,31490.00,31810.00,47580702220,1510978,150,D,32130.00,31490.00
Jam.Petr.,20210221,31680.00,31700.00,31680.00,32130.00,29088721490,918204,220,D,32320.00,31680.00
Jam.Petr.,20210220,32510.00,33000.00,32310.00,32320.00,116372622190,3600874,479,D,32960.00,32350.00
Jam.Petr.,20210217,33000.00,34000.00,32390.00,32960.00,20381701940,621130,383,D,33000.00,32710.00
Jam.Petr.,20210216,33070.00,33600.00,32400.00,33000.00,12353156340,378738,337,D,33060.00,32600.00
Jam.Petr.,20210215,32890.00,34990.00,32490.00,33060.00,47272400880,1434416,1059,D,33150.00,33030.00
Jam.Petr.,20210214,34850.00,34850.00,32630.00,33150.00,54714544630,1655895,722,D,33290.00,32870.00
Jam.Petr.,20210213,34980.00,34980.00,33100.00,33290.00,31049493140,913876,629,D,33000.00,34200.00
Jam.Petr.,20210131,44600.00,44600.00,41500.00,42740.00,51903653340,1221713,1009,D,43000.00,41740.00
Jam.Petr.,20210130,43250.00,43560.00,41500.00,43000.00,91256478010,2111896,988,D,41490.00,43560.00
Jam.Petr.,20210127,41470.00,43500.00,39850.00,41490.00,49105329540,1181950,617,D,41440.00,43500.00
Jam.Petr.,20210126,40000.00,43300.00,40000.00,41440.00,56026372090,1364007,790,D,41930.00,40510.00
Jam.Petr.,20210125,41000.00,42800.00,40550.00,41930.00,64171203750,1532322,717,D,42020.00,41670.00
Jam.Petr.,20210124,44440.00,44440.00,40700.00,42020.00,133341600590,3173534,1573,D,42830.00,41220.00
Jam.Petr.,20210123,43130.00,43850.00,42100.00,42830.00,332770326330,7770371,3239,D,42050.00,43090.00
Jam.Petr.,20210120,40400.00,42060.00,40400.00,42050.00,350932330040,8345653,717,D,40060.00,42060.00
Jam.Petr.,20210119,37880.00,41500.00,37880.00,40060.00,62356144130,1552294,743,D,39840.00,40240.00
Jam.Petr.,20210118,39790.00,41880.00,39790.00,39840.00,224020807510,5622449,791,D,41880.00,39790.00
Jam.Petr.,20210116,41080.00,41800.00,41080.00,41880.00,60199597410,1464976,197,D,43240.00,41080.00
Jam.Petr.,20210113,44190.00,45230.00,43160.00,43240.00,178673473850,4132468,617,D,45430.00,43160.00
Jam.Petr.,20210112,44590.00,44590.00,44590.00,45430.00,60928979930,1366427,254,D,46930.00,44590.00
Jam.Petr.,20210105,47600.00,48250.00,45230.00,46930.00,70302716820,1501293,745,D,47180.00,45490.00
Jam.Petr.,20210104,48190.00,48450.00,46900.00,47180.00,87102488480,1846087,679,D,47140.00,47010.00
Jam.Petr.,20210103,45530.00,47900.00,45530.00,47140.00,143802868310,3050603,718,D,46480.00,47490.00
Jam.Petr.,20210102,45910.00,48510.00,45510.00,46480.00,102205226410,2198724,747,D,47890.00,45510.00
Jam.Petr.,20201230,47370.00,49490.00,46800.00,47890.00,185193684170,3866823,828,D,48010.00,47120.00
Jam.Petr.,20201229,48700.00,49270.00,47510.00,48010.00,104486993300,2176520,666,D,48700.00,47700.00
Jam.Petr.,20201228,47200.00,49800.00,47160.00,48700.00,99465135550,2041764,718,D,48090.00,48230.00
Jam.Petr.,20201227,48080.00,49000.00,46880.00,48090.00,78569140680,1633676,714,D,48090.00,48100.00
Jam.Petr.,20201226,47680.00,49710.00,47670.00,48090.00,153558331670,3193148,1003,D,47670.00,48180.00
Jam.Petr.,20201223,48720.00,49990.00,46530.00,47670.00,123587105520,2592344,1196,D,48000.00,47870.00
Jam.Petr.,20201222,47140.00,49000.00,47110.00,48000.00,115274457500,2401545,1504,D,48540.00,47710.00
Jam.Petr.,20201221,47100.00,50020.00,47100.00,48540.00,144950700840,2985956,1232,D,48740.00,47410.00
Jam.Petr.,20201220,50000.00,50000.00,47100.00,48740.00,162242977600,3328641,1144,D,49110.00,48210.00
Jam.Petr.,20201219,47540.00,49330.00,47540.00,49110.00,258278645550,5259458,1514,D,46990.00,49300.00
