<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Kermanshah.Petr,20210921,45000.00,45990.00,43520.00,44090.00,73106135430,1658087,524,D,44970.00,43520.00
Kermanshah.Petr,20210920,44360.00,46500.00,43700.00,44970.00,118792601440,2641849,1150,D,45140.00,44830.00
Kermanshah.Petr,20210919,44420.00,47100.00,44150.00,45140.00,144821533320,3208357,811,D,45420.00,44200.00
Kermanshah.Petr,20210918,44900.00,46900.00,43730.00,45420.00,163435702380,3598628,1230,D,44790.00,45500.00
Kermanshah.Petr,20210915,44200.00,46480.00,43950.00,44790.00,26846575580,607631,536,D,45250.00,44100.00
Kermanshah.Petr,20210914,45010.00,45940.00,44160.00,45250.00,68961525740,1524113,1006,D,45490.00,45080.00
Kermanshah.Petr,20210913,46490.00,46490.00,43910.00,45490.00,28195220570,622738,329,D,45650.00,45570.00
Kermanshah.Petr,20210912,46400.00,46410.00,44800.00,45650.00,50988900230,1125081,561,D,46930.00,46000.00
Kermanshah.Petr,20210911,47000.00,47900.00,46400.00,46930.00,30252014120,646050,355,D,47020.00,46430.00
Kermanshah.Petr,20210908,46410.00,48500.00,46410.00,47020.00,46252444620,982812,705,D,46930.00,47000.00
Kermanshah.Petr,20210907,46800.00,48660.00,45010.00,46930.00,114280326400,2434901,1071,D,46350.00,46900.00
Kermanshah.Petr,20210906,45010.00,47480.00,45000.00,46350.00,86749258180,1871584,811,D,45870.00,45870.00
Kermanshah.Petr,20210905,46000.00,46500.00,45100.00,45870.00,68152170460,1485735,561,D,46550.00,46200.00
Kermanshah.Petr,20210904,46440.00,47840.00,45610.00,46550.00,83206154460,1787334,1280,D,46440.00,46550.00
Kermanshah.Petr,20210901,44550.00,46760.00,44550.00,46440.00,136910788310,2948370,1073,D,44540.00,46690.00
Kermanshah.Petr,20210831,42280.00,46720.00,42280.00,44540.00,327055863010,7343406,1975,D,44500.00,45000.00
Kermanshah.Petr,20210830,44600.00,45440.00,44430.00,44500.00,65753103920,1477448,641,D,46760.00,44430.00
Kermanshah.Petr,20210829,47520.00,47550.00,45170.00,46760.00,148499269160,3176033,1106,D,47540.00,46000.00
Kermanshah.Petr,20210828,46690.00,48090.00,46690.00,47540.00,99950479910,2102645,997,D,47540.00,47540.00
Kermanshah.Petr,20210825,48850.00,48850.00,46630.00,47540.00,144802676850,3045913,904,D,48390.00,47980.00
Kermanshah.Petr,20210824,47500.00,48960.00,45800.00,48390.00,186947218910,3863171,1057,D,46630.00,48850.00
Kermanshah.Petr,20210823,47850.00,47850.00,45500.00,46630.00,91966301070,1972085,1227,D,47610.00,46710.00
Kermanshah.Petr,20210822,48530.00,48600.00,46900.00,47610.00,69127681720,1452097,1111,D,46750.00,47000.00
Kermanshah.Petr,20210815,45720.00,47700.00,45610.00,46750.00,56838675290,1213658,636,D,46220.00,47300.00
Kermanshah.Petr,20210814,47030.00,47690.00,45560.00,46220.00,102393379960,2215384,1048,D,47030.00,46590.00
Kermanshah.Petr,20210811,46010.00,47970.00,45910.00,47030.00,161028454250,3423606,1462,D,45690.00,47780.00
Kermanshah.Petr,20210810,44000.00,45790.00,43410.00,45690.00,380967800860,8338822,1430,D,43610.00,45790.00
