<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Pars.Ceram,20210921,6300.00,6300.00,5850.00,5910.00,89303771760,15098199,1330,D,6150.00,5850.00
Pars.Ceram,20210920,5750.00,6250.00,5750.00,6150.00,309636990140,50313382,3074,D,5960.00,6250.00
Pars.Ceram,20210919,6260.00,6370.00,5860.00,5960.00,84575893490,14193457,1698,D,6160.00,5870.00
Pars.Ceram,20210918,6370.00,6370.00,6020.00,6160.00,44633404380,7243521,1170,D,6190.00,6200.00
Pars.Ceram,20210915,6250.00,6430.00,6010.00,6190.00,71319917290,11530034,1983,D,6310.00,6290.00
Pars.Ceram,20210914,6260.00,6500.00,6220.00,6310.00,56056302070,8882860,1331,D,6260.00,6290.00
Pars.Ceram,20210913,6250.00,6650.00,6120.00,6260.00,69999824210,11187802,1570,D,6440.00,6370.00
Pars.Ceram,20210912,6810.00,6810.00,6410.00,6440.00,73700342610,11452906,1463,D,6740.00,6410.00
Pars.Ceram,20210911,6950.00,7040.00,6590.00,6740.00,80172290620,11892324,1468,D,6930.00,6740.00
Pars.Ceram,20210908,6980.00,7120.00,6810.00,6930.00,71296588960,10288011,1970,D,7030.00,6860.00
Pars.Ceram,20210907,7000.00,7280.00,6860.00,7030.00,94565957310,13445265,2025,D,7000.00,6950.00
Pars.Ceram,20210906,6710.00,7060.00,6710.00,7000.00,234056002300,33423614,3284,D,6730.00,6990.00
Pars.Ceram,20210905,6980.00,6980.00,6660.00,6730.00,101977404490,15163794,1934,D,6840.00,6690.00
Pars.Ceram,20210904,6700.00,6900.00,6650.00,6840.00,131313932580,19210881,2084,D,6580.00,6900.00
Pars.Ceram,20210901,6670.00,6900.00,6440.00,6580.00,145642684870,22130646,2396,D,6770.00,6650.00
Pars.Ceram,20210831,6730.00,7010.00,6670.00,6770.00,73231773910,10811874,1286,D,7020.00,6670.00
Pars.Ceram,20210830,7000.00,7400.00,6840.00,7020.00,108206705560,15416245,1919,D,7200.00,6840.00
Pars.Ceram,20210829,7240.00,7300.00,6910.00,7200.00,213055948390,29577008,2487,D,6960.00,7010.00
Pars.Ceram,20210828,6840.00,7060.00,6740.00,6960.00,85762539490,12323805,825,D,6730.00,7060.00
Pars.Ceram,20210825,6870.00,6900.00,6600.00,6730.00,141265474650,21001440,2303,D,6780.00,6750.00
Pars.Ceram,20210824,6840.00,6890.00,6640.00,6780.00,95613905580,14110342,1663,D,6640.00,6750.00
Pars.Ceram,20210823,6870.00,6870.00,6530.00,6640.00,65014487800,9790973,1702,D,6740.00,6610.00
Pars.Ceram,20210822,6520.00,6840.00,6520.00,6740.00,112873273850,16735982,2088,D,6520.00,6740.00
Pars.Ceram,20210815,6270.00,6650.00,6270.00,6520.00,77345095010,11865140,1496,D,6470.00,6610.00
Pars.Ceram,20210814,6530.00,6600.00,6370.00,6470.00,82653383110,12784162,1642,D,6430.00,6440.00
Pars.Ceram,20210811,6560.00,6560.00,6260.00,6430.00,67197808870,10449480,1617,D,6480.00,6480.00
Pars.Ceram,20210810,6790.00,6790.00,6320.00,6480.00,96153381390,14835606,2043,D,6650.00,6490.00
Pars.Ceram,20210809,6640.00,6840.00,6560.00,6650.00,49377115550,7420080,1308,D,6620.00,6680.00
Pars.Ceram,20210808,6500.00,6820.00,6450.00,6620.00,57738371390,8718629,1228,D,6660.00,6740.00
Pars.Ceram,20210807,7000.00,7000.00,6620.00,6660.00,93003186420,13958728,1735,D,6960.00,6700.00
Pars.Ceram,20210804,6950.00,7040.00,6780.00,6960.00,128892342290,18521729,2222,D,6710.00,6950.00
Pars.Ceram,20210803,6490.00,6770.00,6480.00,6710.00,49450445360,7366046,1011,D,6450.00,6770.00
Pars.Ceram,20210802,6410.00,6650.00,6350.00,6450.00,154004609800,23866620,2671,D,6680.00,6470.00
Pars.Ceram,20210801,6980.00,6980.00,6660.00,6680.00,22403221810,3354645,498,D,7010.00,6660.00
Pars.Ceram,20210731,7190.00,7200.00,6700.00,7010.00,96835877320,13817658,2009,D,6860.00,6770.00
Pars.Ceram,20210728,6670.00,7250.00,6670.00,6860.00,124585367060,18162474,2235,D,7020.00,6900.00
Pars.Ceram,20210727,7060.00,7300.00,6990.00,7020.00,39314575920,5597650,644,D,7350.00,6990.00
Pars.Ceram,20210726,7510.00,7600.00,7310.00,7350.00,92698442160,12610948,1599,D,7690.00,7310.00
Pars.Ceram,20210719,7860.00,8290.00,7600.00,7690.00,149306902510,19411603,2122,D,7990.00,7600.00
Pars.Ceram,20210718,8130.00,8130.00,7780.00,7990.00,266233156110,33324478,4343,D,7750.00,8000.00
Pars.Ceram,20210717,7490.00,7800.00,7460.00,7750.00,42783878920,5520693,808,D,7430.00,7800.00
Pars.Ceram,20210714,7400.00,7490.00,7000.00,7430.00,108132673610,14557183,2163,D,7140.00,7490.00
Pars.Ceram,20210713,6950.00,7180.00,6850.00,7140.00,107951532150,15115914,1595,D,6840.00,7180.00
Pars.Ceram,20210712,6850.00,6870.00,6630.00,6840.00,201459052720,29446152,3132,D,6550.00,6870.00
Pars.Ceram,20210711,6390.00,6560.00,6310.00,6550.00,78991613930,12059443,1199,D,6250.00,6560.00
Pars.Ceram,20210710,6350.00,6470.00,6150.00,6250.00,107670835680,17222549,2902,D,6470.00,6390.00
Pars.Ceram,20210707,6560.00,6700.00,6430.00,6470.00,185039582550,28595731,3673,D,6760.00,6440.00
Pars.Ceram,20210706,7140.00,7140.00,6710.00,6760.00,174897668520,25858898,3080,D,7060.00,6710.00
Pars.Ceram,20210705,7000.00,7250.00,6940.00,7060.00,86664709030,12268206,1979,D,6950.00,6990.00
Pars.Ceram,20210704,6960.00,7220.00,6920.00,6950.00,174528178290,25109341,2829,D,7280.00,7020.00
Pars.Ceram,20210703,7650.00,7770.00,7180.00,7280.00,133126771390,18288354,2614,D,7550.00,7180.00
Pars.Ceram,20210630,7520.00,7560.00,7280.00,7550.00,363711501100,48193091,3836,D,7200.00,7560.00
Pars.Ceram,20210629,7700.00,7700.00,7030.00,7200.00,304308069010,42257359,5141,D,7400.00,7400.00
Pars.Ceram,20210628,7400.00,7420.00,7270.00,7400.00,303883873410,41041665,5048,D,7070.00,7420.00
Pars.Ceram,20210627,6910.00,7370.00,6910.00,7070.00,318455450210,45026803,4522,D,7270.00,7240.00
Pars.Ceram,20210626,7060.00,7060.00,7060.00,7270.00,9878577920,1399232,321,D,7840.00,7060.00
Pars.Ceram,20210623,7490.00,7490.00,7490.00,7840.00,1595377490,213001,34,D,7880.00,7490.00
Pars.Ceram,20210622,7500.00,7500.00,7500.00,7880.00,545722500,72763,28,D,7890.00,7500.00
Pars.Ceram,20210621,7500.00,7500.00,7500.00,7890.00,45105000,6014,4,D,7890.00,7500.00
