<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Rena.Investment,20210921,5060.00,5060.00,4750.00,4770.00,33199269910,6960050,686,D,5000.00,4750.00
Rena.Investment,20210920,4980.00,5080.00,4960.00,5000.00,29056193200,5814419,695,D,5060.00,5010.00
Rena.Investment,20210919,5110.00,5350.00,4970.00,5060.00,33132406460,6550890,754,D,5230.00,4980.00
Rena.Investment,20210918,5500.00,5500.00,5180.00,5230.00,32719570140,6251270,722,D,5450.00,5180.00
Rena.Investment,20210915,5530.00,5640.00,5300.00,5450.00,35243260840,6472229,1117,D,5540.00,5360.00
Rena.Investment,20210914,5580.00,5590.00,5420.00,5540.00,30460770840,5500074,794,D,5390.00,5540.00
Rena.Investment,20210913,5520.00,5590.00,5190.00,5390.00,44086747330,8174714,973,D,5460.00,5410.00
Rena.Investment,20210912,5700.00,5700.00,5460.00,5460.00,79454109460,14540189,871,D,5740.00,5460.00
Rena.Investment,20210911,5700.00,5990.00,5600.00,5740.00,41088415520,7161848,841,D,5840.00,5610.00
Rena.Investment,20210908,5910.00,5950.00,5690.00,5840.00,51122515190,8748753,1427,D,5830.00,5870.00
Rena.Investment,20210907,5900.00,6000.00,5770.00,5830.00,91497464890,15694969,1373,D,6070.00,5770.00
Rena.Investment,20210906,6160.00,6370.00,5920.00,6070.00,80424974630,13245851,1646,D,6220.00,5940.00
Rena.Investment,20210905,6190.00,6400.00,6020.00,6220.00,76282681620,12272410,1277,D,6190.00,6260.00
Rena.Investment,20210904,6340.00,6360.00,6010.00,6190.00,78365793200,12654043,1480,D,6060.00,6190.00
Rena.Investment,20210901,5700.00,6170.00,5700.00,6060.00,94955812340,15679904,1314,D,5880.00,6170.00
Rena.Investment,20210831,5800.00,6190.00,5790.00,5880.00,130355938470,22178330,1724,D,6090.00,5880.00
Rena.Investment,20210830,6090.00,6290.00,6080.00,6090.00,183198349980,30057511,1479,D,6400.00,6080.00
Rena.Investment,20210829,6630.00,6630.00,6010.00,6400.00,279379373180,43639798,3796,D,6320.00,6100.00
Rena.Investment,20210828,6280.00,6330.00,6070.00,6320.00,66823379860,10577831,892,D,6030.00,6330.00
Rena.Investment,20210825,6000.00,6070.00,5790.00,6030.00,189077807510,31363628,2607,D,5790.00,6070.00
Rena.Investment,20210824,5600.00,5830.00,5400.00,5790.00,120376064650,20801212,1537,D,5560.00,5830.00
Rena.Investment,20210823,5700.00,5700.00,5420.00,5560.00,108684514410,19564157,2219,D,5430.00,5500.00
Rena.Investment,20210822,5390.00,5430.00,5260.00,5430.00,45225283620,8335482,514,D,5180.00,5430.00
Rena.Investment,20210815,5080.00,5211.00,5001.00,5180.00,108294655019,20905497,1886,D,4963.00,5211.00
