<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Ardebil.Cement,20210921,37200.00,39050.00,36420.00,36680.00,23416714520,638476,498,D,38330.00,36420.00
Ardebil.Cement,20210920,38200.00,38900.00,36580.00,38330.00,14020509100,365412,435,D,37590.00,38200.00
Ardebil.Cement,20210919,37900.00,40210.00,37150.00,37590.00,26571247260,706798,593,D,39100.00,37160.00
Ardebil.Cement,20210918,40700.00,40700.00,37870.00,39100.00,24614837080,629570,763,D,39180.00,39100.00
Ardebil.Cement,20210915,39680.00,39710.00,38210.00,39180.00,20263505270,517172,644,D,37820.00,39710.00
Ardebil.Cement,20210914,38000.00,38600.00,36210.00,37820.00,18890557680,499515,566,D,37060.00,38500.00
Ardebil.Cement,20210913,36800.00,38500.00,36660.00,37060.00,28351075710,764962,731,D,38580.00,36700.00
Ardebil.Cement,20210912,39860.00,39860.00,38270.00,38580.00,16476716000,427032,429,D,40280.00,38270.00
Ardebil.Cement,20210911,41950.00,42000.00,39850.00,40280.00,39304255920,975674,924,D,41940.00,39860.00
Ardebil.Cement,20210908,42490.00,42890.00,40700.00,41940.00,26983083820,643415,934,D,42280.00,41690.00
Ardebil.Cement,20210907,42550.00,43000.00,41310.00,42280.00,31241325670,738987,1036,D,42550.00,41390.00
Ardebil.Cement,20210906,41980.00,43450.00,41180.00,42550.00,74338988510,1747139,1481,D,42300.00,42420.00
Ardebil.Cement,20210905,44000.00,44000.00,41570.00,42300.00,53944763710,1275358,1352,D,43750.00,41940.00
Ardebil.Cement,20210904,44000.00,44750.00,43200.00,43750.00,68103516670,1556672,1430,D,43200.00,43900.00
Ardebil.Cement,20210901,42360.00,43630.00,41800.00,43200.00,100861344970,2334546,1837,D,41560.00,43630.00
Ardebil.Cement,20210831,41000.00,41590.00,41000.00,41560.00,60028982340,1444365,707,D,39610.00,41590.00
Ardebil.Cement,20210830,38400.00,41000.00,38400.00,39610.00,80657537960,2036488,1595,D,40400.00,40560.00
Ardebil.Cement,20210829,41670.00,41670.00,39000.00,40400.00,50410227160,1247902,1172,D,40750.00,39300.00
Ardebil.Cement,20210828,39000.00,41650.00,39000.00,40750.00,49945062630,1225777,1234,D,39930.00,40900.00
Ardebil.Cement,20210825,41030.00,41290.00,39160.00,39930.00,61869267200,1549319,1362,D,40690.00,39880.00
Ardebil.Cement,20210824,39900.00,40890.00,39300.00,40690.00,54028337930,1327958,1061,D,38950.00,40890.00
Ardebil.Cement,20210823,40000.00,40000.00,38000.00,38950.00,42538917660,1092169,956,D,39090.00,39400.00
Ardebil.Cement,20210822,38330.00,39620.00,38330.00,39090.00,40834570800,1044562,924,D,38000.00,38930.00
Ardebil.Cement,20210815,37140.00,38360.00,37140.00,38000.00,34263705400,901737,938,D,37660.00,38200.00
Ardebil.Cement,20210814,37180.00,38400.00,36780.00,37660.00,35651270160,946701,959,D,37160.00,37200.00
Ardebil.Cement,20210811,37360.00,37950.00,36740.00,37160.00,43806965240,1178863,949,D,36600.00,36860.00
Ardebil.Cement,20210810,37140.00,37460.00,35910.00,36600.00,49793776730,1360562,1452,D,37470.00,36730.00
Ardebil.Cement,20210809,37800.00,38400.00,37000.00,37470.00,43195083370,1152814,1023,D,37080.00,37100.00
Ardebil.Cement,20210808,36100.00,37910.00,35030.00,37080.00,57579244570,1552642,1428,D,36110.00,37800.00
Ardebil.Cement,20210807,37680.00,37980.00,35840.00,36110.00,75175518690,2081692,1783,D,37720.00,35990.00
Ardebil.Cement,20210804,39960.00,39960.00,37020.00,37720.00,85506484200,2266698,2214,D,38960.00,37720.00
Ardebil.Cement,20210803,40000.00,41000.00,38420.00,38960.00,49114743110,1260592,1238,D,40420.00,38680.00
Ardebil.Cement,20210802,40100.00,41300.00,39590.00,40420.00,28337127250,700991,855,D,40640.00,39850.00
Ardebil.Cement,20210801,41990.00,42300.00,40490.00,40640.00,74123384460,1823856,1691,D,42620.00,40900.00
Ardebil.Cement,20210731,42490.00,43900.00,41210.00,42620.00,61291529050,1438085,1541,D,41820.00,41400.00
Ardebil.Cement,20210728,38680.00,42240.00,38680.00,41820.00,119048016480,2846353,2280,D,40230.00,42240.00
Ardebil.Cement,20210727,40600.00,41510.00,40060.00,40230.00,69731218110,1733297,1357,D,42160.00,40060.00
Ardebil.Cement,20210726,43860.00,43860.00,41670.00,42160.00,57181076050,1356342,1389,D,43860.00,41670.00
Ardebil.Cement,20210719,46000.00,46000.00,42710.00,43860.00,137122845230,3126714,3338,D,44950.00,43200.00
Ardebil.Cement,20210718,44460.00,45100.00,43280.00,44950.00,132951788760,2957759,1869,D,42960.00,45100.00
Ardebil.Cement,20210717,42970.00,42990.00,42500.00,42960.00,56743187810,1320971,931,D,40950.00,42990.00
Ardebil.Cement,20210714,39480.00,42300.00,39480.00,40950.00,95961945760,2343418,2732,D,40810.00,42060.00
Ardebil.Cement,20210713,40720.00,42000.00,40260.00,40810.00,114269228000,2799916,2881,D,42370.00,40260.00
Ardebil.Cement,20210712,44000.00,44000.00,40800.00,42370.00,114823330820,2710181,3050,D,42500.00,40900.00
Ardebil.Cement,20210711,41040.00,44250.00,41040.00,42500.00,544114839490,12802299,8137,D,43200.00,43600.00
Ardebil.Cement,20210710,42900.00,42900.00,42900.00,43200.00,12321394800,287212,167,D,45150.00,42900.00
Ardebil.Cement,20210707,45100.00,46430.00,45100.00,45150.00,139563464850,3091207,1146,D,50110.00,45100.00
Ardebil.Cement,20210706,47930.00,47930.00,47930.00,50110.00,1935461330,40381,45,D,50450.00,47930.00
Ardebil.Cement,20210705,47990.00,47990.00,47990.00,50450.00,353830270,7373,11,D,50510.00,47990.00
Ardebil.Cement,20210704,48100.00,48100.00,48100.00,50510.00,700768900,14569,10,D,50630.00,48100.00
Ardebil.Cement,20210703,48170.00,48170.00,48170.00,50630.00,387527650,8045,11,D,50700.00,48170.00
Ardebil.Cement,20210630,48190.00,48190.00,48190.00,50700.00,106307140,2206,12,D,50720.00,48190.00
Ardebil.Cement,20210629,48240.00,48240.00,48240.00,50720.00,283795920,5883,9,D,50770.00,48240.00
Ardebil.Cement,20210628,48260.00,48260.00,48260.00,50770.00,151391620,3137,12,D,50800.00,48260.00
Ardebil.Cement,20210627,48400.00,48400.00,48400.00,50800.00,765155600,15809,21,D,50940.00,48400.00
Ardebil.Cement,20210626,47620.00,47620.00,47620.00,50940.00,5020719460,105433,126,D,52910.00,47620.00
Ardebil.Cement,20210623,50290.00,50290.00,50290.00,52910.00,106765670,2123,10,D,52930.00,50290.00
Ardebil.Cement,20210622,50300.00,50300.00,50300.00,52930.00,55380300,1101,8,D,52940.00,50300.00
Ardebil.Cement,20210621,50310.00,50310.00,50310.00,52940.00,65654550,1305,4,D,52950.00,50310.00
Ardebil.Cement,20210620,50310.00,50310.00,50310.00,52950.00,11923470,237,2,D,52950.00,50310.00
Ardebil.Cement,20210619,50310.00,50310.00,50310.00,52950.00,10062000,200,1,D,52950.00,50310.00
Ardebil.Cement,20210616,50310.00,50310.00,50310.00,52950.00,20928960,416,4,D,52950.00,50310.00
Ardebil.Cement,20210615,50310.00,50310.00,50310.00,52950.00,5031000,100,1,D,52950.00,50310.00
Ardebil.Cement,20210614,50370.00,50370.00,50370.00,52950.00,353698140,7022,13,D,53020.00,50370.00
Ardebil.Cement,20210609,50370.00,50370.00,50370.00,53020.00,5037000,100,1,D,53020.00,50370.00
Ardebil.Cement,20210607,50370.00,50370.00,50370.00,53020.00,22465020,446,3,D,53020.00,50370.00
Ardebil.Cement,20210602,50380.00,50380.00,50380.00,53020.00,56274460,1117,4,D,53030.00,50380.00
Ardebil.Cement,20210601,50390.00,50390.00,50390.00,53030.00,71503410,1419,6,D,53040.00,50390.00
Ardebil.Cement,20210531,50390.00,50390.00,50390.00,53040.00,25195000,500,4,D,53040.00,50390.00
Ardebil.Cement,20210530,50490.00,50490.00,50490.00,53040.00,540646920,10708,6,D,53140.00,50490.00
Ardebil.Cement,20210529,50740.00,50740.00,50740.00,53140.00,1446292960,28504,17,D,53410.00,50740.00
