<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Sadr.Tamin.Inv.,20210921,9870.00,9870.00,9300.00,9330.00,153318249320,16427989,1184,D,9780.00,9300.00
Sadr.Tamin.Inv.,20210920,9700.00,10000.00,9570.00,9780.00,97955541280,10039269,1289,D,9910.00,9700.00
Sadr.Tamin.Inv.,20210919,9720.00,10110.00,9630.00,9910.00,60231330300,6186482,1078,D,10120.00,9740.00
Sadr.Tamin.Inv.,20210918,10310.00,10470.00,10040.00,10120.00,109272169860,10820960,1603,D,10560.00,10040.00
Sadr.Tamin.Inv.,20210915,10560.00,10740.00,10310.00,10560.00,58838554050,5610242,1166,D,10640.00,10430.00
Sadr.Tamin.Inv.,20210914,10330.00,10790.00,10330.00,10640.00,65030099030,6104588,1311,D,10620.00,10710.00
Sadr.Tamin.Inv.,20210913,10450.00,10910.00,10290.00,10620.00,71934569480,6852820,1088,D,10820.00,10440.00
Sadr.Tamin.Inv.,20210912,11150.00,11150.00,10480.00,10820.00,57037759780,5379670,1153,D,11030.00,10730.00
Sadr.Tamin.Inv.,20210911,10980.00,11240.00,10850.00,11030.00,60463880690,5455996,995,D,10970.00,10850.00
Sadr.Tamin.Inv.,20210908,10900.00,11300.00,10850.00,10970.00,116622111240,10632325,1882,D,11140.00,10900.00
Sadr.Tamin.Inv.,20210907,11300.00,11330.00,10840.00,11140.00,86706730630,7818883,1514,D,11300.00,10900.00
Sadr.Tamin.Inv.,20210906,11320.00,11600.00,11060.00,11300.00,106993231570,9485784,1637,D,11540.00,11090.00
Sadr.Tamin.Inv.,20210905,11440.00,11600.00,11320.00,11540.00,55640220500,4868866,1078,D,11640.00,11400.00
Sadr.Tamin.Inv.,20210904,11800.00,11890.00,11500.00,11640.00,150766505450,12948252,1408,D,11580.00,11500.00
Sadr.Tamin.Inv.,20210901,11500.00,11750.00,11150.00,11580.00,120204486450,10378444,1329,D,11500.00,11600.00
Sadr.Tamin.Inv.,20210831,11380.00,11870.00,11380.00,11500.00,199265987080,17320417,1691,D,11970.00,11520.00
Sadr.Tamin.Inv.,20210830,12010.00,12300.00,11850.00,11970.00,346339315020,28934433,1980,D,12470.00,11850.00
Sadr.Tamin.Inv.,20210829,12160.00,12570.00,11980.00,12470.00,700933232070,56210836,3706,D,11980.00,12160.00
Sadr.Tamin.Inv.,20210828,11500.00,12100.00,11490.00,11980.00,373446775480,31184732,2966,D,11530.00,12100.00
Sadr.Tamin.Inv.,20210825,11770.00,11770.00,11350.00,11530.00,151209255200,13111745,2016,D,11730.00,11500.00
Sadr.Tamin.Inv.,20210824,11690.00,11900.00,11570.00,11730.00,140765019860,11998184,1868,D,11520.00,11660.00
Sadr.Tamin.Inv.,20210823,11280.00,11640.00,10810.00,11520.00,320820424060,27850303,2809,D,11090.00,11590.00
Sadr.Tamin.Inv.,20210822,11200.00,11470.00,10880.00,11090.00,311610605530,28096232,3614,D,11340.00,11190.00
Sadr.Tamin.Inv.,20210815,11500.00,11550.00,11110.00,11340.00,141988249380,12520452,1307,D,10770.00,11320.00
Sadr.Tamin.Inv.,20210809,11700.00,11700.00,11500.00,11590.00,164631962580,14208971,2305,D,11720.00,11610.00
Sadr.Tamin.Inv.,20210808,11790.00,11950.00,11410.00,11720.00,160483699490,13694300,1765,D,11590.00,11710.00
Sadr.Tamin.Inv.,20210807,11680.00,11900.00,11300.00,11590.00,168190158890,14515300,1883,D,11480.00,11680.00
Sadr.Tamin.Inv.,20210804,10780.00,11530.00,10780.00,11480.00,427044345260,37196364,2306,D,10990.00,11530.00
Sadr.Tamin.Inv.,20210803,10780.00,11150.00,10780.00,10990.00,118384199820,10768111,1126,D,11010.00,10910.00
Sadr.Tamin.Inv.,20210802,10900.00,11060.00,10750.00,11010.00,100484754230,9143100,1063,D,11070.00,11040.00
Sadr.Tamin.Inv.,20210801,11010.00,11220.00,10900.00,11070.00,153883852750,13894885,1876,D,10930.00,10980.00
Sadr.Tamin.Inv.,20210731,10290.00,11070.00,10290.00,10930.00,307374296440,28131222,2351,D,10550.00,11070.00
Sadr.Tamin.Inv.,20210728,10570.00,10590.00,10280.00,10550.00,62600851200,5960601,908,D,10600.00,10500.00
Sadr.Tamin.Inv.,20210727,10750.00,10800.00,10270.00,10600.00,84130396850,7955810,1010,D,10650.00,10420.00
Sadr.Tamin.Inv.,20210726,10480.00,10810.00,10480.00,10650.00,101315534370,9491854,1352,D,10510.00,10700.00
Sadr.Tamin.Inv.,20210719,10500.00,10640.00,10340.00,10510.00,106636150810,10133487,968,D,10400.00,10470.00
Sadr.Tamin.Inv.,20210718,10410.00,10520.00,10260.00,10400.00,83980291370,8110190,1024,D,10520.00,10400.00
Sadr.Tamin.Inv.,20210717,10490.00,10700.00,10320.00,10520.00,148362471340,14105965,1574,D,10510.00,10520.00
Sadr.Tamin.Inv.,20210714,10280.00,10670.00,10280.00,10510.00,90006746480,8557492,1216,D,10480.00,10510.00
Sadr.Tamin.Inv.,20210713,10490.00,10670.00,10300.00,10480.00,180421390810,17220451,1303,D,10530.00,10520.00
Sadr.Tamin.Inv.,20210712,10320.00,10730.00,10320.00,10530.00,125087101220,11883856,1225,D,10450.00,10360.00
Sadr.Tamin.Inv.,20210711,10400.00,10690.00,10250.00,10450.00,141115045550,13510134,1477,D,10430.00,10510.00
Sadr.Tamin.Inv.,20210710,10650.00,10650.00,10220.00,10430.00,80059171050,7760491,1148,D,10690.00,10300.00
Sadr.Tamin.Inv.,20210707,10890.00,10940.00,10430.00,10690.00,100365022060,9400044,1290,D,10730.00,10600.00
Sadr.Tamin.Inv.,20210706,10290.00,10750.00,10290.00,10730.00,351541459850,32758887,1785,D,10240.00,10750.00
Sadr.Tamin.Inv.,20210705,10170.00,10340.00,10040.00,10240.00,135538812700,13241588,1124,D,10180.00,10310.00
Sadr.Tamin.Inv.,20210704,9820.00,10470.00,9820.00,10180.00,234718697250,23058175,1863,D,10260.00,10160.00
Sadr.Tamin.Inv.,20210703,10480.00,10690.00,10160.00,10260.00,132271642300,12893759,1098,D,10690.00,10160.00
Sadr.Tamin.Inv.,20210630,10900.00,10900.00,10550.00,10690.00,155995033870,14590401,1426,D,10480.00,10670.00
Sadr.Tamin.Inv.,20210629,10210.00,10890.00,10130.00,10480.00,222701659350,21249771,1670,D,10490.00,10870.00
Sadr.Tamin.Inv.,20210628,10340.00,10730.00,10200.00,10490.00,213375992700,20334977,2072,D,10660.00,10490.00
Sadr.Tamin.Inv.,20210627,10350.00,10830.00,10300.00,10660.00,327576560330,30734706,2842,D,10320.00,10400.00
Sadr.Tamin.Inv.,20210626,10200.00,10360.00,9900.00,10320.00,528788360380,51243434,2056,D,9870.00,10350.00
Sadr.Tamin.Inv.,20210623,9500.00,9930.00,9500.00,9870.00,186005063790,18850720,1247,D,9460.00,9930.00
Sadr.Tamin.Inv.,20210622,9140.00,9690.00,9140.00,9460.00,184042927710,19449390,1217,D,9270.00,9640.00
Sadr.Tamin.Inv.,20210621,9030.00,9330.00,9030.00,9270.00,45067269840,4883169,649,D,9290.00,9250.00
Sadr.Tamin.Inv.,20210620,9330.00,9490.00,9040.00,9290.00,59994719060,6510343,1003,D,9370.00,9080.00
Sadr.Tamin.Inv.,20210619,9010.00,9650.00,9010.00,9370.00,57944031620,6148809,885,D,9320.00,9590.00
Sadr.Tamin.Inv.,20210616,9030.00,9270.00,9030.00,9320.00,19599509290,2145262,477,D,9360.00,9140.00
Sadr.Tamin.Inv.,20210615,9290.00,9460.00,9100.00,9360.00,35617314320,3863849,664,D,9430.00,9130.00
Sadr.Tamin.Inv.,20210614,9230.00,9600.00,9230.00,9430.00,61001452310,6513622,723,D,9500.00,9340.00
Sadr.Tamin.Inv.,20210613,9280.00,9580.00,9190.00,9500.00,54870573920,5874353,878,D,9640.00,9300.00
Sadr.Tamin.Inv.,20210612,9510.00,9700.00,9320.00,9640.00,39327965000,4128202,498,D,9690.00,9410.00
Sadr.Tamin.Inv.,20210609,9510.00,9710.00,9430.00,9690.00,21413502060,2239530,521,D,9720.00,9520.00
Sadr.Tamin.Inv.,20210608,9600.00,9900.00,9520.00,9720.00,79310628200,8126344,788,D,9650.00,9590.00
Sadr.Tamin.Inv.,20210607,9460.00,9820.00,9460.00,9650.00,60567116850,6250685,692,D,9610.00,9600.00
Sadr.Tamin.Inv.,20210602,9620.00,9770.00,9390.00,9610.00,89926018430,9351518,723,D,9610.00,9700.00
Sadr.Tamin.Inv.,20210601,9360.00,9640.00,9320.00,9610.00,36364287130,3877739,549,D,9710.00,9390.00
Sadr.Tamin.Inv.,20210531,9400.00,9840.00,9330.00,9710.00,34377699150,3637288,565,D,9820.00,9350.00
Sadr.Tamin.Inv.,20210530,9740.00,10170.00,9610.00,9820.00,74436811170,7515397,936,D,9700.00,9660.00
Sadr.Tamin.Inv.,20210529,9480.00,9910.00,9420.00,9700.00,263146527860,27141388,1665,D,9440.00,9910.00
Sadr.Tamin.Inv.,20210526,9320.00,9600.00,9100.00,9440.00,82216591420,8699569,955,D,9430.00,9380.00
Sadr.Tamin.Inv.,20210525,9100.00,9650.00,9100.00,9430.00,85921534170,9125897,1024,D,9490.00,9300.00
Sadr.Tamin.Inv.,20210524,9180.00,9370.00,9180.00,9490.00,41946347870,4560793,547,D,9660.00,9180.00
Sadr.Tamin.Inv.,20210523,9300.00,9450.00,9300.00,9660.00,28288407800,3040650,313,D,9780.00,9300.00
Sadr.Tamin.Inv.,20210522,9550.00,9970.00,9400.00,9780.00,57520463480,5955040,414,D,9890.00,9400.00
Sadr.Tamin.Inv.,20210519,9750.00,10070.00,9500.00,9890.00,40149614920,4146396,630,D,10000.00,9720.00
