<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Ama,20210921,20800.00,20850.00,19520.00,20430.00,153020371580,7490007,1640,D,19860.00,19990.00
Ama,20210920,19490.00,19880.00,19200.00,19860.00,34043949250,1714469,342,D,18940.00,19880.00
Ama,20210919,18050.00,19060.00,18050.00,18940.00,64826442910,3422805,829,D,18160.00,19060.00
Ama,20210918,18310.00,18840.00,17350.00,18160.00,28688930910,1580182,481,D,18000.00,18450.00
Ama,20210915,18110.00,18940.00,17860.00,18000.00,51528061650,2861926,826,D,18790.00,18310.00
Ama,20210914,18510.00,19410.00,18100.00,18790.00,72425424590,3854181,1164,D,19050.00,18270.00
Ama,20210913,19200.00,19530.00,18510.00,19050.00,71450313910,3751406,1244,D,18910.00,19200.00
Ama,20210912,19030.00,19030.00,18210.00,18910.00,198285898810,10484735,2521,D,18130.00,19030.00
Ama,20210911,17790.00,18130.00,17790.00,18130.00,35963790160,1984161,253,D,17270.00,18130.00
Ama,20210908,17350.00,17500.00,17070.00,17270.00,22250877350,1288376,584,D,17350.00,17490.00
Ama,20210907,16700.00,17640.00,16700.00,17350.00,24844315060,1432062,632,D,17060.00,17320.00
Ama,20210906,16850.00,17440.00,16410.00,17060.00,50426660080,2955125,796,D,16990.00,16930.00
Ama,20210905,17600.00,17600.00,16690.00,16990.00,106114503440,6245765,1739,D,17560.00,16900.00
Ama,20210904,18190.00,18190.00,17200.00,17560.00,21619216570,1231025,446,D,17630.00,17410.00
Ama,20210901,16830.00,18380.00,16830.00,17630.00,22097372350,1253549,555,D,17590.00,17560.00
Ama,20210831,17170.00,18380.00,17170.00,17590.00,15141780090,860590,383,D,18070.00,17400.00
Ama,20210830,18070.00,18470.00,18070.00,18070.00,55066078720,3046682,344,D,19020.00,18070.00
Ama,20210829,20270.00,20270.00,18430.00,19020.00,30076269590,1581661,652,D,19390.00,18450.00
Ama,20210828,19190.00,19410.00,19000.00,19390.00,39043747320,2014073,504,D,18490.00,19410.00
Ama,20210825,18540.00,18880.00,18260.00,18490.00,20498070020,1108402,349,D,18270.00,18850.00
Ama,20210824,18000.00,18420.00,17550.00,18270.00,33176217540,1815837,463,D,17550.00,18420.00
Ama,20210823,17410.00,17990.00,17150.00,17550.00,29286309930,1668772,474,D,17660.00,17700.00
Ama,20210822,18390.00,18390.00,17420.00,17660.00,29964236680,1697167,682,D,18020.00,17530.00
Ama,20210815,17390.00,18250.00,17390.00,18020.00,27879854810,1547538,450,D,18020.00,18240.00
Ama,20210814,17950.00,18500.00,17400.00,18020.00,33684512110,1868804,748,D,17940.00,17780.00
Ama,20210811,17880.00,17970.00,17500.00,17940.00,76081434040,4240997,585,D,17120.00,17970.00
Ama,20210810,16270.00,17810.00,16270.00,17120.00,44054222930,2572553,766,D,16980.00,17800.00
Ama,20210809,17410.00,17590.00,16510.00,16980.00,19826976220,1167617,482,D,16930.00,16760.00
Ama,20210808,16100.00,17260.00,16100.00,16930.00,37277202280,2201469,777,D,16440.00,17260.00
Ama,20210807,16510.00,17290.00,16270.00,16440.00,35112282030,2136383,719,D,17120.00,16270.00
Ama,20210804,17020.00,17950.00,16990.00,17120.00,47545019890,2776725,683,D,17880.00,16990.00
Ama,20210803,18200.00,18440.00,17300.00,17880.00,32730694480,1830574,682,D,17740.00,17530.00
Ama,20210802,17590.00,17910.00,17150.00,17740.00,45770332750,2580339,581,D,17060.00,17910.00
Ama,20210801,17180.00,17380.00,16000.00,17060.00,37671390180,2208676,579,D,16560.00,17380.00
Ama,20210731,15520.00,16760.00,15520.00,16560.00,25718609700,1553432,389,D,15970.00,16760.00
Ama,20210728,15190.00,16370.00,15190.00,15970.00,11339677680,709332,272,D,15940.00,16090.00
Ama,20210727,16300.00,16300.00,15120.00,15940.00,20044664550,1257737,377,D,15760.00,15900.00
Ama,20210726,15790.00,15810.00,15050.00,15760.00,20917300080,1327496,342,D,15060.00,15810.00
Ama,20210719,14350.00,15420.00,14350.00,15060.00,14655236450,973175,373,D,14890.00,15150.00
Ama,20210718,15000.00,15260.00,14550.00,14890.00,16741175250,1123994,329,D,15280.00,14800.00
Ama,20210717,15300.00,16130.00,15040.00,15280.00,26225971780,1715983,606,D,15830.00,15260.00
Ama,20210714,16380.00,16380.00,15570.00,15830.00,7667104650,489953,221,D,16050.00,15570.00
Ama,20210710,17000.00,17370.00,16300.00,16850.00,11218242390,667153,329,D,16970.00,16700.00
Ama,20210706,17250.00,17250.00,16500.00,16970.00,43447486720,2560003,374,D,16800.00,16630.00
Ama,20210705,17240.00,17240.00,16000.00,16800.00,18480378770,1099749,408,D,16610.00,16880.00
Ama,20210704,15760.00,16630.00,15760.00,16610.00,24886612830,1498007,547,D,15840.00,16630.00
Ama,20210703,15120.00,16090.00,15120.00,15840.00,10091486140,633977,263,D,15690.00,15900.00
Ama,20210630,15180.00,16000.00,15180.00,15690.00,9328798830,594417,250,D,15690.00,16000.00
Ama,20210629,15010.00,15800.00,15010.00,15690.00,10074747410,642866,275,D,15730.00,15740.00
Ama,20210628,16370.00,16370.00,15210.00,15730.00,10606494100,676447,263,D,15840.00,15500.00
Ama,20210627,15810.00,16220.00,15200.00,15840.00,7635258580,486577,245,D,15990.00,15880.00
