<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Dashtestan.Ce.,20210921,47410.00,47420.00,47350.00,49740.00,872679700,18424,38,D,49840.00,47350.00
Dashtestan.Ce.,20210920,48440.00,49880.00,48440.00,49840.00,10557415270,217602,237,D,50980.00,48440.00
Dashtestan.Ce.,20210919,48940.00,48940.00,48940.00,50980.00,4791030240,97896,60,D,51510.00,48940.00
Dashtestan.Ce.,20210918,51280.00,51280.00,49550.00,51510.00,6013052390,121122,165,D,52150.00,49550.00
Dashtestan.Ce.,20210915,53500.00,53500.00,50110.00,52150.00,5334029290,104855,235,D,52510.00,51280.00
Dashtestan.Ce.,20210914,52940.00,54680.00,50700.00,52510.00,11620501520,219188,368,D,52080.00,51960.00
Dashtestan.Ce.,20210913,50430.00,52000.00,50430.00,52080.00,9301057680,184145,215,D,53080.00,51080.00
Dashtestan.Ce.,20210912,51350.00,53260.00,51350.00,53080.00,8755366790,170482,279,D,54050.00,51350.00
Dashtestan.Ce.,20210911,55830.00,55830.00,52440.00,54050.00,12584828880,237794,378,D,55190.00,52440.00
Dashtestan.Ce.,20210908,54390.00,57000.00,54360.00,55190.00,20046744700,367080,547,D,57220.00,54360.00
Dashtestan.Ce.,20210907,61900.00,61900.00,56650.00,57220.00,57738184040,1009108,885,D,59630.00,56650.00
Dashtestan.Ce.,20210906,58150.00,59940.00,57200.00,59630.00,64777833380,1086317,1040,D,57090.00,59930.00
Dashtestan.Ce.,20210905,57190.00,57200.00,55040.00,57090.00,102432513300,1794362,1008,D,54480.00,57200.00
Dashtestan.Ce.,20210904,54500.00,56500.00,53050.00,54480.00,13756995860,249898,401,D,53830.00,56480.00
Dashtestan.Ce.,20210901,55900.00,55900.00,52450.00,53830.00,13839114250,259715,344,D,54500.00,53910.00
Dashtestan.Ce.,20210831,56400.00,56400.00,52190.00,54500.00,7357128370,137657,216,D,54930.00,53970.00
Dashtestan.Ce.,20210830,52650.00,54850.00,52650.00,54930.00,4987215040,94201,170,D,55420.00,53970.00
Dashtestan.Ce.,20210829,55100.00,57490.00,52850.00,55420.00,8634011920,156529,294,D,55550.00,54900.00
Dashtestan.Ce.,20210828,54310.00,57370.00,52950.00,55550.00,13248551580,238216,415,D,55490.00,56200.00
Dashtestan.Ce.,20210825,58140.00,58140.00,54410.00,55490.00,8375836440,150331,340,D,55380.00,54580.00
Dashtestan.Ce.,20210824,55630.00,56940.00,52770.00,55380.00,14382087610,255194,427,D,54230.00,56940.00
Dashtestan.Ce.,20210823,53000.00,55380.00,51500.00,54230.00,36303804090,669470,433,D,52750.00,55380.00
Dashtestan.Ce.,20210822,52000.00,53800.00,50710.00,52750.00,5611168190,106748,193,D,52810.00,52110.00
Dashtestan.Ce.,20210815,51480.00,53310.00,51050.00,52810.00,6713252350,127672,272,D,52900.00,52000.00
Dashtestan.Ce.,20210814,54830.00,54830.00,51450.00,52900.00,2725198600,52305,124,D,53000.00,52240.00
Dashtestan.Ce.,20210811,54370.00,54370.00,52040.00,53000.00,7489168060,141221,260,D,52990.00,53500.00
Dashtestan.Ce.,20210810,55250.00,55250.00,51520.00,52990.00,29839478360,563162,172,D,53560.00,53000.00
Dashtestan.Ce.,20210809,51910.00,55600.00,51000.00,53560.00,9992917470,185834,324,D,53420.00,53580.00
Dashtestan.Ce.,20210808,54990.00,54990.00,51530.00,53420.00,43296046400,810485,193,D,53530.00,52850.00
Dashtestan.Ce.,20210807,55600.00,55600.00,51790.00,53530.00,5113077860,95221,178,D,53490.00,52720.00
Dashtestan.Ce.,20210804,50550.00,55800.00,50540.00,53490.00,17564627730,327595,535,D,53190.00,54000.00
Dashtestan.Ce.,20210803,52000.00,52000.00,51260.00,53190.00,6923664900,134971,141,D,53950.00,51260.00
Dashtestan.Ce.,20210802,52050.00,53800.00,52050.00,53950.00,8092189810,154872,258,D,54780.00,52050.00
Dashtestan.Ce.,20210801,52830.00,54810.00,52410.00,54780.00,3956068380,74991,117,D,55160.00,52410.00
Dashtestan.Ce.,20210731,54860.00,55500.00,53260.00,55160.00,9838733250,182999,354,D,56050.00,54430.00
Dashtestan.Ce.,20210728,54010.00,58500.00,53530.00,56050.00,18391413180,328838,419,D,56340.00,54870.00
Dashtestan.Ce.,20210727,54370.00,56850.00,54000.00,56340.00,2459823490,45065,131,D,56530.00,54170.00
Dashtestan.Ce.,20210726,56500.00,56570.00,54300.00,56530.00,4774444800,85921,162,D,56750.00,56300.00
Dashtestan.Ce.,20210719,55250.00,57970.00,55250.00,56750.00,6810881300,122120,264,D,57090.00,55430.00
Dashtestan.Ce.,20210718,56740.00,58380.00,54670.00,57090.00,13553735910,235929,322,D,56740.00,57160.00
Dashtestan.Ce.,20210717,55440.00,58000.00,54000.00,56740.00,17206356230,301107,385,D,56040.00,57680.00
Dashtestan.Ce.,20210714,54110.00,55810.00,54110.00,56040.00,12242897020,221708,330,D,56760.00,55450.00
Dashtestan.Ce.,20210713,55800.00,57920.00,55320.00,56760.00,14288007270,257252,380,D,58230.00,55610.00
Dashtestan.Ce.,20210712,59990.00,59990.00,56280.00,58230.00,24856906960,427140,646,D,58600.00,56730.00
Dashtestan.Ce.,20210711,56970.00,59050.00,53460.00,58600.00,55492932520,946978,853,D,56240.00,58900.00
