<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Isfahan.Cement,20210921,52810.00,55000.00,52240.00,53140.00,52924987540,995919,915,D,54980.00,52240.00
Isfahan.Cement,20210920,54360.00,57840.00,54360.00,54980.00,133563554350,2429435,2440,D,57220.00,54360.00
Isfahan.Cement,20210919,59000.00,59000.00,57060.00,57220.00,61910626650,1081905,929,D,60060.00,57060.00
Isfahan.Cement,20210918,60220.00,63000.00,59110.00,60060.00,127857238630,2128769,1738,D,62220.00,59110.00
Isfahan.Cement,20210915,61180.00,63660.00,61010.00,62220.00,79115377710,1271552,1927,D,63140.00,61090.00
Isfahan.Cement,20210914,61990.00,64130.00,61090.00,63140.00,121399372320,1922808,2156,D,61080.00,62410.00
Isfahan.Cement,20210913,60930.00,63000.00,60930.00,61080.00,204183077960,3342691,3138,D,64130.00,60930.00
Isfahan.Cement,20210912,64090.00,65500.00,64090.00,64130.00,51335082040,800448,631,D,67460.00,64090.00
Isfahan.Cement,20210911,70900.00,70900.00,67020.00,67460.00,136417605950,2022285,1984,D,70540.00,67020.00
Isfahan.Cement,20210908,69500.00,71700.00,67000.00,70540.00,164387421050,2330422,3067,D,68290.00,69400.00
Isfahan.Cement,20210907,66500.00,69860.00,63850.00,68290.00,291720365950,4271904,4810,D,66540.00,69250.00
Isfahan.Cement,20210906,64500.00,66930.00,64100.00,66540.00,194116175040,2917191,2894,D,63750.00,66480.00
Isfahan.Cement,20210905,63600.00,64990.00,62500.00,63750.00,185063873440,2902750,2959,D,64630.00,63000.00
Isfahan.Cement,20210904,66400.00,67000.00,63300.00,64630.00,156253724460,2417513,2969,D,65020.00,63700.00
Isfahan.Cement,20210901,64180.00,66340.00,62700.00,65020.00,128325838380,1973724,2323,D,63510.00,65800.00
Isfahan.Cement,20210831,63130.00,65000.00,61500.00,63510.00,102903316660,1620278,2219,D,63140.00,62810.00
Isfahan.Cement,20210830,61820.00,67020.00,61790.00,63140.00,167950935800,2660181,2586,D,65040.00,62700.00
