<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Siman.Fars.Noe,20210921,26550.00,26550.00,24350.00,24930.00,15189312910,609183,428,D,25550.00,24500.00
Siman.Fars.Noe,20210920,24650.00,25620.00,24620.00,25550.00,35504850030,1389567,606,D,24400.00,25620.00
Siman.Fars.Noe,20210919,23600.00,25300.00,23460.00,24400.00,19216370650,787571,498,D,24680.00,25220.00
Siman.Fars.Noe,20210918,26200.00,26200.00,24010.00,24680.00,19938345820,807825,563,D,25270.00,24010.00
Siman.Fars.Noe,20210915,26000.00,26000.00,24510.00,25270.00,9979592990,397427,374,D,25790.00,25050.00
Siman.Fars.Noe,20210914,25980.00,26570.00,25320.00,25790.00,8656703880,332337,243,D,25330.00,25840.00
Siman.Fars.Noe,20210913,25900.00,26440.00,25140.00,25330.00,21968830670,867189,623,D,26460.00,25140.00
Siman.Fars.Noe,20210912,26560.00,27500.00,26440.00,26460.00,20095612780,759532,403,D,27830.00,26440.00
Siman.Fars.Noe,20210911,28000.00,29440.00,27520.00,27830.00,45888534440,1648999,661,D,28960.00,27520.00
Siman.Fars.Noe,20210908,28700.00,29700.00,28310.00,28960.00,25607541740,884213,560,D,29690.00,29410.00
Siman.Fars.Noe,20210907,28410.00,30600.00,28410.00,29690.00,29140207310,981633,649,D,29850.00,28920.00
Siman.Fars.Noe,20210906,29570.00,30900.00,29220.00,29850.00,31475764100,1054421,704,D,30750.00,29220.00
Siman.Fars.Noe,20210905,31890.00,31890.00,30310.00,30750.00,14331008890,465934,348,D,30610.00,30450.00
Siman.Fars.Noe,20210904,30230.00,31320.00,30020.00,30610.00,21698823760,708784,444,D,30230.00,30600.00
Siman.Fars.Noe,20210901,29100.00,30800.00,29100.00,30230.00,33189080880,1098059,535,D,29340.00,30200.00
Siman.Fars.Noe,20210831,29100.00,30270.00,29100.00,29340.00,40620608890,1384570,464,D,30630.00,29100.00
Siman.Fars.Noe,20210830,30630.00,31620.00,30630.00,30630.00,25087270560,818937,203,D,32240.00,30630.00
Siman.Fars.Noe,20210829,32290.00,33690.00,30860.00,32240.00,32400050120,1005000,739,D,32480.00,30930.00
Siman.Fars.Noe,20210828,32450.00,33350.00,31060.00,32480.00,65455472310,2015241,1016,D,32260.00,32960.00
Siman.Fars.Noe,20210825,33600.00,34730.00,31880.00,32260.00,67244030540,2084589,984,D,33550.00,31880.00
Siman.Fars.Noe,20210824,33080.00,33600.00,31920.00,33550.00,41729947340,1243833,937,D,32000.00,33600.00
Siman.Fars.Noe,20210823,31490.00,32260.00,30550.00,32000.00,48263366610,1508351,607,D,30730.00,32220.00
Siman.Fars.Noe,20210822,30020.00,31380.00,30020.00,30730.00,34200373280,1112891,544,D,30010.00,31230.00
Siman.Fars.Noe,20210815,30940.00,30940.00,29900.00,30010.00,34289938010,1142522,400,D,30160.00,30170.00
Siman.Fars.Noe,20210814,31480.00,31480.00,29800.00,30160.00,16056476320,532386,365,D,30220.00,30380.00
Siman.Fars.Noe,20210811,30480.00,30850.00,29180.00,30220.00,31497930130,1042126,464,D,29740.00,30780.00
Siman.Fars.Noe,20210810,29410.00,30970.00,29360.00,29740.00,27623676700,928811,559,D,30270.00,29800.00
