<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Shahdiran.Inc.,20210921,5420.00,5420.00,5140.00,5170.00,13062810920,2530841,304,D,5410.00,5160.00
Shahdiran.Inc.,20210920,5180.00,5420.00,5180.00,5410.00,23538648730,4348876,439,D,5170.00,5410.00
Shahdiran.Inc.,20210919,5180.00,5460.00,5140.00,5170.00,16043434450,3105232,451,D,5410.00,5240.00
Shahdiran.Inc.,20210918,5700.00,5700.00,5360.00,5410.00,13410579730,2487551,306,D,5640.00,5360.00
Shahdiran.Inc.,20210915,6010.00,6020.00,5600.00,5640.00,29922672530,5309146,732,D,5890.00,5600.00
Shahdiran.Inc.,20210914,5480.00,5930.00,5420.00,5890.00,41543585580,7050811,750,D,5650.00,5930.00
Shahdiran.Inc.,20210913,5650.00,5890.00,5650.00,5650.00,21178481390,3747838,252,D,5940.00,5650.00
Shahdiran.Inc.,20210912,5960.00,6120.00,5930.00,5940.00,20234049980,3408480,304,D,6240.00,5930.00
Shahdiran.Inc.,20210911,6310.00,6500.00,6200.00,6240.00,37051161250,5940921,667,D,6520.00,6200.00
Shahdiran.Inc.,20210908,6650.00,6650.00,6100.00,6520.00,151723258050,23264727,1962,D,6340.00,6470.00
Shahdiran.Inc.,20210907,6340.00,6340.00,6340.00,6340.00,19607223480,3092622,289,D,6040.00,6340.00
Shahdiran.Inc.,20210906,6040.00,6040.00,6040.00,6040.00,20674479080,3422927,237,D,5760.00,6040.00
Shahdiran.Inc.,20210905,5750.00,5790.00,5600.00,5760.00,33849099110,5872592,466,D,5520.00,5790.00
Shahdiran.Inc.,20210904,5500.00,5550.00,5380.00,5520.00,34474422340,6247577,647,D,5290.00,5550.00
Shahdiran.Inc.,20210901,5270.00,5330.00,5090.00,5290.00,16499091820,3118495,414,D,5080.00,5330.00
Shahdiran.Inc.,20210831,5060.00,5240.00,5060.00,5080.00,24178107260,4760485,640,D,5320.00,5140.00
Shahdiran.Inc.,20210830,5240.00,5370.00,5240.00,5320.00,10602713690,2019949,282,D,5510.00,5240.00
Shahdiran.Inc.,20210829,5790.00,5790.00,5250.00,5510.00,58382044250,10586971,1452,D,5520.00,5280.00
Shahdiran.Inc.,20210828,5540.00,5570.00,5500.00,5520.00,13133243250,2359678,396,D,5305.00,5570.00
Shahdiran.Inc.,20210825,5210.00,5335.00,5210.00,5305.00,41249666888,7775666,885,D,5081.00,5335.00
Shahdiran.Inc.,20210824,4940.00,5089.00,4920.00,5081.00,32096997949,6316748,672,D,4847.00,5089.00
Shahdiran.Inc.,20210823,4849.00,4920.00,4714.00,4847.00,17654009628,3642315,555,D,4798.00,4900.00
Shahdiran.Inc.,20210822,4810.00,4948.00,4753.00,4798.00,12686283455,2639751,428,D,4755.00,4810.00
Shahdiran.Inc.,20210815,4700.00,4860.00,4652.00,4755.00,14086193831,2964408,416,D,4807.00,4766.00
Shahdiran.Inc.,20210814,4840.00,4899.00,4590.00,4807.00,10673727497,2218341,538,D,4797.00,4771.00
Shahdiran.Inc.,20210811,4810.00,4999.00,4710.00,4797.00,26381490803,5499385,924,D,4938.00,4745.00
