<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
ShafaDarou.Inv.,20210921,40800.00,40800.00,37710.00,38010.00,16975888580,447648,214,D,39690.00,37750.00
ShafaDarou.Inv.,20210920,41000.00,41000.00,39210.00,39690.00,5849233650,146834,166,D,39630.00,39300.00
ShafaDarou.Inv.,20210919,39100.00,40950.00,38920.00,39630.00,17919128210,452807,217,D,40960.00,39000.00
ShafaDarou.Inv.,20210918,40050.00,41140.00,39800.00,40960.00,11005027780,273035,164,D,41850.00,39930.00
ShafaDarou.Inv.,20210915,42000.00,43200.00,41300.00,41850.00,11824914530,284870,221,D,42360.00,41400.00
ShafaDarou.Inv.,20210914,40090.00,43500.00,40090.00,42360.00,14454500150,339557,244,D,41840.00,42100.00
ShafaDarou.Inv.,20210913,41490.00,43980.00,41490.00,41840.00,24005089110,573776,348,D,43670.00,42000.00
ShafaDarou.Inv.,20210912,45450.00,45450.00,43070.00,43670.00,15402078870,357085,282,D,45330.00,43100.00
ShafaDarou.Inv.,20210911,45100.00,47000.00,44120.00,45330.00,14622877510,324886,224,D,46030.00,44160.00
ShafaDarou.Inv.,20210908,44030.00,47000.00,44030.00,46030.00,22812391150,495616,316,D,45820.00,45990.00
ShafaDarou.Inv.,20210907,43770.00,47500.00,43770.00,45820.00,44150063440,963610,470,D,46070.00,45360.00
ShafaDarou.Inv.,20210906,44330.00,47000.00,44330.00,46070.00,38061738680,826145,367,D,46170.00,45510.00
ShafaDarou.Inv.,20210905,47410.00,47410.00,45430.00,46170.00,35442785610,767607,583,D,47820.00,46010.00
ShafaDarou.Inv.,20210904,48500.00,49000.00,47010.00,47820.00,38845392110,812333,614,D,46950.00,47400.00
ShafaDarou.Inv.,20210901,45140.00,47390.00,43730.00,46950.00,101242177300,2156246,420,D,45140.00,47390.00
ShafaDarou.Inv.,20210831,44840.00,47930.00,44840.00,45140.00,73894471530,1636836,506,D,47200.00,44850.00
ShafaDarou.Inv.,20210830,46960.00,49180.00,46910.00,47200.00,60511000060,1281906,473,D,49370.00,46910.00
ShafaDarou.Inv.,20210829,48500.00,50240.00,46050.00,49370.00,117892752120,2388179,1233,D,47850.00,47470.00
ShafaDarou.Inv.,20210828,47800.00,47890.00,46520.00,47850.00,143605506880,3000947,734,D,45610.00,47890.00
ShafaDarou.Inv.,20210825,47100.00,47100.00,43090.00,45610.00,77876993920,1707405,684,D,44870.00,46370.00
ShafaDarou.Inv.,20210824,45000.00,45260.00,42120.00,44870.00,103014061430,2295582,822,D,43110.00,45260.00
ShafaDarou.Inv.,20210823,41900.00,43320.00,40320.00,43110.00,148806322550,3451634,606,D,41260.00,43320.00
ShafaDarou.Inv.,20210822,40600.00,41440.00,39250.00,41260.00,83616939050,2026799,567,D,39470.00,41300.00
ShafaDarou.Inv.,20210815,39700.00,40610.00,38090.00,39470.00,43941286140,1113199,490,D,39320.00,40000.00
ShafaDarou.Inv.,20210814,40000.00,41890.00,38250.00,39320.00,43372612530,1103174,530,D,40220.00,39770.00
ShafaDarou.Inv.,20210811,40220.00,40220.00,40220.00,40220.00,67933470340,1689047,343,D,38310.00,40220.00
ShafaDarou.Inv.,20210810,38000.00,38430.00,37200.00,38310.00,51528929080,1345089,339,D,36600.00,38430.00
ShafaDarou.Inv.,20210809,36800.00,37700.00,35580.00,36600.00,67049447900,1832128,764,D,36790.00,37000.00
ShafaDarou.Inv.,20210808,36700.00,37730.00,36150.00,36790.00,6627978120,181842,207,D,37010.00,36600.00
ShafaDarou.Inv.,20210807,37310.00,38400.00,36030.00,37010.00,11494839060,310189,221,D,36910.00,36350.00
ShafaDarou.Inv.,20210804,37310.00,38780.00,36010.00,36910.00,12908863730,350138,344,D,37020.00,36700.00
ShafaDarou.Inv.,20210803,36110.00,37710.00,36010.00,37020.00,15179131410,409628,336,D,36760.00,37100.00
ShafaDarou.Inv.,20210802,36840.00,37710.00,36010.00,36760.00,32833454490,893215,345,D,37110.00,36240.00
ShafaDarou.Inv.,20210801,37300.00,38700.00,36800.00,37110.00,36841337140,992846,631,D,38730.00,36800.00
ShafaDarou.Inv.,20210731,40510.00,40790.00,38490.00,38730.00,47483439660,1225985,535,D,40510.00,38490.00
ShafaDarou.Inv.,20210728,39920.00,41600.00,38300.00,40510.00,21584447960,532777,409,D,39620.00,40600.00
ShafaDarou.Inv.,20210727,41750.00,41750.00,38690.00,39620.00,14220835540,360561,342,D,40210.00,39940.00
ShafaDarou.Inv.,20210726,39800.00,41380.00,38500.00,40210.00,31090628680,773245,454,D,39820.00,40990.00
ShafaDarou.Inv.,20210719,38640.00,41490.00,38640.00,39820.00,30663076270,770058,661,D,40660.00,38900.00
ShafaDarou.Inv.,20210718,39810.00,42900.00,39730.00,40660.00,64615909200,1589336,1251,D,41820.00,39790.00
ShafaDarou.Inv.,20210717,44800.00,44950.00,41320.00,41820.00,45287601060,1083013,685,D,43490.00,41320.00
ShafaDarou.Inv.,20210714,41890.00,43980.00,41010.00,43490.00,115899474850,2665071,1513,D,41890.00,43700.00
ShafaDarou.Inv.,20210713,41890.00,41890.00,41200.00,41890.00,161076838930,3845242,627,D,39900.00,41890.00
ShafaDarou.Inv.,20210712,38990.00,39930.00,38980.00,39900.00,27315274060,684581,152,D,38030.00,39930.00
ShafaDarou.Inv.,20210711,37780.00,38830.00,35810.00,38030.00,36451208980,958597,403,D,36990.00,38830.00
ShafaDarou.Inv.,20210710,36320.00,37920.00,35310.00,36990.00,12632609240,342073,280,D,37160.00,37220.00
ShafaDarou.Inv.,20210707,37700.00,37700.00,36330.00,37160.00,12237104130,329802,219,D,37290.00,37370.00
ShafaDarou.Inv.,20210706,36140.00,37930.00,36140.00,37290.00,8431949310,227092,296,D,37440.00,37500.00
ShafaDarou.Inv.,20210705,36900.00,38470.00,36240.00,37440.00,11929768080,319858,325,D,37740.00,37000.00
ShafaDarou.Inv.,20210704,39200.00,39200.00,36420.00,37740.00,8496042530,222996,251,D,37420.00,38000.00
ShafaDarou.Inv.,20210703,37360.00,37950.00,36210.00,37420.00,19575486700,523108,453,D,36200.00,37370.00
ShafaDarou.Inv.,20210630,35590.00,37000.00,35270.00,36200.00,17682937290,488442,549,D,35590.00,36000.00
ShafaDarou.Inv.,20210629,35290.00,36690.00,35100.00,35590.00,16585518520,466094,527,D,36130.00,35310.00
ShafaDarou.Inv.,20210628,36590.00,38090.00,35550.00,36130.00,19026448000,526553,431,D,37420.00,36420.00
ShafaDarou.Inv.,20210627,37270.00,38670.00,36000.00,37420.00,14359742770,382541,458,D,36890.00,37570.00
ShafaDarou.Inv.,20210626,35680.00,37290.00,35530.00,36890.00,35996649720,975861,841,D,35520.00,37260.00
ShafaDarou.Inv.,20210623,35450.00,36170.00,35450.00,35520.00,64107506080,1804825,1027,D,37310.00,36050.00
ShafaDarou.Inv.,20210622,38500.00,38500.00,36580.00,37310.00,13506121230,364199,404,D,38090.00,36690.00
ShafaDarou.Inv.,20210619,38120.00,38120.00,38120.00,40090.00,310029960,8133,16,D,40120.00,38120.00
ShafaDarou.Inv.,20210616,38140.00,38140.00,38140.00,40120.00,153284660,4019,9,D,40140.00,38140.00
ShafaDarou.Inv.,20210615,38150.00,38150.00,38150.00,40140.00,57720950,1513,4,D,40150.00,38150.00
ShafaDarou.Inv.,20210614,38160.00,38160.00,38160.00,40150.00,107878320,2827,10,D,40160.00,38160.00
ShafaDarou.Inv.,20210613,38180.00,38180.00,38180.00,40160.00,146573020,3839,9,D,40180.00,38180.00
ShafaDarou.Inv.,20210612,38250.00,38250.00,38250.00,40180.00,699248250,18281,21,D,40260.00,38250.00
ShafaDarou.Inv.,20210609,38380.00,38380.00,38380.00,40260.00,1161225280,30256,31,D,40390.00,38380.00
ShafaDarou.Inv.,20210608,41190.00,42400.00,39830.00,40390.00,23243170200,575514,734,D,41920.00,39830.00
ShafaDarou.Inv.,20210607,40090.00,44290.00,40090.00,41920.00,105071483260,2506539,1340,D,42190.00,41190.00
ShafaDarou.Inv.,20210602,40090.00,40090.00,40090.00,42190.00,47626920,1188,4,D,42200.00,40090.00
ShafaDarou.Inv.,20210601,40330.00,40330.00,40330.00,42200.00,2285904400,56680,8,D,42450.00,40330.00
ShafaDarou.Inv.,20210531,40330.00,40330.00,40330.00,42450.00,15002760,372,2,D,42450.00,40330.00
ShafaDarou.Inv.,20210530,40340.00,40340.00,40340.00,42450.00,109765140,2721,8,D,42460.00,40340.00
ShafaDarou.Inv.,20210529,40490.00,40490.00,40490.00,42460.00,1437597450,35505,25,D,42620.00,40490.00
ShafaDarou.Inv.,20210526,40500.00,40500.00,40500.00,42620.00,128911500,3183,9,D,42630.00,40500.00
ShafaDarou.Inv.,20210525,40500.00,40500.00,40500.00,42630.00,10489500,259,3,D,42630.00,40500.00
ShafaDarou.Inv.,20210524,40500.00,40500.00,40500.00,42630.00,27256500,673,2,D,42630.00,40500.00
ShafaDarou.Inv.,20210522,40500.00,40500.00,40500.00,42630.00,24624000,608,4,D,42630.00,40500.00
ShafaDarou.Inv.,20210519,41570.00,41570.00,41570.00,42630.00,10064845260,242118,126,D,43750.00,41570.00
ShafaDarou.Inv.,20210518,43730.00,45000.00,43730.00,43750.00,42121555300,962732,192,D,46030.00,44990.00
ShafaDarou.Inv.,20210517,43730.00,43730.00,43730.00,46030.00,5028950,115,1,D,46030.00,43730.00
ShafaDarou.Inv.,20210516,43730.00,43730.00,43730.00,46030.00,21252780,486,4,D,46030.00,43730.00
ShafaDarou.Inv.,20210515,44230.00,44230.00,44230.00,46030.00,4645034600,105020,25,D,46550.00,44230.00
ShafaDarou.Inv.,20210512,45160.00,45160.00,45160.00,46550.00,79030000,1750,3,D,46550.00,45160.00
ShafaDarou.Inv.,20210511,45160.00,45160.00,45160.00,46550.00,48682480,1078,6,D,46550.00,45160.00
ShafaDarou.Inv.,20210510,45160.00,45160.00,45160.00,46550.00,45972880,1018,4,D,46550.00,45160.00
ShafaDarou.Inv.,20210509,45160.00,45160.00,45160.00,46550.00,5012760,111,1,D,46550.00,45160.00
ShafaDarou.Inv.,20210505,45160.00,45160.00,45160.00,46550.00,5012760,111,1,D,46550.00,45160.00
ShafaDarou.Inv.,20210503,45160.00,45160.00,45160.00,46550.00,5012760,111,1,D,46550.00,45160.00
ShafaDarou.Inv.,20210502,45160.00,45160.00,45160.00,46550.00,5057920,112,1,D,46550.00,45160.00
