<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Fars.Chem..Ind.,20210921,1811.00,1847.00,1731.00,1740.00,92191534466,52983988,2010,D,1822.00,1737.00
Fars.Chem..Ind.,20210920,1760.00,1850.00,1740.00,1822.00,74467166262,40862018,1834,D,1810.00,1801.00
Fars.Chem..Ind.,20210919,1850.00,1870.00,1794.00,1810.00,53317326992,29450672,1392,D,1888.00,1794.00
Fars.Chem..Ind.,20210918,1970.00,1970.00,1876.00,1888.00,67926543000,35981553,1585,D,1974.00,1876.00
Fars.Chem..Ind.,20210915,2000.00,2020.00,1942.00,1974.00,95562606541,48416233,2534,D,2032.00,1959.00
Fars.Chem..Ind.,20210914,2048.00,2078.00,1984.00,2032.00,62872263389,30941853,2002,D,2030.00,2018.00
Fars.Chem..Ind.,20210913,2098.00,2124.00,1976.00,2030.00,69196437173,34090286,1789,D,2067.00,2009.00
Fars.Chem..Ind.,20210912,2130.00,2140.00,2000.00,2067.00,129249135657,62524246,3002,D,2089.00,2093.00
Fars.Chem..Ind.,20210911,2018.00,2112.00,2018.00,2089.00,140907679191,67436075,3188,D,2012.00,2112.00
Fars.Chem..Ind.,20210908,2000.00,2065.00,1973.00,2012.00,71829205388,35695403,2409,D,2042.00,2018.00
Fars.Chem..Ind.,20210907,2020.00,2122.00,1989.00,2042.00,94510251378,46273662,2430,D,2093.00,2027.00
Fars.Chem..Ind.,20210906,2110.00,2140.00,2027.00,2093.00,92220639078,44069323,3005,D,2122.00,2038.00
Fars.Chem..Ind.,20210905,2156.00,2168.00,2071.00,2122.00,99636915405,46960774,2397,D,2129.00,2110.00
Fars.Chem..Ind.,20210904,2140.00,2140.00,2055.00,2129.00,157427411012,73957679,3075,D,2039.00,2140.00
Fars.Chem..Ind.,20210901,1970.00,2074.00,1962.00,2039.00,73643733951,36122552,1183,D,1976.00,2074.00
Fars.Chem..Ind.,20210831,1952.00,2055.00,1952.00,1976.00,162503471633,82250323,3152,D,2054.00,1968.00
Fars.Chem..Ind.,20210830,2048.00,2128.00,2044.00,2054.00,81159091670,39516660,2035,D,2151.00,2044.00
Fars.Chem..Ind.,20210829,2220.00,2229.00,2079.00,2151.00,225167091664,104675791,4964,D,2188.00,2079.00
Fars.Chem..Ind.,20210828,2230.00,2253.00,2100.00,2188.00,242739675858,110951469,5508,D,2175.00,2200.00
Fars.Chem..Ind.,20210825,2200.00,2211.00,2110.00,2175.00,275905397034,126845640,5672,D,2106.00,2211.00
Fars.Chem..Ind.,20210824,2090.00,2115.00,2035.00,2106.00,36296540011,17232429,728,D,2015.00,2115.00
Fars.Chem..Ind.,20210823,2000.00,2035.00,1889.00,2015.00,153076969057,75981786,2941,D,1939.00,2035.00
Fars.Chem..Ind.,20210822,1920.00,1950.00,1900.00,1939.00,187928606854,96916951,4425,D,1858.00,1950.00
Fars.Chem..Ind.,20210815,1801.00,1890.00,1775.00,1858.00,178531472065,96083986,4090,D,1800.00,1890.00
Fars.Chem..Ind.,20210814,1848.00,1848.00,1774.00,1800.00,92670451325,51479133,2596,D,1805.00,1801.00
Fars.Chem..Ind.,20210811,1833.00,1863.00,1775.00,1805.00,145257687051,80472805,3749,D,1836.00,1814.00
Fars.Chem..Ind.,20210810,1892.00,1892.00,1812.00,1836.00,108692323195,59210842,3580,D,1858.00,1834.00
Fars.Chem..Ind.,20210809,1813.00,1900.00,1785.00,1858.00,93365322537,50256697,2230,D,1846.00,1864.00
Fars.Chem..Ind.,20210808,1867.00,1890.00,1801.00,1846.00,70689163659,38287735,2010,D,1821.00,1830.00
Fars.Chem..Ind.,20210807,1795.00,1865.00,1765.00,1821.00,117912929646,64739456,2869,D,1779.00,1864.00
Fars.Chem..Ind.,20210804,1801.00,1850.00,1740.00,1779.00,123565789462,69466793,3039,D,1826.00,1773.00
Fars.Chem..Ind.,20210803,1878.00,1900.00,1820.00,1826.00,152560440802,83542043,3542,D,1915.00,1836.00
Fars.Chem..Ind.,20210802,1940.00,1989.00,1853.00,1915.00,123552498726,64514018,3479,D,1935.00,1877.00
Fars.Chem..Ind.,20210801,1928.00,1937.00,1883.00,1935.00,210493238212,108775509,3021,D,1845.00,1937.00
Fars.Chem..Ind.,20210731,1799.00,1930.00,1799.00,1845.00,355528762549,192723819,6046,D,1893.00,1907.00
Fars.Chem..Ind.,20210728,1893.00,1893.00,1893.00,1893.00,24200384592,12784144,446,D,1992.00,1893.00
Fars.Chem..Ind.,20210727,2000.00,2058.00,1983.00,1992.00,40700855585,20430183,789,D,2087.00,1983.00
Fars.Chem..Ind.,20210726,2135.00,2140.00,2029.00,2087.00,37515965958,17977590,746,D,2091.00,2029.00
Fars.Chem..Ind.,20210714,2121.00,2188.00,2086.00,2105.00,298097647336,141581960,5348,D,2195.00,2090.00
Fars.Chem..Ind.,20210713,2258.00,2286.00,2188.00,2195.00,374608627702,170675100,5446,D,2303.00,2188.00
Fars.Chem..Ind.,20210712,2222.00,2345.00,2175.00,2303.00,163960554985,71195277,3124,D,2234.00,2258.00
Fars.Chem..Ind.,20210711,2320.00,2330.00,2169.00,2234.00,208616708981,93398595,3967,D,2273.00,2230.00
Fars.Chem..Ind.,20210710,2340.00,2340.00,2170.00,2273.00,546564581506,240452832,7537,D,2253.00,2325.00
Fars.Chem..Ind.,20210707,2253.00,2253.00,2253.00,2253.00,13697940351,6079867,173,D,2146.00,2253.00
Fars.Chem..Ind.,20210706,2060.00,2189.00,2060.00,2146.00,128035490754,59664518,974,D,2085.00,2189.00
Fars.Chem..Ind.,20210705,2100.00,2150.00,2010.00,2085.00,287695625626,137963456,3482,D,2800.00,2085.00
Fars.Chem..Ind.,20210301,52350.00,52350.00,52350.00,53040.00,17187761400,328324,335,D,53410.00,52350.00
Fars.Chem..Ind.,20210228,52600.00,52600.00,52600.00,53410.00,11739215400,223179,91,D,53670.00,52600.00
Fars.Chem..Ind.,20210227,52640.00,52640.00,52640.00,53670.00,1963366720,37298,88,D,53710.00,52640.00
Fars.Chem..Ind.,20210224,52730.00,52730.00,52730.00,53710.00,4245872330,80521,60,D,53800.00,52730.00
Fars.Chem..Ind.,20210223,52860.00,52860.00,52860.00,53800.00,6018163860,113851,83,D,53930.00,52860.00
Fars.Chem..Ind.,20210222,52870.00,52870.00,52870.00,53930.00,546834410,10343,35,D,53940.00,52870.00
Fars.Chem..Ind.,20210221,52950.00,52950.00,52950.00,53940.00,4032142500,76150,41,D,54030.00,52950.00
Fars.Chem..Ind.,20210220,52990.00,52990.00,52990.00,54030.00,1767587430,33357,72,D,54070.00,52990.00
Fars.Chem..Ind.,20210217,53180.00,53180.00,53180.00,54070.00,9236568300,173685,74,D,54260.00,53180.00
Fars.Chem..Ind.,20210216,53380.00,53380.00,53380.00,54260.00,9881011660,185107,91,D,54460.00,53380.00
Fars.Chem..Ind.,20210215,53590.00,53590.00,53590.00,54460.00,10408142620,194218,124,D,54680.00,53590.00
Fars.Chem..Ind.,20210214,56890.00,56890.00,52600.00,54680.00,543108529830,9932929,2503,D,53670.00,52600.00
Fars.Chem..Ind.,20210213,53830.00,53830.00,53830.00,53670.00,50162885080,931876,190,D,50790.00,53830.00
Fars.Chem..Ind.,20210209,51700.00,51700.00,51700.00,50790.00,35192138300,680699,174,D,49240.00,51700.00
Fars.Chem..Ind.,20210208,49240.00,49240.00,49240.00,49240.00,69533428920,1412133,214,D,46900.00,49240.00
Fars.Chem..Ind.,20210207,46970.00,46970.00,46970.00,46900.00,49088487910,1045103,212,D,44740.00,46970.00
Fars.Chem..Ind.,20210206,44440.00,46500.00,44080.00,44740.00,35088590410,794675,351,D,46400.00,44080.00
Fars.Chem..Ind.,20210203,48300.00,49500.00,45890.00,46400.00,149697085960,3225952,1427,D,48300.00,46680.00
Fars.Chem..Ind.,20210202,50600.00,50600.00,46270.00,48300.00,150020964840,3106076,1834,D,48260.00,48200.00
Fars.Chem..Ind.,20210201,48300.00,48330.00,47000.00,48260.00,156452166480,3242093,1182,D,46030.00,48330.00
Fars.Chem..Ind.,20210131,45500.00,46650.00,44500.00,46030.00,140304356500,3048356,1421,D,44430.00,46650.00
Fars.Chem..Ind.,20210130,42000.00,46410.00,42000.00,44430.00,176220793140,3966532,2006,D,44210.00,45500.00
Fars.Chem..Ind.,20210127,42990.00,42990.00,42990.00,44210.00,20836135260,484674,170,D,45250.00,42990.00
Fars.Chem..Ind.,20210126,45700.00,47240.00,44980.00,45250.00,44488071080,986304,406,D,47340.00,44980.00
Fars.Chem..Ind.,20210125,47260.00,47900.00,47250.00,47340.00,48697989760,1030060,520,D,49730.00,47250.00
Fars.Chem..Ind.,20210124,52000.00,52220.00,47260.00,49730.00,257388936800,5176105,2252,D,49740.00,47850.00
Fars.Chem..Ind.,20210123,49740.00,49740.00,49600.00,49740.00,121238250840,2437502,788,D,47380.00,49740.00
Fars.Chem..Ind.,20210120,47260.00,49000.00,47260.00,47380.00,250067094550,5278370,2197,D,49740.00,48620.00
Fars.Chem..Ind.,20210119,49620.00,50970.00,49620.00,49740.00,108399512760,2179317,944,D,52230.00,49620.00
Fars.Chem..Ind.,20210118,49720.00,49720.00,49720.00,52230.00,1766452160,35528,33,D,52330.00,49720.00
Fars.Chem..Ind.,20210116,54260.00,55000.00,51550.00,52330.00,63732390390,1217796,599,D,54260.00,51550.00
Fars.Chem..Ind.,20210113,54260.00,54500.00,54260.00,54260.00,161093399980,2968818,876,D,57110.00,54260.00
Fars.Chem..Ind.,20210112,56600.00,58800.00,56190.00,57110.00,36079275740,638998,343,D,59140.00,56190.00
Fars.Chem..Ind.,20210111,61930.00,62000.00,58010.00,59140.00,242765983450,4105236,2156,D,61060.00,58010.00
Fars.Chem..Ind.,20210110,60590.00,61440.00,58590.00,61060.00,239136734500,3916556,2218,D,58520.00,61440.00
Fars.Chem..Ind.,20210109,58500.00,61790.00,56470.00,58520.00,364794226020,6234160,2566,D,59440.00,59580.00
Fars.Chem..Ind.,20210106,62000.00,64100.00,58070.00,59440.00,399194319430,6715724,3094,D,61120.00,58070.00
Fars.Chem..Ind.,20210105,59600.00,62070.00,59320.00,61120.00,135807253730,2221919,1614,D,59120.00,62070.00
Fars.Chem..Ind.,20210104,57010.00,60900.00,57010.00,59120.00,309141923340,5228657,2852,D,58000.00,60900.00
Fars.Chem..Ind.,20210103,57890.00,60380.00,57890.00,58000.00,490211789180,8452515,2849,D,60930.00,57890.00
Fars.Chem..Ind.,20210102,60420.00,62000.00,60420.00,60930.00,40022380180,662312,308,D,63590.00,60420.00
Fars.Chem..Ind.,20201230,65420.00,67700.00,62100.00,63590.00,272737440860,4288831,2343,D,65360.00,62100.00
Fars.Chem..Ind.,20201229,65000.00,67650.00,64240.00,65360.00,266312201840,4074620,2775,D,67620.00,66900.00
Fars.Chem..Ind.,20201228,72000.00,72000.00,65710.00,67620.00,466473351210,6898316,3623,D,69160.00,65710.00
Fars.Chem..Ind.,20201227,67500.00,69270.00,66500.00,69160.00,330615904270,4780105,3354,D,65980.00,69270.00
Fars.Chem..Ind.,20201226,65050.00,68000.00,64010.00,65980.00,317105599110,4806138,3052,D,66060.00,68000.00
Fars.Chem..Ind.,20201223,65700.00,68900.00,65020.00,66060.00,333516069950,5048405,3693,D,66490.00,67200.00
Fars.Chem..Ind.,20201222,67340.00,67340.00,64300.00,66490.00,681513633840,10249868,5141,D,64140.00,67340.00
Fars.Chem..Ind.,20201221,65400.00,65400.00,65400.00,64140.00,34382742000,525730,360,D,62290.00,65400.00
Fars.Chem..Ind.,20201220,62290.00,62290.00,62290.00,62290.00,55271661120,887328,407,D,59330.00,62290.00
Fars.Chem..Ind.,20201219,59330.00,59330.00,59330.00,59330.00,52561811590,885923,278,D,56510.00,59330.00
Fars.Chem..Ind.,20201216,53040.00,58620.00,53040.00,56510.00,446022139950,7892649,2781,D,55830.00,58620.00
Fars.Chem..Ind.,20201215,55810.00,57810.00,55810.00,55830.00,79883563230,1430823,595,D,58740.00,55810.00
Fars.Chem..Ind.,20201214,61010.00,61890.00,56900.00,58740.00,331369369030,5641055,2709,D,59890.00,56900.00
Fars.Chem..Ind.,20201213,57980.00,62980.00,57510.00,59890.00,560127735730,9352306,3734,D,60530.00,61300.00
Fars.Chem..Ind.,20201212,61800.00,63440.00,58000.00,60530.00,426837292710,7051471,4790,D,60850.00,59000.00
