<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Sahand.Rubber,20210921,32570.00,32570.00,29940.00,30110.00,19155024100,636182,320,D,31510.00,29940.00
Sahand.Rubber,20210920,31500.00,33000.00,30500.00,31510.00,7961910300,253187,287,D,31590.00,31300.00
Sahand.Rubber,20210919,32930.00,33080.00,31370.00,31590.00,22489599700,712031,366,D,33020.00,31380.00
Sahand.Rubber,20210918,33700.00,34290.00,32010.00,33020.00,15061797330,456194,330,D,33630.00,32930.00
Sahand.Rubber,20210915,32750.00,34240.00,32500.00,33630.00,8005558480,238992,317,D,33800.00,33500.00
Sahand.Rubber,20210914,33390.00,34610.00,33100.00,33800.00,12023033490,355474,352,D,33660.00,33700.00
Sahand.Rubber,20210913,34000.00,35830.00,33240.00,33660.00,27997919230,831767,420,D,34980.00,33350.00
Sahand.Rubber,20210912,37460.00,37460.00,34800.00,34980.00,22000741260,628979,458,D,36630.00,34850.00
Sahand.Rubber,20210911,37000.00,37290.00,36100.00,36630.00,22983648700,627393,426,D,35550.00,36460.00
Sahand.Rubber,20210908,34610.00,36980.00,34610.00,35550.00,16052982010,451534,548,D,35780.00,36100.00
Sahand.Rubber,20210907,35000.00,37490.00,35000.00,35780.00,25828675250,721910,604,D,36730.00,35210.00
Sahand.Rubber,20210906,38000.00,38050.00,35680.00,36730.00,31117999750,847108,792,D,37040.00,35990.00
Sahand.Rubber,20210905,36950.00,37700.00,36480.00,37040.00,36279469640,979592,893,D,36640.00,37500.00
Sahand.Rubber,20210904,36810.00,36820.00,36300.00,36640.00,78300144940,2137097,1615,D,35090.00,36680.00
Sahand.Rubber,20210901,34700.00,36230.00,33800.00,35090.00,33520571080,955353,625,D,35460.00,35710.00
Sahand.Rubber,20210831,35730.00,35770.00,34620.00,35460.00,54863334060,1547051,956,D,34070.00,35400.00
Sahand.Rubber,20210830,33860.00,35700.00,33820.00,34070.00,88022531490,2583921,752,D,35590.00,34900.00
Sahand.Rubber,20210829,36830.00,37000.00,34200.00,35590.00,27089542450,761148,678,D,35990.00,34230.00
Sahand.Rubber,20210828,35000.00,36600.00,33870.00,35990.00,54160851770,1504965,808,D,34860.00,36500.00
Sahand.Rubber,20210825,35150.00,35980.00,34030.00,34860.00,40196212610,1153154,698,D,34860.00,34470.00
Sahand.Rubber,20210824,33520.00,35140.00,33520.00,34860.00,57982522070,1663321,708,D,33510.00,35140.00
Sahand.Rubber,20210823,33750.00,33990.00,32530.00,33510.00,39443404780,1177142,674,D,32410.00,33450.00
Sahand.Rubber,20210822,31700.00,32450.00,31220.00,32410.00,49271154300,1520233,537,D,30910.00,32450.00
Sahand.Rubber,20210815,31300.00,31870.00,30000.00,30910.00,17798279420,575837,389,D,30980.00,31060.00
Sahand.Rubber,20210814,31620.00,31790.00,30600.00,30980.00,15516767190,500878,447,D,32130.00,31010.00
Sahand.Rubber,20210811,33400.00,33470.00,30800.00,32130.00,22630803140,704449,620,D,32100.00,31780.00
Sahand.Rubber,20210810,31340.00,32230.00,30710.00,32100.00,52414885970,1632776,649,D,30700.00,32230.00
Sahand.Rubber,20210809,31130.00,31580.00,30520.00,30700.00,5956310910,192210,203,D,30520.00,31120.00
Sahand.Rubber,20210808,30600.00,30990.00,29700.00,30520.00,7192157670,236345,145,D,30610.00,30610.00
Sahand.Rubber,20210807,31390.00,31400.00,30020.00,30610.00,7695350080,252454,189,D,30740.00,30510.00
Sahand.Rubber,20210804,30260.00,31570.00,30260.00,30740.00,7576314020,247690,218,D,30890.00,30570.00
Sahand.Rubber,20210803,30230.00,31780.00,30230.00,30890.00,9325776090,303083,236,D,31080.00,31000.00
Sahand.Rubber,20210802,31710.00,31850.00,30250.00,31080.00,11699923930,376051,295,D,30990.00,30740.00
Sahand.Rubber,20210801,31000.00,31490.00,29600.00,30990.00,29303813680,945730,441,D,30340.00,31290.00
Sahand.Rubber,20210731,30000.00,30880.00,29100.00,30340.00,11867745740,390926,235,D,30280.00,30230.00
Sahand.Rubber,20210728,30050.00,30990.00,28930.00,30280.00,6297747920,207284,154,D,30200.00,30650.00
Sahand.Rubber,20210727,30930.00,31350.00,29290.00,30200.00,10603061830,353312,172,D,30760.00,29610.00
Sahand.Rubber,20210726,31530.00,31530.00,29960.00,30760.00,9858422080,324313,237,D,31530.00,30930.00
Sahand.Rubber,20210719,31840.00,32390.00,30350.00,31530.00,17925382880,568604,326,D,31910.00,31060.00
Sahand.Rubber,20210718,32070.00,32370.00,30940.00,31910.00,6738646410,212679,205,D,32100.00,31840.00
Sahand.Rubber,20210717,31670.00,33000.00,30920.00,32100.00,17616735460,548884,395,D,32160.00,32180.00
Sahand.Rubber,20210714,31400.00,32890.00,31400.00,32160.00,7477427020,235331,182,D,32540.00,31890.00
Sahand.Rubber,20210713,31850.00,32690.00,31630.00,32540.00,4769686180,148612,177,D,32750.00,32360.00
Sahand.Rubber,20210712,33250.00,33580.00,31790.00,32750.00,8854115200,271814,254,D,33000.00,32370.00
Sahand.Rubber,20210711,31900.00,33250.00,31020.00,33000.00,27911984060,845883,549,D,31670.00,33250.00
Sahand.Rubber,20210710,32630.00,33260.00,30530.00,31670.00,26916105460,850012,531,D,31990.00,31920.00
Sahand.Rubber,20210707,32000.00,32000.00,31140.00,31990.00,47110393560,1472588,346,D,30480.00,32000.00
Sahand.Rubber,20210706,30270.00,30690.00,29290.00,30480.00,16291538900,534449,173,D,29230.00,30690.00
Sahand.Rubber,20210705,29000.00,29970.00,29000.00,29230.00,9330878320,319024,165,D,29190.00,29760.00
Sahand.Rubber,20210704,28850.00,29800.00,28190.00,29190.00,5740991010,201392,196,D,29670.00,29000.00
Sahand.Rubber,20210703,29140.00,30500.00,28950.00,29670.00,9657025590,329785,186,D,30470.00,28950.00
Sahand.Rubber,20210630,30140.00,31200.00,30050.00,30470.00,6810503580,223467,170,D,30460.00,30050.00
Sahand.Rubber,20210629,30090.00,30900.00,30090.00,30460.00,7130357250,233872,122,D,30430.00,30500.00
Sahand.Rubber,20210628,30990.00,30990.00,29010.00,30430.00,6259007690,205421,174,D,30410.00,30850.00
Sahand.Rubber,20210627,31000.00,31000.00,29600.00,30410.00,9098620650,298794,203,D,30340.00,30660.00
Sahand.Rubber,20210626,30430.00,30900.00,29900.00,30340.00,23610115240,778163,306,D,29780.00,30400.00
Sahand.Rubber,20210623,29300.00,30350.00,28500.00,29780.00,17856068470,599578,371,D,28910.00,30340.00
