<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Behshahr.Ind.,20210921,23100.00,23100.00,21320.00,21590.00,33418506380,1547673,674,D,22440.00,21390.00
Behshahr.Ind.,20210920,22700.00,23470.00,22020.00,22440.00,42389548880,1888788,735,D,22840.00,22410.00
Behshahr.Ind.,20210919,22880.00,23860.00,22680.00,22840.00,41643819230,1823592,683,D,23870.00,22850.00
Behshahr.Ind.,20210918,24630.00,25500.00,23750.00,23870.00,24485936720,1025767,553,D,25000.00,23750.00
Behshahr.Ind.,20210915,26040.00,26040.00,24600.00,25000.00,18216758670,728640,570,D,25350.00,24990.00
Behshahr.Ind.,20210914,25450.00,26000.00,24440.00,25350.00,65339880730,2577513,977,D,25090.00,25600.00
Behshahr.Ind.,20210913,25940.00,25940.00,24000.00,25090.00,27782901440,1107126,634,D,24990.00,24990.00
Behshahr.Ind.,20210912,25500.00,25700.00,24500.00,24990.00,29150741410,1166680,437,D,25440.00,25000.00
Behshahr.Ind.,20210911,26110.00,26390.00,24800.00,25440.00,43210766040,1698592,696,D,25880.00,25500.00
Behshahr.Ind.,20210908,25220.00,26100.00,25220.00,25880.00,52606644420,2033081,719,D,25190.00,26030.00
Behshahr.Ind.,20210907,24560.00,25770.00,24560.00,25190.00,18718534290,743188,608,D,25540.00,25220.00
Behshahr.Ind.,20210906,25900.00,26300.00,25010.00,25540.00,39286328870,1538507,795,D,26000.00,25020.00
Behshahr.Ind.,20210905,26250.00,26400.00,25500.00,26000.00,51922335830,1997023,596,D,25890.00,25990.00
Behshahr.Ind.,20210904,26160.00,26900.00,25300.00,25890.00,35103575490,1355963,677,D,25900.00,26000.00
Behshahr.Ind.,20210901,25500.00,26290.00,24110.00,25900.00,44065419120,1701084,706,D,25040.00,26000.00
Behshahr.Ind.,20210831,24810.00,25950.00,24700.00,25040.00,50984557970,2036058,589,D,25990.00,25460.00
Behshahr.Ind.,20210830,25990.00,26790.00,25980.00,25990.00,33683558870,1296155,345,D,27340.00,25980.00
Behshahr.Ind.,20210829,28880.00,28880.00,26820.00,27340.00,62108891530,2272068,1056,D,28230.00,26820.00
Behshahr.Ind.,20210828,28600.00,29150.00,27590.00,28230.00,65427067070,2317978,1204,D,28580.00,28350.00
Behshahr.Ind.,20210825,28880.00,29320.00,27530.00,28580.00,55196821900,1931135,926,D,28510.00,28600.00
Behshahr.Ind.,20210824,28500.00,28560.00,27700.00,28510.00,128265488910,4498269,1197,D,27200.00,28560.00
Behshahr.Ind.,20210823,26860.00,27930.00,25650.00,27200.00,117391968800,4316645,1299,D,26600.00,27890.00
Behshahr.Ind.,20210822,26800.00,27270.00,26010.00,26600.00,100496182880,3778512,1435,D,27310.00,26700.00
Behshahr.Ind.,20210815,26800.00,27630.00,26470.00,27310.00,97254891330,3560936,1353,D,26320.00,26800.00
Behshahr.Ind.,20210814,25800.00,26460.00,25200.00,26320.00,88973931570,3381093,1286,D,25200.00,26460.00
Behshahr.Ind.,20210811,25210.00,25220.00,24420.00,25200.00,35461381420,1407023,309,D,24020.00,25220.00
Behshahr.Ind.,20210810,22710.00,24150.00,22710.00,24020.00,24473983550,1018794,356,D,23000.00,24150.00
Behshahr.Ind.,20210809,22820.00,23190.00,22610.00,23000.00,18030855460,784014,292,D,22810.00,23150.00
Behshahr.Ind.,20210808,23000.00,23100.00,22260.00,22810.00,12893353190,565068,323,D,22750.00,23020.00
Behshahr.Ind.,20210807,22350.00,23020.00,22350.00,22750.00,6790356710,298252,273,D,22730.00,22850.00
Behshahr.Ind.,20210804,22710.00,23070.00,22230.00,22730.00,23730634740,1044155,565,D,22650.00,22960.00
Behshahr.Ind.,20210803,22220.00,22900.00,22000.00,22650.00,44661652830,1972070,489,D,21960.00,22830.00
Behshahr.Ind.,20210802,22000.00,22170.00,21610.00,21960.00,16852051470,767505,286,D,22000.00,21990.00
Behshahr.Ind.,20210801,22500.00,22500.00,21400.00,22000.00,30759224780,1398014,500,D,22110.00,21600.00
Behshahr.Ind.,20210731,21870.00,22400.00,21540.00,22110.00,21594844950,976550,471,D,22140.00,22000.00
Behshahr.Ind.,20210728,22120.00,22790.00,21410.00,22140.00,27830277530,1256813,461,D,22150.00,21500.00
Behshahr.Ind.,20210727,23180.00,23250.00,22040.00,22150.00,27044856320,1220739,557,D,23190.00,22050.00
Behshahr.Ind.,20210726,24540.00,24540.00,22800.00,23190.00,56143191740,2420962,989,D,24000.00,22800.00
Behshahr.Ind.,20210719,23750.00,24500.00,23750.00,24000.00,21129834220,880412,349,D,23750.00,23960.00
Behshahr.Ind.,20210718,23580.00,24260.00,23160.00,23750.00,47829658990,2013923,422,D,23870.00,24000.00
Behshahr.Ind.,20210717,24330.00,24500.00,23500.00,23870.00,27089594110,1135048,298,D,23940.00,23740.00
Behshahr.Ind.,20210714,23100.00,24400.00,23100.00,23940.00,11160814770,465313,299,D,23820.00,24340.00
Behshahr.Ind.,20210713,24290.00,24290.00,23530.00,23820.00,14811700740,621833,314,D,24110.00,23660.00
Behshahr.Ind.,20210712,24490.00,24660.00,23830.00,24110.00,63059348340,2614968,731,D,24060.00,24300.00
Behshahr.Ind.,20210711,24600.00,24730.00,23620.00,24060.00,8790907590,359863,277,D,23570.00,24440.00
Behshahr.Ind.,20210710,23960.00,24300.00,23310.00,23570.00,13796288780,586008,245,D,24010.00,23530.00
Behshahr.Ind.,20210707,23670.00,25000.00,23300.00,24010.00,21773628730,906691,401,D,24480.00,24000.00
Behshahr.Ind.,20210706,24510.00,24510.00,23020.00,24480.00,51415020000,2100280,579,D,23350.00,24470.00
Behshahr.Ind.,20210705,22400.00,23500.00,22400.00,23350.00,41015115780,1756271,459,D,22390.00,23500.00
Behshahr.Ind.,20210704,22900.00,22900.00,22000.00,22390.00,12845556490,574379,205,D,22520.00,22590.00
Behshahr.Ind.,20210703,22740.00,23190.00,22090.00,22520.00,33001815640,1465768,478,D,22160.00,22200.00
Behshahr.Ind.,20210630,21820.00,22970.00,21800.00,22160.00,22293889200,1006090,350,D,22430.00,22550.00
Behshahr.Ind.,20210629,22180.00,22870.00,22180.00,22430.00,8624566000,384601,194,D,22430.00,22600.00
Behshahr.Ind.,20210628,22990.00,22990.00,22100.00,22430.00,21700664770,967459,290,D,22780.00,22400.00
Behshahr.Ind.,20210627,23700.00,23700.00,22200.00,22780.00,24788726000,1088253,578,D,22920.00,22850.00
Behshahr.Ind.,20210626,21930.00,23010.00,21930.00,22920.00,70593780310,3080382,550,D,21920.00,22740.00
Behshahr.Ind.,20210623,21690.00,22440.00,21000.00,21920.00,33739448800,1539437,386,D,21820.00,21980.00
Behshahr.Ind.,20210622,22400.00,22400.00,21610.00,21820.00,17015363280,779905,248,D,21720.00,22070.00
Behshahr.Ind.,20210621,21290.00,21970.00,21000.00,21720.00,18151250830,835594,369,D,20930.00,21700.00
Behshahr.Ind.,20210620,21190.00,21270.00,20750.00,20930.00,10837876390,517152,185,D,20850.00,21110.00
Behshahr.Ind.,20210619,21290.00,21290.00,20570.00,20850.00,11088656170,532156,191,D,20890.00,20810.00
Behshahr.Ind.,20210616,21200.00,21200.00,20250.00,20890.00,8547316230,411283,161,D,21060.00,20730.00
Behshahr.Ind.,20210615,21260.00,21680.00,20510.00,21060.00,22846798030,1085027,507,D,20900.00,20800.00
Behshahr.Ind.,20210614,21210.00,21450.00,20540.00,20900.00,12938398240,619773,239,D,21110.00,20650.00
Behshahr.Ind.,20210613,20950.00,21990.00,20810.00,21110.00,12771855810,607493,279,D,21750.00,21000.00
Behshahr.Ind.,20210612,21510.00,22330.00,21510.00,21750.00,7750414900,357048,206,D,21790.00,21820.00
Behshahr.Ind.,20210609,21620.00,22480.00,21510.00,21790.00,16337376500,749926,281,D,22330.00,21750.00
Behshahr.Ind.,20210608,22400.00,22570.00,21600.00,22330.00,77032331270,3449658,949,D,21500.00,22230.00
Behshahr.Ind.,20210607,21030.00,21510.00,20600.00,21500.00,99421624760,4624609,489,D,20490.00,21510.00
Behshahr.Ind.,20210602,20100.00,20840.00,20100.00,20490.00,9644437110,470649,180,D,20490.00,20500.00
Behshahr.Ind.,20210601,20900.00,20900.00,20010.00,20490.00,7049389430,344684,99,D,20520.00,20410.00
Behshahr.Ind.,20210531,19930.00,20600.00,19930.00,20520.00,3829136300,189829,93,D,20630.00,20000.00
Behshahr.Ind.,20210530,20860.00,21100.00,20000.00,20630.00,14191487970,685562,251,D,20100.00,20220.00
Behshahr.Ind.,20210529,19000.00,20330.00,18660.00,20100.00,16765569950,833963,306,D,19370.00,20330.00
Behshahr.Ind.,20210526,19670.00,19670.00,18600.00,19370.00,7147276700,370045,243,D,19420.00,19400.00
Behshahr.Ind.,20210525,18910.00,19670.00,18700.00,19420.00,12494164600,640452,360,D,18740.00,19310.00
Behshahr.Ind.,20210524,19000.00,19000.00,18090.00,18740.00,6452693760,348137,133,D,18940.00,18500.00
Behshahr.Ind.,20210523,19000.00,19650.00,18870.00,18940.00,13485219250,712443,214,D,19860.00,19200.00
Behshahr.Ind.,20210522,20060.00,20590.00,19810.00,19860.00,18835081380,948268,222,D,20850.00,19810.00
Behshahr.Ind.,20210519,20400.00,21600.00,20350.00,20850.00,8681746180,420220,235,D,21290.00,20600.00
Behshahr.Ind.,20210518,22000.00,22250.00,21170.00,21290.00,12234114280,575925,246,D,22280.00,21450.00
Behshahr.Ind.,20210517,23500.00,23500.00,22040.00,22280.00,11888113820,536237,195,D,23200.00,22040.00
Behshahr.Ind.,20210516,23780.00,23780.00,22570.00,23200.00,11718180870,507224,252,D,23730.00,23600.00
Behshahr.Ind.,20210515,24940.00,24940.00,23610.00,23730.00,15268750690,643430,300,D,24850.00,23780.00
Behshahr.Ind.,20210512,24620.00,25050.00,24620.00,24850.00,34593273970,1403290,306,D,25380.00,24620.00
Behshahr.Ind.,20210511,24990.00,25580.00,24990.00,25380.00,24777154090,990482,363,D,25760.00,25000.00
Behshahr.Ind.,20210510,25000.00,25000.00,25000.00,25760.00,584550000,23382,17,D,25770.00,25000.00
Behshahr.Ind.,20210509,25000.00,25000.00,25000.00,25770.00,199500000,7980,10,D,25770.00,25000.00
Behshahr.Ind.,20210508,25200.00,25200.00,25200.00,25770.00,12805758000,508165,30,D,25970.00,25200.00
Behshahr.Ind.,20210505,25200.00,25200.00,25200.00,25970.00,235569600,9348,10,D,25970.00,25200.00
Behshahr.Ind.,20210503,25210.00,25210.00,25210.00,25970.00,700938840,27804,10,D,25980.00,25210.00
Behshahr.Ind.,20210502,25210.00,25210.00,25210.00,25980.00,68747670,2727,4,D,25980.00,25210.00
Behshahr.Ind.,20210501,25220.00,25220.00,25220.00,25980.00,959091380,38029,32,D,26000.00,25220.00
Behshahr.Ind.,20210428,25400.00,25450.00,25400.00,26000.00,10973613410,432013,129,D,26180.00,25400.00
Behshahr.Ind.,20210427,25670.00,26500.00,25670.00,26180.00,17960557000,698299,300,D,26460.00,26000.00
Behshahr.Ind.,20210426,25680.00,25680.00,25680.00,26460.00,465989280,18146,22,D,26470.00,25680.00
Behshahr.Ind.,20210425,25790.00,25800.00,25790.00,26470.00,6988321300,270970,107,D,26580.00,25790.00
Behshahr.Ind.,20210424,25870.00,26540.00,25870.00,26580.00,5069730040,195926,164,D,26660.00,25870.00
Behshahr.Ind.,20210421,26570.00,26950.00,26570.00,26660.00,40656460530,1529869,195,D,27390.00,26570.00
Behshahr.Ind.,20210420,26850.00,26850.00,26850.00,27390.00,379175700,14122,22,D,27390.00,26850.00
Behshahr.Ind.,20210419,26850.00,26850.00,26850.00,27390.00,139378350,5191,12,D,27390.00,26850.00
