<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
W..Azar..Pegah,20210921,6960.00,7260.00,6790.00,6810.00,19680578150,2889164,398,D,7140.00,6790.00
W..Azar..Pegah,20210920,7250.00,7400.00,7040.00,7140.00,13551715870,1897619,350,D,7320.00,7090.00
W..Azar..Pegah,20210919,7800.00,7800.00,7210.00,7320.00,12389991170,1700242,311,D,7580.00,7300.00
W..Azar..Pegah,20210918,8000.00,8140.00,7550.00,7580.00,25770809000,3397975,345,D,7940.00,7550.00
W..Azar..Pegah,20210915,7850.00,8150.00,7850.00,7940.00,14844883160,1870738,547,D,8080.00,8000.00
W..Azar..Pegah,20210914,8090.00,8240.00,7890.00,8080.00,25354584880,3138921,645,D,7910.00,8150.00
W..Azar..Pegah,20210913,7310.00,7990.00,7310.00,7910.00,53302355620,6737345,742,D,7610.00,7990.00
W..Azar..Pegah,20210912,8000.00,8000.00,7560.00,7610.00,27767843590,3647629,595,D,7950.00,7600.00
W..Azar..Pegah,20210911,8250.00,8250.00,7720.00,7950.00,26753632110,3366851,707,D,8120.00,7950.00
W..Azar..Pegah,20210908,8060.00,8390.00,7950.00,8120.00,25027442570,3083880,775,D,8360.00,8070.00
W..Azar..Pegah,20210906,8700.00,8740.00,8270.00,8360.00,49333872950,5904629,888,D,8420.00,8270.00
W..Azar..Pegah,20210904,8360.00,8570.00,8000.00,8420.00,95772892270,11375865,1356,D,8170.00,8570.00
W..Azar..Pegah,20210901,8250.00,8390.00,8050.00,8170.00,31103137340,3805346,757,D,8030.00,8200.00
W..Azar..Pegah,20210831,7550.00,8140.00,7510.00,8030.00,64819381470,8070037,1257,D,7760.00,8140.00
W..Azar..Pegah,20210830,7690.00,8070.00,7630.00,7760.00,38924807450,5015143,694,D,8030.00,7700.00
W..Azar..Pegah,20210829,8360.00,8370.00,7860.00,8030.00,67563474150,8417016,1323,D,8270.00,7890.00
W..Azar..Pegah,20210828,8430.00,8430.00,8200.00,8270.00,43412387890,5247063,1049,D,8160.00,8270.00
W..Azar..Pegah,20210825,8090.00,8220.00,7860.00,8160.00,74782827480,9159921,1521,D,7830.00,8220.00
W..Azar..Pegah,20210824,7840.00,7840.00,7630.00,7830.00,34618060730,4421923,522,D,7470.00,7840.00
W..Azar..Pegah,20210823,7490.00,7560.00,7350.00,7470.00,25576735400,3422099,555,D,7410.00,7490.00
W..Azar..Pegah,20210822,7260.00,7550.00,7260.00,7410.00,30383798020,4098868,766,D,7450.00,7390.00
W..Azar..Pegah,20210815,7690.00,7690.00,7350.00,7450.00,26798156100,3595999,762,D,7580.00,7350.00
W..Azar..Pegah,20210814,7200.00,7700.00,7200.00,7580.00,37100386730,4896569,956,D,7360.00,7580.00
W..Azar..Pegah,20210811,7480.00,7480.00,7200.00,7360.00,18465887480,2509610,505,D,7270.00,7310.00
W..Azar..Pegah,20210810,7300.00,7320.00,7220.00,7270.00,24971568630,3433217,486,D,7210.00,7300.00
W..Azar..Pegah,20210809,7020.00,7320.00,7020.00,7210.00,13598393270,1882019,439,D,7100.00,7220.00
W..Azar..Pegah,20210808,7000.00,7200.00,7000.00,7100.00,12607986200,1778165,412,D,7150.00,7100.00
W..Azar..Pegah,20210807,7170.00,7250.00,7020.00,7150.00,16033801690,2242804,397,D,7030.00,7090.00
W..Azar..Pegah,20210804,7110.00,7230.00,6950.00,7030.00,35427534970,5037073,601,D,7180.00,7090.00
W..Azar..Pegah,20210803,7090.00,7380.00,7010.00,7180.00,17832674080,2485173,414,D,7210.00,7090.00
W..Azar..Pegah,20210802,7380.00,7380.00,7120.00,7210.00,17476610220,2423926,381,D,7250.00,7220.00
W..Azar..Pegah,20210801,7410.00,7410.00,7190.00,7250.00,20419318130,2817539,437,D,7240.00,7300.00
W..Azar..Pegah,20210731,6810.00,7450.00,6810.00,7240.00,18834500440,2601225,460,D,7120.00,7280.00
W..Azar..Pegah,20210728,7360.00,7360.00,6980.00,7120.00,15865337610,2228613,441,D,7280.00,7030.00
W..Azar..Pegah,20210727,7300.00,7500.00,7200.00,7280.00,20851885550,2865244,508,D,7570.00,7200.00
W..Azar..Pegah,20210726,7340.00,7700.00,7250.00,7570.00,30074250630,3971291,742,D,7370.00,7500.00
W..Azar..Pegah,20210719,7100.00,7550.00,7100.00,7370.00,20854588020,2828778,502,D,7290.00,7340.00
W..Azar..Pegah,20210718,7430.00,7660.00,7240.00,7290.00,26895340400,3689398,741,D,7620.00,7250.00
W..Azar..Pegah,20210717,7650.00,7790.00,7330.00,7620.00,42157016930,5535906,1075,D,7550.00,7490.00
W..Azar..Pegah,20210714,7070.00,7600.00,7070.00,7550.00,72704482030,9630478,1002,D,7240.00,7600.00
W..Azar..Pegah,20210713,7220.00,7370.00,7100.00,7240.00,22190087130,3065167,609,D,7320.00,7190.00
W..Azar..Pegah,20210712,7450.00,7460.00,7260.00,7320.00,25616778660,3499907,659,D,7350.00,7270.00
W..Azar..Pegah,20210711,7380.00,7450.00,7220.00,7350.00,31109577370,4230496,708,D,7330.00,7390.00
W..Azar..Pegah,20210710,7390.00,7460.00,7180.00,7330.00,20551208390,2804765,695,D,7280.00,7290.00
W..Azar..Pegah,20210707,7370.00,7440.00,7000.00,7280.00,28988393270,3982335,782,D,7230.00,7220.00
W..Azar..Pegah,20210706,7100.00,7320.00,6990.00,7230.00,55487047520,7675884,1341,D,6980.00,7320.00
W..Azar..Pegah,20210705,7250.00,7250.00,6880.00,6980.00,54109905110,7752953,1283,D,7240.00,7030.00
W..Azar..Pegah,20210704,7380.00,7420.00,7070.00,7240.00,26229053150,3622724,733,D,7390.00,7170.00
W..Azar..Pegah,20210703,7240.00,7490.00,7230.00,7390.00,50632819760,6855118,1282,D,7200.00,7330.00
W..Azar..Pegah,20210630,7350.00,7450.00,7100.00,7200.00,43464185620,6035164,1301,D,7470.00,7280.00
W..Azar..Pegah,20210629,7420.00,7800.00,7350.00,7470.00,55912618850,7482578,1521,D,7730.00,7350.00
W..Azar..Pegah,20210628,7900.00,7960.00,7550.00,7730.00,62005574040,8024882,1748,D,7760.00,7580.00
W..Azar..Pegah,20210627,7650.00,8200.00,7570.00,7760.00,297205667830,38293149,4019,D,7960.00,7760.00
W..Azar..Pegah,20210626,7960.00,7960.00,7960.00,7960.00,24966770840,3136529,194,D,8370.00,7960.00
W..Azar..Pegah,20210623,8370.00,8370.00,8370.00,8370.00,15066368280,1800044,55,D,8810.00,8370.00
W..Azar..Pegah,20210622,8380.00,8380.00,8380.00,8810.00,388790100,46395,13,D,8820.00,8380.00
W..Azar..Pegah,20210621,8380.00,8380.00,8380.00,8820.00,135001800,16110,7,D,8820.00,8380.00
W..Azar..Pegah,20210620,8380.00,8380.00,8380.00,8820.00,16265580,1941,2,D,8820.00,8380.00
W..Azar..Pegah,20210619,8380.00,8380.00,8380.00,8820.00,18050520,2154,2,D,8820.00,8380.00
W..Azar..Pegah,20210616,8410.00,8410.00,8410.00,8820.00,906463440,107784,10,D,8850.00,8410.00
W..Azar..Pegah,20210615,8850.00,8850.00,8850.00,8850.00,13860321300,1566138,62,D,9830.00,8850.00
W..Azar..Pegah,20210614,9360.00,9360.00,9360.00,9830.00,711238320,75987,2,D,9850.00,9360.00
W..Azar..Pegah,20210613,9360.00,9360.00,9360.00,9850.00,5148000,550,1,D,9850.00,9360.00
W..Azar..Pegah,20210608,9360.00,9360.00,9360.00,9850.00,66147120,7067,3,D,9850.00,9360.00
W..Azar..Pegah,20210607,9370.00,9370.00,9370.00,9850.00,164078070,17511,6,D,9860.00,9370.00
W..Azar..Pegah,20210602,9370.00,9370.00,9370.00,9860.00,8657880,924,1,D,9860.00,9370.00
W..Azar..Pegah,20210601,9370.00,9370.00,9370.00,9860.00,26048600,2780,2,D,9860.00,9370.00
W..Azar..Pegah,20210531,9370.00,9370.00,9370.00,9860.00,5153500,550,1,D,9860.00,9370.00
W..Azar..Pegah,20210530,9370.00,9370.00,9370.00,9860.00,85866680,9164,4,D,9860.00,9370.00
W..Azar..Pegah,20210529,9370.00,9370.00,9370.00,9860.00,49698480,5304,6,D,9860.00,9370.00
W..Azar..Pegah,20210524,9370.00,9370.00,9370.00,9860.00,101196000,10800,1,D,9860.00,9370.00
W..Azar..Pegah,20210523,9370.00,9370.00,9370.00,9860.00,23256340,2482,2,D,9860.00,9370.00
W..Azar..Pegah,20210522,9410.00,9410.00,9410.00,9860.00,1162464350,123535,6,D,9900.00,9410.00
W..Azar..Pegah,20210515,9500.00,9500.00,9500.00,9990.00,77938000,8204,7,D,9990.00,9500.00
W..Azar..Pegah,20210512,9700.00,9700.00,9700.00,9990.00,10088000,1040,2,D,9990.00,9700.00
W..Azar..Pegah,20210511,9700.00,9700.00,9700.00,9990.00,68472300,7059,2,D,9990.00,9700.00
W..Azar..Pegah,20210510,9700.00,9700.00,9700.00,9990.00,115430000,11900,1,D,9990.00,9700.00
W..Azar..Pegah,20210509,9700.00,9700.00,9700.00,9990.00,118349700,12201,4,D,9990.00,9700.00
W..Azar..Pegah,20210508,9700.00,9700.00,9700.00,9990.00,1496060100,154233,6,D,10000.00,9700.00
W..Azar..Pegah,20210505,9700.00,9700.00,9700.00,10000.00,5335000,550,1,D,10000.00,9700.00
W..Azar..Pegah,20210503,9700.00,9700.00,9700.00,10000.00,8245000,850,1,D,10000.00,9700.00
W..Azar..Pegah,20210502,9700.00,9700.00,9700.00,10000.00,5820000,600,1,D,10000.00,9700.00
W..Azar..Pegah,20210501,9700.00,9700.00,9700.00,10000.00,14220200,1466,2,D,10000.00,9700.00
W..Azar..Pegah,20210428,9700.00,9700.00,9700.00,10000.00,10388700,1071,3,D,10000.00,9700.00
W..Azar..Pegah,20210427,9700.00,9700.00,9700.00,10000.00,29100000,3000,1,D,10000.00,9700.00
W..Azar..Pegah,20210426,9700.00,9700.00,9700.00,10000.00,9806700,1011,1,D,10000.00,9700.00
W..Azar..Pegah,20210425,9700.00,9700.00,9700.00,10000.00,26956300,2779,2,D,10000.00,9700.00
W..Azar..Pegah,20210424,9700.00,9700.00,9700.00,10000.00,158391300,16329,4,D,10000.00,9700.00
W..Azar..Pegah,20210421,9700.00,9700.00,9700.00,10000.00,13095000,1350,2,D,10000.00,9700.00
W..Azar..Pegah,20210420,9800.00,9800.00,9800.00,10000.00,29762600,3037,3,D,10000.00,9800.00
W..Azar..Pegah,20210419,9800.00,9800.00,9800.00,10000.00,19962600,2037,1,D,10000.00,9800.00
W..Azar..Pegah,20210418,9800.00,9800.00,9800.00,10000.00,36113000,3685,2,D,10000.00,9800.00
