<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Sina.Tile,20210921,56240.00,56240.00,52820.00,53030.00,108094072460,2038265,590,D,55600.00,52830.00
Sina.Tile,20210920,52530.00,55820.00,52530.00,55600.00,90322267890,1624623,948,D,53170.00,55810.00
Sina.Tile,20210919,52500.00,56100.00,52440.00,53170.00,65448259670,1231028,746,D,55190.00,52500.00
Sina.Tile,20210918,57840.00,57840.00,54520.00,55190.00,29442043290,533440,488,D,57380.00,54520.00
Sina.Tile,20210915,56000.00,57840.00,55090.00,57380.00,76176164050,1327477,1218,D,55090.00,57800.00
Sina.Tile,20210914,55140.00,55310.00,53130.00,55090.00,54790717070,994587,715,D,52680.00,55310.00
Sina.Tile,20210913,53990.00,53990.00,51050.00,52680.00,40227071340,763564,619,D,52980.00,53070.00
Sina.Tile,20210912,52940.00,55310.00,52930.00,52980.00,67316584140,1270723,836,D,55710.00,53800.00
Sina.Tile,20210911,58000.00,59420.00,55310.00,55710.00,87582103270,1572055,693,D,58220.00,55310.00
Sina.Tile,20210908,57060.00,59990.00,56840.00,58220.00,51981610250,892871,981,D,58660.00,57390.00
Sina.Tile,20210907,56010.00,59750.00,56010.00,58660.00,62427477370,1064195,882,D,58780.00,58630.00
Sina.Tile,20210906,59980.00,60690.00,56700.00,58780.00,105528900010,1795288,1468,D,59660.00,57060.00
Sina.Tile,20210905,59000.00,60980.00,58550.00,59660.00,105199418000,1763340,1382,D,58140.00,59100.00
Sina.Tile,20210904,58000.00,58410.00,56420.00,58140.00,195696890080,3365924,1305,D,55630.00,58410.00
Sina.Tile,20210901,52500.00,56630.00,52500.00,55630.00,135001321790,2426702,1021,D,54860.00,55600.00
Sina.Tile,20210831,54270.00,57110.00,54270.00,54860.00,81735638430,1489844,949,D,57120.00,54270.00
Sina.Tile,20210830,56300.00,59250.00,56100.00,57120.00,61091951350,1069556,898,D,59050.00,56100.00
Sina.Tile,20210829,59930.00,59930.00,54230.00,59050.00,237893853670,4028872,2237,D,57080.00,57900.00
Sina.Tile,20210828,57080.00,57100.00,56150.00,57080.00,272336238800,4771039,911,D,54390.00,57100.00
Sina.Tile,20210825,54420.00,54420.00,52960.00,54390.00,143438158890,2637174,1518,D,51830.00,54420.00
Sina.Tile,20210824,51830.00,51830.00,51800.00,51830.00,30261503930,583866,408,D,49370.00,51830.00
Sina.Tile,20210823,50000.00,52000.00,48120.00,49370.00,122603132010,2483127,1732,D,50650.00,51290.00
Sina.Tile,20210822,50020.00,51500.00,49000.00,50650.00,63986072790,1263333,1051,D,50360.00,49800.00
Sina.Tile,20210815,50410.00,51500.00,50000.00,50360.00,71158736200,1412974,1067,D,51310.00,50550.00
Sina.Tile,20210814,53980.00,53980.00,50020.00,51310.00,104093017630,2028691,1714,D,51560.00,51850.00
Sina.Tile,20210811,52510.00,52520.00,50680.00,51560.00,87857179930,1703920,1519,D,48090.00,51690.00
Sina.Tile,20210802,51980.00,52270.00,50200.00,51030.00,135795868180,2661241,2212,D,50240.00,52000.00
Sina.Tile,20210801,48050.00,52580.00,48050.00,50240.00,563669780240,11218457,4462,D,50570.00,50660.00
Sina.Tile,20210731,50160.00,50160.00,50160.00,50570.00,12043716960,240106,128,D,52790.00,50160.00
Sina.Tile,20210728,52630.00,52630.00,52630.00,52790.00,12840614770,243979,87,D,55390.00,52630.00
Sina.Tile,20210727,54950.00,54950.00,54950.00,55390.00,12064437350,219553,56,D,57840.00,54950.00
Sina.Tile,20210726,54990.00,54990.00,54990.00,57840.00,206322480,3752,10,D,57880.00,54990.00
Sina.Tile,20210719,55150.00,55150.00,55150.00,57880.00,843408950,15293,41,D,58050.00,55150.00
Sina.Tile,20210718,55280.00,55280.00,55280.00,58050.00,656615840,11878,22,D,58180.00,55280.00
Sina.Tile,20210717,55610.00,55610.00,55610.00,58180.00,1699552820,30562,33,D,58530.00,55610.00
Sina.Tile,20210714,55810.00,55810.00,55810.00,58530.00,990962360,17756,21,D,58740.00,55810.00
Sina.Tile,20210713,56050.00,56050.00,56050.00,58740.00,1167913850,20837,30,D,58990.00,56050.00
Sina.Tile,20210712,56760.00,56760.00,56760.00,58990.00,3588537480,63223,45,D,59740.00,56760.00
Sina.Tile,20210711,56990.00,56990.00,56990.00,59740.00,1131422470,19853,27,D,59980.00,56990.00
Sina.Tile,20210710,57030.00,57030.00,57030.00,59980.00,217170240,3808,18,D,60030.00,57030.00
Sina.Tile,20210707,56530.00,56530.00,56530.00,60030.00,5919086710,104707,81,D,62810.00,56530.00
Sina.Tile,20210706,59890.00,59890.00,59890.00,62810.00,1045320060,17454,11,D,63040.00,59890.00
Sina.Tile,20210705,60170.00,60170.00,60170.00,63040.00,1311706000,21800,15,D,63330.00,60170.00
Sina.Tile,20210704,60180.00,60180.00,60180.00,63330.00,52115880,866,5,D,63340.00,60180.00
Sina.Tile,20210703,60190.00,60190.00,60190.00,63340.00,27506830,457,4,D,63350.00,60190.00
Sina.Tile,20210630,60200.00,60200.00,60200.00,63350.00,55925800,929,5,D,63360.00,60200.00
Sina.Tile,20210629,60200.00,60200.00,60200.00,63360.00,11859400,197,2,D,63360.00,60200.00
Sina.Tile,20210628,60290.00,60290.00,60290.00,63360.00,427395810,7089,13,D,63460.00,60290.00
Sina.Tile,20210627,62540.00,62540.00,62540.00,63460.00,11703297820,187133,82,D,69480.00,62540.00
Sina.Tile,20210626,66040.00,66040.00,66040.00,69480.00,139806680,2117,7,D,69510.00,66040.00
Sina.Tile,20210623,66070.00,66070.00,66070.00,69510.00,126722260,1918,9,D,69540.00,66070.00
Sina.Tile,20210622,66120.00,66120.00,66120.00,69540.00,204443040,3092,10,D,69590.00,66120.00
Sina.Tile,20210620,66120.00,66120.00,66120.00,69590.00,26381880,399,1,D,69600.00,66120.00
Sina.Tile,20210616,66140.00,66140.00,66140.00,69600.00,68190340,1031,5,D,69620.00,66140.00
Sina.Tile,20210614,66160.00,66160.00,66160.00,69620.00,99240000,1500,2,D,69640.00,66160.00
Sina.Tile,20210613,66170.00,66170.00,66170.00,69640.00,31695430,479,4,D,69650.00,66170.00
Sina.Tile,20210612,66190.00,66190.00,66190.00,69650.00,85649860,1294,5,D,69670.00,66190.00
Sina.Tile,20210608,66210.00,66210.00,66210.00,69670.00,75678030,1143,7,D,69690.00,66210.00
Sina.Tile,20210601,66220.00,66220.00,66220.00,69690.00,26488000,400,1,D,69700.00,66220.00
Sina.Tile,20210531,66530.00,66530.00,66530.00,69700.00,1323281700,19890,4,D,70030.00,66530.00
Sina.Tile,20210530,66540.00,66540.00,66540.00,70030.00,24819420,373,4,D,70040.00,66540.00
Sina.Tile,20210529,66570.00,66570.00,66570.00,70040.00,125551020,1886,4,D,70070.00,66570.00
Sina.Tile,20210526,66580.00,66580.00,66580.00,70070.00,25300400,380,3,D,70080.00,66580.00
Sina.Tile,20210525,66600.00,66600.00,66600.00,70080.00,62737200,942,2,D,70100.00,66600.00
Sina.Tile,20210524,66600.00,66600.00,66600.00,70100.00,9790200,147,1,D,70100.00,66600.00
Sina.Tile,20210522,66680.00,66680.00,66680.00,70100.00,319797280,4796,4,D,70180.00,66680.00
Sina.Tile,20210519,63390.00,63390.00,63390.00,70180.00,483031800,7620,24,D,70430.00,63390.00
Sina.Tile,20210518,66910.00,66910.00,66910.00,70430.00,15590030,233,3,D,70430.00,66910.00
Sina.Tile,20210517,66970.00,66970.00,66970.00,70430.00,240690180,3594,4,D,70490.00,66970.00
Sina.Tile,20210516,66990.00,66990.00,66990.00,70490.00,90838440,1356,3,D,70510.00,66990.00
Sina.Tile,20210515,67040.00,67040.00,67040.00,70510.00,206483200,3080,2,D,70560.00,67040.00
Sina.Tile,20210512,68450.00,68450.00,68450.00,70560.00,5612900,82,1,D,70560.00,68450.00
Sina.Tile,20210511,68450.00,68450.00,68450.00,70560.00,32787550,479,2,D,70560.00,68450.00
Sina.Tile,20210510,68450.00,68450.00,68450.00,70560.00,22246250,325,3,D,70560.00,68450.00
Sina.Tile,20210508,68450.00,68450.00,68450.00,70560.00,13690000,200,1,D,70560.00,68450.00
Sina.Tile,20210505,68450.00,68450.00,68450.00,70560.00,5133750,75,1,D,70560.00,68450.00
Sina.Tile,20210503,68450.00,68450.00,68450.00,70560.00,39769450,581,2,D,70560.00,68450.00
Sina.Tile,20210502,68450.00,68450.00,68450.00,70560.00,44287150,647,1,D,70560.00,68450.00
Sina.Tile,20210501,68450.00,68450.00,68450.00,70560.00,35594000,520,2,D,70560.00,68450.00
Sina.Tile,20210428,68450.00,68450.00,68450.00,70560.00,46546000,680,3,D,70560.00,68450.00
Sina.Tile,20210427,68450.00,68450.00,68450.00,70560.00,44629400,652,3,D,70560.00,68450.00
Sina.Tile,20210426,68450.00,68450.00,68450.00,70560.00,25052700,366,3,D,70560.00,68450.00
Sina.Tile,20210421,68450.00,68450.00,68450.00,70560.00,43602650,637,2,D,70560.00,68450.00
Sina.Tile,20210420,69150.00,69150.00,69150.00,70560.00,80836350,1169,3,D,70560.00,69150.00
Sina.Tile,20210419,69150.00,69150.00,69150.00,70560.00,10165050,147,2,D,70560.00,69150.00
Sina.Tile,20210418,69150.00,69150.00,69150.00,70560.00,18877950,273,2,D,70560.00,69150.00
Sina.Tile,20210417,69160.00,69160.00,69160.00,70560.00,503415640,7279,5,D,70570.00,69160.00
