<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Tamin.Cement,20210921,13500.00,13500.00,12800.00,12840.00,206000182380,16041234,4626,D,13470.00,12890.00
Tamin.Cement,20210920,13320.00,13760.00,13320.00,13470.00,71965230120,5343225,4270,D,13490.00,13390.00
Tamin.Cement,20210919,13850.00,14100.00,13300.00,13490.00,113789718030,8434057,5056,D,13990.00,13350.00
Tamin.Cement,20210918,14510.00,14510.00,13850.00,13990.00,122133699320,8732820,5112,D,14310.00,13870.00
Tamin.Cement,20210915,14420.00,14690.00,14250.00,14310.00,105954195600,7402938,14990,D,14700.00,14390.00
Tamin.Cement,20210914,14740.00,14920.00,14550.00,14700.00,94725794630,6445233,11113,D,14490.00,14790.00
Tamin.Cement,20210913,14250.00,14880.00,14100.00,14490.00,107427745690,7413031,7236,D,14350.00,14740.00
Tamin.Cement,20210912,14520.00,14740.00,14210.00,14350.00,96932981700,6754173,4655,D,14800.00,14460.00
Tamin.Cement,20210911,14950.00,15300.00,14530.00,14800.00,112034818380,7568498,5756,D,14820.00,14590.00
Tamin.Cement,20210908,14700.00,15180.00,14670.00,14820.00,157078917290,10599262,22914,D,14940.00,14890.00
Tamin.Cement,20210907,14990.00,15130.00,14850.00,14940.00,174294813520,11663216,15184,D,15260.00,14920.00
Tamin.Cement,20210906,15510.00,15650.00,15030.00,15260.00,251257767940,16465509,15575,D,15640.00,15080.00
Tamin.Cement,20210905,15800.00,15840.00,15460.00,15640.00,118550285650,7577759,6482,D,16020.00,15630.00
Tamin.Cement,20210904,16300.00,16500.00,15720.00,16020.00,155917842070,9734099,8150,D,15950.00,15920.00
Tamin.Cement,20210901,15130.00,16100.00,15130.00,15950.00,317278912890,19895276,7791,D,15340.00,16100.00
Tamin.Cement,20210831,15110.00,15950.00,15110.00,15340.00,214865803980,14009339,6126,D,15900.00,15170.00
Tamin.Cement,20210830,15880.00,16250.00,15820.00,15900.00,215185660550,13536672,4565,D,16650.00,15820.00
Tamin.Cement,20210829,17000.00,17400.00,15900.00,16650.00,370093727040,22231812,13702,D,16620.00,15980.00
Tamin.Cement,20210828,16260.00,16670.00,16260.00,16620.00,393542581420,23683061,13768,D,15880.00,16670.00
Tamin.Cement,20210825,15960.00,16260.00,15370.00,15880.00,227847508610,14351733,10275,D,15770.00,16150.00
Tamin.Cement,20210824,15700.00,16000.00,15410.00,15770.00,129343436410,8200909,7063,D,15380.00,15760.00
Tamin.Cement,20210823,15200.00,15650.00,15080.00,15380.00,156328769560,10163485,6811,D,15720.00,15410.00
Tamin.Cement,20210822,16160.00,16160.00,15050.00,15720.00,213428473970,13579283,9333,D,15590.00,15410.00
Tamin.Cement,20210815,14750.00,15710.00,14750.00,15590.00,323804031050,20770069,6671,D,14970.00,15710.00
Tamin.Cement,20210814,14860.00,15140.00,14590.00,14970.00,196929361980,13153674,5822,D,14830.00,15000.00
Tamin.Cement,20210811,14370.00,14950.00,14370.00,14830.00,149744844700,10094037,5994,D,14530.00,14940.00
Tamin.Cement,20210810,14650.00,14790.00,14400.00,14530.00,107076905060,7368446,5364,D,14790.00,14560.00
Tamin.Cement,20210809,15000.00,15000.00,14600.00,14790.00,91949331140,6218771,4349,D,14760.00,14760.00
Tamin.Cement,20210808,14230.00,15040.00,14040.00,14760.00,164712667290,11157862,5333,D,14350.00,14940.00
Tamin.Cement,20210807,14640.00,14640.00,14190.00,14350.00,68063544890,4741527,4274,D,14290.00,14210.00
Tamin.Cement,20210804,14030.00,14510.00,14030.00,14290.00,88216346210,6172970,4293,D,14010.00,14480.00
Tamin.Cement,20210803,14110.00,14200.00,13850.00,14010.00,76146494270,5435783,4589,D,14200.00,14040.00
Tamin.Cement,20210802,14180.00,14430.00,14100.00,14200.00,118199032730,8324641,4206,D,14480.00,14190.00
Tamin.Cement,20210801,14690.00,14690.00,14150.00,14480.00,116303799330,8032414,5061,D,14690.00,14310.00
Tamin.Cement,20210731,14790.00,14930.00,14550.00,14690.00,96702679960,6582874,5707,D,14930.00,14640.00
Tamin.Cement,20210728,14530.00,15190.00,14530.00,14930.00,98458920660,6593196,4957,D,14650.00,14830.00
