<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Salemin.Factory,20210921,3300.00,3440.00,3208.00,3231.00,58268071552,18036537,1415,D,3376.00,3230.00
Salemin.Factory,20210920,3320.00,3449.00,3313.00,3376.00,28586627462,8468223,1117,D,3382.00,3351.00
Salemin.Factory,20210919,3500.00,3510.00,3355.00,3382.00,44158888366,13058042,1219,D,3531.00,3355.00
Salemin.Factory,20210918,3710.00,3780.00,3509.00,3531.00,62473415653,17692212,1478,D,3693.00,3509.00
Salemin.Factory,20210915,3820.00,3820.00,3647.00,3693.00,46228863615,12516460,2100,D,3831.00,3700.00
Salemin.Factory,20210914,3760.00,3890.00,3701.00,3831.00,26545067023,6929101,1295,D,3732.00,3811.00
Salemin.Factory,20210913,3690.00,3899.00,3647.00,3732.00,46108317599,12354803,1466,D,3838.00,3770.00
Salemin.Factory,20210912,4021.00,4028.00,3827.00,3838.00,35614788586,9280667,1055,D,4028.00,3827.00
Salemin.Factory,20210911,4190.00,4200.00,3917.00,4028.00,65140174467,16172666,1678,D,4114.00,4021.00
Salemin.Factory,20210908,3952.00,4148.00,3952.00,4114.00,118865232083,28892036,3591,D,3951.00,4148.00
Salemin.Factory,20210907,3999.00,4084.00,3923.00,3951.00,94855107388,24009352,2455,D,4129.00,3970.00
Salemin.Factory,20210906,4249.00,4270.00,3920.00,4129.00,108170191571,26199728,3051,D,4077.00,3930.00
Salemin.Factory,20210905,4030.00,4154.00,3850.00,4077.00,125349608043,30748973,2110,D,3957.00,4154.00
Salemin.Factory,20210904,3891.00,3971.00,3831.00,3957.00,97700602289,24691452,1991,D,3782.00,3971.00
Salemin.Factory,20210901,3590.00,3887.00,3590.00,3782.00,60537470582,16007914,1731,D,3706.00,3869.00
Salemin.Factory,20210831,3681.00,3865.00,3681.00,3706.00,93553503440,25244434,1983,D,3874.00,3681.00
Salemin.Factory,20210830,3866.00,3960.00,3866.00,3874.00,61581658400,15896669,1158,D,4069.00,3866.00
Salemin.Factory,20210829,4299.00,4299.00,3918.00,4069.00,153429527990,37707396,3650,D,4124.00,3918.00
Salemin.Factory,20210828,4010.00,4137.00,3969.00,4124.00,94394402958,22887814,2075,D,3940.00,4137.00
Salemin.Factory,20210825,3890.00,4004.00,3830.00,3940.00,89996495921,22843553,2340,D,3850.00,3969.00
Salemin.Factory,20210824,3830.00,3911.00,3731.00,3850.00,102606248038,26651263,2517,D,3725.00,3858.00
Salemin.Factory,20210823,3760.00,3789.00,3630.00,3725.00,63055019777,16929515,1864,D,3701.00,3756.00
Salemin.Factory,20210822,3602.00,3728.00,3600.00,3701.00,119345625064,32242855,2607,D,3551.00,3710.00
Salemin.Factory,20210815,3410.00,3588.00,3410.00,3551.00,57362992203,16153726,1777,D,3435.00,3575.00
Salemin.Factory,20210814,3470.00,3540.00,3390.00,3435.00,63209472701,18401239,1704,D,3497.00,3470.00
Salemin.Factory,20210811,3530.00,3560.00,3450.00,3497.00,62126141236,17767342,1963,D,3507.00,3497.00
Salemin.Factory,20210810,3616.00,3640.00,3460.00,3507.00,92343782967,26333814,2530,D,3601.00,3475.00
Salemin.Factory,20210809,3550.00,3607.00,3510.00,3601.00,195133090900,54186652,2975,D,3436.00,3593.00
Salemin.Factory,20210808,3350.00,3510.00,3300.00,3436.00,68104988821,19821888,2103,D,3343.00,3510.00
Salemin.Factory,20210807,3310.00,3430.00,3290.00,3343.00,36815375833,11011711,1172,D,3331.00,3332.00
Salemin.Factory,20210804,3300.00,3395.00,3300.00,3331.00,41937907086,12588607,1224,D,3367.00,3338.00
Salemin.Factory,20210803,3360.00,3440.00,3300.00,3367.00,43616620945,12955337,1318,D,3404.00,3389.00
Salemin.Factory,20210802,3450.00,3480.00,3332.00,3404.00,26453170130,7772011,982,D,3374.00,3368.00
Salemin.Factory,20210801,3401.00,3439.00,3260.00,3374.00,55108242295,16332615,1600,D,3408.00,3403.00
