<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Sepid.Makian.Co.,20210921,60000.00,60890.00,56760.00,57860.00,330226069170,5706968,13249,D,59700.00,58120.00
Sepid.Makian.Co.,20210920,58840.00,60020.00,57360.00,59700.00,540248197460,9049639,15798,D,57170.00,59980.00
Sepid.Makian.Co.,20210919,57550.00,60250.00,56100.00,57170.00,638185486300,11162129,17517,D,59050.00,57700.00
Sepid.Makian.Co.,20210918,60750.00,61800.00,58800.00,59050.00,766293497350,12977643,14821,D,61890.00,58800.00
Sepid.Makian.Co.,20210915,63690.00,63690.00,61000.00,61890.00,426197962590,6886582,61309,D,63900.00,61210.00
Sepid.Makian.Co.,20210914,64910.00,65500.00,62510.00,63900.00,537451008370,8411227,47563,D,63350.00,63450.00
Sepid.Makian.Co.,20210913,59830.00,64100.00,59810.00,63350.00,977551313420,15430277,36195,D,61050.00,64100.00
Sepid.Makian.Co.,20210912,61110.00,63670.00,60440.00,61050.00,519426033800,8507940,28641,D,63620.00,61300.00
Sepid.Makian.Co.,20210911,64680.00,66560.00,61320.00,63620.00,531499584510,8354563,32783,D,63420.00,62500.00
Sepid.Makian.Co.,20210908,63500.00,64990.00,62490.00,63420.00,1283684704470,20242244,137014,D,62420.00,62730.00
Sepid.Makian.Co.,20210907,62420.00,62420.00,62420.00,62420.00,219799046640,3521292,28605,D,59450.00,62420.00
Sepid.Makian.Co.,20210904,59450.00,59450.00,59450.00,59450.00,113744258200,1913276,8819,D,56620.00,59450.00
Sepid.Makian.Co.,20210901,55500.00,57150.00,54170.00,56620.00,314703368040,5558081,18885,D,54430.00,57150.00
Sepid.Makian.Co.,20210831,53010.00,56570.00,52260.00,54430.00,832378441460,15292381,49462,D,54950.00,54900.00
Sepid.Makian.Co.,20210830,55100.00,57600.00,54450.00,54950.00,772100820110,14051214,39537,D,57310.00,54450.00
Sepid.Makian.Co.,20210829,58000.00,59260.00,55000.00,57310.00,1021786921880,17828141,73163,D,57510.00,56000.00
Sepid.Makian.Co.,20210828,55300.00,57710.00,55110.00,57510.00,1066004672400,18535925,37698,D,54970.00,57690.00
Sepid.Makian.Co.,20210825,54980.00,56700.00,52450.00,54970.00,1209739878950,22005328,153235,D,54730.00,54760.00
Sepid.Makian.Co.,20210824,54870.00,54880.00,53240.00,54730.00,2279906063290,41658412,159282,D,52270.00,54590.00
Sepid.Makian.Co.,20210823,50990.00,52530.00,50500.00,52270.00,1096577214580,20978626,83715,D,50030.00,52530.00
Sepid.Makian.Co.,20210822,50030.00,50030.00,45270.00,50030.00,4669579928940,93337129,261312,D,47650.00,50030.00
Sepid.Makian.Co.,20210815,47650.00,47650.00,47650.00,47650.00,282488260000,5928400,39323,D,45390.00,47650.00
Sepid.Makian.Co.,20210814,45390.00,45390.00,45390.00,45390.00,235680448770,5192343,47100,D,43230.00,45390.00
Sepid.Makian.Co.,20210811,43230.00,43230.00,43230.00,43230.00,212521317030,4916061,88738,D,41180.00,43230.00
Sepid.Makian.Co.,20210810,41180.00,41180.00,41180.00,41180.00,256437001960,6227222,78722,D,39220.00,41180.00
Sepid.Makian.Co.,20210808,39220.00,39220.00,39220.00,39220.00,392847561420,10016511,44318,D,37360.00,39220.00
Sepid.Makian.Co.,20210807,37360.00,37360.00,37360.00,37360.00,1491191672640,39914124,123697,D,35590.00,37360.00
Sepid.Makian.Co.,20210804,35590.00,35590.00,35590.00,35590.00,180206512770,5063403,56912,D,33900.00,35590.00
Sepid.Makian.Co.,20210803,33900.00,33900.00,33900.00,33900.00,111292445700,3282963,49260,D,32290.00,33900.00
Sepid.Makian.Co.,20210802,32290.00,32290.00,32290.00,32290.00,157961259240,4891956,81364,D,30760.00,32290.00
Sepid.Makian.Co.,20210801,30760.00,30760.00,30760.00,30760.00,102981034880,3347888,53940,D,29300.00,30760.00
Sepid.Makian.Co.,20210731,29300.00,29300.00,29300.00,29300.00,82287467800,2808446,37527,D,27910.00,29300.00
Sepid.Makian.Co.,20210728,27910.00,27910.00,27910.00,27910.00,85250899630,3054493,45714,D,26590.00,27910.00
Sepid.Makian.Co.,20210727,26590.00,26590.00,26590.00,26590.00,67556202580,2540662,36236,D,25330.00,26590.00
Sepid.Makian.Co.,20210726,25200.00,26460.00,25200.00,25330.00,1100291841060,43441127,66298,D,18000.00,26460.00
Sepid.Makian.Co.,20210714,21000.00,21000.00,21000.00,21000.00,2743597500000,130647500,2835642,D,1000.00,21000.00
