<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Saipa.Inv.,20210921,5050.00,5120.00,4870.00,4880.00,111808772090,22920579,1359,D,5120.00,4870.00
S*Saipa.Inv.,20210920,5100.00,5280.00,5000.00,5120.00,64818782450,12657057,1704,D,5120.00,5050.00
S*Saipa.Inv.,20210919,5190.00,5370.00,5060.00,5120.00,95499423030,18668238,1480,D,5320.00,5080.00
S*Saipa.Inv.,20210918,5590.00,5590.00,5300.00,5320.00,63033811460,11844940,1142,D,5570.00,5300.00
S*Saipa.Inv.,20210915,5700.00,5700.00,5470.00,5570.00,62817711950,11286692,1863,D,5660.00,5510.00
S*Saipa.Inv.,20210914,5420.00,5690.00,5420.00,5660.00,104743165970,18505699,2104,D,5420.00,5690.00
S*Saipa.Inv.,20210913,5390.00,5690.00,5210.00,5420.00,75980560850,14021353,1744,D,5480.00,5480.00
S*Saipa.Inv.,20210912,5520.00,5720.00,5460.00,5480.00,60829433060,11106467,1152,D,5740.00,5460.00
S*Saipa.Inv.,20210911,5930.00,6050.00,5640.00,5740.00,86564538610,15082703,1699,D,5930.00,5640.00
S*Saipa.Inv.,20210908,6030.00,6030.00,5800.00,5930.00,62066183070,10463091,2365,D,5940.00,5940.00
S*Saipa.Inv.,20210907,6000.00,6100.00,5890.00,5940.00,98705196440,16611661,1876,D,6190.00,5890.00
S*Saipa.Inv.,20210906,6290.00,6440.00,6010.00,6190.00,89929796520,14529544,2164,D,6290.00,6030.00
S*Saipa.Inv.,20210905,6110.00,6470.00,6040.00,6290.00,103257946620,16406926,1845,D,6250.00,6290.00
S*Saipa.Inv.,20210904,6240.00,6400.00,6050.00,6250.00,114158595770,18262531,1948,D,6100.00,6200.00
S*Saipa.Inv.,20210901,5850.00,6240.00,5770.00,6100.00,144460745340,23683086,1936,D,5950.00,6180.00
S*Saipa.Inv.,20210831,5890.00,6250.00,5890.00,5950.00,216462421640,36407286,2446,D,6200.00,5890.00
S*Saipa.Inv.,20210830,6180.00,6330.00,6180.00,6200.00,191113654570,30839969,1572,D,6500.00,6180.00
S*Saipa.Inv.,20210829,6780.00,6780.00,6280.00,6500.00,336509699220,51794319,3985,D,6610.00,6280.00
S*Saipa.Inv.,20210828,6380.00,6620.00,6380.00,6610.00,251617070820,38066088,1623,D,6310.00,6620.00
S*Saipa.Inv.,20210825,6500.00,6500.00,6100.00,6310.00,221086623100,35043707,3392,D,6330.00,6370.00
S*Saipa.Inv.,20210824,6100.00,6390.00,6090.00,6330.00,240791309710,38021697,2776,D,6090.00,6390.00
S*Saipa.Inv.,20210823,6120.00,6170.00,5880.00,6090.00,386881350490,63528752,4781,D,5880.00,6080.00
S*Saipa.Inv.,20210822,5880.00,5880.00,5720.00,5880.00,120085263310,20427291,1045,D,5600.00,5880.00
S*Saipa.Inv.,20210815,5490.00,5610.00,5370.00,5600.00,326999885350,58389324,2735,D,5350.00,5610.00
S*Saipa.Inv.,20210814,5110.00,5360.00,5110.00,5350.00,312514495240,58442819,2744,D,5110.00,5360.00
S*Saipa.Inv.,20210811,5220.00,5220.00,5060.00,5110.00,93939477182,18384464,2207,D,5167.00,5090.00
S*Saipa.Inv.,20210810,5140.00,5250.00,5110.00,5167.00,51547412206,9975980,1323,D,5099.00,5140.00
S*Saipa.Inv.,20210809,5070.00,5199.00,4930.00,5099.00,70832234089,13892233,1464,D,5010.00,5139.00
S*Saipa.Inv.,20210808,4940.00,5088.00,4910.00,5010.00,61632126709,12300866,1075,D,5039.00,5000.00
S*Saipa.Inv.,20210807,4860.00,5148.00,4860.00,5039.00,67517746998,13398077,1276,D,4936.00,5000.00
S*Saipa.Inv.,20210804,5090.00,5090.00,4840.00,4936.00,66747630898,13523975,1421,D,5024.00,4930.00
S*Saipa.Inv.,20210803,5100.00,5280.00,4912.00,5024.00,88037367532,17524125,1568,D,5170.00,5000.00
S*Saipa.Inv.,20210802,5030.00,5193.00,5000.00,5170.00,154284209906,29840631,2220,D,4946.00,5160.00
S*Saipa.Inv.,20210801,4991.00,5030.00,4810.00,4946.00,46370789742,9376295,1139,D,4914.00,4911.00
S*Saipa.Inv.,20210731,4800.00,5030.00,4800.00,4914.00,57829620860,11767452,1354,D,4880.00,4875.00
S*Saipa.Inv.,20210728,4800.00,5060.00,4800.00,4880.00,56864327600,11653290,1180,D,4950.00,4830.00
S*Saipa.Inv.,20210727,5010.00,5150.00,4870.00,4950.00,97052607980,19602474,1547,D,5120.00,4870.00
S*Saipa.Inv.,20210726,5240.00,5240.00,5050.00,5120.00,81390960240,15905318,1675,D,5260.00,5110.00
S*Saipa.Inv.,20210719,5340.00,5400.00,5180.00,5260.00,59516746340,11319664,1323,D,5300.00,5200.00
S*Saipa.Inv.,20210718,5490.00,5490.00,5180.00,5300.00,83343981730,15725960,1627,D,5310.00,5280.00
S*Saipa.Inv.,20210717,5250.00,5400.00,5120.00,5310.00,128353487950,24191724,2257,D,5150.00,5290.00
S*Saipa.Inv.,20210714,5030.00,5250.00,5030.00,5150.00,80096439230,15542862,1703,D,5130.00,5150.00
S*Saipa.Inv.,20210713,5170.00,5340.00,5020.00,5130.00,75986128360,14813479,1414,D,5180.00,5090.00
S*Saipa.Inv.,20210712,5250.00,5260.00,5090.00,5180.00,103025835290,19896199,1730,D,5150.00,5130.00
S*Saipa.Inv.,20210711,5170.00,5250.00,5030.00,5150.00,93126251170,18076622,1726,D,5110.00,5180.00
S*Saipa.Inv.,20210710,5020.00,5170.00,4980.00,5110.00,83740356810,16389903,1491,D,5020.00,5140.00
S*Saipa.Inv.,20210707,5100.00,5130.00,4970.00,5020.00,78236612430,15574415,1407,D,5100.00,5040.00
S*Saipa.Inv.,20210706,5130.00,5250.00,5030.00,5100.00,108182916540,21217780,1802,D,5090.00,5050.00
S*Saipa.Inv.,20210705,5080.00,5160.00,5040.00,5090.00,64150848330,12595360,738,D,5060.00,5130.00
S*Saipa.Inv.,20210629,5100.00,5200.00,5010.00,5100.00,165479596070,32442884,2028,D,5070.00,5100.00
S*Saipa.Inv.,20210628,5200.00,5200.00,4920.00,5070.00,155636980640,30667861,1640,D,5120.00,5080.00
S*Saipa.Inv.,20210627,4860.00,5250.00,4840.00,5120.00,195511586450,38209567,2114,D,5030.00,5100.00
S*Saipa.Inv.,20210626,5030.00,5180.00,4860.00,5030.00,99804099080,19823045,1776,D,5045.00,4940.00
S*Saipa.Inv.,20210623,5020.00,5270.00,4870.00,5045.00,109380162796,21682113,2238,D,5023.00,4950.00
S*Saipa.Inv.,20210622,4900.00,5061.00,4860.00,5023.00,322869123579,64274728,2611,D,4820.00,5050.00
S*Saipa.Inv.,20210621,4440.00,4851.00,4440.00,4820.00,151060040352,31338177,1407,D,4620.00,4851.00
S*Saipa.Inv.,20210620,4729.00,4840.00,4567.00,4620.00,131238115135,28404734,1453,D,4807.00,4587.00
S*Saipa.Inv.,20210619,4900.00,4900.00,4652.00,4807.00,96712630853,20118000,1557,D,4726.00,4819.00
S*Saipa.Inv.,20210616,4391.00,4739.00,4391.00,4726.00,157026757691,33226523,1360,D,4514.00,4739.00
S*Saipa.Inv.,20210615,4620.00,4648.00,4393.00,4514.00,100970431532,22370375,1349,D,4362.00,4445.00
S*Saipa.Inv.,20210613,4380.00,4432.00,4120.00,4362.00,64891224077,14877252,1115,D,4331.00,4429.00
S*Saipa.Inv.,20210612,4395.00,4550.00,4282.00,4331.00,79302520987,18310832,1152,D,4507.00,4331.00
S*Saipa.Inv.,20210609,4390.00,4660.00,4347.00,4507.00,144691558999,32100778,1784,D,4575.00,4474.00
S*Saipa.Inv.,20210608,4500.00,4618.00,4400.00,4575.00,237310932551,51876045,2091,D,4399.00,4491.00
S*Saipa.Inv.,20210607,4261.00,4407.00,4238.00,4399.00,115710451795,26304535,1332,D,4198.00,4407.00
S*Saipa.Inv.,20210602,4036.00,4237.00,4036.00,4198.00,62507141472,14889750,1186,D,4036.00,4237.00
S*Saipa.Inv.,20210601,4010.00,4200.00,3961.00,4036.00,60749068511,15053544,981,D,4101.00,4099.00
S*Saipa.Inv.,20210531,4101.00,4230.00,4073.00,4101.00,62197616690,15165980,1099,D,4285.00,4085.00
S*Saipa.Inv.,20210530,4450.00,4580.00,4177.00,4285.00,149878706339,34976980,2312,D,4396.00,4180.00
S*Saipa.Inv.,20210529,4200.00,4410.00,4200.00,4396.00,131554099464,29924564,1736,D,4200.00,4410.00
S*Saipa.Inv.,20210526,4250.00,4330.00,4061.00,4200.00,54616793878,13002641,1545,D,4227.00,4179.00
S*Saipa.Inv.,20210525,4040.00,4235.00,4040.00,4227.00,85932486948,20328328,1344,D,4034.00,4235.00
S*Saipa.Inv.,20210524,3890.00,4130.00,3890.00,4034.00,49630686933,12302190,1281,D,4029.00,4066.00
S*Saipa.Inv.,20210523,4030.00,4140.00,3999.00,4029.00,76220765670,18918050,1115,D,4209.00,4022.00
S*Saipa.Inv.,20210522,4207.00,4411.00,4207.00,4209.00,191147285915,45413061,1583,D,4428.00,4207.00
S*Saipa.Inv.,20210519,4450.00,4600.00,4411.00,4428.00,48972878571,11059155,659,D,4643.00,4411.00
S*Saipa.Inv.,20210518,4629.00,4844.00,4629.00,4643.00,79264770358,17073234,957,D,4872.00,4629.00
S*Saipa.Inv.,20210517,4970.00,5070.00,4836.00,4872.00,94658270018,19430896,1444,D,5090.00,4836.00
S*Saipa.Inv.,20210516,4780.00,5208.00,4780.00,5090.00,210630915874,41379858,3167,D,4964.00,5075.00
S*Saipa.Inv.,20210515,4730.00,5012.00,4580.00,4964.00,207631912478,41831071,2437,D,4774.00,4889.00
S*Saipa.Inv.,20210512,4950.00,4966.00,4553.00,4774.00,165745281600,34717281,2737,D,4689.00,4770.00
S*Saipa.Inv.,20210511,4679.00,4700.00,4570.00,4689.00,154186067035,32883130,1709,D,4434.00,4700.00
S*Saipa.Inv.,20210510,4175.00,4543.00,4175.00,4434.00,123458866048,27846379,2355,D,4286.00,4543.00
S*Saipa.Inv.,20210509,4286.00,4330.00,4286.00,4286.00,202642639331,47278104,1542,D,4418.00,4286.00
S*Saipa.Inv.,20210508,4553.00,4640.00,4397.00,4418.00,130780484391,29603288,1797,D,4532.00,4397.00
S*Saipa.Inv.,20210505,4540.00,4600.00,4430.00,4532.00,108485196173,23938754,2197,D,4404.00,4537.00
S*Saipa.Inv.,20210503,4350.00,4480.00,4350.00,4404.00,59947852507,13612948,1635,D,4427.00,4427.00
S*Saipa.Inv.,20210502,4420.00,4520.00,4420.00,4427.00,112274053673,25361456,1589,D,4550.00,4430.00
S*Saipa.Inv.,20210501,4770.00,4800.00,4510.00,4550.00,124452387450,27378940,1875,D,4640.00,4510.00
S*Saipa.Inv.,20210428,4600.00,4750.00,4480.00,4640.00,120151707860,25897345,2262,D,4560.00,4720.00
S*Saipa.Inv.,20210427,4560.00,4690.00,4450.00,4560.00,159883041280,35048834,2787,D,4520.00,4530.00
S*Saipa.Inv.,20210426,4510.00,4600.00,4510.00,4520.00,167465518710,37083184,2158,D,4640.00,4520.00
S*Saipa.Inv.,20210425,4600.00,4600.00,4600.00,4640.00,33336540400,7247074,220,D,4740.00,4600.00
S*Saipa.Inv.,20210424,4740.00,4750.00,4740.00,4740.00,48510478760,10234274,462,D,4880.00,4740.00
S*Saipa.Inv.,20210421,4960.00,5000.00,4880.00,4880.00,88501479760,18124287,1350,D,5030.00,4880.00
S*Saipa.Inv.,20210420,5020.00,5120.00,5020.00,5030.00,266111524860,52915407,3504,D,5120.00,5020.00
S*Saipa.Inv.,20210419,5070.00,5070.00,5070.00,5120.00,23859435210,4706003,134,D,5170.00,5070.00
S*Saipa.Inv.,20210418,5100.00,5100.00,5100.00,5170.00,15759489600,3090096,75,D,5200.00,5100.00
S*Saipa.Inv.,20210417,5140.00,5140.00,5140.00,5200.00,18038213200,3509380,197,D,5240.00,5140.00
S*Saipa.Inv.,20210414,5270.00,5310.00,5240.00,5240.00,81728025260,15586773,1168,D,5340.00,5240.00
S*Saipa.Inv.,20210413,5350.00,5500.00,5310.00,5340.00,289390069470,54148709,3950,D,5410.00,5310.00
S*Saipa.Inv.,20210412,5320.00,5320.00,5320.00,5410.00,4171970600,784205,95,D,5420.00,5320.00
S*Saipa.Inv.,20210411,5330.00,5330.00,5330.00,5420.00,5755477910,1079827,73,D,5430.00,5330.00
S*Saipa.Inv.,20210410,5330.00,5330.00,5330.00,5430.00,1879011550,352535,77,D,5430.00,5330.00
S*Saipa.Inv.,20210407,5430.00,5530.00,5420.00,5430.00,87019807680,16033966,1163,D,5530.00,5420.00
S*Saipa.Inv.,20210406,5630.00,5720.00,5490.00,5530.00,118661551660,21472758,2577,D,5600.00,5500.00
S*Saipa.Inv.,20210405,5590.00,5750.00,5590.00,5600.00,192960078200,34452868,3077,D,5700.00,5620.00
S*Saipa.Inv.,20210404,5700.00,5730.00,5700.00,5700.00,46323922630,8126033,636,D,5810.00,5700.00
S*Saipa.Inv.,20210403,5820.00,5910.00,5800.00,5810.00,104722679070,18021317,1827,D,5910.00,5800.00
S*Saipa.Inv.,20210331,5880.00,6050.00,5880.00,5910.00,155848756460,26382511,2498,D,6000.00,5880.00
S*Saipa.Inv.,20210330,6000.00,6110.00,5970.00,6000.00,101632732430,16950760,1704,D,6090.00,5970.00
S*Saipa.Inv.,20210328,6290.00,6300.00,5990.00,6090.00,93563127380,15365888,1848,D,6110.00,6060.00
S*Saipa.Inv.,20210327,5950.00,6340.00,5890.00,6110.00,132709556580,21730277,3113,D,6010.00,6150.00
S*Saipa.Inv.,20210317,6110.00,6240.00,5990.00,6010.00,139814326920,23268351,2233,D,6110.00,5990.00
S*Saipa.Inv.,20210316,5960.00,6300.00,5960.00,6110.00,276004557890,45193937,4223,D,6080.00,6110.00
S*Saipa.Inv.,20210315,6080.00,6150.00,6080.00,6080.00,235625724570,38740182,3317,D,6200.00,6080.00
S*Saipa.Inv.,20210314,6150.00,6340.00,6150.00,6200.00,530567430110,85622593,5342,D,6270.00,6150.00
S*Saipa.Inv.,20210313,6190.00,6190.00,6190.00,6270.00,15942574030,2575537,103,D,6310.00,6190.00
S*Saipa.Inv.,20210310,6200.00,6200.00,6200.00,6310.00,5659874600,912883,59,D,6320.00,6200.00
S*Saipa.Inv.,20210309,6240.00,6240.00,6240.00,6320.00,17245743840,2763741,164,D,6360.00,6240.00
S*Saipa.Inv.,20210308,6250.00,6250.00,6250.00,6360.00,2628250000,420520,111,D,6370.00,6250.00
S*Saipa.Inv.,20210307,6250.00,6250.00,6250.00,6370.00,738375000,118140,41,D,6370.00,6250.00
S*Saipa.Inv.,20210306,6250.00,6250.00,6250.00,6370.00,1199412500,191906,42,D,6370.00,6250.00
S*Saipa.Inv.,20210303,6250.00,6250.00,6250.00,6370.00,895800000,143328,33,D,6370.00,6250.00
S*Saipa.Inv.,20210302,6250.00,6250.00,6250.00,6370.00,2017462500,322794,76,D,6370.00,6250.00
S*Saipa.Inv.,20210301,6250.00,6250.00,6250.00,6370.00,1101093750,176175,38,D,6370.00,6250.00
S*Saipa.Inv.,20210228,6250.00,6250.00,6250.00,6370.00,868975000,139036,23,D,6370.00,6250.00
S*Saipa.Inv.,20210227,6250.00,6250.00,6250.00,6370.00,1187506250,190001,33,D,6370.00,6250.00
S*Saipa.Inv.,20210224,6260.00,6260.00,6260.00,6370.00,2271822860,362911,77,D,6380.00,6260.00
S*Saipa.Inv.,20210223,6270.00,6270.00,6270.00,6380.00,4239636060,676178,101,D,6390.00,6270.00
S*Saipa.Inv.,20210222,6270.00,6270.00,6270.00,6390.00,215700540,34402,25,D,6390.00,6270.00
S*Saipa.Inv.,20210221,6280.00,6280.00,6280.00,6390.00,4482984280,713851,52,D,6400.00,6280.00
S*Saipa.Inv.,20210220,6290.00,6290.00,6290.00,6400.00,4478907720,712068,96,D,6410.00,6290.00
S*Saipa.Inv.,20210217,6310.00,6310.00,6310.00,6410.00,10457386320,1657272,210,D,6430.00,6310.00
S*Saipa.Inv.,20210216,6450.00,6600.00,6380.00,6430.00,43878773800,6848157,564,D,6510.00,6380.00
S*Saipa.Inv.,20210215,6500.00,6750.00,6260.00,6510.00,519197094370,79745814,6320,D,6380.00,6500.00
S*Saipa.Inv.,20210214,6400.00,6400.00,6210.00,6380.00,664099392230,104078118,4412,D,6040.00,6400.00
S*Saipa.Inv.,20210208,6240.00,6240.00,5700.00,6040.00,329767743040,54633967,4086,D,5950.00,6030.00
S*Saipa.Inv.,20210207,5620.00,5980.00,5620.00,5950.00,183205502360,30777073,1516,D,5700.00,5980.00
S*Saipa.Inv.,20210206,5750.00,6070.00,5660.00,5700.00,136012563390,23867528,2181,D,5950.00,5660.00
S*Saipa.Inv.,20210203,6080.00,6200.00,5700.00,5950.00,309938072740,52058807,5237,D,5910.00,5990.00
S*Saipa.Inv.,20210202,6000.00,6150.00,5710.00,5910.00,426917035430,72263983,5518,D,6010.00,6020.00
S*Saipa.Inv.,20210201,6150.00,6220.00,5980.00,6010.00,449080868270,74722881,4878,D,6290.00,5980.00
S*Saipa.Inv.,20210131,6690.00,6690.00,6070.00,6290.00,575214553270,91451686,6672,D,6380.00,6070.00
S*Saipa.Inv.,20210130,6110.00,6410.00,6100.00,6380.00,130313164360,20434782,1726,D,6110.00,6410.00
S*Saipa.Inv.,20210127,6080.00,6350.00,6080.00,6110.00,469635063140,76911914,6156,D,6390.00,6080.00
S*Saipa.Inv.,20210126,6440.00,6770.00,6330.00,6390.00,206918629390,32403693,2483,D,6660.00,6330.00
S*Saipa.Inv.,20210125,6640.00,6830.00,6640.00,6660.00,649835812710,97569326,6401,D,6980.00,6640.00
S*Saipa.Inv.,20210124,7470.00,7470.00,6770.00,6980.00,551398333910,78983944,7180,D,7120.00,6770.00
S*Saipa.Inv.,20210123,7000.00,7170.00,6860.00,7120.00,277324283830,38959981,3351,D,6830.00,7170.00
S*Saipa.Inv.,20210120,6550.00,7000.00,6550.00,6830.00,441160643270,64589296,6655,D,6770.00,6830.00
S*Saipa.Inv.,20210119,6710.00,7040.00,6710.00,6770.00,803404674860,118635779,7414,D,7060.00,6710.00
S*Saipa.Inv.,20210118,6740.00,6740.00,6740.00,7060.00,3807008120,564838,120,D,7090.00,6740.00
S*Saipa.Inv.,20210116,7100.00,7270.00,7060.00,7090.00,58380640790,8234825,553,D,7430.00,7060.00
S*Saipa.Inv.,20210113,7420.00,7650.00,7420.00,7430.00,292802532470,39406578,2815,D,7810.00,7420.00
S*Saipa.Inv.,20210112,8150.00,8150.00,7790.00,7810.00,176530572680,22608616,1803,D,8200.00,7790.00
S*Saipa.Inv.,20210111,8690.00,8690.00,7980.00,8200.00,425079830940,51836897,6233,D,8400.00,8000.00
