<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Soufian.Cement,20210921,18100.00,18810.00,17470.00,17570.00,44068059200,2508654,693,D,18380.00,17550.00
Soufian.Cement,20210920,17630.00,18950.00,17630.00,18380.00,28378478160,1544229,524,D,18430.00,18500.00
Soufian.Cement,20210919,18870.00,19500.00,18200.00,18430.00,38395542070,2083244,613,D,19140.00,18330.00
Soufian.Cement,20210918,20330.00,20330.00,18880.00,19140.00,35252948850,1841829,653,D,19860.00,18900.00
Soufian.Cement,20210915,20380.00,20380.00,18750.00,19860.00,51526008200,2593995,1076,D,19520.00,20000.00
Soufian.Cement,20210914,18850.00,19560.00,18640.00,19520.00,61951849390,3174318,701,D,18630.00,19560.00
Soufian.Cement,20210913,19000.00,19550.00,18000.00,18630.00,36135448750,1939414,1044,D,18920.00,18870.00
Soufian.Cement,20210912,19070.00,19740.00,18890.00,18920.00,130200707400,6882180,1294,D,19880.00,18890.00
Soufian.Cement,20210911,20500.00,21500.00,19750.00,19880.00,298951365880,15040320,1980,D,20780.00,19750.00
Soufian.Cement,20210908,20350.00,21250.00,20350.00,20780.00,56733130330,2729882,1232,D,21060.00,20710.00
Soufian.Cement,20210907,20990.00,21630.00,20840.00,21060.00,72286900530,3433141,1005,D,21760.00,20960.00
Soufian.Cement,20210906,22170.00,22690.00,21180.00,21760.00,73038796640,3356488,1176,D,22170.00,21310.00
Soufian.Cement,20210905,22500.00,22800.00,21850.00,22170.00,148499398540,6697607,1616,D,23000.00,22490.00
Soufian.Cement,20210904,22880.00,23020.00,22410.00,23000.00,152244486260,6620417,1158,D,21930.00,23020.00
Soufian.Cement,20210901,21080.00,22130.00,20900.00,21930.00,137916063900,6288169,1273,D,21080.00,22130.00
Soufian.Cement,20210831,20970.00,22040.00,20970.00,21080.00,171270717140,8123585,1516,D,22070.00,20970.00
Soufian.Cement,20210830,22060.00,22580.00,22040.00,22070.00,68662165290,3111132,657,D,23200.00,22040.00
Soufian.Cement,20210829,24140.00,24200.00,22500.00,23200.00,92693211540,3996214,1719,D,23670.00,22540.00
Soufian.Cement,20210828,22950.00,23870.00,22950.00,23670.00,96355692690,4069971,1389,D,22740.00,23870.00
Soufian.Cement,20210825,23130.00,23150.00,22200.00,22740.00,76281851260,3354492,1634,D,23020.00,22910.00
Soufian.Cement,20210824,23540.00,23540.00,22600.00,23020.00,108737500990,4723803,2133,D,23010.00,23100.00
Soufian.Cement,20210823,23160.00,23160.00,22230.00,23010.00,152575924620,6629436,1995,D,22060.00,23160.00
Soufian.Cement,20210822,21970.00,22180.00,21190.00,22060.00,109110382070,4946106,1337,D,21130.00,22180.00
Soufian.Cement,20210815,20100.00,21170.00,20100.00,21130.00,98247224210,4649646,759,D,20170.00,21170.00
Soufian.Cement,20210814,21410.00,21790.00,20070.00,20170.00,149774521920,7424070,1791,D,21120.00,20250.00
Soufian.Cement,20210811,21850.00,21850.00,20410.00,21120.00,103614051700,4906549,1961,D,20910.00,21000.00
Soufian.Cement,20210810,20020.00,20960.00,20020.00,20910.00,89370928370,4273370,1274,D,19970.00,20960.00
Soufian.Cement,20210809,19000.00,20500.00,19000.00,19970.00,69190468270,3465275,1208,D,19750.00,20270.00
Soufian.Cement,20210808,19000.00,20010.00,18700.00,19750.00,91314201260,4622433,1303,D,19060.00,19430.00
Soufian.Cement,20210807,19400.00,19800.00,18600.00,19060.00,48354061490,2536347,855,D,19290.00,18980.00
Soufian.Cement,20210804,18910.00,19400.00,18290.00,19290.00,91333971620,4734161,982,D,18480.00,19400.00
Soufian.Cement,20210803,18250.00,18900.00,17900.00,18480.00,67541864450,3654005,951,D,18020.00,18810.00
Soufian.Cement,20210802,17720.00,18410.00,17640.00,18020.00,43758348030,2428345,918,D,18540.00,18250.00
Soufian.Cement,20210801,19190.00,19190.00,18100.00,18540.00,63348537360,3416764,1051,D,18550.00,18170.00
Soufian.Cement,20210731,18540.00,18570.00,18010.00,18550.00,64216551810,3462672,673,D,17690.00,18570.00
Soufian.Cement,20210728,17190.00,17720.00,17000.00,17690.00,106676681410,6028782,1130,D,16880.00,17720.00
Soufian.Cement,20210727,16990.00,17400.00,16690.00,16880.00,87820543250,5203738,1146,D,17560.00,16800.00
Soufian.Cement,20210726,18480.00,18480.00,17420.00,17560.00,102445328590,5832837,1376,D,18330.00,17420.00
Soufian.Cement,20210719,18600.00,18990.00,18140.00,18330.00,162335573650,8854714,2088,D,19090.00,18140.00
