<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Tire,20210921,2702.00,2738.00,2578.00,2606.00,110049895601,42231171,2004,D,2713.00,2600.00
Iran.Tire,20210920,2750.00,2780.00,2680.00,2713.00,60176908136,22181008,1610,D,2710.00,2689.00
Iran.Tire,20210919,2800.00,2840.00,2667.00,2710.00,101261025690,37363020,2209,D,2807.00,2712.00
Iran.Tire,20210918,2920.00,2970.00,2790.00,2807.00,130905762663,46637452,2211,D,2936.00,2790.00
Iran.Tire,20210915,2989.00,2989.00,2900.00,2936.00,71268669768,24271207,2214,D,2999.00,2914.00
Iran.Tire,20210914,3010.00,3035.00,2942.00,2999.00,76886091308,25633909,1975,D,2953.00,3000.00
Iran.Tire,20210913,2985.00,3110.00,2880.00,2953.00,108926686969,36880725,2423,D,3031.00,2925.00
Iran.Tire,20210912,3197.00,3197.00,3005.00,3031.00,162665475864,53674102,2679,D,3163.00,3051.00
Iran.Tire,20210911,3140.00,3238.00,3100.00,3163.00,197245152977,62357424,2736,D,3119.00,3149.00
Iran.Tire,20210908,3095.00,3194.00,3080.00,3119.00,114015196740,36554517,3168,D,3117.00,3099.00
Iran.Tire,20210907,3051.00,3190.00,3051.00,3117.00,110533344050,35462604,2917,D,3164.00,3125.00
Iran.Tire,20210906,3199.00,3240.00,3100.00,3164.00,175684981338,55527661,3961,D,3142.00,3106.00
Iran.Tire,20210905,3109.00,3210.00,3010.00,3142.00,219000740018,69696391,4140,D,3063.00,3186.00
Iran.Tire,20210904,3000.00,3096.00,2960.00,3063.00,307127015816,100265276,5089,D,2949.00,3096.00
Iran.Tire,20210901,2890.00,3000.00,2850.00,2949.00,157008169135,53244471,2789,D,2907.00,2979.00
Iran.Tire,20210831,2880.00,2996.00,2880.00,2907.00,190292787221,65456176,3487,D,3031.00,2880.00
Iran.Tire,20210830,3061.00,3120.00,3010.00,3031.00,113299588156,37386397,1769,D,3168.00,3010.00
