<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Social.Sec.Inv,20210921,12930.00,12990.00,12330.00,12440.00,1433804284410,115275085,24110,D,12970.00,12460.00
Social.Sec.Inv,20210920,13130.00,13170.00,12850.00,12970.00,898140301560,69226423,16348,D,12870.00,12990.00
Social.Sec.Inv,20210919,12920.00,13170.00,12560.00,12870.00,1476477981630,114685691,24512,D,12870.00,13030.00
Social.Sec.Inv,20210918,13000.00,13190.00,12520.00,12870.00,1589816847320,123529535,27056,D,12810.00,12960.00
Social.Sec.Inv,20210915,13060.00,13060.00,12640.00,12810.00,1156481132460,90270557,31618,D,13070.00,12730.00
Social.Sec.Inv,20210914,12880.00,13260.00,12880.00,13070.00,928022576130,70994700,21168,D,12840.00,13030.00
Social.Sec.Inv,20210913,12900.00,13210.00,12500.00,12840.00,987739492700,76932006,20428,D,12990.00,12860.00
Social.Sec.Inv,20210912,13420.00,13450.00,12910.00,12990.00,1743471601970,134219010,28764,D,13580.00,13020.00
Social.Sec.Inv,20210911,13690.00,13960.00,13270.00,13580.00,1527717361110,112458233,25338,D,13460.00,13420.00
Social.Sec.Inv,20210908,13000.00,13590.00,12980.00,13460.00,3089565580250,229587860,53540,D,12950.00,13590.00
Social.Sec.Inv,20210907,12930.00,13090.00,12800.00,12950.00,1384242767320,106856335,31026,D,13110.00,12910.00
Social.Sec.Inv,20210906,13090.00,13400.00,12880.00,13110.00,1843394600700,140559039,36816,D,13190.00,12940.00
Social.Sec.Inv,20210905,13400.00,13470.00,13030.00,13190.00,1785350233830,135317342,30399,D,13480.00,13090.00
Social.Sec.Inv,20210904,13700.00,13800.00,13260.00,13480.00,1655971553710,122826597,29279,D,13440.00,13360.00
Social.Sec.Inv,20210901,13200.00,13690.00,13060.00,13440.00,1527058800440,113640455,25533,D,13410.00,13580.00
Social.Sec.Inv,20210831,13300.00,13830.00,13300.00,13410.00,3005071096150,224096874,35400,D,13990.00,13300.00
Social.Sec.Inv,20210830,13990.00,14490.00,13890.00,13990.00,1589071419610,113625881,21482,D,14620.00,13890.00
Social.Sec.Inv,20210829,14790.00,15170.00,14010.00,14620.00,3556004699380,243207823,47189,D,14610.00,14110.00
Social.Sec.Inv,20210828,14340.00,14800.00,14340.00,14610.00,2285939809010,156505636,34656,D,14320.00,14620.00
Social.Sec.Inv,20210825,14600.00,14650.00,14110.00,14320.00,2573156324060,179644945,39269,D,14540.00,14300.00
Social.Sec.Inv,20210824,14330.00,14790.00,14170.00,14540.00,1962320399620,134960826,30733,D,14360.00,14490.00
Social.Sec.Inv,20210823,14500.00,14630.00,14100.00,14360.00,2092738239270,145717885,33241,D,14520.00,14260.00
Social.Sec.Inv,20210822,14690.00,15000.00,14170.00,14520.00,3773000787790,259854354,55269,D,14750.00,14470.00
Social.Sec.Inv,20210815,14370.00,14960.00,14060.00,14750.00,2385128773140,161653540,29896,D,14350.00,14830.00
Social.Sec.Inv,20210814,14600.00,14650.00,13900.00,14350.00,3533402572830,246200993,42168,D,14340.00,14500.00
Social.Sec.Inv,20210811,13920.00,14360.00,13810.00,14340.00,6428212635810,448320900,48293,D,13680.00,14360.00
Social.Sec.Inv,20210810,13700.00,13950.00,13490.00,13680.00,1830558494970,133843150,23704,D,13630.00,13740.00
Social.Sec.Inv,20210809,13310.00,13850.00,13310.00,13630.00,1405548261460,103101136,21138,D,13440.00,13570.00
Social.Sec.Inv,20210808,13230.00,13650.00,13230.00,13440.00,1164309744080,86618659,19280,D,13390.00,13370.00
Social.Sec.Inv,20210807,13700.00,13840.00,13110.00,13390.00,1651700973500,123349176,26868,D,13500.00,13230.00
Social.Sec.Inv,20210804,13010.00,13600.00,13010.00,13500.00,3444194594010,255047784,40637,D,12960.00,13600.00
Social.Sec.Inv,20210803,12620.00,13150.00,12600.00,12960.00,1471048970660,113549700,23308,D,12580.00,12970.00
Social.Sec.Inv,20210802,12500.00,12740.00,12460.00,12580.00,826094101260,65650441,15035,D,12610.00,12620.00
Social.Sec.Inv,20210801,12850.00,12880.00,12430.00,12610.00,878620898340,69665255,19126,D,12700.00,12480.00
Social.Sec.Inv,20210731,12290.00,12920.00,12280.00,12700.00,1498932629040,118014896,21957,D,12330.00,12700.00
Social.Sec.Inv,20210728,12290.00,12660.00,12150.00,12330.00,1129092793590,91557225,20358,D,12470.00,12280.00
Social.Sec.Inv,20210727,12960.00,12960.00,12320.00,12470.00,1503472244520,120555980,25932,D,12960.00,12340.00
Social.Sec.Inv,20210726,13050.00,13260.00,12820.00,12960.00,1284479355010,99109915,24919,D,13030.00,12870.00
Social.Sec.Inv,20210719,13270.00,13340.00,12860.00,13030.00,1760268927680,135069626,28786,D,12900.00,12960.00
Social.Sec.Inv,20210718,12360.00,13210.00,12350.00,12900.00,3213119799410,249173089,41437,D,12590.00,13210.00
Social.Sec.Inv,20210717,12870.00,12940.00,12380.00,12590.00,1516366190390,120451891,29048,D,12640.00,12420.00
Social.Sec.Inv,20210714,12420.00,12840.00,12360.00,12640.00,1525697943690,120698641,26974,D,12670.00,12750.00
Social.Sec.Inv,20210713,12810.00,13080.00,12380.00,12670.00,1573347373880,124169265,29731,D,12980.00,12480.00
Social.Sec.Inv,20210712,13170.00,13280.00,12700.00,12980.00,1691485392060,130348005,32288,D,12940.00,12790.00
Social.Sec.Inv,20210711,12650.00,13230.00,12560.00,12940.00,2781019850870,214903992,44046,D,13170.00,13040.00
Social.Sec.Inv,20210710,13520.00,13530.00,13030.00,13170.00,931524562520,70741183,19833,D,13620.00,13090.00
Social.Sec.Inv,20210707,13790.00,13930.00,13370.00,13620.00,1171861207910,86065983,23479,D,13750.00,13540.00
Social.Sec.Inv,20210706,13770.00,13770.00,13600.00,13750.00,3876678862180,281920695,43157,D,13120.00,13760.00
Social.Sec.Inv,20210705,13140.00,13360.00,12910.00,13120.00,1333264340390,101612845,23581,D,13290.00,13140.00
Social.Sec.Inv,20210704,13000.00,13680.00,12920.00,13290.00,1167100060810,87815281,20222,D,13510.00,13200.00
Social.Sec.Inv,20210703,14150.00,14150.00,13150.00,13510.00,1874664260720,138799609,28185,D,13840.00,13150.00
Social.Sec.Inv,20210630,13390.00,14180.00,13130.00,13840.00,2437035989190,176032943,35228,D,13510.00,13910.00
Social.Sec.Inv,20210629,13640.00,13850.00,13240.00,13510.00,1920826776910,142174972,35698,D,13730.00,13390.00
Social.Sec.Inv,20210628,13780.00,13780.00,13500.00,13730.00,6551184962310,477105679,81398,D,13130.00,13590.00
Social.Sec.Inv,20210627,13130.00,13130.00,13130.00,13130.00,563284182110,42900547,3015,D,12510.00,13130.00
Social.Sec.Inv,20210626,12520.00,12520.00,12200.00,12510.00,2812943425380,224809251,21872,D,11930.00,12520.00
Social.Sec.Inv,20210623,11650.00,12160.00,11310.00,11930.00,1773852117210,148665701,18897,D,11590.00,12160.00
Social.Sec.Inv,20210622,11570.00,11890.00,11330.00,11590.00,1037734486360,89538197,17440,D,11450.00,11600.00
Social.Sec.Inv,20210621,11130.00,11660.00,11000.00,11450.00,2200497497580,192152618,26928,D,11110.00,11500.00
Social.Sec.Inv,20210620,11110.00,11110.00,11000.00,11110.00,2284926570920,205695635,14439,D,10590.00,11110.00
Social.Sec.Inv,20210619,10300.00,10680.00,10200.00,10590.00,638525366800,60322130,8635,D,10180.00,10680.00
Social.Sec.Inv,20210616,10070.00,10390.00,10010.00,10180.00,289922690530,28490797,7193,D,10330.00,10200.00
Social.Sec.Inv,20210615,10490.00,10600.00,10110.00,10330.00,352131617640,34089250,8798,D,10300.00,10120.00
Social.Sec.Inv,20210614,10110.00,10430.00,10060.00,10300.00,552916384070,53692807,10855,D,9940.00,10430.00
Social.Sec.Inv,20210613,9820.00,10090.00,9790.00,9940.00,266471100730,26800926,7265,D,9960.00,10070.00
Social.Sec.Inv,20210612,10020.00,10220.00,9800.00,9960.00,253002938140,25409067,8218,D,10090.00,9880.00
Social.Sec.Inv,20210609,10110.00,10250.00,10000.00,10090.00,244353718230,24227401,7558,D,10380.00,10080.00
Social.Sec.Inv,20210608,10390.00,10720.00,10110.00,10380.00,505651406930,48732426,10862,D,10300.00,10150.00
Social.Sec.Inv,20210607,10380.00,10470.00,10130.00,10300.00,396409555390,38483367,9970,D,10230.00,10280.00
Social.Sec.Inv,20210602,10010.00,10390.00,9920.00,10230.00,526349774110,51464552,9069,D,10140.00,10270.00
Social.Sec.Inv,20210601,10060.00,10410.00,9970.00,10140.00,288736835130,28473539,6616,D,10330.00,10050.00
Social.Sec.Inv,20210531,10350.00,10650.00,10100.00,10330.00,436580409040,42250430,8304,D,10550.00,10160.00
Social.Sec.Inv,20210530,10630.00,10670.00,10200.00,10550.00,838135101090,79426221,14346,D,10170.00,10290.00
Social.Sec.Inv,20210529,9670.00,10200.00,9670.00,10170.00,598565615420,58872678,8408,D,9720.00,10200.00
Social.Sec.Inv,20210526,9650.00,9890.00,9600.00,9720.00,211690976240,21775912,11267,D,9730.00,9700.00
Social.Sec.Inv,20210525,9520.00,9870.00,9520.00,9730.00,256473701350,26366242,9485,D,9510.00,9720.00
Social.Sec.Inv,20210524,9210.00,9780.00,9210.00,9510.00,317789935310,33399412,9759,D,9500.00,9620.00
Social.Sec.Inv,20210523,9510.00,9770.00,9380.00,9500.00,357760949570,37668810,8929,D,9840.00,9410.00
Social.Sec.Inv,20210522,10200.00,10250.00,9790.00,9840.00,516152816670,52468249,12320,D,10300.00,9800.00
Social.Sec.Inv,20210519,10600.00,10620.00,10160.00,10300.00,341635585540,33177607,8848,D,10560.00,10350.00
