<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Toosgostar.Inv.,20210921,18300.00,18300.00,16660.00,16970.00,122263616910,7204550,1841,D,17530.00,16690.00
Toosgostar.Inv.,20210920,16410.00,18130.00,16410.00,17530.00,184296813100,10511072,2719,D,17270.00,18130.00
Toosgostar.Inv.,20210919,16470.00,16470.00,16470.00,17270.00,999218430,60669,44,D,17330.00,16470.00
Toosgostar.Inv.,20210918,16670.00,16670.00,16670.00,17330.00,3393378540,203562,91,D,17540.00,16670.00
Toosgostar.Inv.,20210915,17590.00,17980.00,17410.00,17540.00,18334380740,1045162,409,D,18320.00,17410.00
Toosgostar.Inv.,20210914,19700.00,19700.00,17890.00,18320.00,195126590290,10652242,4077,D,18830.00,17890.00
Toosgostar.Inv.,20210913,19040.00,19050.00,17900.00,18830.00,187501784490,9957829,3089,D,18150.00,19050.00
Toosgostar.Inv.,20210912,16820.00,18570.00,16820.00,18150.00,247015897660,13608547,4724,D,17690.00,18570.00
Toosgostar.Inv.,20210911,17290.00,18560.00,16800.00,17690.00,231068220210,13060164,3416,D,17680.00,17280.00
Toosgostar.Inv.,20210906,17770.00,17770.00,17770.00,17680.00,15034521740,846062,211,D,16930.00,17770.00
Toosgostar.Inv.,20210905,17510.00,17510.00,17510.00,16930.00,4947975800,282580,165,D,16680.00,17510.00
Toosgostar.Inv.,20210904,16680.00,16680.00,16680.00,16680.00,16723668240,1002618,234,D,15890.00,16680.00
Toosgostar.Inv.,20210901,15940.00,15940.00,15940.00,15890.00,16922876340,1061661,206,D,15190.00,15940.00
Toosgostar.Inv.,20210831,15190.00,15190.00,14800.00,15190.00,29562992340,1946374,439,D,14470.00,15190.00
Toosgostar.Inv.,20210830,14060.00,14770.00,13550.00,14470.00,166701694420,11518488,3003,D,14070.00,14740.00
Toosgostar.Inv.,20210829,14440.00,14440.00,13120.00,14070.00,152205815710,10818551,2952,D,13760.00,13900.00
Toosgostar.Inv.,20210828,13820.00,13820.00,13820.00,13760.00,14207139660,1028013,156,D,13170.00,13820.00
