<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Good.Exch.Prd.,20210119,42400.00,42400.00,42400.00,42400.00,1526400,36,1,D,42400.00,42400.00
Good.Exch.Prd.,20200519,87998.00,87999.00,87998.00,87998.00,150582012802,1711198,20,D,88008.00,87999.00
Good.Exch.Prd.,20200219,43325.00,43325.00,43325.00,45600.00,22312375,515,2,D,45605.00,43325.00
Good.Exch.Prd.,20200113,20000.00,20121.00,20000.00,20121.00,81056819358,4028474,51,D,19163.00,20121.00
Good.Exch.Prd.,20191006,12488.00,12488.00,12488.00,12759.00,5339856312,427599,24,D,13145.00,12488.00
Good.Exch.Prd.,20190907,12411.00,12411.00,12411.00,12411.00,471618,38,1,D,12411.00,12411.00
Good.Exch.Prd.,20190709,10592.00,10593.00,10592.00,10593.00,9059023007,855199,9,D,10450.00,10593.00
Good.Exch.Prd.,20190703,10440.00,10440.00,10440.00,10440.00,8928277560,855199,25,D,10446.00,10440.00
Good.Exch.Prd.,20190622,15100.00,15100.00,15100.00,15274.00,755000000,50000,1,D,15294.00,15100.00
Good.Exch.Prd.,20190619,15165.00,15165.00,15165.00,15165.00,9099000000,600000,6,D,15963.00,15165.00
Good.Exch.Prd.,20190611,16483.00,16483.00,16483.00,16804.00,5151909997,312559,4,D,17350.00,16483.00
Good.Exch.Prd.,20190608,15495.00,15495.00,15495.00,15495.00,8959209000,578200,7,D,16310.00,15495.00
Good.Exch.Prd.,20190601,16405.00,16405.00,16405.00,16405.00,9088370000,554000,6,D,17268.00,16405.00
Good.Exch.Prd.,20190528,16437.00,16437.00,16437.00,16437.00,11863404750,721750,8,D,16437.00,16437.00
Good.Exch.Prd.,20190525,16437.00,16437.00,16437.00,16437.00,9944385000,605000,7,D,17302.00,16437.00
Good.Exch.Prd.,20190521,16324.00,16324.00,16324.00,16324.00,8960733320,548930,6,D,17183.00,16324.00
Good.Exch.Prd.,20190520,15656.00,15656.00,15656.00,15656.00,14928935360,953560,10,D,16479.00,15656.00
Good.Exch.Prd.,20190518,14212.00,14212.00,14212.00,14212.00,9405501600,661800,7,D,14959.00,14212.00
Good.Exch.Prd.,20190512,12832.00,12832.00,12832.00,12832.00,8032832000,626000,13,D,13507.00,12832.00
Good.Exch.Prd.,20190506,14073.00,14073.00,14073.00,14073.00,8457873000,601000,7,D,14813.00,14073.00
Good.Exch.Prd.,20190430,14134.00,14134.00,14134.00,14877.00,1215524,86,1,D,14877.00,14134.00
Good.Exch.Prd.,20190318,7787.00,7787.00,7787.00,7787.00,19875523226,2552398,28,D,8196.00,7787.00
Good.Exch.Prd.,20190313,7749.00,7749.00,7749.00,7749.00,13948200000,1800000,18,D,8156.00,7749.00
