<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Takceram,20210921,28030.00,28030.00,26010.00,27610.00,175871024660,6369567,2457,D,26700.00,28020.00
Takceram,20210920,24890.00,26840.00,24890.00,26700.00,106574857560,3990852,895,D,25570.00,26840.00
Takceram,20210919,25420.00,26390.00,25420.00,25570.00,117244188720,4586058,1268,D,26750.00,25420.00
Takceram,20210918,26750.00,27800.00,26520.00,26750.00,34676111660,1296450,564,D,27910.00,26520.00
Takceram,20210915,29240.00,29240.00,27870.00,27910.00,78634870350,2817626,1055,D,29330.00,27870.00
Takceram,20210914,28380.00,30650.00,28380.00,29330.00,149218196000,5087322,2438,D,29820.00,28610.00
Takceram,20210913,29810.00,30870.00,29810.00,29820.00,49693120230,1666614,546,D,31370.00,29810.00
Takceram,20210912,31380.00,32640.00,31260.00,31370.00,21017801250,669908,369,D,32900.00,31260.00
Takceram,20210911,34400.00,34400.00,32020.00,32900.00,53126420970,1614987,1072,D,33390.00,32220.00
Takceram,20210908,32510.00,34150.00,32510.00,33390.00,75092648140,2248989,1526,D,32950.00,33510.00
Takceram,20210907,33200.00,33840.00,32510.00,32950.00,85975713610,2609179,1572,D,34220.00,33140.00
Takceram,20210906,35300.00,35800.00,32830.00,34220.00,146276628940,4274627,2718,D,34550.00,32870.00
Takceram,20210905,34670.00,34670.00,33690.00,34550.00,358830932980,10386234,3526,D,33020.00,34670.00
Takceram,20210904,32780.00,33050.00,32000.00,33020.00,105707789580,3201738,567,D,31480.00,33050.00
Takceram,20210901,31400.00,32100.00,30070.00,31480.00,113940936980,3619822,1693,D,31190.00,31500.00
Takceram,20210831,30850.00,32450.00,30850.00,31190.00,121353952500,3891085,1430,D,32470.00,30850.00
Takceram,20210830,31980.00,33420.00,31980.00,32470.00,129017789480,3973639,1530,D,33660.00,31980.00
Takceram,20210829,34950.00,35000.00,32010.00,33660.00,168484978810,5005314,2634,D,33690.00,32250.00
Takceram,20210828,33900.00,34140.00,32850.00,33690.00,354819614760,10533187,4053,D,32520.00,34140.00
Takceram,20210825,32990.00,33960.00,31000.00,32520.00,175094530910,5384311,3075,D,32400.00,32210.00
Takceram,20210824,32410.00,32410.00,31500.00,32400.00,505225154380,15593541,3802,D,30870.00,32410.00
Takceram,20210823,29800.00,31290.00,29800.00,30870.00,225260638550,7297104,1541,D,41420.00,31290.00
Takceram,20210809,39670.00,39670.00,39670.00,41630.00,803238160,20248,30,D,41750.00,39670.00
Takceram,20210808,39700.00,39700.00,39700.00,41750.00,219699800,5534,14,D,41780.00,39700.00
Takceram,20210807,38880.00,38880.00,38880.00,41780.00,4433952960,114042,113,D,43200.00,38880.00
Takceram,20210804,41080.00,41080.00,41080.00,43200.00,247219440,6018,7,D,43240.00,41080.00
Takceram,20210803,41450.00,41450.00,41450.00,43240.00,2530356700,61046,19,D,43630.00,41450.00
Takceram,20210802,41500.00,41500.00,41500.00,43630.00,302950000,7300,10,D,43680.00,41500.00
Takceram,20210801,41510.00,41510.00,41510.00,43680.00,85884190,2069,5,D,43690.00,41510.00
Takceram,20210731,41530.00,41530.00,41530.00,43690.00,104531010,2517,4,D,43710.00,41530.00
Takceram,20210728,41650.00,41650.00,41650.00,43710.00,857365250,20585,8,D,43840.00,41650.00
Takceram,20210727,41660.00,41660.00,41660.00,43840.00,35910920,862,6,D,43850.00,41660.00
Takceram,20210726,41800.00,41800.00,41800.00,43850.00,953165400,22803,8,D,44000.00,41800.00
Takceram,20210718,41860.00,41860.00,41860.00,44000.00,404618760,9666,12,D,44060.00,41860.00
