<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Daroupakhash.I.,20210921,48000.00,48000.00,45620.00,46120.00,27543401080,597162,451,D,47990.00,46600.00
Daroupakhash.I.,20210920,46100.00,48930.00,46100.00,47990.00,18229433840,379845,360,D,47850.00,47620.00
Daroupakhash.I.,20210919,48620.00,49950.00,47580.00,47850.00,55409430290,1158033,599,D,50080.00,47800.00
Daroupakhash.I.,20210918,48720.00,50990.00,48720.00,50080.00,39277907010,784360,672,D,49890.00,49950.00
Daroupakhash.I.,20210915,48500.00,50690.00,48500.00,49890.00,31208092050,625593,698,D,48910.00,49350.00
Daroupakhash.I.,20210914,46120.00,49050.00,46120.00,48910.00,74593130030,1525032,597,D,46720.00,49050.00
Daroupakhash.I.,20210913,47010.00,48000.00,45900.00,46720.00,30001151210,642084,444,D,47180.00,47280.00
Daroupakhash.I.,20210912,48370.00,49500.00,46710.00,47180.00,24727073770,524052,483,D,49070.00,47070.00
Daroupakhash.I.,20210911,49350.00,50230.00,48540.00,49070.00,31390999010,639707,443,D,49410.00,48700.00
Daroupakhash.I.,20210908,48110.00,50480.00,48110.00,49410.00,32466811680,657097,570,D,49080.00,49340.00
Daroupakhash.I.,20210907,48640.00,50900.00,48530.00,49080.00,50385638490,1026651,717,D,51080.00,48900.00
Daroupakhash.I.,20210906,49300.00,51480.00,49290.00,51080.00,129345541760,2532405,1330,D,49030.00,50400.00
Daroupakhash.I.,20210905,48000.00,49950.00,47200.00,49030.00,56111595790,1144342,734,D,48070.00,49600.00
Daroupakhash.I.,20210904,48240.00,48720.00,47500.00,48070.00,79036413170,1644143,969,D,47220.00,47860.00
Daroupakhash.I.,20210901,46710.00,48530.00,45900.00,47220.00,97713524740,2069437,1297,D,48050.00,47420.00
Daroupakhash.I.,20210831,47950.00,48990.00,47950.00,48050.00,215674000680,4488584,1428,D,50470.00,47950.00
Daroupakhash.I.,20210830,50470.00,50470.00,50470.00,50470.00,21749491330,430939,98,D,53120.00,50470.00
Daroupakhash.I.,20210829,54480.00,54500.00,51080.00,53120.00,94786074440,1784521,894,D,53740.00,51600.00
Daroupakhash.I.,20210828,52540.00,54490.00,52030.00,53740.00,67279454750,1251835,640,D,51920.00,54140.00
Daroupakhash.I.,20210825,53430.00,53430.00,50750.00,51920.00,45579813960,877925,694,D,52340.00,52490.00
Daroupakhash.I.,20210824,50960.00,52460.00,49990.00,52340.00,103937385370,1986000,780,D,49970.00,52110.00
Daroupakhash.I.,20210823,50100.00,50980.00,48770.00,49970.00,22394712030,448198,503,D,49980.00,50450.00
Daroupakhash.I.,20210822,49620.00,50990.00,48810.00,49980.00,35672711150,713691,672,D,48720.00,50160.00
Daroupakhash.I.,20210815,47320.00,49990.00,47320.00,48720.00,32064482900,658197,552,D,48430.00,49220.00
Daroupakhash.I.,20210814,50650.00,50650.00,47800.00,48430.00,44329175970,915231,699,D,49790.00,48730.00
Daroupakhash.I.,20210811,50630.00,51340.00,47200.00,49790.00,109063900290,2190446,958,D,49680.00,49690.00
Daroupakhash.I.,20210810,49700.00,50500.00,48720.00,49680.00,38218564040,769225,632,D,48970.00,50290.00
Daroupakhash.I.,20210809,47000.00,49550.00,47000.00,48970.00,39967937740,816234,598,D,47490.00,48720.00
Daroupakhash.I.,20210808,47650.00,48330.00,46920.00,47490.00,42476560600,894433,605,D,47920.00,47500.00
Daroupakhash.I.,20210807,48500.00,48500.00,47230.00,47920.00,77411948020,1615336,647,D,46890.00,47230.00
Daroupakhash.I.,20210804,47020.00,47400.00,46410.00,46890.00,35280880320,752402,412,D,46350.00,46960.00
Daroupakhash.I.,20210803,45300.00,46900.00,45250.00,46350.00,17118845680,369328,338,D,45690.00,46590.00
Daroupakhash.I.,20210802,46170.00,46400.00,45220.00,45690.00,30701595900,671995,376,D,46500.00,45490.00
Daroupakhash.I.,20210801,47000.00,47700.00,46010.00,46500.00,16116338960,346579,468,D,47220.00,46170.00
Daroupakhash.I.,20210731,48300.00,48300.00,46870.00,47220.00,46171686740,977877,703,D,47470.00,47050.00
Daroupakhash.I.,20210728,45900.00,48250.00,45900.00,47470.00,30666702030,646079,517,D,47390.00,47300.00
Daroupakhash.I.,20210727,47900.00,48370.00,46520.00,47390.00,93803652510,1979332,1006,D,46140.00,46910.00
Daroupakhash.I.,20210726,46000.00,46160.00,45600.00,46140.00,99853024910,2163967,555,D,43970.00,46160.00
Daroupakhash.I.,20210719,45000.00,45000.00,42130.00,43970.00,33556827550,763238,451,D,44300.00,44430.00
Daroupakhash.I.,20210718,46000.00,46000.00,43530.00,44300.00,49819253240,1124539,632,D,45820.00,43850.00
Daroupakhash.I.,20210717,47000.00,47000.00,45040.00,45820.00,19769925570,431508,369,D,46070.00,45330.00
Daroupakhash.I.,20210714,45590.00,46900.00,44570.00,46070.00,53090630370,1152495,464,D,46060.00,46060.00
Daroupakhash.I.,20210713,45000.00,46680.00,44550.00,46060.00,41240276500,895357,640,D,45450.00,45510.00
Daroupakhash.I.,20210712,44970.00,46490.00,43240.00,45450.00,47447718420,1043840,531,D,45110.00,44800.00
Daroupakhash.I.,20210711,46800.00,46800.00,44520.00,45110.00,45916550940,1017881,648,D,45100.00,44600.00
Daroupakhash.I.,20210710,44300.00,45230.00,43500.00,45100.00,93452795740,2072209,750,D,43080.00,45230.00
Daroupakhash.I.,20210707,43300.00,43640.00,41310.00,43080.00,37912038780,880039,519,D,42650.00,43640.00
Daroupakhash.I.,20210706,42990.00,43180.00,41170.00,42650.00,25093670260,588347,296,D,41950.00,42580.00
Daroupakhash.I.,20210705,41150.00,42880.00,41150.00,41950.00,18083021800,431112,268,D,41000.00,42400.00
Daroupakhash.I.,20210704,41990.00,42400.00,40860.00,41000.00,70186306700,1711957,605,D,43010.00,41260.00
Daroupakhash.I.,20210703,43490.00,44000.00,41800.00,43010.00,29592511620,687989,446,D,42590.00,42000.00
Daroupakhash.I.,20210630,42600.00,43340.00,41600.00,42590.00,40577328180,952808,475,D,41420.00,43000.00
Daroupakhash.I.,20210629,41080.00,42790.00,40910.00,41420.00,46728569100,1128114,403,D,40780.00,41790.00
Daroupakhash.I.,20210628,40000.00,41490.00,40000.00,40780.00,23376557110,573166,287,D,40540.00,41340.00
Daroupakhash.I.,20210627,40500.00,41760.00,39500.00,40540.00,18641429400,459874,348,D,40250.00,40500.00
Daroupakhash.I.,20210626,40920.00,41700.00,39510.00,40250.00,30889613670,767514,483,D,40120.00,39770.00
Daroupakhash.I.,20210623,40780.00,40910.00,38010.00,40120.00,40745935470,1015587,486,D,38980.00,40300.00
Daroupakhash.I.,20210622,38400.00,39870.00,38000.00,38980.00,27964817270,717350,488,D,38020.00,39830.00
Daroupakhash.I.,20210621,37020.00,38800.00,36800.00,38020.00,30587457640,804538,429,D,38170.00,38280.00
Daroupakhash.I.,20210620,38500.00,38790.00,37400.00,38170.00,15071781630,394895,327,D,36860.00,38270.00
Daroupakhash.I.,20210614,41370.00,42280.00,39080.00,41510.00,75222836090,1811958,1051,D,40420.00,41960.00
Daroupakhash.I.,20210613,39990.00,41500.00,39000.00,40420.00,54364374610,1345048,698,D,38440.00,40880.00
Daroupakhash.I.,20210609,38600.00,38890.00,37740.00,38440.00,17818050060,463586,308,D,38650.00,38850.00
Daroupakhash.I.,20210608,39500.00,39500.00,37910.00,38650.00,53359826040,1380632,565,D,39170.00,38250.00
Daroupakhash.I.,20210607,40000.00,40000.00,38410.00,39170.00,31364379330,800759,689,D,38730.00,39440.00
Daroupakhash.I.,20210602,37020.00,39060.00,37020.00,38730.00,51462256450,1328609,746,D,37200.00,39000.00
Daroupakhash.I.,20210601,37400.00,39980.00,36760.00,37200.00,74065751490,1990882,673,D,38590.00,37490.00
Daroupakhash.I.,20210531,38550.00,39860.00,38500.00,38590.00,25254046960,654488,314,D,40520.00,38500.00
Daroupakhash.I.,20210530,41040.00,41340.00,38810.00,40520.00,82790783910,2043364,897,D,39380.00,38870.00
Daroupakhash.I.,20210529,39130.00,40690.00,39130.00,39380.00,197990266810,5028060,1476,D,41180.00,40290.00
Daroupakhash.I.,20210526,39390.00,39390.00,39390.00,41180.00,1904309550,48345,24,D,41460.00,39390.00
Daroupakhash.I.,20210525,39430.00,39430.00,39430.00,41460.00,275418550,6985,8,D,41500.00,39430.00
Daroupakhash.I.,20210524,39510.00,39510.00,39510.00,41500.00,519082380,13138,12,D,41580.00,39510.00
Daroupakhash.I.,20210523,39540.00,39540.00,39540.00,41580.00,253649100,6415,10,D,41620.00,39540.00
Daroupakhash.I.,20210522,39600.00,39600.00,39600.00,41620.00,401623200,10142,9,D,41680.00,39600.00
Daroupakhash.I.,20210519,39640.00,39640.00,39640.00,41680.00,273912400,6910,14,D,41720.00,39640.00
Daroupakhash.I.,20210518,41680.00,44800.00,41680.00,41720.00,26528736570,635866,255,D,43870.00,41680.00
Daroupakhash.I.,20210517,41710.00,41710.00,41710.00,43870.00,220771030,5293,12,D,43900.00,41710.00
Daroupakhash.I.,20210516,41740.00,41740.00,41740.00,43900.00,167460880,4012,10,D,43930.00,41740.00
Daroupakhash.I.,20210515,42070.00,42070.00,42070.00,43930.00,2233285950,53085,19,D,44280.00,42070.00
Daroupakhash.I.,20210512,42960.00,42960.00,42960.00,44280.00,124626960,2901,8,D,44280.00,42960.00
Daroupakhash.I.,20210511,42990.00,42990.00,42990.00,44280.00,975486090,22691,16,D,44310.00,42990.00
Daroupakhash.I.,20210510,42990.00,42990.00,42990.00,44310.00,154721010,3599,4,D,44310.00,42990.00
Daroupakhash.I.,20210508,42990.00,42990.00,42990.00,44310.00,5717670,133,4,D,44310.00,42990.00
Daroupakhash.I.,20210505,42990.00,42990.00,42990.00,44310.00,96813480,2252,8,D,44310.00,42990.00
Daroupakhash.I.,20210503,42990.00,42990.00,42990.00,44310.00,145048260,3374,10,D,44310.00,42990.00
Daroupakhash.I.,20210502,42990.00,42990.00,42990.00,44310.00,172905780,4022,5,D,44310.00,42990.00
Daroupakhash.I.,20210501,43080.00,43080.00,43080.00,44310.00,3751751040,87088,15,D,44410.00,43080.00
Daroupakhash.I.,20210428,43650.00,44420.00,43650.00,44410.00,20848199730,477610,135,D,45000.00,43650.00
Daroupakhash.I.,20210427,44120.00,44120.00,44120.00,45000.00,16966169520,384546,53,D,45480.00,44120.00
Daroupakhash.I.,20210426,44420.00,44420.00,44420.00,45480.00,11123656400,250420,8,D,45790.00,44420.00
Daroupakhash.I.,20210425,44420.00,44420.00,44420.00,45790.00,44420000,1000,2,D,45790.00,44420.00
Daroupakhash.I.,20210424,44420.00,44420.00,44420.00,45790.00,82221420,1851,4,D,45790.00,44420.00
Daroupakhash.I.,20210421,44430.00,44430.00,44430.00,45790.00,440523450,9915,9,D,45800.00,44430.00
Daroupakhash.I.,20210420,44890.00,44890.00,44890.00,45800.00,78512610,1749,6,D,45800.00,44890.00
Daroupakhash.I.,20210419,44890.00,44890.00,44890.00,45800.00,15262600,340,2,D,45800.00,44890.00
Daroupakhash.I.,20210418,44890.00,44890.00,44890.00,45800.00,87715060,1954,4,D,45800.00,44890.00
Daroupakhash.I.,20210417,44890.00,44890.00,44890.00,45800.00,47807850,1065,5,D,45800.00,44890.00
Daroupakhash.I.,20210414,44960.00,47970.00,44960.00,45800.00,4141402940,91848,88,D,45870.00,44960.00
Daroupakhash.I.,20210413,45620.00,45720.00,45620.00,45870.00,35482405920,777781,178,D,46550.00,45620.00
Daroupakhash.I.,20210412,45620.00,45620.00,45620.00,46550.00,155108000,3400,8,D,46550.00,45620.00
Daroupakhash.I.,20210411,45670.00,45670.00,45670.00,46550.00,2380777100,52130,5,D,46600.00,45670.00
Daroupakhash.I.,20210410,45820.00,45820.00,45820.00,46600.00,7916687960,172778,7,D,46750.00,45820.00
Daroupakhash.I.,20210407,45820.00,45820.00,45820.00,46750.00,93747720,2046,9,D,46750.00,45820.00
Daroupakhash.I.,20210406,45820.00,45820.00,45820.00,46750.00,158812120,3466,12,D,46750.00,45820.00
Daroupakhash.I.,20210405,45820.00,45820.00,45820.00,46750.00,108776680,2374,9,D,46750.00,45820.00
Daroupakhash.I.,20210404,45820.00,45820.00,45820.00,46750.00,140667400,3070,7,D,46750.00,45820.00
Daroupakhash.I.,20210403,45910.00,46160.00,45910.00,46750.00,4951777460,107857,82,D,46840.00,45910.00
Daroupakhash.I.,20210331,46170.00,47390.00,46170.00,46840.00,14277130280,309008,194,D,47110.00,46170.00
Daroupakhash.I.,20210330,46610.00,47940.00,46520.00,47110.00,19178586970,411805,221,D,47460.00,46520.00
Daroupakhash.I.,20210328,47400.00,47990.00,46710.00,47460.00,12536287000,267368,323,D,47660.00,46730.00
Daroupakhash.I.,20210327,48100.00,48670.00,47180.00,47660.00,13250283170,276186,367,D,47550.00,47550.00
Daroupakhash.I.,20210317,46300.00,48670.00,46290.00,47550.00,43235385800,900323,694,D,45920.00,48650.00
Daroupakhash.I.,20210316,44480.00,46200.00,43690.00,45920.00,52985537420,1153539,580,D,43590.00,46200.00
Daroupakhash.I.,20210315,43020.00,43970.00,42770.00,43590.00,9814502830,225844,405,D,43620.00,43800.00
Daroupakhash.I.,20210314,44720.00,44720.00,43010.00,43620.00,15012454580,344292,483,D,43630.00,43200.00
Daroupakhash.I.,20210313,43450.00,44600.00,43210.00,43630.00,25114867790,567862,634,D,43060.00,44300.00
Daroupakhash.I.,20210310,42430.00,43500.00,42430.00,43060.00,18079467280,423857,403,D,43290.00,43400.00
Daroupakhash.I.,20210309,41500.00,44730.00,41500.00,43290.00,74293319040,1716241,1216,D,42280.00,41600.00
Daroupakhash.I.,20210308,42060.00,42060.00,42060.00,42280.00,35703135720,848862,135,D,42910.00,42060.00
Daroupakhash.I.,20210307,42090.00,42090.00,42090.00,42910.00,1963961490,46661,57,D,42940.00,42090.00
