<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Novin.Investment,20210921,6690.00,6830.00,6510.00,6670.00,31127886790,4682835,610,D,6760.00,6760.00
S*Novin.Investment,20210920,6750.00,6930.00,6650.00,6760.00,28924363720,4272435,487,D,6750.00,6690.00
S*Novin.Investment,20210919,7000.00,7100.00,6730.00,6750.00,135118004910,20005556,913,D,7080.00,6830.00
S*Novin.Investment,20210918,7120.00,7120.00,6700.00,7080.00,227011712250,32074806,2007,D,6790.00,7100.00
S*Novin.Investment,20210915,6900.00,6980.00,6670.00,6790.00,47695696870,7020705,818,D,7020.00,6960.00
S*Novin.Investment,20210914,7000.00,7200.00,6920.00,7020.00,20207005470,2871759,599,D,7010.00,6960.00
S*Novin.Investment,20210913,6950.00,7100.00,6840.00,7010.00,30626495000,4395269,463,D,7120.00,7030.00
S*Novin.Investment,20210912,7040.00,7420.00,6980.00,7120.00,59270239700,8329729,635,D,7340.00,6980.00
S*Novin.Investment,20210911,7460.00,7540.00,7010.00,7340.00,54230998360,7385719,674,D,7320.00,7130.00
S*Novin.Investment,20210908,7170.00,7490.00,7150.00,7320.00,63534159700,8675572,911,D,7430.00,7330.00
S*Novin.Investment,20210907,7680.00,7700.00,7210.00,7430.00,59913419920,8060704,928,D,7580.00,7300.00
S*Novin.Investment,20210906,7670.00,7820.00,7430.00,7580.00,125743521880,16588165,1607,D,7820.00,7430.00
S*Novin.Investment,20210905,7800.00,8000.00,7710.00,7820.00,55740907500,7129443,1044,D,7940.00,7750.00
S*Novin.Investment,20210904,8010.00,8190.00,7670.00,7940.00,113885448000,14346444,2031,D,7880.00,7830.00
S*Novin.Investment,20210901,7750.00,7920.00,7320.00,7880.00,491962218640,62394322,1589,D,7550.00,7920.00
S*Novin.Investment,20210831,7200.00,7750.00,7200.00,7550.00,145824414180,19304220,1202,D,7440.00,7680.00
S*Novin.Investment,20210830,7430.00,7700.00,7420.00,7440.00,164993711050,22163926,1326,D,7810.00,7420.00
S*Novin.Investment,20210829,7800.00,7880.00,7450.00,7810.00,497667081680,63694836,3450,D,7510.00,7610.00
S*Novin.Investment,20210828,7240.00,7560.00,7150.00,7510.00,365279070660,48640375,1725,D,7200.00,7560.00
S*Novin.Investment,20210825,7290.00,7300.00,7120.00,7200.00,63797978770,8864093,705,D,7240.00,7230.00
S*Novin.Investment,20210824,7120.00,7400.00,7060.00,7240.00,31345270780,4311419,672,D,7170.00,7190.00
S*Novin.Investment,20210823,7240.00,7240.00,7000.00,7170.00,13233446600,1864197,392,D,7200.00,7190.00
S*Novin.Investment,20210822,7300.00,7310.00,7050.00,7200.00,19176198930,2666589,517,D,7210.00,7190.00
S*Novin.Investment,20210815,6900.00,7280.00,6780.00,7210.00,109909157690,15250235,828,D,6940.00,7230.00
S*Novin.Investment,20210814,6950.00,6990.00,6730.00,6940.00,13933902060,2015760,298,D,6960.00,6890.00
S*Novin.Investment,20210811,6900.00,7080.00,6790.00,6960.00,41514174850,5960494,637,D,6790.00,6870.00
S*Novin.Investment,20210810,6560.00,6910.00,6290.00,6790.00,77121460800,11362796,747,D,6590.00,6910.00
S*Novin.Investment,20210809,6600.00,6670.00,6560.00,6590.00,49073647170,7441894,376,D,6590.00,6570.00
S*Novin.Investment,20210808,6500.00,6650.00,6450.00,6590.00,18953773190,2889349,414,D,6620.00,6640.00
