<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Ind..Dev.,20210921,9510.00,9800.00,8980.00,9160.00,99547604260,10863867,1412,D,9450.00,9200.00
Iran.Ind..Dev.,20210920,9380.00,9560.00,9220.00,9450.00,78808920320,8341990,1024,D,9110.00,9560.00
Iran.Ind..Dev.,20210919,9300.00,9600.00,8990.00,9110.00,78043669480,8562865,1272,D,9460.00,9220.00
Iran.Ind..Dev.,20210918,9900.00,9990.00,9410.00,9460.00,110104932600,11643353,1264,D,9900.00,9410.00
Iran.Ind..Dev.,20210915,10090.00,10100.00,9720.00,9900.00,75186410490,7596551,1524,D,10100.00,9900.00
Iran.Ind..Dev.,20210914,9810.00,10280.00,9800.00,10100.00,84786103580,8393137,1547,D,9800.00,10090.00
Iran.Ind..Dev.,20210913,9900.00,10350.00,9710.00,9800.00,108073465010,11030803,1890,D,10220.00,9720.00
Iran.Ind..Dev.,20210912,10960.00,10960.00,10190.00,10220.00,100538966820,9838536,1200,D,10720.00,10240.00
Iran.Ind..Dev.,20210911,11030.00,11190.00,10550.00,10720.00,77041600500,7184651,1274,D,10960.00,10590.00
Iran.Ind..Dev.,20210908,10990.00,11200.00,10690.00,10960.00,94284358320,8602982,2186,D,10940.00,11030.00
Iran.Ind..Dev.,20210907,10510.00,11220.00,10510.00,10940.00,137424976520,12562277,2258,D,10980.00,10800.00
Iran.Ind..Dev.,20210906,11060.00,11480.00,10720.00,10980.00,209654578960,19086514,3679,D,11280.00,10720.00
Iran.Ind..Dev.,20210905,11380.00,11380.00,10680.00,11280.00,479198692130,42469371,4838,D,10840.00,11170.00
Iran.Ind..Dev.,20210904,10590.00,10860.00,10590.00,10840.00,43135637680,3978867,628,D,10350.00,10860.00
Iran.Ind..Dev.,20210901,10020.00,10640.00,10020.00,10350.00,129100348930,12472931,2407,D,10160.00,10590.00
Iran.Ind..Dev.,20210831,10120.00,10470.00,10120.00,10160.00,570885194230,56179462,4755,D,10650.00,10250.00
Iran.Ind..Dev.,20210830,10650.00,10650.00,10650.00,10650.00,26792023950,2515683,206,D,11210.00,10650.00
Iran.Ind..Dev.,20210829,11620.00,11620.00,10520.00,11210.00,569965760940,50839995,7439,D,11070.00,10650.00
Iran.Ind..Dev.,20210828,11070.00,11070.00,10870.00,11070.00,74943256710,6771873,706,D,10550.00,11070.00
Iran.Ind..Dev.,20210825,10390.00,10870.00,9990.00,10550.00,358082475690,33940479,3547,D,10360.00,10870.00
Iran.Ind..Dev.,20210824,10380.00,10430.00,10050.00,10360.00,316674955080,30570665,3623,D,9940.00,10290.00
Iran.Ind..Dev.,20210823,9660.00,10190.00,9300.00,9940.00,411780978460,41445606,4491,D,9710.00,10190.00
Iran.Ind..Dev.,20210822,9970.00,9970.00,9100.00,9710.00,378920478420,39021279,4452,D,9500.00,9550.00
Iran.Ind..Dev.,20210815,9500.00,9500.00,9500.00,9500.00,29592984500,3115051,350,D,9050.00,9500.00
Iran.Ind..Dev.,20210814,8870.00,9220.00,8700.00,9050.00,268290901500,29640655,2201,D,8790.00,9220.00
Iran.Ind..Dev.,20210811,8830.00,8950.00,8550.00,8790.00,128843405190,14657537,1892,D,8750.00,8820.00
Iran.Ind..Dev.,20210810,8680.00,8900.00,8600.00,8750.00,164549236220,18811901,2131,D,8700.00,8820.00
Iran.Ind..Dev.,20210809,8900.00,9000.00,8530.00,8700.00,95784285210,11003691,2064,D,8790.00,8780.00
Iran.Ind..Dev.,20210808,8770.00,9060.00,8700.00,8790.00,78005501610,8872301,1772,D,9020.00,8720.00
Iran.Ind..Dev.,20210807,8950.00,9120.00,8820.00,9020.00,189560723800,21015066,2723,D,8690.00,8930.00
Iran.Ind..Dev.,20210804,8500.00,8870.00,8500.00,8690.00,200650875700,23089431,1917,D,8580.00,8850.00
Iran.Ind..Dev.,20210803,8510.00,8800.00,8410.00,8580.00,42826423010,4992221,982,D,8600.00,8590.00
Iran.Ind..Dev.,20210802,9000.00,9060.00,8530.00,8600.00,81794017230,9506661,1555,D,8970.00,8600.00
Iran.Ind..Dev.,20210801,9200.00,9200.00,8790.00,8970.00,48070268090,5360898,1310,D,8780.00,8900.00
Iran.Ind..Dev.,20210731,8520.00,8940.00,8410.00,8780.00,93787063080,10685154,2023,D,8520.00,8940.00
Iran.Ind..Dev.,20210728,8400.00,8800.00,8390.00,8520.00,60335268340,7077779,1524,D,8820.00,8420.00
Iran.Ind..Dev.,20210727,9290.00,9290.00,8670.00,8820.00,61574323290,6982747,1409,D,9120.00,8670.00
Iran.Ind..Dev.,20210726,9410.00,9490.00,9020.00,9120.00,66342080560,7273163,1640,D,9290.00,9130.00
Iran.Ind..Dev.,20210719,9290.00,9500.00,9010.00,9290.00,72647844590,7822772,1812,D,9200.00,9240.00
Iran.Ind..Dev.,20210718,9600.00,9700.00,9120.00,9200.00,123240396360,13399647,2297,D,9600.00,9120.00
Iran.Ind..Dev.,20210717,9870.00,10170.00,9360.00,9600.00,206641031210,21534525,3530,D,9710.00,9400.00
Iran.Ind..Dev.,20210714,9450.00,9990.00,9450.00,9710.00,86236942870,8878385,1824,D,9690.00,9620.00
Iran.Ind..Dev.,20210713,9700.00,9980.00,9580.00,9690.00,120066543230,12396079,2100,D,10080.00,9580.00
Iran.Ind..Dev.,20210712,10540.00,10600.00,9840.00,10080.00,157923800350,15669589,3221,D,10350.00,9950.00
Iran.Ind..Dev.,20210711,9800.00,10440.00,9710.00,10350.00,308940615050,29840041,3438,D,9950.00,10430.00
Iran.Ind..Dev.,20210710,10140.00,10240.00,9400.00,9950.00,227700500230,22873184,3813,D,9760.00,9800.00
Iran.Ind..Dev.,20210707,9180.00,9950.00,9070.00,9760.00,241775354820,24782137,2181,D,9480.00,9950.00
Iran.Ind..Dev.,20210706,9660.00,9660.00,9200.00,9480.00,317702583380,33517748,3742,D,9200.00,9290.00
Iran.Ind..Dev.,20210705,9200.00,9200.00,9200.00,9200.00,38936700000,4232250,350,D,8770.00,9200.00
Iran.Ind..Dev.,20210704,8770.00,8770.00,8770.00,8770.00,27272919690,3109797,320,D,8360.00,8770.00
Iran.Ind..Dev.,20210703,8060.00,8430.00,8060.00,8360.00,53835004160,6438250,812,D,8030.00,8430.00
Iran.Ind..Dev.,20210630,8050.00,8280.00,7900.00,8030.00,70547448810,8780341,1416,D,8070.00,8030.00
Iran.Ind..Dev.,20210629,8090.00,8330.00,8010.00,8070.00,49434160330,6126788,1032,D,8080.00,8080.00
Iran.Ind..Dev.,20210628,8050.00,8350.00,8000.00,8080.00,60761623760,7516852,1391,D,8280.00,8080.00
Iran.Ind..Dev.,20210627,8550.00,8600.00,8070.00,8280.00,71840886250,8677245,1522,D,8480.00,8180.00
Iran.Ind..Dev.,20210626,8300.00,8520.00,8210.00,8480.00,101195395180,11936804,1769,D,8120.00,8510.00
Iran.Ind..Dev.,20210623,8180.00,8300.00,7880.00,8120.00,99471193560,12249298,1800,D,8180.00,8190.00
Iran.Ind..Dev.,20210622,8370.00,8370.00,8010.00,8180.00,37042033200,4530621,1015,D,8100.00,8180.00
Iran.Ind..Dev.,20210621,8090.00,8230.00,7990.00,8100.00,44025701380,5437966,954,D,8280.00,8180.00
Iran.Ind..Dev.,20210620,8600.00,8790.00,8240.00,8280.00,52263752590,6309580,1137,D,8670.00,8240.00
Iran.Ind..Dev.,20210619,8450.00,8800.00,8450.00,8670.00,24405180150,2815484,676,D,8560.00,8670.00
Iran.Ind..Dev.,20210616,8760.00,8800.00,8430.00,8560.00,30619613340,3578554,890,D,8870.00,8440.00
