<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Tractor,20210921,31430.00,32280.00,29500.00,30520.00,89597525590,2935262,1056,D,31040.00,29540.00
Iran.Tractor,20210920,28970.00,31140.00,28970.00,31040.00,212252524210,6838683,1089,D,29660.00,31140.00
Iran.Tractor,20210919,29650.00,30670.00,28850.00,29660.00,31418966080,1061961,629,D,30000.00,29010.00
Iran.Tractor,20210918,30500.00,30670.00,28900.00,30000.00,146968512750,4899516,1358,D,29210.00,30000.00
Iran.Tractor,20210915,29210.00,29210.00,28680.00,29210.00,176237430240,6033569,581,D,27820.00,29210.00
Iran.Tractor,20210914,27000.00,28030.00,27000.00,27820.00,30918902580,1104246,193,D,26700.00,28030.00
Iran.Tractor,20210913,26960.00,27610.00,26320.00,26700.00,69604115590,2607099,767,D,27700.00,26790.00
Iran.Tractor,20210912,28460.00,29080.00,27670.00,27700.00,112255615020,4052595,511,D,29120.00,27670.00
Iran.Tractor,20210911,30220.00,30800.00,28350.00,29120.00,98794474560,3392988,952,D,29840.00,28350.00
Iran.Tractor,20210908,29510.00,30590.00,29490.00,29840.00,308014198980,10323720,1891,D,31040.00,29690.00
Iran.Tractor,20210907,31040.00,31040.00,31040.00,31040.00,44353769920,1428923,236,D,32670.00,31040.00
Iran.Tractor,20210906,33100.00,34480.00,31920.00,32670.00,246455776060,7544389,1805,D,33600.00,31920.00
Iran.Tractor,20210905,33530.00,34880.00,32110.00,33600.00,318961300610,9491484,2900,D,33530.00,33600.00
Iran.Tractor,20210904,33000.00,33570.00,32160.00,33530.00,1354610652270,40396783,3984,D,31980.00,33500.00
Iran.Tractor,20210901,32040.00,32040.00,30520.00,31980.00,667294682630,20863518,1824,D,30520.00,32040.00
Iran.Tractor,20210831,29000.00,30590.00,29000.00,30520.00,436432226250,14300596,1058,D,29140.00,30590.00
Iran.Tractor,20210830,29500.00,30160.00,28220.00,29140.00,130016102550,4461998,1314,D,29700.00,29500.00
Iran.Tractor,20210829,28700.00,30100.00,27910.00,29700.00,242634017620,8170092,1719,D,28670.00,30090.00
Iran.Tractor,20210828,29000.00,29620.00,27700.00,28670.00,118408045980,4129642,1923,D,28880.00,29100.00
Iran.Tractor,20210825,29100.00,29240.00,27000.00,28880.00,238170346230,8245911,2344,D,27850.00,29240.00
Iran.Tractor,20210824,27830.00,27860.00,27210.00,27850.00,321681388340,11551885,1014,D,26540.00,27860.00
Iran.Tractor,20210823,25940.00,26610.00,25610.00,26540.00,255990036510,9643762,691,D,25350.00,26610.00
Iran.Tractor,20210822,25280.00,26000.00,24910.00,25350.00,135385194550,5340442,1897,D,24910.00,25740.00
Iran.Tractor,20210815,24690.00,25400.00,24040.00,24910.00,182417111280,7321645,2307,D,24530.00,25000.00
Iran.Tractor,20210814,23970.00,24710.00,23230.00,24530.00,257769695920,10507636,1853,D,23540.00,24710.00
Iran.Tractor,20210811,23920.00,23930.00,23040.00,23540.00,48086832670,2043059,1131,D,23500.00,23610.00
Iran.Tractor,20210810,23680.00,24060.00,23260.00,23500.00,34838146230,1482620,887,D,23250.00,23420.00
Iran.Tractor,20210809,23010.00,23800.00,22660.00,23250.00,21783770430,938273,369,D,23330.00,23380.00
Iran.Tractor,20210808,23330.00,23530.00,22800.00,23330.00,20490366300,886911,274,D,23830.00,23010.00
Iran.Tractor,20210807,22990.00,24000.00,22990.00,23830.00,12543840450,535616,275,D,24120.00,23200.00
Iran.Tractor,20210804,24200.00,24200.00,23100.00,24120.00,45825390390,1899609,572,D,23050.00,23800.00
Iran.Tractor,20210803,22000.00,23590.00,21990.00,23050.00,32556574570,1412253,270,D,22470.00,23590.00
Iran.Tractor,20210802,22220.00,22840.00,21610.00,22470.00,10005261620,450980,252,D,22620.00,22020.00
Iran.Tractor,20210801,23160.00,23160.00,22120.00,22620.00,29428747460,1301284,331,D,23180.00,22210.00
Iran.Tractor,20210731,22600.00,23300.00,22340.00,23180.00,18415605410,801054,248,D,23500.00,22800.00
Iran.Tractor,20210728,24510.00,24510.00,22500.00,23500.00,25026086700,1063784,341,D,23350.00,22970.00
Iran.Tractor,20210718,24500.00,24500.00,23300.00,23900.00,8969442170,378206,317,D,23980.00,23920.00
Iran.Tractor,20210717,24100.00,24540.00,23800.00,23980.00,15197183980,628361,360,D,23790.00,24090.00
Iran.Tractor,20210714,23770.00,24450.00,22760.00,23790.00,15728750860,657777,378,D,23660.00,24190.00
Iran.Tractor,20210713,24290.00,24290.00,22870.00,23660.00,17600904000,753298,370,D,24070.00,23200.00
Iran.Tractor,20210712,24260.00,24270.00,23690.00,24070.00,26547024090,1103862,445,D,24170.00,23760.00
Iran.Tractor,20210711,24080.00,24870.00,23600.00,24170.00,54538773040,2256708,983,D,24730.00,23950.00
Iran.Tractor,20210710,25350.00,25350.00,24220.00,24730.00,10276088000,421262,273,D,24890.00,24250.00
Iran.Tractor,20210707,24490.00,25590.00,24400.00,24890.00,15469383440,615060,333,D,24650.00,24790.00
Iran.Tractor,20210706,24770.00,25000.00,24320.00,24650.00,28218988880,1146530,482,D,24930.00,24650.00
Iran.Tractor,20210705,24070.00,25340.00,24070.00,24930.00,9468076660,383650,190,D,25040.00,24800.00
Iran.Tractor,20210704,24100.00,25700.00,23990.00,25040.00,18902538620,758194,359,D,25210.00,24900.00
Iran.Tractor,20210703,24790.00,25000.00,24130.00,25210.00,5951794180,242859,168,D,25380.00,24160.00
Iran.Tractor,20210630,25900.00,25900.00,24770.00,25380.00,11717106660,469789,159,D,25630.00,24800.00
Iran.Tractor,20210629,25300.00,25750.00,24970.00,25630.00,7540282290,296512,137,D,25690.00,25020.00
Iran.Tractor,20210628,25780.00,26100.00,25090.00,25690.00,19315884410,749645,320,D,25590.00,25550.00
Iran.Tractor,20210627,25450.00,25990.00,24990.00,25590.00,20020397890,778668,339,D,25400.00,25100.00
Iran.Tractor,20210626,24840.00,25450.00,24800.00,25400.00,34326361810,1351240,262,D,24240.00,25450.00
Iran.Tractor,20210623,23500.00,24730.00,23220.00,24240.00,23012137960,939559,262,D,23560.00,24730.00
Iran.Tractor,20210622,23450.00,24430.00,22590.00,23560.00,15267538320,649170,308,D,23610.00,23940.00
Iran.Tractor,20210621,22700.00,23450.00,22700.00,23610.00,4069591830,176953,125,D,23710.00,23190.00
Iran.Tractor,20210620,23460.00,23600.00,22690.00,23710.00,6581460190,284491,114,D,23880.00,23040.00
Iran.Tractor,20210619,24680.00,24680.00,23300.00,23880.00,20853497690,879636,161,D,24270.00,23750.00
Iran.Tractor,20210616,24590.00,24590.00,23290.00,24270.00,1552009880,65249,84,D,24300.00,23880.00
Iran.Tractor,20210615,24460.00,24670.00,23900.00,24300.00,3939519860,162062,114,D,24300.00,24030.00
Iran.Tractor,20210614,24480.00,24480.00,23400.00,24300.00,12485148500,523996,180,D,24630.00,24020.00
Iran.Tractor,20210613,24280.00,24990.00,23900.00,24630.00,8498700540,352531,128,D,24830.00,23910.00
Iran.Tractor,20210612,25100.00,25280.00,24230.00,24830.00,18764741410,758935,268,D,24990.00,24440.00
Iran.Tractor,20210609,24890.00,25300.00,24260.00,24990.00,18985871380,762670,512,D,25130.00,24810.00
Iran.Tractor,20210608,24260.00,25200.00,24260.00,25130.00,51853070730,2063642,543,D,24000.00,25200.00
Iran.Tractor,20210607,23520.00,24080.00,22490.00,24000.00,43407074770,1808766,326,D,22940.00,24080.00
Iran.Tractor,20210602,22670.00,23630.00,22000.00,22940.00,14872553740,644789,260,D,22810.00,23420.00
Iran.Tractor,20210601,22910.00,22910.00,21880.00,22810.00,6956374390,313429,135,D,23010.00,22390.00
Iran.Tractor,20210531,22330.00,23000.00,22170.00,23010.00,7891683750,350010,168,D,23180.00,22770.00
Iran.Tractor,20210530,23370.00,23650.00,22840.00,23180.00,18339753830,790314,268,D,23150.00,22900.00
Iran.Tractor,20210529,22970.00,23830.00,22430.00,23150.00,93940099810,4057673,981,D,22960.00,23400.00
Iran.Tractor,20210526,22480.00,23660.00,22460.00,22960.00,39115923770,1703522,496,D,23640.00,22610.00
Iran.Tractor,20210525,23050.00,23050.00,23050.00,23640.00,15199100850,659397,43,D,24260.00,23050.00
Iran.Tractor,20210524,23070.00,23070.00,23070.00,24260.00,533170770,23111,18,D,24280.00,23070.00
