<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Amin.Investment,20210921,9990.00,10070.00,9970.00,9990.00,41041943870,4104922,5970,D,9840.00,10030.00
Amin.Investment,20210920,9870.00,9950.00,9800.00,9840.00,30219533940,3066661,4943,D,9810.00,9860.00
Amin.Investment,20210919,9750.00,9990.00,9750.00,9810.00,32272605400,3277597,5649,D,9720.00,9940.00
Amin.Investment,20210918,9730.00,9750.00,9700.00,9720.00,26989403180,2774050,5212,D,9700.00,9750.00
Amin.Investment,20210915,9700.00,9770.00,9230.00,9700.00,63128825460,6506140,22257,D,9700.00,9750.00
Amin.Investment,20210914,9560.00,9790.00,9560.00,9700.00,39566652400,4075992,14720,D,9560.00,9780.00
Amin.Investment,20210913,9460.00,9680.00,9460.00,9560.00,35538218520,3709310,9287,D,9460.00,9680.00
Amin.Investment,20210912,9460.00,9490.00,9450.00,9460.00,26349334450,2784963,3698,D,9460.00,9470.00
Amin.Investment,20210911,9500.00,9500.00,9440.00,9460.00,28738794900,3034818,5972,D,9440.00,9490.00
Amin.Investment,20210908,9460.00,9480.00,9110.00,9440.00,65811574800,6970249,28810,D,9460.00,9460.00
Amin.Investment,20210907,9430.00,9510.00,9200.00,9460.00,56422321550,5965664,19191,D,9410.00,9430.00
Amin.Investment,20210906,9360.00,9470.00,9350.00,9410.00,55227425680,5866749,16083,D,9340.00,9400.00
Amin.Investment,20210905,9350.00,9390.00,9170.00,9340.00,45773685790,4902766,5602,D,9340.00,9340.00
Amin.Investment,20210904,9340.00,9440.00,9320.00,9340.00,53479258810,5722904,6064,D,9340.00,9340.00
Amin.Investment,20210901,9340.00,9530.00,9150.00,9340.00,42380206890,4535808,4856,D,9320.00,9390.00
Amin.Investment,20210831,9240.00,9490.00,9240.00,9320.00,36596454650,3922028,4917,D,9240.00,9340.00
Amin.Investment,20210830,9230.00,9390.00,9130.00,9240.00,79934056260,8647461,5092,D,9230.00,9230.00
Amin.Investment,20210829,9320.00,9350.00,8800.00,9230.00,106515442470,11537868,9349,D,8910.00,9150.00
Amin.Investment,20210828,8670.00,9100.00,8650.00,8910.00,88616513210,9944927,8190,D,8670.00,9060.00
Amin.Investment,20210825,8910.00,8910.00,8490.00,8670.00,42762457610,4934552,6035,D,8850.00,8640.00
Amin.Investment,20210824,8580.00,8920.00,8580.00,8850.00,43515659360,4916835,6522,D,8500.00,8920.00
Amin.Investment,20210823,8800.00,8800.00,8400.00,8500.00,24433594590,2854357,5184,D,8400.00,8580.00
Amin.Investment,20210822,8110.00,8510.00,8110.00,8400.00,52628268870,6264725,6899,D,8110.00,8510.00
Amin.Investment,20210815,7890.00,8400.00,7700.00,8110.00,30092578900,3706906,4643,D,8060.00,8250.00
Amin.Investment,20210814,8330.00,8330.00,8000.00,8060.00,21573727460,2679792,4453,D,8070.00,8010.00
Amin.Investment,20210811,8330.00,8330.00,8100.00,8070.00,19847700000,2433092,6419,D,7960.00,8150.00
Amin.Investment,20210810,7680.00,8030.00,7680.00,7960.00,35532521010,4462661,5998,D,7650.00,8030.00
Amin.Investment,20210809,7660.00,7700.00,7630.00,7650.00,16959221980,2211755,4003,D,7640.00,7690.00
Amin.Investment,20210808,7660.00,7660.00,7610.00,7640.00,17287866690,2261494,3279,D,7630.00,7650.00
Amin.Investment,20210807,7680.00,7680.00,7640.00,7630.00,14982824060,1959330,3698,D,7620.00,7640.00
Amin.Investment,20210804,7630.00,7690.00,7600.00,7620.00,22810416700,2986980,3445,D,7600.00,7600.00
Amin.Investment,20210803,7620.00,7630.00,7610.00,7600.00,14508981410,1905305,3162,D,7590.00,7610.00
Amin.Investment,20210802,7660.00,7660.00,7600.00,7590.00,13065355920,1718804,3163,D,7580.00,7600.00
Amin.Investment,20210801,7600.00,7620.00,7580.00,7580.00,12930707090,1700982,3962,D,7570.00,7600.00
Amin.Investment,20210731,7580.00,7600.00,7560.00,7570.00,22104619240,2915521,4016,D,7560.00,7580.00
Amin.Investment,20210728,7580.00,7700.00,7580.00,7560.00,16336374910,2153434,4856,D,7530.00,7650.00
Amin.Investment,20210727,7530.00,7540.00,7520.00,7530.00,19584325110,2600624,3810,D,7520.00,7540.00
Amin.Investment,20210726,7540.00,7560.00,7410.00,7520.00,21790955180,2902039,4007,D,7540.00,7450.00
Amin.Investment,20210719,7550.00,7660.00,7530.00,7540.00,9758587600,1292014,2988,D,7530.00,7550.00
Amin.Investment,20210718,7540.00,7600.00,7530.00,7530.00,14681024560,1947849,3417,D,7530.00,7540.00
Amin.Investment,20210717,7500.00,7550.00,7420.00,7530.00,36760746480,4884116,4338,D,7520.00,7530.00
Amin.Investment,20210714,7590.00,7600.00,7380.00,7520.00,17455923710,2343360,5634,D,7610.00,7420.00
Amin.Investment,20210713,7610.00,7630.00,7610.00,7610.00,19517575090,2564314,3763,D,7610.00,7610.00
Amin.Investment,20210712,7620.00,7640.00,7610.00,7610.00,17154500220,2253025,4190,D,7610.00,7610.00
Amin.Investment,20210711,7700.00,7720.00,7590.00,7610.00,19784826040,2595018,4300,D,7590.00,7610.00
Amin.Investment,20210710,7330.00,7630.00,7320.00,7590.00,47609503700,6273994,4903,D,7270.00,7630.00
Amin.Investment,20210707,7300.00,7320.00,7280.00,7270.00,14070737500,1929204,2845,D,7250.00,7300.00
Amin.Investment,20210706,7280.00,7300.00,7270.00,7250.00,9697176010,1332274,3292,D,7240.00,7280.00
Amin.Investment,20210705,7250.00,7280.00,7250.00,7240.00,11150593530,1537002,3096,D,7230.00,7260.00
Amin.Investment,20210704,7240.00,7260.00,7240.00,7230.00,8279424810,1143170,3132,D,7220.00,7250.00
Amin.Investment,20210703,7220.00,7260.00,7220.00,7220.00,12753626330,1765427,3419,D,7210.00,7220.00
Amin.Investment,20210630,7210.00,7250.00,7210.00,7210.00,26047902770,3611724,3218,D,7190.00,7210.00
Amin.Investment,20210629,7200.00,7250.00,7190.00,7190.00,12029874940,1671651,3288,D,7190.00,7210.00
