<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Yasa.Tire,20210921,19750.00,20000.00,19030.00,19080.00,60428229380,3167109,722,D,20030.00,19030.00
Iran.Yasa.Tire,20210920,20520.00,20540.00,19540.00,20030.00,51394218750,2566483,954,D,20030.00,19750.00
Iran.Yasa.Tire,20210919,20110.00,21100.00,19880.00,20030.00,81934643650,4090844,933,D,20920.00,20000.00
Iran.Yasa.Tire,20210918,21000.00,21660.00,20800.00,20920.00,95170095760,4550055,1250,D,21890.00,20970.00
Iran.Yasa.Tire,20210915,21620.00,22400.00,21510.00,21890.00,83051538330,3794750,1685,D,22130.00,21650.00
Iran.Yasa.Tire,20210914,22990.00,23500.00,21810.00,22130.00,261216881960,11805888,3322,D,22950.00,21820.00
Iran.Yasa.Tire,20210913,22760.00,23490.00,22320.00,22950.00,96328253280,4196570,1753,D,22760.00,22970.00
Iran.Yasa.Tire,20210912,23390.00,23390.00,22000.00,22760.00,139728132010,6139560,2658,D,22380.00,23180.00
Iran.Yasa.Tire,20210911,22500.00,23180.00,21460.00,22380.00,192510285500,8600560,1930,D,22270.00,22980.00
Iran.Yasa.Tire,20210908,22010.00,22730.00,22010.00,22270.00,31600609410,1419052,1005,D,22230.00,22270.00
Iran.Yasa.Tire,20210907,21910.00,22790.00,21800.00,22230.00,76788932560,3454122,1376,D,22570.00,21990.00
Iran.Yasa.Tire,20210906,22960.00,23180.00,22100.00,22570.00,88035639340,3901154,1385,D,23000.00,22750.00
Iran.Yasa.Tire,20210905,22970.00,23680.00,22020.00,23000.00,85786204820,3730364,1385,D,22830.00,22830.00
Iran.Yasa.Tire,20210904,22790.00,22960.00,22310.00,22830.00,178151450990,7801818,2261,D,21870.00,22960.00
Iran.Yasa.Tire,20210901,21900.00,22480.00,20910.00,21870.00,132233672600,6047583,1489,D,21900.00,22430.00
Iran.Yasa.Tire,20210831,21900.00,22700.00,21760.00,21900.00,94893598730,4332103,968,D,22900.00,21760.00
Iran.Yasa.Tire,20210830,22860.00,23470.00,22800.00,22900.00,64364754770,2810205,615,D,23990.00,22800.00
Iran.Yasa.Tire,20210829,24730.00,24840.00,23470.00,23990.00,122574977970,5109387,1646,D,24700.00,23470.00
Iran.Yasa.Tire,20210828,24530.00,25400.00,23790.00,24700.00,122942987170,4976912,1575,D,25040.00,24470.00
Iran.Yasa.Tire,20210825,25900.00,25900.00,24510.00,25040.00,119568525310,4774286,1089,D,25120.00,24810.00
Iran.Yasa.Tire,20210824,23510.00,25340.00,23510.00,25120.00,152172021140,6056716,1229,D,24140.00,25120.00
Iran.Yasa.Tire,20210823,24400.00,24950.00,23700.00,24140.00,90627442720,3753520,941,D,24070.00,23840.00
Iran.Yasa.Tire,20210822,23700.00,25000.00,22820.00,24070.00,145795738870,6057257,1799,D,24020.00,24400.00
Iran.Yasa.Tire,20210815,23990.00,24340.00,23200.00,24020.00,144438314940,6012805,1372,D,23190.00,23890.00
Iran.Yasa.Tire,20210814,22980.00,23880.00,22010.00,23190.00,206359311700,8900194,2087,D,22750.00,23880.00
Iran.Yasa.Tire,20210811,22750.00,22750.00,22750.00,22750.00,59203849250,2602367,304,D,21670.00,22750.00
Iran.Yasa.Tire,20210810,21000.00,22030.00,20920.00,21670.00,97650329130,4506555,886,D,20990.00,22030.00
Iran.Yasa.Tire,20210809,20900.00,21440.00,20420.00,20990.00,75481292900,3596792,915,D,20610.00,21000.00
Iran.Yasa.Tire,20210808,20120.00,20930.00,20120.00,20610.00,106396937130,5163367,1107,D,19990.00,20630.00
Iran.Yasa.Tire,20210807,19260.00,20600.00,19260.00,19990.00,83526034660,4178674,1067,D,19810.00,20470.00
Iran.Yasa.Tire,20210804,19600.00,20290.00,19560.00,19810.00,72233313220,3646165,936,D,20050.00,19600.00
Iran.Yasa.Tire,20210803,19800.00,20490.00,19180.00,20050.00,97153659430,4846199,929,D,20180.00,19920.00
Iran.Yasa.Tire,20210802,20660.00,20670.00,19810.00,20180.00,57070117600,2827815,537,D,20410.00,19810.00
Iran.Yasa.Tire,20210801,20520.00,21000.00,20180.00,20410.00,57853446600,2833953,714,D,20620.00,20180.00
Iran.Yasa.Tire,20210731,20950.00,21000.00,20010.00,20620.00,51994689250,2521678,726,D,20620.00,20620.00
Iran.Yasa.Tire,20210728,20800.00,21120.00,20000.00,20620.00,62706223240,3041409,752,D,20630.00,20290.00
Iran.Yasa.Tire,20210727,21170.00,21670.00,19920.00,20630.00,109815256030,5323451,1521,D,20960.00,20490.00
