<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Pars.Agro.,20210921,123970.00,123970.00,116590.00,116990.00,68144382470,582499,363,D,122720.00,116590.00
Pars.Agro.,20210920,116900.00,128000.00,116900.00,122720.00,68640105310,559342,814,D,122630.00,118750.00
Pars.Agro.,20210919,121790.00,133000.00,121790.00,122630.00,71795615630,585469,251,D,128200.00,121790.00
Pars.Agro.,20210918,131350.00,134970.00,127630.00,128200.00,18240374210,142283,127,D,134340.00,127630.00
Pars.Agro.,20210915,134740.00,142200.00,131350.00,134340.00,40163064570,298967,461,D,138260.00,135500.00
Pars.Agro.,20210914,142000.00,142970.00,135110.00,138260.00,40905963000,295854,362,D,138930.00,135500.00
Pars.Agro.,20210913,141500.00,142920.00,133250.00,138930.00,29244141830,210493,305,D,139600.00,138760.00
Pars.Agro.,20210912,146890.00,146890.00,138320.00,139600.00,45333194280,324730,409,D,145600.00,141370.00
Pars.Agro.,20210911,149990.00,149990.00,141250.00,145600.00,55742078660,382838,406,D,147470.00,145700.00
Pars.Agro.,20210908,153970.00,153970.00,140270.00,147470.00,82363593070,558497,878,D,147650.00,147000.00
Pars.Agro.,20210907,147800.00,147820.00,142100.00,147650.00,108926416340,737728,516,D,140790.00,147820.00
Pars.Agro.,20210906,138910.00,141250.00,135670.00,140790.00,155331736940,1103291,827,D,134530.00,141250.00
Pars.Agro.,20210905,134000.00,138180.00,129900.00,134530.00,155409020380,1155237,975,D,131600.00,136000.00
Pars.Agro.,20210904,128000.00,133100.00,125270.00,131600.00,53395981110,405739,480,D,127830.00,132200.00
Pars.Agro.,20210901,129320.00,133100.00,126010.00,127830.00,58290621350,456008,625,D,129320.00,126210.00
Pars.Agro.,20210831,124730.00,130970.00,119080.00,129320.00,83348130680,644525,794,D,124740.00,130000.00
Pars.Agro.,20210830,123630.00,128500.00,120130.00,124740.00,59563155910,477495,573,D,122900.00,124000.00
Pars.Agro.,20210829,130000.00,130000.00,121310.00,122900.00,114771817000,933836,665,D,127690.00,121310.00
Pars.Agro.,20210828,134000.00,134400.00,123020.00,127690.00,49865331090,390508,619,D,129080.00,124510.00
Pars.Agro.,20210825,133940.00,138690.00,126690.00,129080.00,52763340790,408752,544,D,132300.00,127610.00
Pars.Agro.,20210824,130120.00,135290.00,122410.00,132300.00,39613071340,299423,398,D,128850.00,132770.00
Pars.Agro.,20210823,126000.00,129110.00,124200.00,128850.00,60892448940,472569,383,D,122970.00,129100.00
Pars.Agro.,20210822,127280.00,127280.00,122330.00,122970.00,5891917170,46929,129,D,121520.00,126700.00
Pars.Agro.,20210814,125000.00,127500.00,118700.00,121520.00,36781619160,302669,347,D,123840.00,121700.00
Pars.Agro.,20210811,126000.00,126000.00,119420.00,123840.00,45349389140,366197,475,D,125700.00,119420.00
Pars.Agro.,20210810,120000.00,126050.00,120000.00,125700.00,75723841080,602402,416,D,120050.00,126050.00
Pars.Agro.,20210809,118020.00,121720.00,117000.00,120050.00,15618394550,130096,194,D,119750.00,120770.00
Pars.Agro.,20210808,120000.00,121800.00,117150.00,119750.00,30921580230,258208,259,D,119880.00,119660.00
Pars.Agro.,20210807,124450.00,124450.00,117800.00,119880.00,12501809180,104619,181,D,121430.00,117850.00
Pars.Agro.,20210804,120000.00,124710.00,117350.00,121430.00,46780330180,385258,343,D,121950.00,120000.00
Pars.Agro.,20210803,124000.00,125000.00,119560.00,121950.00,14368281580,117931,315,D,123000.00,119590.00
Pars.Agro.,20210802,124700.00,125000.00,117210.00,123000.00,12615106930,102424,242,D,122400.00,121240.00
Pars.Agro.,20210801,121250.00,123160.00,119400.00,122400.00,52582493790,429585,362,D,117300.00,123140.00
Pars.Agro.,20210731,110260.00,121000.00,110260.00,117300.00,82441252820,702814,428,D,115480.00,119400.00
Pars.Agro.,20210728,118400.00,118400.00,113750.00,115480.00,24009928570,207918,273,D,117150.00,116860.00
Pars.Agro.,20210727,118800.00,120900.00,113830.00,117150.00,24762937410,211383,198,D,118800.00,117320.00
Pars.Agro.,20210726,115100.00,124000.00,115100.00,118800.00,18205584150,153252,288,D,118450.00,118000.00
Pars.Agro.,20210719,119790.00,119790.00,115500.00,118450.00,14692007890,123845,209,D,115180.00,118590.00
Pars.Agro.,20210718,120450.00,123500.00,111760.00,115180.00,20765857480,180293,230,D,117640.00,114000.00
Pars.Agro.,20210717,116690.00,118590.00,115500.00,117640.00,30749482990,261395,215,D,114900.00,116830.00
Pars.Agro.,20210714,118000.00,118000.00,113300.00,114900.00,13287997350,115844,191,D,116410.00,115690.00
Pars.Agro.,20210713,113000.00,119700.00,113000.00,116410.00,23756651710,204079,239,D,116210.00,116760.00
Pars.Agro.,20210712,116500.00,120000.00,111580.00,116210.00,19121718650,164540,279,D,117390.00,116990.00
Pars.Agro.,20210711,124810.00,124810.00,113840.00,117390.00,48282400840,411286,525,D,119820.00,115220.00
Pars.Agro.,20210710,116290.00,120220.00,116280.00,119820.00,105167993480,877681,806,D,114500.00,120220.00
Pars.Agro.,20210707,114300.00,117330.00,110190.00,114500.00,20054432500,175145,187,D,114300.00,113890.00
Pars.Agro.,20210706,114500.00,117640.00,111270.00,114300.00,27871866940,243849,327,D,113150.00,113220.00
Pars.Agro.,20210705,108180.00,114500.00,108180.00,113150.00,11532275880,101971,193,D,113290.00,113640.00
Pars.Agro.,20210704,112970.00,116700.00,110620.00,113290.00,21814974310,192567,259,D,112250.00,112100.00
Pars.Agro.,20210703,110830.00,112620.00,110000.00,112250.00,38719953500,344942,565,D,107260.00,112610.00
Pars.Agro.,20210630,108080.00,112950.00,106000.00,107260.00,43535609370,405902,371,D,111160.00,107580.00
Pars.Agro.,20210629,113950.00,114900.00,108000.00,111160.00,20752372170,186693,304,D,111650.00,110160.00
Pars.Agro.,20210628,113010.00,118770.00,111390.00,111650.00,52201087700,467541,378,D,117250.00,111390.00
Pars.Agro.,20210627,121900.00,121900.00,114000.00,117250.00,21052275770,179546,183,D,118040.00,114000.00
Pars.Agro.,20210626,115700.00,121510.00,115700.00,118040.00,20909679670,177139,354,D,121470.00,118000.00
Pars.Agro.,20210623,123410.00,123410.00,118500.00,121470.00,16598521690,136646,398,D,121450.00,118890.00
Pars.Agro.,20210622,119000.00,121890.00,116150.00,121450.00,62439457050,514099,477,D,116090.00,121890.00
Pars.Agro.,20210621,111070.00,119800.00,111070.00,116090.00,6624129180,56664,212,D,115470.00,116000.00
Pars.Agro.,20210620,119940.00,119950.00,111000.00,115470.00,7700036940,66001,225,D,114240.00,118760.00
Pars.Agro.,20210619,119500.00,121990.00,110400.00,114240.00,23370838590,204585,275,D,116210.00,119950.00
Pars.Agro.,20210616,119000.00,119190.00,111850.00,116210.00,7032895300,61422,177,D,117730.00,114000.00
Pars.Agro.,20210615,124200.00,124500.00,114280.00,117730.00,13399268420,114158,223,D,120290.00,114290.00
Pars.Agro.,20210614,121000.00,127900.00,119000.00,120290.00,19349030300,160847,205,D,125260.00,121880.00
Pars.Agro.,20210613,123590.00,130000.00,123160.00,125260.00,19140728430,152814,308,D,129640.00,123560.00
Pars.Agro.,20210612,130500.00,132000.00,127500.00,129640.00,30383007900,234372,335,D,127340.00,127990.00
Pars.Agro.,20210609,127600.00,127710.00,117100.00,127340.00,69585538600,546463,673,D,121630.00,127710.00
Pars.Agro.,20210608,121630.00,121630.00,120600.00,121630.00,86368488550,710099,409,D,115840.00,121630.00
Pars.Agro.,20210607,116060.00,116060.00,111000.00,115840.00,33639868620,290404,148,D,110540.00,116060.00
Pars.Agro.,20210602,111190.00,112620.00,108000.00,110540.00,57424250590,519489,154,D,107260.00,112620.00
Pars.Agro.,20210601,108990.00,111700.00,104050.00,107260.00,7872965970,73067,165,D,106760.00,109990.00
Pars.Agro.,20210531,105000.00,109200.00,104700.00,106760.00,8210193020,76727,181,D,106490.00,107200.00
Pars.Agro.,20210530,112800.00,112800.00,102500.00,106490.00,13520394220,127123,286,D,107440.00,106990.00
Pars.Agro.,20210529,106800.00,108910.00,103210.00,107440.00,29627090550,275765,291,D,103730.00,107990.00
Pars.Agro.,20210526,107930.00,108080.00,103530.00,103730.00,38550609730,371661,182,D,108970.00,103530.00
Pars.Agro.,20210525,106080.00,114900.00,106080.00,108970.00,43884460620,402710,312,D,111660.00,106080.00
Pars.Agro.,20210524,111640.00,116650.00,111630.00,111660.00,25238427460,226034,77,D,117500.00,111630.00
Pars.Agro.,20210523,112390.00,123790.00,112290.00,117500.00,25801275790,219586,171,D,118200.00,112290.00
Pars.Agro.,20210522,122630.00,125490.00,114030.00,118200.00,10124103720,86329,185,D,120030.00,114030.00
Pars.Agro.,20210519,123840.00,123840.00,117640.00,120030.00,17087207770,142363,134,D,123830.00,120000.00
Pars.Agro.,20210518,117280.00,126000.00,117280.00,123830.00,16308308110,131696,121,D,123430.00,121000.00
Pars.Agro.,20210517,123960.00,126790.00,118780.00,123430.00,16430543270,133119,141,D,123960.00,120000.00
Pars.Agro.,20210516,120720.00,124500.00,120720.00,123960.00,18303348980,147651,183,D,120710.00,124410.00
Pars.Agro.,20210515,121000.00,128780.00,119980.00,120710.00,23752964790,196782,254,D,126290.00,120010.00
Pars.Agro.,20210512,124610.00,136150.00,124610.00,126290.00,71973245560,569922,387,D,128460.00,124610.00
Pars.Agro.,20210511,127860.00,127860.00,127860.00,128460.00,38939123700,304545,38,D,131810.00,127860.00
Pars.Agro.,20210510,130160.00,130160.00,130160.00,131810.00,27533525760,211536,19,D,134180.00,130160.00
Pars.Agro.,20210509,132490.00,132490.00,132490.00,134180.00,27889145000,210500,12,D,136580.00,132490.00
Pars.Agro.,20210508,134930.00,134930.00,134930.00,136580.00,29331083400,217380,20,D,139100.00,134930.00
Pars.Agro.,20210505,138250.00,138250.00,138250.00,139100.00,36707587000,265516,25,D,142520.00,138250.00
Pars.Agro.,20210503,140930.00,140930.00,140930.00,142520.00,29634055750,210275,17,D,145280.00,140930.00
Pars.Agro.,20210502,143660.00,143660.00,143660.00,145280.00,30183684300,210105,20,D,148100.00,143660.00
Pars.Agro.,20210501,146480.00,146480.00,146480.00,148100.00,31182515920,212879,14,D,151010.00,146480.00
Pars.Agro.,20210428,150210.00,155000.00,150210.00,151010.00,41270025740,274219,170,D,154850.00,150210.00
Pars.Agro.,20210427,159740.00,159740.00,152260.00,154850.00,21978244380,144195,163,D,156960.00,152260.00
Pars.Agro.,20210426,154430.00,158600.00,154430.00,156960.00,23024417230,148992,145,D,159200.00,154440.00
Pars.Agro.,20210425,165500.00,165510.00,151470.00,159200.00,111800787520,702264,667,D,156150.00,156150.00
Pars.Agro.,20210424,156150.00,156150.00,156150.00,156150.00,76823770050,491987,86,D,160970.00,156150.00
Pars.Agro.,20210421,159650.00,159650.00,159650.00,160970.00,34864047700,218378,75,D,164580.00,159650.00
Pars.Agro.,20210420,164790.00,164790.00,164530.00,164580.00,10239856140,62150,29,D,164530.00,164530.00
Pars.Agro.,20210417,164460.00,164460.00,164460.00,165100.00,39635517840,241004,29,D,167810.00,164460.00
Pars.Agro.,20210414,167110.00,167160.00,167110.00,167810.00,39354132590,235498,114,D,170520.00,167110.00
Pars.Agro.,20210413,169000.00,173740.00,162170.00,170520.00,112408656030,659216,761,D,163910.00,164900.00
Pars.Agro.,20210412,161130.00,173900.00,161130.00,163910.00,13956745390,85788,238,D,164410.00,164000.00
Pars.Agro.,20210411,163370.00,163370.00,163370.00,164410.00,33251022840,203532,59,D,166700.00,163370.00
Pars.Agro.,20210410,165660.00,171690.00,165660.00,166700.00,33988666580,205168,112,D,169040.00,165660.00
Pars.Agro.,20210407,166900.00,170000.00,166900.00,169040.00,17855413750,106960,91,D,170300.00,166900.00
Pars.Agro.,20210406,176900.00,177990.00,167250.00,170300.00,15816645650,93278,302,D,170660.00,169990.00
Pars.Agro.,20210405,169620.00,169620.00,169620.00,170660.00,33804926760,199298,85,D,173080.00,169620.00
Pars.Agro.,20210404,171050.00,171050.00,171050.00,173080.00,20397712500,119250,112,D,174540.00,171050.00
Pars.Agro.,20210403,171760.00,172010.00,171750.00,174540.00,9889054380,57576,48,D,175250.00,171750.00
Pars.Agro.,20210331,179990.00,183000.00,173310.00,175250.00,39370748470,225315,508,D,176840.00,173310.00
Pars.Agro.,20210330,177000.00,177410.00,171130.00,176840.00,100464577010,568102,717,D,167370.00,177410.00
Pars.Agro.,20210317,166790.00,177000.00,166790.00,167370.00,121313148040,724823,550,D,170190.00,170480.00
Pars.Agro.,20210316,167020.00,167020.00,167020.00,170190.00,3314010840,19842,20,D,170420.00,167020.00
Pars.Agro.,20210315,167150.00,167150.00,167150.00,170420.00,1972035700,11798,13,D,170560.00,167150.00
Pars.Agro.,20210314,167280.00,167280.00,167280.00,170560.00,1862495520,11134,10,D,170690.00,167280.00
Pars.Agro.,20210313,167580.00,167580.00,167580.00,170690.00,4243460760,25322,18,D,170990.00,167580.00
Pars.Agro.,20210310,167890.00,167890.00,167890.00,170990.00,4517248340,26906,47,D,171310.00,167890.00
Pars.Agro.,20210309,180000.00,180000.00,169110.00,171310.00,30486745700,178732,328,D,172560.00,169110.00
