<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Ava.Novin.INVEST,20210921,4555.00,4799.00,4465.00,4485.00,26494270816,5907373,822,D,4699.00,4495.00
Ava.Novin.INVEST,20210920,4720.00,4850.00,4561.00,4699.00,23298329766,4958075,1084,D,4689.00,4651.00
Ava.Novin.INVEST,20210919,4848.00,4990.00,4614.00,4689.00,54824662179,11692810,1298,D,4856.00,4649.00
Ava.Novin.INVEST,20210918,4843.00,4927.00,4843.00,4856.00,24775092124,5102368,594,D,5097.00,4896.00
Ava.Novin.INVEST,20210915,5166.00,5199.00,5040.00,5097.00,20112174730,3945796,1253,D,5191.00,5111.00
Ava.Novin.INVEST,20210914,5188.00,5270.00,5100.00,5191.00,17242939231,3321639,932,D,5065.00,5169.00
Ava.Novin.INVEST,20210913,5035.00,5255.00,5010.00,5065.00,47186291600,9316121,1447,D,5273.00,5110.00
Ava.Novin.INVEST,20210912,5450.00,5450.00,5255.00,5273.00,21465529174,4070570,617,D,5531.00,5255.00
Ava.Novin.INVEST,20210911,5750.00,5750.00,5443.00,5531.00,40237516570,7275020,1427,D,5729.00,5443.00
Ava.Novin.INVEST,20210908,5719.00,5878.00,5595.00,5729.00,43275970627,7553929,1859,D,5725.00,5670.00
Ava.Novin.INVEST,20210907,5715.00,5888.00,5520.00,5725.00,56697041862,9904165,1815,D,5672.00,5728.00
Ava.Novin.INVEST,20210906,5550.00,5724.00,5300.00,5672.00,119287399919,21032172,2750,D,5452.00,5600.00
Ava.Novin.INVEST,20210905,5680.00,5680.00,5319.00,5452.00,52270780762,9588051,1522,D,5598.00,5513.00
Ava.Novin.INVEST,20210904,5650.00,5679.00,5521.00,5598.00,43716634874,7809146,1102,D,5513.00,5562.00
Ava.Novin.INVEST,20210901,5420.00,5627.00,5312.00,5513.00,45713126952,8291676,1194,D,5397.00,5600.00
Ava.Novin.INVEST,20210831,5301.00,5650.00,5301.00,5397.00,73524093609,13622392,1589,D,5579.00,5350.00
Ava.Novin.INVEST,20210830,5574.00,5679.00,5574.00,5579.00,29118163505,5219230,440,D,5867.00,5574.00
Ava.Novin.INVEST,20210829,6200.00,6200.00,5715.00,5867.00,114294741929,19481691,2681,D,6015.00,5715.00
Ava.Novin.INVEST,20210828,6108.00,6108.00,5911.00,6015.00,84499459485,14047415,2240,D,5820.00,6081.00
Ava.Novin.INVEST,20210825,5700.00,5853.00,5653.00,5820.00,98507702764,16924970,1743,D,5575.00,5853.00
Ava.Novin.INVEST,20210824,5399.00,5625.00,5358.00,5575.00,78040000740,13998799,1821,D,5358.00,5625.00
Ava.Novin.INVEST,20210823,5470.00,5470.00,5301.00,5358.00,48025768647,8963393,1606,D,5455.00,5383.00
Ava.Novin.INVEST,20210822,5331.00,5594.00,5320.00,5455.00,62144612825,11391461,1691,D,5386.00,5370.00
Ava.Novin.INVEST,20210815,5280.00,5490.00,5214.00,5386.00,50281027597,9335119,1397,D,5296.00,5369.00
Ava.Novin.INVEST,20210814,5440.00,5440.00,5251.00,5296.00,49218177686,9293467,1461,D,5346.00,5340.00
Ava.Novin.INVEST,20210811,5336.00,5459.00,5270.00,5346.00,34824475828,6513643,1604,D,5337.00,5355.00
Ava.Novin.INVEST,20210810,5360.00,5448.00,5222.00,5337.00,39932490894,7481560,1710,D,5372.00,5368.00
Ava.Novin.INVEST,20210809,5300.00,5450.00,5200.00,5372.00,36104621562,6720753,1456,D,5218.00,5355.00
Ava.Novin.INVEST,20210808,5189.00,5298.00,5080.00,5218.00,37803766953,7244368,1436,D,5163.00,5291.00
Ava.Novin.INVEST,20210807,5201.00,5313.00,5080.00,5163.00,35450371919,6866363,1371,D,5132.00,5130.00
Ava.Novin.INVEST,20210804,5150.00,5240.00,4951.00,5132.00,51828133206,10099669,1713,D,5045.00,5137.00
Ava.Novin.INVEST,20210803,5190.00,5224.00,5010.00,5045.00,31221872320,6188443,1156,D,5148.00,5025.00
