<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Atrin.Nakh.Qom,20210921,8083.00,8150.00,7681.00,7764.00,41523436782,5348472,784,D,8085.00,7681.00
Atrin.Nakh.Qom,20210920,8200.00,8299.00,7840.00,8085.00,30926442728,3824967,777,D,8128.00,8100.00
Atrin.Nakh.Qom,20210919,8180.00,8500.00,8011.00,8128.00,34777315495,4278707,758,D,8432.00,8011.00
Atrin.Nakh.Qom,20210918,8957.00,8957.00,8379.00,8432.00,43579244159,5168091,796,D,8819.00,8379.00
Atrin.Nakh.Qom,20210915,8899.00,8975.00,8511.00,8819.00,47088685652,5339570,1352,D,8827.00,8800.00
Atrin.Nakh.Qom,20210914,8690.00,8877.00,8455.00,8827.00,80728014788,9145245,1370,D,8455.00,8877.00
Atrin.Nakh.Qom,20210913,8150.00,8799.00,8150.00,8455.00,47353919042,5600835,963,D,8549.00,8500.00
Atrin.Nakh.Qom,20210912,8900.00,9100.00,8417.00,8549.00,62666827747,7330698,1374,D,8860.00,8450.00
Atrin.Nakh.Qom,20210911,8511.00,8950.00,8511.00,8860.00,139049365844,15694183,2317,D,8524.00,8900.00
Atrin.Nakh.Qom,20210908,8465.00,8770.00,8280.00,8524.00,38551978599,4522982,1371,D,8441.00,8520.00
Atrin.Nakh.Qom,20210907,8470.00,8750.00,8323.00,8441.00,56366188231,6677744,1492,D,8761.00,8377.00
Atrin.Nakh.Qom,20210906,8855.00,8950.00,8466.00,8761.00,70587302940,8056717,1789,D,8811.00,8467.00
Atrin.Nakh.Qom,20210905,8880.00,8954.00,8501.00,8811.00,41065444616,4660955,1051,D,8741.00,8810.00
Atrin.Nakh.Qom,20210904,8790.00,8910.00,8500.00,8741.00,40933473539,4682920,1242,D,8528.00,8869.00
Atrin.Nakh.Qom,20210901,8300.00,8605.00,8106.00,8528.00,48007746389,5629445,1089,D,8196.00,8605.00
Atrin.Nakh.Qom,20210831,8102.00,8450.00,8102.00,8196.00,59708899819,7285191,1211,D,8528.00,8104.00
Atrin.Nakh.Qom,20210830,8530.00,8690.00,8510.00,8528.00,27741203432,3252879,603,D,8957.00,8510.00
Atrin.Nakh.Qom,20210829,9370.00,9370.00,8551.00,8957.00,78288275930,8740809,2150,D,9001.00,8591.00
Atrin.Nakh.Qom,20210828,8750.00,9028.00,8715.00,9001.00,101798948845,11310115,1809,D,8599.00,9028.00
Atrin.Nakh.Qom,20210825,8700.00,8749.00,8410.00,8599.00,69389764337,8069710,1795,D,8588.00,8701.00
Atrin.Nakh.Qom,20210824,8400.00,8643.00,8400.00,8588.00,83317794398,9702000,1855,D,8232.00,8643.00
Atrin.Nakh.Qom,20210823,8050.00,8410.00,8050.00,8232.00,47393662773,5757005,1298,D,8321.00,8318.00
Atrin.Nakh.Qom,20210822,8081.00,8450.00,8081.00,8321.00,46019824321,5530558,1245,D,8218.00,8239.00
Atrin.Nakh.Qom,20210815,8120.00,8382.00,7881.00,8218.00,43388127495,5279793,1365,D,8043.00,8330.00
Atrin.Nakh.Qom,20210814,8050.00,8300.00,7859.00,8043.00,60515517211,7523945,1727,D,8265.00,8105.00
Atrin.Nakh.Qom,20210811,8400.00,8470.00,8139.00,8265.00,71747981896,8680942,1942,D,8517.00,8170.00
Atrin.Nakh.Qom,20210810,8820.00,8820.00,8211.00,8517.00,85027222355,9983780,2328,D,8589.00,8420.00
Atrin.Nakh.Qom,20210809,8500.00,8627.00,8367.00,8589.00,74027420103,8618613,1929,D,8217.00,8627.00
Atrin.Nakh.Qom,20210808,7761.00,8376.00,7740.00,8217.00,94376883730,11485369,2308,D,7978.00,8376.00
Atrin.Nakh.Qom,20210807,8182.00,8337.00,7773.00,7978.00,46065653869,5773768,1707,D,8182.00,7864.00
Atrin.Nakh.Qom,20210804,8200.00,8475.00,7900.00,8182.00,69781598450,8528732,1895,D,8241.00,8050.00
Atrin.Nakh.Qom,20210803,8637.00,8637.00,8206.00,8241.00,87645863400,10635943,2044,D,8637.00,8266.00
Atrin.Nakh.Qom,20210802,8860.00,8969.00,8463.00,8637.00,62187882406,7199860,2029,D,8908.00,8464.00
Atrin.Nakh.Qom,20210801,9200.00,9451.00,8852.00,8908.00,108605692520,12192167,2925,D,9317.00,8852.00
Atrin.Nakh.Qom,20210731,9028.00,9880.00,9028.00,9317.00,130171514203,13971578,3167,D,9503.00,9182.00
Atrin.Nakh.Qom,20210728,9091.00,9091.00,9091.00,9503.00,1949692224,214464,90,D,9569.00,9091.00
Atrin.Nakh.Qom,20210727,9199.00,9199.00,9199.00,9569.00,3370669983,366417,136,D,9683.00,9199.00
Atrin.Nakh.Qom,20210717,10312.00,10450.00,9754.00,9900.00,138480964826,13987910,3768,D,10267.00,9754.00
Atrin.Nakh.Qom,20210714,10575.00,10732.00,10227.00,10267.00,217775235935,21211578,4367,D,10765.00,10240.00
Atrin.Nakh.Qom,20210713,10799.00,11036.00,10570.00,10765.00,144483278385,13421804,3758,D,10570.00,10590.00
Atrin.Nakh.Qom,20210712,10274.00,10870.00,10274.00,10570.00,475441921137,44981477,7743,D,10814.00,10679.00
Atrin.Nakh.Qom,20210711,10333.00,10333.00,10333.00,10814.00,1614262592,156224,22,D,10876.00,10333.00
Atrin.Nakh.Qom,20210710,10339.00,10339.00,10339.00,10876.00,191571331,18529,14,D,10883.00,10339.00
Atrin.Nakh.Qom,20210707,10358.00,10358.00,10358.00,10883.00,508204912,49064,21,D,10903.00,10358.00
