<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Arya.Sasol.Polymer,20210921,103604.00,103605.00,98434.00,99269.00,249599031114,2514375,6882,D,103614.00,99951.00
Arya.Sasol.Polymer,20210920,103450.00,105940.00,102527.00,103614.00,117862754794,1137520,4496,D,102526.00,102800.00
Arya.Sasol.Polymer,20210919,103500.00,108000.00,100900.00,102526.00,201275588219,1963159,6452,D,105940.00,103443.00
Arya.Sasol.Polymer,20210918,109795.00,109795.00,104200.00,105940.00,168761410412,1592990,5973,D,109667.00,104510.00
Arya.Sasol.Polymer,20210915,110460.00,112283.00,108000.00,109667.00,148567023104,1354706,9745,D,110771.00,109116.00
Arya.Sasol.Polymer,20210914,108010.00,111799.00,108010.00,110771.00,145871925466,1316881,7118,D,108375.00,110760.00
Arya.Sasol.Polymer,20210913,109800.00,111000.00,106000.00,108375.00,172908386731,1595467,6824,D,109922.00,107850.00
Arya.Sasol.Polymer,20210912,114000.00,114000.00,108100.00,109922.00,239643026426,2180126,6766,D,113789.00,111550.00
Arya.Sasol.Polymer,20210911,116270.00,116300.00,112718.00,113789.00,174045482727,1529539,5135,D,113679.00,114100.00
Arya.Sasol.Polymer,20210908,114622.00,114980.00,112200.00,113679.00,210952440658,1855691,14250,D,113928.00,114500.00
Arya.Sasol.Polymer,20210907,112700.00,116129.00,112700.00,113928.00,237451175465,2084221,9615,D,116129.00,113153.00
Arya.Sasol.Polymer,20210906,118700.00,118700.00,114510.00,116129.00,239462989684,2062039,10525,D,117657.00,114790.00
Arya.Sasol.Polymer,20210905,118999.00,119400.00,114528.00,117657.00,252927772905,2149707,7747,D,118461.00,118000.00
Arya.Sasol.Polymer,20210904,117000.00,119937.00,115611.00,118461.00,501213790561,4231031,8954,D,114226.00,118999.00
Arya.Sasol.Polymer,20210901,110547.00,114528.00,110547.00,114226.00,556518087636,4872095,6508,D,109075.00,114528.00
Arya.Sasol.Polymer,20210831,104550.00,114000.00,104515.00,109075.00,362244938959,3321062,9419,D,110011.00,111779.00
Arya.Sasol.Polymer,20210830,110000.00,112596.00,109720.00,110011.00,688282897633,6256472,8225,D,115494.00,109720.00
Arya.Sasol.Polymer,20210829,116850.00,118222.00,112306.00,115494.00,628856009155,5444931,12474,D,118216.00,113020.00
Arya.Sasol.Polymer,20210828,119950.00,119950.00,116500.00,118216.00,466081211804,3942640,11276,D,118757.00,118759.00
Arya.Sasol.Polymer,20210825,121900.00,121900.00,116000.00,118757.00,512778694435,4317883,11936,D,120643.00,119001.00
Arya.Sasol.Polymer,20210824,118200.00,123200.00,118180.00,120643.00,642227225169,5323352,9933,D,120438.00,120905.00
Arya.Sasol.Polymer,20210823,123900.00,123900.00,118200.00,120438.00,730750769743,6067464,13377,D,122520.00,120000.00
Arya.Sasol.Polymer,20210822,120000.00,123924.00,117949.00,122520.00,714576027336,5832333,12241,D,118023.00,123490.00
Arya.Sasol.Polymer,20210815,116242.00,121300.00,114400.00,118023.00,530689400585,4496504,8926,D,116236.00,119710.00
Arya.Sasol.Polymer,20210814,122500.00,122500.00,112110.00,116236.00,878675791978,7559381,13790,D,117927.00,117927.00
Arya.Sasol.Polymer,20210811,117200.00,118983.00,115130.00,117927.00,1063363760837,9017155,13904,D,113318.00,118983.00
Arya.Sasol.Polymer,20210810,110500.00,114324.00,109000.00,113318.00,691485675005,6102162,7122,D,108880.00,114324.00
Arya.Sasol.Polymer,20210809,108578.00,110007.00,107111.00,108880.00,282718639858,2596599,6538,D,108578.00,109090.00
