<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Arfa.Steel.Co.,20210921,15660.00,15980.00,14938.00,14983.00,128723479777,8591219,1233,D,15724.00,15000.00
S*Arfa.Steel.Co.,20210920,16000.00,16075.00,15500.00,15724.00,46206590807,2943117,897,D,15762.00,15637.00
S*Arfa.Steel.Co.,20210919,15610.00,16340.00,15336.00,15762.00,53257350239,3412471,1170,D,16143.00,15550.00
S*Arfa.Steel.Co.,20210918,16170.00,16735.00,16047.00,16143.00,108450963444,6718234,1201,D,16891.00,16048.00
S*Arfa.Steel.Co.,20210915,16902.00,16950.00,16600.00,16891.00,41936664791,2502846,1231,D,17039.00,16860.00
S*Arfa.Steel.Co.,20210914,17193.00,17400.00,16861.00,17039.00,65035688928,3814882,1573,D,17005.00,16901.00
S*Arfa.Steel.Co.,20210913,16900.00,17650.00,16600.00,17005.00,46710426080,2761856,1004,D,17130.00,16862.00
S*Arfa.Steel.Co.,20210912,17460.00,17550.00,16861.00,17130.00,94566005693,5520600,1558,D,17744.00,17450.00
S*Arfa.Steel.Co.,20210911,18300.00,18790.00,17416.00,17744.00,126061622217,7104606,2144,D,18332.00,17500.00
S*Arfa.Steel.Co.,20210908,18141.00,18800.00,18100.00,18332.00,65708083302,3591657,1765,D,18444.00,18300.00
S*Arfa.Steel.Co.,20210907,18653.00,18783.00,18020.00,18444.00,74127601530,4033276,1803,D,18785.00,18320.00
S*Arfa.Steel.Co.,20210906,19010.00,19350.00,18500.00,18785.00,138629317223,7379621,2639,D,18939.00,18653.00
S*Arfa.Steel.Co.,20210905,18500.00,19280.00,18205.00,18939.00,165955216447,8762746,2953,D,18902.00,19000.00
S*Arfa.Steel.Co.,20210904,19200.00,19500.00,18602.00,18902.00,153741573363,8133496,2798,D,19154.00,18780.00
S*Arfa.Steel.Co.,20210901,19250.00,19690.00,18800.00,19154.00,163832500433,8553445,2371,D,19021.00,19137.00
S*Arfa.Steel.Co.,20210831,18050.00,19710.00,17970.00,19021.00,344215213653,18096834,4325,D,18899.00,19269.00
S*Arfa.Steel.Co.,20210830,18870.00,19779.00,18154.00,18899.00,269408641230,14254870,3660,D,19109.00,18383.00
S*Arfa.Steel.Co.,20210829,19257.00,19257.00,18590.00,19109.00,496796734691,25998343,4320,D,18340.00,18840.00
S*Arfa.Steel.Co.,20210828,17750.00,18682.00,17750.00,18340.00,319226162549,17406418,2989,D,17793.00,18682.00
S*Arfa.Steel.Co.,20210825,17800.00,18000.00,17410.00,17793.00,174712448167,9819424,2600,D,17227.00,17581.00
S*Arfa.Steel.Co.,20210824,17060.00,17590.00,16900.00,17227.00,349160879333,20268120,3625,D,17251.00,17590.00
S*Arfa.Steel.Co.,20210823,17740.00,17740.00,17040.00,17251.00,61868059987,3602497,1513,D,17483.00,17070.00
S*Arfa.Steel.Co.,20210822,17700.00,17880.00,17060.00,17483.00,159605101864,9129004,2684,D,17693.00,17550.00
S*Arfa.Steel.Co.,20210815,17515.00,17900.00,17350.00,17693.00,120548001035,6813327,1619,D,17393.00,17900.00
S*Arfa.Steel.Co.,20210814,18200.00,18200.00,16820.00,17393.00,120594119106,6933487,2101,D,17567.00,17777.00
S*Arfa.Steel.Co.,20210811,17550.00,17593.00,17100.00,17567.00,236461334630,13460662,2260,D,16756.00,17593.00
S*Arfa.Steel.Co.,20210810,16410.00,16991.00,16200.00,16756.00,161368376880,9630599,1622,D,16182.00,16991.00
S*Arfa.Steel.Co.,20210809,15710.00,16462.00,15710.00,16182.00,57904001690,3563285,1002,D,15984.00,16390.00
S*Arfa.Steel.Co.,20210808,16000.00,16280.00,15770.00,15984.00,49304681473,3082227,863,D,15961.00,15890.00
S*Arfa.Steel.Co.,20210807,16050.00,16300.00,15503.00,15961.00,82278564653,5155077,1234,D,15862.00,16050.00
S*Arfa.Steel.Co.,20210804,15820.00,16180.00,15550.00,15862.00,98457584632,6207212,1190,D,15839.00,16080.00
S*Arfa.Steel.Co.,20210803,15800.00,16220.00,15540.00,15839.00,45927118376,2896599,837,D,15815.00,15800.00
S*Arfa.Steel.Co.,20210802,15755.00,16100.00,15503.00,15815.00,69162040929,4380302,1224,D,16080.00,16000.00
S*Arfa.Steel.Co.,20210801,16300.00,16300.00,15724.00,16080.00,240732704813,14970842,3027,D,15529.00,15998.00
S*Arfa.Steel.Co.,20210731,15529.00,15529.00,15529.00,15529.00,129454542461,8336309,641,D,14790.00,15529.00
S*Arfa.Steel.Co.,20210728,14490.00,14885.00,14150.00,14790.00,78566651704,5312167,751,D,14177.00,14885.00
S*Arfa.Steel.Co.,20210727,14163.00,14499.00,13980.00,14177.00,36648955446,2583921,828,D,14170.00,14328.00
S*Arfa.Steel.Co.,20210726,14500.00,14500.00,13800.00,14170.00,99888833172,7049472,1078,D,14328.00,14450.00
S*Arfa.Steel.Co.,20210719,14670.00,14670.00,14211.00,14328.00,72673100630,5072132,877,D,14476.00,14520.00
S*Arfa.Steel.Co.,20210718,14500.00,14600.00,14200.00,14476.00,24731441245,1713808,550,D,14501.00,14390.00
S*Arfa.Steel.Co.,20210717,14450.00,14800.00,14237.00,14501.00,39220362530,2708993,725,D,14530.00,14550.00
S*Arfa.Steel.Co.,20210714,14470.00,14928.00,14143.00,14530.00,48693476130,3357683,1009,D,14594.00,14420.00
S*Arfa.Steel.Co.,20210713,14599.00,14610.00,13910.00,14594.00,566889576529,38842834,697,D,14618.00,14480.00
S*Arfa.Steel.Co.,20210710,14680.00,14870.00,14310.00,14618.00,28411978929,1953748,864,D,14670.00,14450.00
S*Arfa.Steel.Co.,20210707,14928.00,14928.00,14201.00,14670.00,35194251753,2409098,827,D,14732.00,14550.00
S*Arfa.Steel.Co.,20210706,14648.00,14928.00,14375.00,14732.00,78034466345,5297048,1037,D,14218.00,14928.00
S*Arfa.Steel.Co.,20210705,13800.00,14500.00,13800.00,14218.00,32549857009,2275794,709,D,14141.00,14425.00
S*Arfa.Steel.Co.,20210704,13750.00,14306.00,13650.00,14141.00,37062558392,2646066,838,D,14306.00,14000.00
S*Arfa.Steel.Co.,20210703,14080.00,14600.00,13810.00,14306.00,42482007610,2998378,940,D,14536.00,13810.00
S*Arfa.Steel.Co.,20210630,14600.00,14740.00,14347.00,14536.00,32077986366,2204829,641,D,14525.00,14540.00
S*Arfa.Steel.Co.,20210629,14300.00,14710.00,14300.00,14525.00,29542600164,2041425,709,D,14564.00,14590.00
S*Arfa.Steel.Co.,20210628,14625.00,15100.00,14010.00,14564.00,36580714769,2526289,843,D,14657.00,14450.00
S*Arfa.Steel.Co.,20210627,14091.00,14906.00,13654.00,14657.00,68700768613,4683473,1179,D,14197.00,14580.00
S*Arfa.Steel.Co.,20210626,14240.00,14253.00,13760.00,14197.00,122076922463,8599069,1251,D,13575.00,14091.00
S*Arfa.Steel.Co.,20210623,13279.00,13739.00,12963.00,13575.00,61805311901,4543703,682,D,13085.00,13739.00
S*Arfa.Steel.Co.,20210622,13120.00,13300.00,12960.00,13085.00,68299069811,5219569,752,D,13028.00,13274.00
S*Arfa.Steel.Co.,20210621,12910.00,13150.00,12910.00,13028.00,11435597199,880638,371,D,13037.00,12941.00
S*Arfa.Steel.Co.,20210620,13090.00,13090.00,12880.00,13037.00,15087384708,1166031,441,D,13069.00,12900.00
S*Arfa.Steel.Co.,20210619,12620.00,13300.00,12620.00,13069.00,45843839695,3505150,536,D,13041.00,13021.00
S*Arfa.Steel.Co.,20210616,12950.00,13200.00,12830.00,13041.00,27150326679,2087274,488,D,13066.00,12830.00
S*Arfa.Steel.Co.,20210615,13150.00,13160.00,12915.00,13066.00,15406625029,1182847,509,D,13079.00,12995.00
S*Arfa.Steel.Co.,20210614,13040.00,13340.00,13040.00,13079.00,14634659515,1109301,418,D,13045.00,13150.00
S*Arfa.Steel.Co.,20210613,12680.00,13340.00,12680.00,13045.00,41128611080,3141564,613,D,12955.00,13179.00
S*Arfa.Steel.Co.,20210612,12700.00,13000.00,12670.00,12955.00,14039044722,1098194,344,D,13006.00,12680.00
S*Arfa.Steel.Co.,20210609,12630.00,12980.00,12630.00,13006.00,18005823380,1404761,372,D,13084.00,12850.00
S*Arfa.Steel.Co.,20210608,13060.00,13300.00,12812.00,13084.00,29548407471,2269885,557,D,13143.00,12854.00
S*Arfa.Steel.Co.,20210607,13350.00,13380.00,13080.00,13143.00,37335117142,2831177,647,D,13079.00,13100.00
S*Arfa.Steel.Co.,20210602,12430.00,13320.00,12430.00,13079.00,41890345900,3173633,591,D,12845.00,13310.00
S*Arfa.Steel.Co.,20210601,12900.00,12900.00,12430.00,12845.00,18782799732,1484028,392,D,12930.00,12690.00
S*Arfa.Steel.Co.,20210531,12700.00,12986.00,12600.00,12930.00,29107583491,2289884,526,D,13129.00,12701.00
S*Arfa.Steel.Co.,20210530,13640.00,13640.00,12650.00,13129.00,32011105858,2434654,1034,D,13110.00,12752.00
S*Arfa.Steel.Co.,20210529,12540.00,13258.00,12540.00,13110.00,64337581422,4907574,986,D,12640.00,13240.00
S*Arfa.Steel.Co.,20210526,13000.00,13490.00,12560.00,12640.00,20096536323,1552014,414,D,12493.00,12859.00
S*Arfa.Steel.Co.,20210517,14503.00,14899.00,14301.00,14693.00,123166636211,8382950,1553,D,14503.00,14525.00
S*Arfa.Steel.Co.,20210516,13950.00,14650.00,13760.00,14503.00,114595040702,7901743,930,D,14092.00,14600.00
S*Arfa.Steel.Co.,20210515,13910.00,14320.00,13350.00,14092.00,89845101224,6375436,800,D,13803.00,14151.00
S*Arfa.Steel.Co.,20210512,14000.00,14300.00,13500.00,13803.00,27573484824,2002662,635,D,13828.00,13898.00
S*Arfa.Steel.Co.,20210511,13760.00,14130.00,13220.00,13828.00,59652282706,4296407,794,D,13349.00,14000.00
S*Arfa.Steel.Co.,20210510,13045.00,13940.00,13045.00,13349.00,83455339275,6251625,1122,D,13448.00,13550.00
S*Arfa.Steel.Co.,20210509,13201.00,13310.00,13201.00,13448.00,25063008959,1898371,238,D,13609.00,13201.00
S*Arfa.Steel.Co.,20210508,13604.00,13990.00,13604.00,13609.00,115615529108,8495507,891,D,14024.00,13604.00
S*Arfa.Steel.Co.,20210505,13988.00,14500.00,13988.00,14024.00,88049262142,6278512,831,D,14420.00,13988.00
S*Arfa.Steel.Co.,20210503,14019.00,14019.00,14019.00,14420.00,5045017530,359870,71,D,14452.00,14019.00
S*Arfa.Steel.Co.,20210502,14080.00,14237.00,14078.00,14452.00,9562118569,679174,150,D,14513.00,14078.00
S*Arfa.Steel.Co.,20210501,14400.00,14685.00,14250.00,14513.00,33785201541,2357631,426,D,14690.00,14250.00
S*Arfa.Steel.Co.,20210428,14390.00,14900.00,14390.00,14690.00,26422265330,1814153,515,D,14766.00,14431.00
S*Arfa.Steel.Co.,20210427,13940.00,14970.00,13940.00,14766.00,85804105780,5810883,993,D,14230.00,14500.00
